,Ag2Se,AgSe,Cu2Se,CuSe,Si,Ti,TiN
Ag2Se,0.6486956751299531,0.4902320610579091,0.4994209294483516,0.5429368770492163,0.4725834217017074,0.4439641062021168,0.473855928312405
Ag2Se.1,0.787908891082444,0.6414366928996473,0.6723027148806473,0.7114687413722328,0.6131824159159728,0.5782205044092197,0.596772761349969
Ag2Se.2,0.8526823268427023,0.6531392784224068,0.6687665275952719,0.7047904501910393,0.6402223989204985,0.6106777385742193,0.6578499397294773
Ag2Se.3,0.7879522731806503,0.6350221390037615,0.6666655884392754,0.7030304613986069,0.6079444655601643,0.5739620709289623,0.5964335364778679
Ag2Se.4,0.7781639983664779,0.6299487728517792,0.6537329735025257,0.686841688690139,0.6041491746775732,0.5716625657927906,0.5887961272394734
Ag2Se.5,0.7760459203580878,0.6295615519613076,0.6522373391669907,0.6856817807292792,0.6051127709671758,0.5721837132612861,0.5930661008038645
Ag2Se.6,0.7789354113314789,0.6187404271993668,0.6447179491166422,0.6828146593969674,0.5954124513307657,0.5621259568187909,0.5884545106839527
Ag2Se.7,0.7911299558998728,0.6369106803849635,0.660745135346325,0.6938032995723478,0.6124306663103944,0.5802955447722896,0.6006685537571297
Ag2Se.8,0.7786434445028501,0.6521763570913072,0.6765236263954936,0.7144863366979841,0.6158731861218135,0.586877078197498,0.5860920729685074
Ag2Se.9,0.734004192199368,0.5894846883811077,0.6251303997933324,0.6647350413763257,0.5618083923276538,0.5239842843154394,0.5500751235069694
Ag2Se.10,0.7031152202608582,0.5665137400459639,0.5906794037351188,0.6304230903392011,0.5360547078339509,0.5043329929969632,0.5202680275408132
Ag2Se.11,0.7092255657533114,0.5624703553186755,0.5975893565676983,0.6285299616183878,0.5311198632493541,0.5018990628694535,0.5199957746513403
Ag2Se.12,0.7726131782292812,0.626881046549935,0.656508703893427,0.6979595056032931,0.5957724909202314,0.5680451381071279,0.5820989598305778
Ag2Se.13,0.7944226665536366,0.6273367556567859,0.6455164464490605,0.6841384610930881,0.6046411492773491,0.5743974642975407,0.6017965797812269
Ag2Se.14,0.7784395535417263,0.6330407725920129,0.6656384024396589,0.7048908243806628,0.5991869821701848,0.5734726207927763,0.5864203256542762
Ag2Se.15,0.7708141474233738,0.6133035102325295,0.6448217131807066,0.6763125716407384,0.5872379357386761,0.5575577579170783,0.5818311925370473
Ag2Se.16,0.5897849603954076,0.3603876937226511,0.3236129039495212,0.3707365848682149,0.37541829489620987,0.34980594694533795,0.393092809104853
Ag2Se.17,0.5990638772457332,0.3396580092906271,0.268671101003665,0.32664700802942703,0.37706221008959473,0.3147635538794129,0.39805524284383015
Ag2Se.18,0.6948518394207351,0.5291884931531696,0.5331094540465817,0.5743172266389674,0.5175617606338708,0.5017118514915729,0.5100002899950867
Ag2Se.19,0.6651437514523201,0.48038177096403933,0.47506492877719114,0.513584559360425,0.4765504914472363,0.4725413490456735,0.47799988672671045
Ag2Se.20,0.6554597986191559,0.47691801521213906,0.4747695504670277,0.5126573950541441,0.47215217796131,0.4669116787029031,0.47124382734421305
Ag2Se.21,0.6787578807404642,0.5102330084674587,0.5099999928817995,0.5493794731084614,0.5037853860604905,0.49017482002892016,0.49808555465943144
Ag2Se.22,0.6842660861543731,0.5093034013166723,0.5062054163239895,0.5467099922901757,0.5028140205988543,0.490918572959965,0.49839987501292643
