,Ag2Se,AgSe,Cu2Se,CuSe,Si,Ti,TiN
Ag2Se,0.13227395588629698,0.16462068122121953,0.25777018734789725,0.1469036311555779,0.22168664124291193,0.3254487381010193,0.24356559391162153
Ag2Se.1,0.12319852675408971,0.2477201069426039,0.43089287122660513,0.17947512236184313,0.29787784740885465,0.6455634306728515,0.5338140892407571
Ag2Se.2,0.09881079475427741,0.09410952105928946,0.13456471597274566,0.07121759467747822,0.18585049816092755,0.2217183887878865,0.2069752551261143
Ag2Se.3,0.11089228905343189,0.2067752903375411,0.3161979320647971,0.15743442504882393,0.27688381327456085,0.5541139884517582,0.4285781406757788
Ag2Se.4,0.11572868284056885,0.21116393425646576,0.2720735907489701,0.15517393066223548,0.2795711484175359,0.42275992339346846,0.38651198689328625
Ag2Se.5,0.11698130603812469,0.20875196022920756,0.2880729709133583,0.1604235113708599,0.28676164737852944,0.4940160431760807,0.3730184137717058
Ag2Se.6,0.10715709615199266,0.1871517755697487,0.256788291974526,0.13574970245121495,0.24464112815296205,0.40297808778927446,0.37813906674696224
Ag2Se.7,0.11585016299124938,0.2070479615403289,0.261386196463133,0.1573635553122026,0.2851129335155075,0.5132016637058527,0.4048366801538911
Ag2Se.8,0.13272495724952912,0.23904521295743386,0.33968244803828246,0.20999994760579324,0.3289344812803254,0.5558395283892057,0.4702974893898881
Ag2Se.9,0.12624194298623226,0.18192747166924594,0.33930005225785437,0.1620654123304828,0.208893021356147,0.3885442144284157,0.4411952948215086
Ag2Se.10,0.1363168088395605,0.1969507759785173,0.3315577613693898,0.2030957520778356,0.2801190373488265,0.3271357033876278,0.3920208136076007
Ag2Se.11,0.12730000764029292,0.16196405352839988,0.30739568119961685,0.1703469974668029,0.24958052667086425,0.3312423641497162,0.3093473469965376
Ag2Se.12,0.10049014752675144,0.1445385206851234,0.2506609811583333,0.11498328258541007,0.22649707370452984,0.23931291752332742,0.2932635685936253
Ag2Se.13,0.08510754308231067,0.09789851749418073,0.18801199835466348,0.07393970850574717,0.15162293582744493,0.2326924043796394,0.21136911849762258
Ag2Se.14,0.10036705345231342,0.1470009815615431,0.26026146374123993,0.12566650993623346,0.27207459431770725,0.2664840862021066,0.25490265429910564
Ag2Se.15,0.08325191637829182,0.0959275512008018,0.2097208208697186,0.07806290671350992,0.15090545778337916,0.21937179012036614,0.18186839277297281
Ag2Se.16,0.12204950147246618,0.08724567574487732,0.12155812084366191,0.06391642468963103,0.1405070758748254,0.18413115729818844,0.2060381553711592
Ag2Se.17,0.1394095615628377,0.09248953756731215,0.10672552860809571,0.05722346413442846,0.19188975130882613,0.17382860513969645,0.1990514092711372
Ag2Se.18,0.09745998711330824,0.10499475721033556,0.19588837189752462,0.08355710133251408,0.162758646054456,0.244748612068235,0.17614223066359522
Ag2Se.19,0.10398935561132391,0.1026278304008612,0.1790865437868866,0.0739914595758722,0.1525617086090592,0.26760031670789514,0.1743384570677384
Ag2Se.20,0.09938771875926511,0.09813280356828334,0.17716729170660644,0.07421037736081977,0.15174998179459498,0.2340132326474432,0.172668933885481
Ag2Se.21,0.10054554086239864,0.10672556744252139,0.19086765142388612,0.08162939520653219,0.15720297017786325,0.2483872635072409,0.18993357656851528
Ag2Se.22,0.09533808942884311,0.10289782089980361,0.17837322208437806,0.07692921982731722,0.16618435851564578,0.24879343862352657,0.17325681099476037
Ag2Se.23,0.10171203331273276,0.1029688222624381,0.1817386739496232,0.07830546203419479,0.160262166450444,0.2540768110772586,0.17113375345666015
Ag2Se.24,0.10404435152149306,0.17391925560371926,0.35444491549765633,0.13590238993586526,0.2548878014381086,0.39405583827864715,0.2564166505559797
AgSe,0.1608583372990134,0.09995043111589798,0.16763300496530525,0.10523027158446306,0.1790874429620269,0.20625153493290022,0.26519454365695666
AgSe.1,0.130982030300233,0.08948068212671956,0.14300791512546254,0.08352269263664795,0.14670941984594793,0.22013567197144074,0.21647502206716912
AgSe.2,0.09894977848958074,0.08532315181655814,0.17096131373091944,0.06946757844393782,0.1461098974322253,0.20608595982438835,0.17481938865114435
AgSe.3,0.14407574496004716,0.10069664015044691,0.23611555550433244,0.09891225849108497,0.13844506232729908,0.31974508832305804,0.24232361376702882
AgSe.4,0.14890710420036063,0.09507107929494037,0.2270464574135993,0.10091434703159231,0.15226764884824656,0.27326339689740115,0.1951489694593019
AgSe.5,0.257418242624728,0.1250486736500616,0.13008254917039414,0.09640507012630205,0.26400380126308665,0.1959596037445216,0.32257682105949714
AgSe.6,0.15102069328058026,0.09502491700318982,0.14862752124001433,0.09520952631081471,0.1955316403167278,0.19111516758329888,0.21661563891917407
AgSe.7,0.11245891266363374,0.08575315892035242,0.13555657633805585,0.07059411195589195,0.15988456385881777,0.22101901304656532,0.1943438546525373
Cu2Se,0.17265117528950868,0.1358932868637891,0.09293169939550466,0.11425463210219838,0.32285318398278756,0.1956931940760771,0.24111424976505758
Cu2Se.1,0.27090210452180136,0.16531561364873354,0.11388283134925725,0.1168127064152051,0.41118438615059205,0.23174509893343517,0.3718207952225017
Cu2Se.2,0.2212776757424744,0.17180144916581896,0.11372166456420241,0.1559626123268183,0.2756557235219575,0.33255220756987586,0.38070051016738177
Cu2Se.3,0.3159991698061277,0.2065050970657,0.09793182691537201,0.13592305770242552,0.47776760105592175,0.21393094286685824,0.507607257993243
CuSe,0.11545532379964935,0.08159258695831699,0.13144950067270733,0.05632831496621252,0.1448947320074013,0.19061184767425218,0.20438525599335364
CuSe.1,0.13931034943300508,0.09174632187515487,0.11422055002801605,0.05865820992925436,0.1712488190383312,0.19255615985645225,0.253003610468328
CuSe.2,0.11373630962969264,0.08365831249741562,0.13245024583191514,0.05605078758290797,0.15265906177506458,0.21514363287633503,0.23371235899485412
CuSe.3,0.13732384131909714,0.12202090731180844,0.15074681616102573,0.06649345714889725,0.20845779630187422,0.27556824514395306,0.4508239186731237
CuSe.4,0.10825603531738526,0.08142106234417999,0.12719102983312272,0.056434834604671115,0.14630548234910493,0.18726265246276905,0.2113285697383726
CuSe.5,0.1125342887473848,0.07975270144867519,0.12837137029318396,0.05623393615032721,0.1437141344484903,0.18842057024816977,0.21561167063807557
Si,0.14545989480967111,0.11247657285582427,0.24287038903692978,0.09993321382527742,0.11617651841461356,0.17261301314119815,0.22187942018090717
Si.1,0.1757720868991401,0.11799915576016151,0.22022053040337386,0.1220018277701157,0.19250202485877072,0.13930098853102815,0.2237798022546762
Si.2,0.14437629278551417,0.11560142118905542,0.24745124710727107,0.10233351660507146,0.11259707272812927,0.17386050249074014,0.2433118433809696
Si.3,0.15359135990984682,0.10860542934186126,0.22834765839812193,0.09509051207730523,0.11666552869870707,0.16118001577819305,0.2500741901569192
Si.4,0.15840259458808956,0.1065918933694916,0.20230551394489477,0.09321380224936461,0.12309482784400938,0.15258287651337915,0.23621310749755983
Si.5,0.19823465369544377,0.13185044775509466,0.2217410863289156,0.13179307295980072,0.20988540007285703,0.1466067596222216,0.31108941647944094
Si.6,0.17542313749155278,0.11358768823456841,0.2124980511840175,0.11917056512895229,0.19931216122713702,0.1390584203380804,0.20729235039244917
Si.7,0.14892285147294732,0.1269532400244088,0.26188573735571946,0.10694211751481708,0.11246821531657458,0.19200205472631832,0.30436954632470986
Si.8,0.21419592006588203,0.20342056823000593,0.5203797772852911,0.20228738930988288,0.10914765464280744,0.5557130852773909,0.4686752607489151
Si.9,0.21439420764657985,0.20328289363833138,0.5195308818245891,0.20216728951543747,0.1091465925836793,0.5556857162488679,0.4684772113041259
Si.10,0.2141329497099439,0.2031358042847092,0.5155410070423179,0.20211483190973856,0.10914886398477751,0.5544218405044831,0.46792424595077337
Si.11,0.2590732747576967,0.1783097923273917,0.2483837398160158,0.12055577656027953,0.17875920579731563,0.5020316274342099,0.28647307206580314
Si.12,0.21440220631313067,0.2031691501714765,0.5204050289053309,0.2020855756402364,0.10907756915866836,0.5565974860242096,0.46850880160943437
Si.13,0.2141329497099439,0.2031358042847092,0.5155410070423179,0.20211483190973856,0.10914886398477751,0.5544218405044831,0.46792424595077337
Si.14,0.2141329497099439,0.2031358042847092,0.5155410070423179,0.20211483190973856,0.10914886398477751,0.5544218405044831,0.46792424595077337
Si.15,0.3788573119066245,0.23245840866876427,0.3728533586828406,0.19361054227029892,0.1754433363728283,0.8461936470190643,0.7066632527948212
Si.16,0.2143691430593763,0.1872951822838735,0.46842375877926334,0.18877450362586387,0.10493975242932488,0.5236553180891854,0.5047989230019664
Si.17,0.2141329497099439,0.2031358042847092,0.5155410070423179,0.20211483190973856,0.10914886398477751,0.5544218405044831,0.46792424595077337
Si.18,0.21450340830319586,0.18710941974726814,0.4682085293157313,0.18864045935978058,0.10488879594405692,0.5235348457064576,0.505199483875577
Si.19,0.1416528761959344,0.13027069230633873,0.1522756172767989,0.08528527910462447,0.1791843662532282,0.32788445160421664,0.3435864184850204
Si.20,0.21450954062637742,0.18724553376441214,0.46933207313253095,0.18871946247590288,0.10496275115200455,0.5227196702461347,0.505024415165576
Si.21,0.28828530955804094,0.19190302573461376,0.3851919253684668,0.19007029911485918,0.13240412123539472,0.6778799671380148,0.6153403692929944
Si.22,0.37908007030221463,0.23252617013488525,0.37480834529451534,0.19365224223143462,0.1754605320341595,0.8471561040595802,0.7073064485008788
Si.23,0.21432327985058586,0.20319509086502102,0.5195324284978,0.2020727208738694,0.10914029227903671,0.5555826203508282,0.46866125393547614
Si.24,0.38065602698721646,0.2324783716282459,0.3778208858376764,0.1934739454823151,0.17546134153008475,0.8483625295765806,0.7089805401130541
TiN,0.29025690441733415,0.2045194366737813,0.3282090500310271,0.24806530464028867,0.4541669716260895,0.27446774059290446,0.0975693663794783
TiN.1,0.2881885690837377,0.20298747885672658,0.32709350535197673,0.2490106086997598,0.45231623277502636,0.2749670124999851,0.09791939805026832
TiN.2,0.29225393827398377,0.2069782522391281,0.3274632234140658,0.24292418118986314,0.45476705789499233,0.25802698369743615,0.09829961845048164
TiN.3,0.29076306968295534,0.20660190212444016,0.3270570498465569,0.24486657542031712,0.4531209673589076,0.2646067799979164,0.09762571234926377
TiN.4,0.22998385233913438,0.19254221006242747,0.3161576299122546,0.19736530719919612,0.35489401768098316,0.2268404084493642,0.11058105378882424
TiN.5,0.2618093992051891,0.245565726726501,0.45124986674176476,0.25665702250084427,0.3655712656019536,0.2539849290593238,0.132394915225029
TiN.6,0.3372237074530786,0.26969568356870316,0.42308207793451813,0.34005138200458385,0.4872167387394823,0.3650410684775494,0.10887522057963482
TiN.7,0.3376510881593966,0.27136006412869407,0.4247516076258294,0.33788704407080083,0.48707082946714786,0.3644448369330437,0.109365417076163
TiN.8,0.41104564383162584,0.2698247851343184,0.33916989668569486,0.3186387358308907,0.523129365235948,0.344915693345019,0.13019104642810522
