Angle,Intensity
20.01250,180.0
20.03750,175.0
20.06250,164.0
20.08750,178.0
20.11250,163.0
20.13750,157.0
20.16250,157.0
20.18750,175.0
20.21250,175.0
20.23750,165.0
20.26250,166.0
20.28750,154.0
20.31250,165.0
20.33750,157.0
20.36250,159.0
20.38750,174.0
20.41250,161.0
20.43750,155.0
20.46250,172.0
20.48750,173.0
20.51250,174.0
20.53750,171.0
20.56250,154.0
20.58750,186.0
20.61250,173.0
20.63750,178.0
20.66250,198.0
20.68750,166.0
20.71250,164.0
20.73750,180.0
20.76250,158.0
20.78750,181.0
20.81250,157.0
20.83750,179.0
20.86250,161.0
20.88750,179.0
20.91250,184.0
20.93750,184.0
20.96250,175.0
20.98750,170.0
21.01250,182.0
21.03750,182.0
21.06250,164.0
21.08750,162.0
21.11250,183.0
21.13750,180.0
21.16250,185.0
21.18750,199.0
21.21250,177.0
21.23750,178.0
21.26250,194.0
21.28750,184.0
21.31250,170.0
21.33750,159.0
21.36250,175.0
21.38750,177.0
21.41250,179.0
21.43750,172.0
21.46250,180.0
21.48750,178.0
21.51250,191.0
21.53750,175.0
21.56250,182.0
21.58750,202.0
21.61250,194.0
21.63750,191.0
21.66250,171.0
21.68750,215.0
21.71250,192.0
21.73750,219.0
21.76250,192.0
21.78750,208.0
21.81250,195.0
21.83750,214.0
21.86250,204.0
21.88750,164.0
21.91250,192.0
21.93750,200.0
21.96250,197.0
21.98750,190.0
22.01250,205.0
22.03750,173.0
22.06250,203.0
22.08750,177.0
22.11250,231.0
22.13750,207.0
22.16250,205.0
22.18750,197.0
22.21250,194.0
22.23750,191.0
22.26250,198.0
22.28750,197.0
22.31250,198.0
22.33750,199.0
22.36250,189.0
22.38750,207.0
22.41250,198.0
22.43750,214.0
22.46250,217.0
22.48750,208.0
22.51250,197.0
22.53750,198.0
22.56250,204.0
22.58750,216.0
22.61250,213.0
22.63750,192.0
22.66250,227.0
22.68750,207.0
22.71250,223.0
22.73750,176.0
22.76250,207.0
22.78750,230.0
22.81250,203.0
22.83750,214.0
22.86250,184.0
22.88750,182.0
22.91250,204.0
22.93750,219.0
22.96250,226.0
22.98750,204.0
23.01250,209.0
23.03750,205.0
23.06250,217.0
23.08750,219.0
23.11250,190.0
23.13750,250.0
23.16250,203.0
23.18750,207.0
23.21250,207.0
23.23750,209.0
23.26250,192.0
23.28750,193.0
23.31250,229.0
23.33750,221.0
23.36250,227.0
23.38750,239.0
23.41250,246.0
23.43750,279.0
