2q (degree),Normalized Intensity (a.u)
12.6904,0
12.6954,0.05338
12.7004,0.05983
12.7054,0.03523
12.7104,0.01272
12.7154,0.01433
12.7204,0
12.7254,0.00815
12.7304,0.00922
12.7354,0.02511
12.7404,0.0176
12.7454,0.02726
12.7504,0.02681
12.7554,0.03165
12.7604,0.0232
12.7654,0.0433
12.7704,0.04056
12.7754,0.04179
12.7804,0
12.7854,0.01291
12.7904,0.00953
12.7954,0.01188
12.8004,0.00522
12.8054,0.0164
12.8104,0.00994
12.8154,0
12.8204,0.00259
12.8254,0.04635
12.8304,0.0417
12.8354,0.03871
12.8404,0.04429
12.8454,0.05211
12.8504,0.05526
12.8554,0.05659
12.8604,0.05903
12.8654,0.04935
12.8704,0.04642
12.8754,0.04577
12.8804,0.03466
12.8854,0.03405
12.8904,0.03225
12.8954,0.029
12.9004,0.0298
12.9054,0.03888
12.9104,0.04097
12.9154,0.04492
12.9204,0.04579
12.9254,0.05825
12.9304,0.05348
12.9354,0.0517
12.9404,0.05406
12.9454,0.05518
12.9504,0.05062
12.9554,0.06245
12.9604,0.07136
12.9654,0.07096
12.9704,0.06735
12.9754,0.06425
12.9804,0.04253
12.9854,0.04376
12.9904,0.04264
12.9954,0.03795
13.0004,0.03344
13.0054,0.02561
13.0104,0.02378
13.0154,0.02994
13.0204,0.0364
13.0254,0.06188
13.0304,0.05999
13.0354,0.06026
13.0404,0.0577
13.0454,0.05074
13.0504,0.04511
13.0554,0.04655
13.0604,0.04313
13.0654,0.04008
13.0704,0.03554
13.0754,0.03098
13.0804,0.01858
13.0854,0.02091
13.0904,0.02213
13.0954,0.02712
13.1004,0.02769
13.1054,0.03159
13.1104,0.03161
13.1154,0.03176
13.1204,0.03773
13.1254,0.04883
13.1304,0.04532
13.1354,0.04319
13.1404,0.0382
13.1454,0.03748
13.1504,0.0307
13.1554,0.02613
13.1604,0.02284
13.1654,0.0177
13.1704,0.01924
13.1754,0.01906
13.1804,0.00694
13.1854,0.00922
13.1904,0.00648
13.1954,0.00909
13.2004,0.01151
13.2054,0.01246
13.2104,0.01268
13.2154,0.0119
13.2204,0.0174
13.2254,0.03174
13.2304,0.03547
13.2354,0.03799
13.2404,0.04
13.2454,0.04667
13.2504,0.04589
13.2554,0.04975
13.2604,0.05045
13.2654,0.04684
13.2704,0.04949
13.2754,0.04365
13.2804,0.03787
13.2854,0.03444
13.2904,0.03374
13.2954,0.03834
13.3004,0.03437
13.3054,0.02748
13.3104,0.02325
13.3154,0.02052
13.3204,0.02448
13.3254,0.03111
13.3304,0.02961
13.3354,0.02423
13.3404,0.02558
13.3454,0.02748
13.3504,0.03055
13.3554,0.03373
13.3604,0.03117
13.3654,0.02587
13.3704,0.02695
13.3754,0.02715
13.3804,0.01806
13.3854,0.01476
13.3904,0.0161
13.3954,0.02439
13.4004,0.02844
13.4054,0.02515
13.4104,0.02064
13.4154,0.01592
13.4204,0.01657
13.4254,0.02601
13.4304,0.02657
13.4354,0.02348
13.4404,0.01576
13.4454,0.01271
13.4504,0.01842
13.4554,0.02482
13.4604,0.02559
13.4654,0.02498
13.4704,0.02772
13.4754,0.0268
13.4804,0.02143
13.4854,0.02338
13.4904,0.02288
13.4954,0.02191
13.5004,0.02281
13.5054,0.0222
13.5104,0.01881
13.5154,0.01668
13.5204,0.01683
13.5254,0.02245
13.5304,0.02422
13.5354,0.02718
13.5404,0.03
13.5454,0.02927
13.5504,0.02842
13.5554,0.03342
13.5604,0.02947
13.5654,0.02567
13.5704,0.02329
13.5754,0.02047
13.5804,0.0137
13.5854,0.01438
13.5904,0.01583
13.5954,0.02105
13.6004,0.01829
13.6054,0.01444
13.6104,0.01217
13.6154,0.01494
13.6204,0.01845
13.6254,0.02474
13.6304,0.0204
13.6354,0.02041
13.6404,0.01855
13.6454,0.02071
13.6504,0.02585
13.6554,0.02929
13.6604,0.031
13.6654,0.02845
13.6704,0.0274
13.6754,0.02726
13.6804,0.02162
13.6854,0.0194
13.6904,0.01849
13.6954,0.02141
13.7004,0.0227
13.7054,0.01629
