2q (degree),Normalized Intensity (a.u)
12.6904,0.11075
12.6954,0.11075
12.7004,0.11075
12.7054,0.11075
12.7104,0.11075
12.7154,0.11075
12.7204,0.11075
12.7254,0.11075
12.7304,0.11075
12.7354,0.11075
12.7404,0.11075
12.7454,0.11075
12.7504,0.11075
12.7554,0.11075
12.7604,0.11075
12.7654,0.11075
12.7704,0.11075
12.7754,0.11075
12.7804,0.11075
12.7854,0.11075
12.7904,0.11075
12.7954,0.11075
12.8004,0.11075
12.8054,0.11075
12.8104,0.11075
12.8154,0.11075
12.8204,0.11075
12.8254,0.11075
12.8304,0.11075
12.8354,0.11075
12.8404,0.11075
12.8454,0.11167
12.8504,0.11357
12.8554,0.10319
12.8604,0.11541
12.8654,0.11455
12.8704,0.12445
12.8754,0.14926
12.8804,0.12955
12.8854,0.11911
12.8904,0.11851
12.8954,0.08172
12.9004,0.04455
12.9054,0.13799
12.9104,0.13881
12.9154,0.15145
12.9204,0.13626
12.9254,0.09092
12.9304,0.12861
12.9354,0.11889
12.9404,0.12339
12.9454,0.1222
12.9504,0.12522
12.9554,0.14007
12.9604,0.12002
12.9654,0.14102
12.9704,0.13856
12.9754,0.12059
12.9804,0.10488
12.9854,0.12719
12.9904,0.1557
12.9954,0.13485
13.0004,0.04333
13.0054,0.14651
13.0104,0.13043
13.0154,0.13144
13.0204,0.15491
13.0254,0.13918
13.0304,0.13264
13.0354,0.12387
13.0404,0.11727
13.0454,0.11634
13.0504,0.14343
13.0554,0.12133
13.0604,0.09438
13.0654,0.09258
13.0704,0.09688
13.0754,0.1337
13.0804,0.12188
13.0854,0.11137
13.0904,0.10442
13.0954,0.10381
13.1004,0.09053
13.1054,0.12287
13.1104,0.13945
13.1154,0.12682
13.1204,0.11635
13.1254,0.11964
13.1304,0.12974
13.1354,0.13441
13.1404,0.1455
13.1454,0.14326
13.1504,0.13313
13.1554,0.11473
13.1604,0.10418
13.1654,0.12761
13.1704,0.13433
13.1754,0.12596
13.1804,0.12528
13.1854,0.12031
13.1904,0.11809
13.1954,0.11546
13.2004,0.0837
13.2054,0.11857
13.2104,0.12693
13.2154,0.13592
13.2204,0.15048
13.2254,0.15553
13.2304,0.12848
13.2354,0.11389
13.2404,0.12345
13.2454,0.11499
13.2504,0.10698
13.2554,0.11076
13.2604,0.12357
13.2654,0.14214
13.2704,0.14074
13.2754,0.12882
13.2804,0.14418
13.2854,0.12328
13.2904,0.138
13.2954,0.12459
13.3004,0.09083
13.3054,0.13351
13.3104,0.12073
13.3154,0.11025
13.3204,0.09731
13.3254,0.09577
13.3304,0.09511
13.3354,0.13076
13.3404,0.13964
13.3454,0.14312
13.3504,0.11681
13.3554,0.10453
13.3604,0.12009
13.3654,0.1358
13.3704,0.12679
13.3754,0.13358
13.3804,0.13267
13.3854,0.12258
13.3904,0.11889
13.3954,0.12232
13.4004,0.10426
13.4054,0.12626
13.4104,0.12987
13.4154,0.13349
13.4204,0.12857
13.4254,0.09124
13.4304,0.11079
13.4354,0.12196
13.4404,0.10721
13.4454,0.10535
13.4504,0.1229
13.4554,0.13266
13.4604,0.11424
13.4654,0.1089
13.4704,0.11157
13.4754,0.12444
13.4804,0.12487
13.4854,0.12438
13.4904,0.1329
13.4954,0.11894
13.5004,0.08856
13.5054,0.12073
13.5104,0.1288
13.5154,0.12278
13.5204,0.12512
13.5254,0.10465
13.5304,0.08906
13.5354,0.11633
13.5404,0.10773
13.5454,0.11841
13.5504,0.11264
13.5554,0.11431
13.5604,0.11917
13.5654,0.11943
13.5704,0.11459
13.5754,0.10799
13.5804,0.10747
13.5854,0.11732
13.5904,0.12724
13.5954,0.11741
13.6004,0.09829
13.6054,0.12164
13.6104,0.12684
13.6154,0.11102
13.6204,0.11447
13.6254,0.09582
13.6304,0.1032
13.6354,0.13206
13.6404,0.11927
13.6454,0.12549
13.6504,0.1299
13.6554,0.11914
13.6604,0.11432
13.6654,0.13255
13.6704,0.1205
13.6754,0.12174
13.6804,0.14487
13.6854,0.12928
13.6904,0.1221
13.6954,0.12508
13.7004,0.10722
13.7054,0.13076
13.7104,0.12687
13.7154,0.12832
13.7204,0.11973
13.7254,0.10422
13.7304,0.09721
13.7354,0.10967
13.7404,0.10359
13.7454,0.11175
13.7504,0.12161
13.7554,0.13145
13.7604,0.13063
13.7654,0.13165
13.7704,0.1199
13.7754,0.12104
13.7804,0.11594
13.7854,0.12398
13.7904,0.11928
13.7954,0.11264
13.8004,0.10119
13.8054,0.12491
13.8104,0.1145
13.8154,0.11348
13.8204,0.11929
13.8254,0.10159
13.8304,0.0948
13.8354,0.12127
13.8404,0.12651
13.8454,0.11756
13.8504,0.11833
13.8554,0.12308
13.8604,0.1212
13.8654,0.12702
13.8704,0.13693
13.8754,0.12375
13.8804,0.10686
13.8854,0.12022
13.8904,0.12034
