Angle,Intensity
20.000, 5
20.020, 6
20.040, 7
20.060, 5
20.080, 6
20.100, 8
20.120, 9
20.140, 5
20.160, 4
20.180, 6
20.200, 3
20.220, 3
20.240, 3
20.260, 6
20.280, 8
20.300, 3
20.320, 8
20.340, 4
20.360, 7
20.380, 9
20.400, 1
20.420, 4
20.440, 3
20.460, 6
20.480, 7
20.500, 3
20.520, 6
20.540, 8
20.560, 3
20.580, 3
20.600, 2
20.620, 6
20.640, 7
20.660, 3
20.680, 3
20.700, 6
20.720, 5
20.740, 5
20.760, 8
20.780, 2
20.800, 4
20.820, 7
20.840, 6
20.860, 2
20.880, 4
20.900, 8
20.920, 9
20.940, 5
20.960, 9
20.980, 4
21.000, 6
21.020, 3
21.040, 5
21.060, 2
21.080, 3
21.100, 8
21.120, 4
21.140, 4
21.160, 4
21.180, 5
21.200, 8
21.220, 2
21.240, 4
21.260, 8
21.280, 6
21.300, 6
21.320, 3
21.340, 5
21.360, 9
21.380, 5
21.400, 4
21.420, 4
21.440, 7
21.460, 6
21.480, 3
21.500, 4
21.520, 7
21.540, 5
21.560, 2
21.580, 4
21.600, 6
21.620, 4
21.640, 6
21.660, 4
21.680, 2
21.700, 3
21.720, 6
21.740, 5
21.760, 9
21.780, 4
21.800, 3
21.820, 3
21.840, 7
21.860, 6
21.880, 4
21.900, 5
21.920,13
21.940, 6
21.960, 4
21.980, 3
22.000, 6
22.020, 5
22.040, 5
22.060, 6
22.080, 4
22.100, 3
22.120, 6
22.140, 8
22.160, 9
22.180, 3
22.200, 5
22.220, 7
22.240, 7
22.260, 3
22.280, 0
22.300, 2
22.320,11
22.340, 7
22.360, 5
22.380, 5
22.400, 3
22.420,10
22.440, 8
22.460, 4
22.480, 5
22.500, 6
22.520, 5
22.540,10
22.560, 5
22.580, 3
22.600, 2
22.620, 9
22.640, 5
22.660, 4
22.680, 8
22.700, 3
22.720, 6
22.740, 3
22.760, 5
22.780, 6
22.800, 7
22.820, 3
22.840, 5
22.860, 8
22.880, 8
22.900, 5
22.920, 5
22.940, 6
22.960, 3
22.980, 7
23.000, 5
23.020, 8
23.040, 4
23.060, 3
23.080, 3
23.100, 6
23.120, 9
23.140, 7
23.160, 8
23.180, 5
23.200, 7
23.220, 3
23.240, 5
23.260, 5
23.280, 3
23.300, 7
23.320, 7
23.340, 4
23.360, 6
23.380, 3
23.400, 7
23.420, 7
23.440, 9
23.460, 5
23.480, 4
23.500, 4
23.520, 3
23.540, 7
23.560, 8
23.580, 6
23.600, 5
23.620, 3
23.640, 9
23.660, 4
23.680, 5
23.700, 7
23.720, 3
23.740, 4
23.760, 1
23.780, 7
23.800, 8
23.820, 3
23.840, 8
23.860, 4
23.880, 6
23.900, 4
23.920, 3
23.940, 3
23.960, 5
23.980, 6
24.000, 3
24.020, 7
24.040, 4
24.060, 5
24.080, 4
24.100, 4
24.120, 6
24.140, 6
24.160, 8
24.180, 5
24.200, 9
24.220, 5
24.240, 4
24.260, 3
24.280, 7
24.300, 7
24.320,10
24.340, 4
24.360,10
24.380, 7
24.400, 4
24.420, 4
24.440, 5
24.460, 7
24.480,11
24.500, 5
24.520, 6
24.540, 8
24.560, 7
24.580, 3
24.600, 3
24.620, 7
24.640, 8
24.660, 7
24.680, 4
24.700, 7
24.720, 9
24.740, 9
24.760, 6
24.780,13
24.800, 8
24.820,16
24.840, 5
24.860,10
24.880, 8
24.900, 9
24.920, 3
24.940, 8
24.960, 5
24.980, 9
25.000, 4
25.020, 4
25.040,12
25.060, 4
25.080, 4
25.100, 7
25.120, 1
25.140,11
25.160, 6
25.180, 6
25.200,10
25.220, 3
25.240, 2
25.260, 5
25.280,11
25.300,10
25.320, 2
25.340, 7
25.360, 6
25.380, 3
25.400, 8
25.420, 9
25.440,10
25.460, 5
25.480, 7
25.500, 5
25.520, 9
25.540, 3
25.560, 9
25.580, 9
25.600, 3
25.620,12
25.640, 7
25.660, 5
25.680, 6
25.700,10
25.720, 5
25.740, 9
25.760, 4
25.780, 3
25.800, 6
25.820,11
25.840, 5
25.860, 6
25.880, 6
25.900, 8
25.920, 5
25.940, 7
25.960, 8
25.980, 7
26.000, 8
26.020, 9
26.040, 6
26.060, 5
26.080, 9
26.100,11
26.120, 5
26.140, 3
26.160, 7
26.180, 2
26.200, 6
26.220, 2
26.240, 7
26.260, 9
26.280, 9
26.300,11
26.320, 9
26.340, 9
26.360, 4
26.380, 8
26.400, 7
26.420, 7
26.440, 8
26.460, 5
26.480,10
26.500, 7
26.520, 2
26.540, 7
26.560, 6
26.580, 7
26.600, 7
26.620, 6
26.640, 9
26.660,12
26.680,11
26.700, 4
26.720, 8
26.740, 3
26.760, 8
26.780,11
26.800, 9
26.820, 6
26.840,10
26.860, 6
26.880,10
26.900,14
26.920, 9
26.940,10
26.960,10
26.980, 9
27.000,11
27.020,11
27.040,10
27.060,13
27.080,12
27.100,11
27.120, 8
27.140, 6
27.160, 6
27.180,10
27.200, 7
27.220, 5
27.240,10
27.260, 7
27.280, 8
27.300, 5
27.320, 4
27.340,11
27.360,10
27.380, 5
27.400, 8
27.420, 7
27.440, 5
27.460, 2
27.480,10
27.500,10
27.520, 9
27.540,16
27.560, 7
27.580, 9
27.600, 4
27.620,13
27.640,11
27.660, 7
27.680, 8
27.700, 6
27.720,10
27.740, 7
27.760,11
27.780,11
27.800, 7
27.820, 9
27.840, 9
27.860, 5
27.880, 8
27.900, 6
27.920, 7
27.940, 7
27.960, 7
27.980, 7
28.000, 4
28.020, 6
28.040, 8
28.060,11
28.080, 9
28.100, 7
28.120,10
28.140,16
28.160, 5
28.180, 2
28.200, 6
28.220, 8
28.240,12
28.260, 7
28.280, 8
28.300, 4
28.320, 7
28.340, 6
28.360, 9
28.380, 9
28.400, 8
28.420, 8
28.440, 4
28.460, 6
28.480, 5
28.500,13
28.520, 7
28.540, 9
28.560, 7
28.580, 8
28.600, 9
28.620, 9
28.640, 6
28.660, 3
28.680, 9
28.700, 7
28.720, 9
28.740, 9
28.760, 6
28.780, 5
28.800, 9
28.820, 6
28.840,11
28.860, 4
28.880, 4
28.900, 7
28.920, 6
28.940, 7
28.960, 7
28.980, 8
29.000, 8
29.020,11
29.040, 1
29.060, 6
29.080,13
