Angle,Intensity
20.000, 2
20.020, 3
20.040, 1
20.060, 3
20.080, 1
20.100, 3
20.120, 5
20.140, 2
20.160, 1
20.180, 2
20.200, 4
20.220, 3
20.240, 4
20.260, 2
20.280, 1
20.300, 2
20.320, 5
20.340, 1
20.360, 3
20.380, 2
20.400, 2
20.420, 2
20.440, 3
20.460, 3
20.480, 0
20.500, 2
20.520, 3
20.540, 1
20.560, 1
20.580, 1
20.600, 3
20.620, 4
20.640, 2
20.660, 5
20.680, 1
20.700, 0
20.720, 2
20.740, 2
20.760, 6
20.780, 0
20.800, 2
20.820, 3
20.840, 2
20.860, 0
20.880, 2
20.900, 6
20.920, 4
20.940, 0
20.960, 3
20.980, 6
21.000, 3
21.020, 3
21.040, 0
21.060, 1
21.080, 1
21.100, 2
21.120, 2
21.140, 1
21.160, 2
21.180, 6
21.200, 1
21.220, 1
21.240, 2
21.260, 2
21.280, 5
21.300, 2
21.320, 4
21.340, 2
21.360, 1
21.380, 4
21.400, 6
21.420, 0
21.440, 2
21.460, 4
21.480, 2
21.500, 2
21.520, 2
21.540, 4
21.560, 1
21.580, 2
21.600, 1
21.620, 5
21.640, 1
21.660, 1
21.680, 3
21.700, 1
21.720, 3
21.740, 0
21.760, 0
21.780, 2
21.800, 1
21.820, 2
21.840, 2
21.860, 3
21.880, 2
21.900, 3
21.920, 5
21.940, 3
21.960, 3
21.980, 2
22.000, 5
22.020, 3
22.040, 2
22.060, 2
22.080, 1
22.100, 3
22.120, 2
22.140, 3
22.160, 0
22.180, 5
22.200, 1
22.220, 1
22.240, 1
22.260, 0
22.280, 1
22.300, 3
22.320, 0
22.340, 3
22.360, 0
22.380, 0
22.400, 1
22.420, 1
22.440, 3
22.460, 2
22.480, 1
22.500, 1
22.520, 3
22.540, 2
22.560, 4
22.580, 1
22.600, 5
22.620, 1
22.640, 3
22.660, 0
22.680, 4
22.700, 2
22.720, 5
22.740, 0
22.760, 2
22.780, 0
22.800, 6
22.820, 2
22.840, 4
22.860, 1
22.880, 0
22.900, 1
22.920, 6
22.940, 3
22.960, 1
22.980, 3
23.000, 6
23.020, 5
23.040, 2
23.060, 2
23.080, 4
23.100, 1
23.120, 4
23.140, 3
23.160, 2
23.180, 2
23.200, 4
23.220, 2
23.240, 2
23.260, 3
23.280, 6
23.300, 2
23.320, 2
23.340, 0
23.360, 4
23.380, 2
23.400, 1
23.420, 1
23.440, 1
23.460, 3
23.480, 3
23.500, 1
23.520, 2
23.540, 3
23.560, 3
23.580, 1
23.600, 3
23.620, 0
23.640, 3
23.660, 3
23.680, 4
23.700, 2
23.720, 4
23.740, 2
23.760, 2
23.780, 5
23.800, 4
23.820, 5
23.840, 2
23.860, 2
23.880, 1
23.900, 1
23.920, 0
23.940, 1
23.960, 5
23.980, 6
24.000, 4
24.020, 3
24.040, 1
24.060, 1
24.080, 2
24.100, 4
24.120, 1
24.140, 4
24.160, 2
24.180, 0
24.200, 3
24.220, 3
24.240, 1
24.260, 3
24.280, 2
24.300, 2
24.320, 2
24.340, 3
24.360, 0
24.380, 0
24.400, 4
24.420, 2
24.440, 3
24.460, 3
24.480, 6
24.500, 2
24.520, 1
24.540, 4
24.560, 1
24.580, 1
24.600, 2
24.620, 5
24.640, 4
24.660, 4
24.680, 4
24.700, 4
24.720, 6
24.740, 7
24.760, 3
24.780, 2
24.800, 3
24.820, 2
24.840, 0
24.860, 2
24.880, 4
24.900, 7
24.920, 5
24.940, 4
24.960, 1
24.980, 5
25.000, 1
25.020, 5
25.040, 2
25.060, 2
25.080, 5
25.100, 4
25.120, 6
25.140, 2
25.160, 4
25.180, 9
25.200, 3
25.220, 5
25.240, 3
25.260, 4
25.280, 7
25.300, 1
25.320, 8
25.340,10
25.360, 6
25.380, 7
25.400, 9
25.420, 3
25.440, 7
25.460, 9
25.480, 4
25.500, 3
25.520, 6
25.540, 9
25.560, 4
25.580, 4
25.600, 2
25.620, 5
25.640, 8
25.660, 7
25.680, 5
25.700, 6
25.720, 2
25.740,10
25.760, 7
25.780, 5
25.800, 6
25.820, 5
25.840, 8
25.860,12
25.880,10
25.900, 7
25.920, 4
25.940, 8
25.960, 8
25.980,12
26.000, 9
26.020, 5
26.040, 7
26.060, 9
26.080,16
26.100,10
26.120,11
26.140,10
26.160,13
26.180,16
26.200, 8
26.220,17
26.240,19
26.260,16
26.280,11
26.300,23
26.320,19
26.340,17
26.360,24
26.380,20
26.400,23
26.420,18
26.440,25
26.460,21
26.480,25
26.500,19
26.520,35
26.540,28
26.560,41
26.580,29
26.600,31
26.620,26
26.640,26
26.660,34
26.680,32
26.700,33
26.720,28
26.740,31
26.760,18
26.780,25
26.800,21
26.820,24
26.840,30
26.860,15
26.880,22
26.900,17
26.920,12
26.940,11
26.960,14
26.980,17
27.000,11
27.020,14
27.040, 7
27.060,12
27.080,11
27.100,12
27.120,14
27.140,11
27.160, 5
27.180, 6
27.200,14
27.220,14
27.240, 9
27.260, 7
27.280,11
27.300, 9
27.320, 8
27.340, 7
27.360, 9
27.380, 9
27.400, 6
27.420, 9
27.440,11
27.460, 5
27.480,10
27.500, 9
27.520, 9
27.540, 7
27.560, 6
27.580, 8
27.600,11
27.620, 7
27.640, 3
27.660, 6
27.680, 5
27.700, 6
27.720, 4
27.740,11
27.760, 7
27.780, 6
27.800, 9
27.820,11
27.840, 5
27.860, 3
27.880, 5
27.900, 8
27.920, 3
27.940, 7
27.960, 3
27.980, 8
28.000, 8
28.020, 4
28.040, 7
28.060, 2
28.080, 5
28.100, 5
28.120, 4
28.140, 1
28.160, 3
28.180, 7
28.200, 2
28.220, 2
28.240, 1
28.260, 2
28.280, 3
28.300, 5
28.320, 4
28.340, 5
28.360, 3
28.380, 6
28.400, 7
28.420, 2
28.440, 3
28.460, 0
28.480, 4
28.500, 8
28.520, 3
28.540, 3
28.560, 2
28.580, 3
28.600, 3
28.620, 4
28.640, 5
28.660, 9
28.680, 4
28.700, 3
28.720, 2
28.740, 3
28.760, 5
28.780, 6
28.800, 2
28.820, 4
28.840, 5
28.860, 2
28.880, 4
28.900, 4
28.920, 1
28.940, 6
28.960, 2
28.980, 0
29.000, 3
29.020, 3
29.040, 7
29.060, 4
29.080, 7
29.100, 3
29.120, 5
29.140, 3
29.160, 1
29.180, 8
29.200, 7
29.220, 4
29.240, 2
29.260, 4
29.280, 0
29.300, 2
29.320, 1
29.340, 3
29.360, 1
29.380, 6
29.400, 5
29.420, 7
29.440, 5
29.460, 5
29.480, 6
29.500, 4
29.520, 2
29.540, 1
29.560, 7
29.580, 3
29.600, 2
29.620, 5
29.640, 1
29.660, 5
29.680, 2
29.700, 5
29.720, 7
29.740, 3
29.760, 1
29.780, 5
29.800, 3
29.820, 3
29.840, 6
29.860, 3
29.880, 2
29.900, 3
29.920, 5
29.940, 3
29.960, 2
29.980, 2
30.000, 4
30.020, 2
30.040, 2
30.060, 3
30.080, 4
30.100, 2
30.120, 3
30.140, 1
30.160, 2
30.180, 3
30.200, 3
30.220, 1
30.240, 4
30.260, 6
30.280, 1
30.300, 5
30.320, 3
30.340, 4
30.360, 0
30.380, 1
30.400, 2
30.420, 5
30.440, 6
30.460, 3
30.480, 1
30.500, 5
30.520, 2
30.540, 4
30.560, 4
30.580, 4
30.600, 5
30.620, 2
30.640, 3
30.660, 2
30.680, 2
30.700, 0
30.720, 5
30.740, 1
30.760, 3
30.780, 0
30.800, 3
30.820, 2
30.840, 2
30.860, 7
30.880, 6
30.900, 1
30.920, 4
30.940, 8
30.960, 3
30.980, 2
31.000, 3
31.020, 2
31.040, 1
31.060, 4
31.080, 1
31.100, 0
31.120, 1
31.140, 1
31.160, 5
31.180, 2
31.200, 4
31.220, 2
31.240, 3
31.260, 2
31.280, 5
31.300, 1
31.320, 1
31.340, 2
31.360, 1
31.380, 1
31.400, 5
31.420, 2
31.440, 4
31.460, 1
31.480, 0
31.500, 3
31.520, 3
31.540, 3
31.560, 1
31.580, 0
31.600, 0
31.620, 0
31.640, 2
31.660, 3
31.680, 5
31.700, 2
31.720, 3
31.740, 1
31.760, 2
31.780, 1
31.800, 1
31.820, 2
31.840, 4
31.860, 3
31.880, 2
31.900, 6
31.920, 4
31.940, 6
31.960, 4
31.980, 2
32.000, 2
32.020, 2
32.040, 3
32.060, 1
32.080, 5
32.100, 0
32.120, 0
32.140, 1
32.160, 1
32.180, 1
32.200, 1
32.220, 4
32.240, 3
32.260, 1
32.280, 1
32.300, 1
32.320, 1
32.340, 2
32.360, 2
32.380, 2
32.400, 1
32.420, 1
32.440, 1
32.460, 5
32.480, 1
32.500, 0
32.520, 2
32.540, 3
32.560, 1
32.580, 3
32.600, 2
32.620, 1
32.640, 2
32.660, 0
32.680, 0
32.700, 2
32.720, 3
32.740, 1
32.760, 6
32.780, 2
32.800, 1
32.820, 1
32.840, 1
32.860, 2
32.880, 3
32.900, 1
32.920, 4
32.940, 1
32.960, 0
32.980, 1
33.000, 2
33.020, 3
33.040, 6
33.060, 4
33.080, 1
33.100, 2
33.120, 0
33.140, 3
33.160, 0
33.180, 0
33.200, 2
33.220, 1
33.240, 2
33.260, 2
33.280, 3
33.300, 1
33.320, 4
33.340, 0
33.360, 1
33.380, 0
33.400, 4
33.420, 1
33.440, 0
33.460, 0
33.480, 2
33.500, 1
33.520, 4
33.540, 1
33.560, 4
33.580, 3
33.600, 0
33.620, 2
33.640, 0
33.660, 2
33.680, 1
33.700, 2
33.720, 0
33.740, 4
33.760, 1
33.780, 0
33.800, 5
33.820, 1
33.840, 3
33.860, 6
33.880, 1
33.900, 2
33.920, 0
33.940, 2
33.960, 1
33.980, 1
34.000, 3
34.020, 3
34.040, 2
34.060, 2
34.080, 5
34.100, 1
34.120, 3
34.140, 1
34.160, 1
34.180, 3
34.200, 5
34.220, 1
34.240, 0
34.260, 8
34.280, 2
34.300, 2
34.320, 2
34.340, 4
34.360, 4
34.380, 2
34.400, 3
34.420, 3
34.440, 2
34.460, 1
34.480, 2
34.500, 2
34.520, 3
34.540, 3
34.560, 3
34.580, 0
34.600, 1
34.620, 4
34.640, 2
34.660, 0
34.680, 0
34.700, 1
34.720, 1
34.740, 1
34.760, 3
34.780, 2
34.800, 2
34.820, 3
34.840, 0
34.860, 2
34.880, 0
34.900, 1
34.920, 4
34.940, 2
34.960, 2
34.980, 5
35.000, 1
35.020, 4
35.040, 4
35.060, 0
35.080, 2
35.100, 0
35.120, 1
35.140, 1
35.160, 2
35.180, 1
35.200, 2
35.220, 2
35.240, 4
35.260, 4
35.280, 1
35.300, 0
