Angle,Intensity
20.000, 0
20.020, 3
20.040, 2
20.060, 4
20.080, 6
20.100, 3
20.120, 4
20.140, 8
20.160, 2
20.180, 6
20.200, 2
20.220, 1
20.240, 6
20.260, 3
20.280, 2
20.300, 1
20.320, 2
20.340, 1
20.360, 3
20.380, 3
20.400, 5
20.420, 0
20.440, 6
20.460, 1
20.480, 1
20.500, 6
20.520, 0
20.540, 0
20.560, 2
20.580, 3
20.600, 5
20.620, 2
20.640, 1
20.660, 0
20.680, 2
20.700, 3
20.720, 4
20.740, 2
20.760, 1
20.780, 3
20.800, 3
20.820, 0
20.840, 2
20.860, 2
20.880, 2
20.900, 2
20.920, 3
20.940, 4
20.960, 4
20.980, 1
21.000, 2
21.020, 1
21.040, 4
21.060, 2
21.080, 2
21.100, 5
21.120, 6
21.140, 3
21.160, 8
21.180, 8
21.200, 4
21.220, 1
21.240, 1
21.260, 2
21.280, 3
21.300, 4
21.320, 2
21.340, 2
21.360, 4
21.380, 2
21.400, 1
21.420, 1
21.440, 3
21.460, 2
21.480, 2
21.500, 1
21.520, 4
21.540, 1
21.560, 3
21.580, 2
21.600, 6
21.620, 6
21.640, 2
21.660, 2
21.680, 5
21.700, 2
21.720, 0
21.740, 6
21.760, 1
21.780, 3
21.800, 3
21.820, 3
21.840, 1
21.860, 2
21.880, 8
21.900, 4
21.920, 2
21.940, 2
21.960, 1
21.980, 3
22.000, 0
22.020, 0
22.040, 3
22.060, 1
22.080, 1
22.100, 0
22.120, 0
22.140, 3
22.160, 1
22.180, 1
22.200, 5
22.220, 3
22.240, 6
22.260, 3
22.280, 3
22.300, 2
22.320, 2
22.340, 3
22.360, 2
22.380, 7
22.400, 4
22.420, 5
22.440, 1
22.460, 2
22.480, 5
22.500, 3
22.520, 2
22.540, 3
22.560, 2
22.580, 2
22.600, 2
22.620, 3
22.640, 2
22.660, 2
22.680, 2
22.700, 2
22.720, 1
22.740, 1
22.760, 2
22.780, 2
22.800, 3
22.820, 2
22.840, 0
22.860, 4
22.880, 6
22.900, 2
22.920, 3
22.940, 4
22.960, 1
22.980, 2
23.000, 1
23.020, 2
23.040, 2
23.060, 5
23.080, 1
23.100, 5
23.120, 2
23.140, 4
23.160, 4
23.180, 1
23.200, 1
23.220, 2
23.240, 2
23.260, 2
23.280, 4
23.300, 4
23.320, 4
23.340, 5
23.360, 1
23.380, 1
23.400, 2
23.420, 3
23.440, 1
23.460, 4
23.480, 2
23.500, 1
23.520, 2
23.540, 1
23.560, 4
23.580, 3
23.600, 3
23.620, 5
23.640, 6
23.660, 1
23.680, 4
23.700, 3
23.720, 6
23.740, 6
23.760, 1
23.780, 3
23.800, 1
23.820, 1
23.840, 5
23.860, 4
23.880, 2
23.900, 3
23.920, 5
23.940, 2
23.960, 6
23.980, 5
24.000, 1
24.020, 2
24.040, 2
24.060, 2
24.080, 3
24.100, 0
24.120, 5
24.140, 2
24.160, 4
24.180, 0
24.200, 2
24.220, 2
24.240, 4
24.260, 2
24.280, 7
24.300, 1
24.320, 1
24.340, 2
24.360, 5
24.380, 2
24.400, 2
24.420, 2
24.440, 6
24.460, 4
24.480, 1
24.500, 3
24.520, 2
24.540, 2
24.560, 2
24.580, 4
24.600, 1
24.620, 4
24.640, 3
24.660, 2
24.680, 8
24.700, 2
24.720, 3
24.740, 3
24.760, 5
24.780, 4
24.800, 7
24.820, 1
24.840, 2
24.860, 4
24.880, 4
24.900, 1
24.920, 6
24.940, 4
24.960, 4
24.980, 2
25.000, 5
25.020, 7
25.040, 3
25.060, 2
25.080, 6
25.100, 4
25.120, 3
25.140, 2
25.160, 5
25.180, 4
25.200, 1
25.220, 1
25.240, 4
25.260, 6
25.280, 4
25.300, 2
25.320, 6
25.340, 1
25.360, 4
25.380, 4
25.400, 5
25.420, 4
25.440, 2
25.460, 4
25.480, 6
25.500, 2
25.520, 5
25.540, 6
25.560, 3
25.580, 7
25.600, 5
25.620, 6
25.640, 3
25.660, 3
25.680, 4
25.700, 6
25.720, 4
25.740, 5
25.760, 4
25.780, 7
25.800, 3
25.820, 7
25.840, 7
25.860, 5
25.880, 4
25.900, 3
25.920, 3
25.940, 3
25.960, 5
25.980, 3
26.000, 3
26.020, 9
26.040, 7
26.060, 2
26.080, 8
26.100, 4
26.120,14
26.140, 7
26.160, 7
26.180, 3
26.200, 8
26.220, 9
26.240, 5
26.260,11
26.280, 9
26.300,11
26.320, 8
26.340, 5
26.360, 9
26.380, 8
26.400, 7
26.420,13
26.440,11
26.460, 6
26.480, 9
26.500,10
26.520,16
26.540,15
26.560,11
26.580,22
26.600,14
26.620,19
26.640,21
26.660,17
26.680,14
26.700,19
26.720,15
26.740,11
26.760,19
26.780,32
26.800,16
26.820,25
26.840,18
26.860,22
26.880,25
26.900,31
26.920,26
26.940,17
26.960,17
26.980,24
27.000,27
27.020,29
27.040,17
27.060,17
27.080,16
27.100,11
27.120,20
27.140,17
27.160,12
27.180,17
27.200, 8
27.220,18
27.240,13
27.260,14
27.280,18
27.300,12
27.320, 8
27.340,10
27.360, 8
27.380, 6
27.400,10
27.420, 9
27.440, 6
27.460,11
27.480,11
27.500, 8
27.520, 4
27.540,13
27.560, 8
27.580,12
27.600, 5
27.620, 8
27.640, 5
27.660, 6
27.680, 8
27.700, 7
27.720, 6
27.740, 7
27.760, 4
27.780, 7
27.800, 5
27.820, 6
27.840, 4
27.860, 6
27.880, 5
27.900,10
27.920, 8
27.940, 5
27.960, 9
27.980, 2
28.000, 6
28.020, 5
28.040,10
28.060, 3
28.080, 6
28.100, 5
28.120, 3
28.140, 4
28.160, 5
28.180, 4
28.200, 1
28.220, 6
28.240, 6
28.260, 3
28.280, 4
28.300, 6
28.320, 3
28.340, 4
28.360, 2
28.380, 1
28.400, 5
28.420, 4
28.440, 5
28.460, 5
28.480, 5
28.500, 1
28.520, 2
28.540, 4
28.560, 5
28.580, 4
28.600, 4
28.620, 9
28.640, 5
28.660, 4
28.680, 4
28.700, 5
28.720, 6
28.740, 6
28.760, 2
28.780, 5
28.800, 4
28.820, 5
28.840, 5
28.860, 4
28.880, 1
28.900, 5
28.920, 3
28.940, 1
28.960, 6
28.980, 3
29.000, 5
29.020, 6
29.040, 3
29.060, 3
29.080, 6
29.100, 3
29.120, 1
29.140, 4
29.160, 4
29.180, 5
29.200, 7
29.220, 6
29.240, 4
29.260, 5
29.280,10
29.300, 3
29.320, 5
29.340, 4
29.360, 5
29.380, 4
29.400, 6
29.420, 5
29.440, 5
29.460, 4
29.480, 3
29.500, 3
29.520, 4
29.540, 3
