Angle,Intensity
20.000, 6
20.020, 2
20.040, 4
20.060, 2
20.080, 2
20.100, 4
20.120, 4
20.140, 4
20.160, 3
20.180, 8
20.200, 1
20.220, 0
20.240, 3
20.260, 1
20.280, 3
20.300, 5
20.320, 2
20.340, 2
20.360, 2
20.380, 5
20.400, 0
20.420, 5
20.440, 1
20.460, 5
20.480, 4
20.500, 4
20.520, 1
20.540, 1
20.560, 3
20.580, 5
20.600, 3
20.620, 2
20.640, 6
20.660, 4
20.680, 2
20.700, 3
20.720, 4
20.740, 5
20.760, 6
20.780, 4
20.800, 6
20.820, 3
20.840, 2
20.860, 2
20.880, 1
20.900, 4
20.920, 3
20.940, 1
20.960, 1
20.980, 3
21.000, 7
21.020, 5
21.040, 0
21.060, 9
21.080, 5
21.100, 5
21.120, 3
21.140, 3
21.160, 6
21.180, 3
21.200, 3
21.220, 3
21.240, 3
21.260, 1
21.280, 3
21.300, 2
21.320, 4
21.340, 3
21.360, 5
21.380, 2
21.400, 2
21.420, 4
21.440, 1
21.460, 1
21.480, 6
21.500, 0
21.520, 4
21.540, 6
21.560, 5
21.580, 1
21.600, 3
21.620, 4
21.640, 2
21.660, 0
21.680, 1
21.700, 3
21.720, 4
21.740, 1
21.760, 4
21.780, 2
21.800, 1
21.820, 3
21.840, 2
21.860, 2
21.880, 6
21.900, 1
21.920, 4
21.940, 3
21.960, 4
21.980, 4
22.000, 0
22.020, 1
22.040, 2
22.060, 3
22.080, 2
22.100, 2
22.120, 5
22.140, 6
22.160, 3
22.180, 1
22.200, 3
22.220, 3
22.240, 1
22.260, 0
22.280, 5
22.300, 3
22.320, 2
22.340, 3
22.360, 1
22.380, 5
22.400, 4
22.420, 4
22.440, 5
22.460, 2
22.480, 3
22.500, 0
22.520, 2
22.540, 4
22.560, 3
22.580, 4
22.600, 3
22.620, 1
22.640, 2
22.660, 3
22.680, 4
22.700, 2
22.720, 1
22.740, 2
22.760, 1
22.780, 2
22.800, 2
22.820, 1
22.840, 3
22.860, 3
22.880, 1
22.900, 1
22.920, 2
22.940, 2
22.960, 3
22.980, 3
23.000, 3
23.020, 1
23.040, 4
23.060, 3
23.080, 3
23.100, 4
23.120, 2
23.140, 2
23.160, 2
23.180, 0
23.200, 2
23.220, 4
23.240, 4
23.260, 1
23.280, 2
23.300, 4
23.320, 2
23.340, 5
23.360, 1
23.380, 2
23.400, 1
23.420, 4
23.440, 5
23.460, 1
23.480, 5
23.500, 3
23.520, 2
23.540, 2
23.560, 1
23.580, 3
