Angle,Intensity
20.000,11
20.020,12
20.040,12
20.060, 7
20.080, 9
20.100, 5
20.120, 6
20.140,13
20.160, 8
20.180, 9
20.200, 5
20.220,12
20.240,11
20.260, 7
20.280,11
20.300, 9
20.320, 6
20.340,12
20.360,10
20.380, 9
20.400,10
20.420,13
20.440,14
20.460,12
20.480, 8
20.500, 8
20.520, 3
20.540, 9
20.560,10
20.580,10
20.600, 6
20.620, 7
20.640, 6
20.660,13
20.680, 7
20.700, 7
20.720,15
20.740, 9
20.760, 5
20.780, 6
20.800,12
20.820,10
20.840, 8
20.860, 9
20.880, 9
20.900,16
20.920,15
20.940,15
20.960,11
20.980, 3
21.000,13
21.020,10
21.040,14
21.060,11
21.080,13
21.100, 8
21.120, 9
21.140,15
21.160, 7
21.180,11
21.200,10
21.220, 6
21.240,10
21.260,10
21.280, 7
21.300,10
21.320,10
21.340,10
21.360,14
21.380, 8
21.400,12
21.420,19
21.440, 9
21.460,11
21.480,11
21.500,16
21.520, 7
21.540, 7
21.560, 5
21.580, 6
21.600,10
21.620, 8
21.640, 7
21.660, 7
21.680,16
21.700, 9
21.720,13
21.740,10
21.760,11
21.780, 7
21.800,15
21.820,18
21.840, 9
21.860, 8
21.880, 6
21.900,12
21.920, 8
21.940, 8
21.960,11
21.980,15
22.000,13
22.020,10
22.040, 6
22.060, 9
22.080,10
22.100,11
22.120, 4
22.140,14
22.160,12
22.180,11
22.200,10
22.220, 8
22.240, 7
22.260,15
22.280, 9
22.300,11
22.320, 8
22.340,13
22.360,12
22.380,11
22.400, 6
22.420, 8
22.440,12
22.460, 9
22.480,13
22.500,18
22.520,10
22.540,10
22.560,13
22.580, 7
22.600,18
22.620,11
22.640,11
22.660, 9
22.680,10
22.700,12
22.720,10
22.740, 9
22.760, 5
22.780,13
22.800, 9
22.820,10
22.840,14
22.860, 9
22.880,16
22.900,13
22.920,13
22.940,10
22.960, 7
22.980, 8
23.000,17
23.020,15
23.040, 9
23.060,13
23.080,10
23.100, 8
23.120, 7
23.140,14
23.160, 9
23.180,11
23.200,10
23.220,12
23.240,20
23.260,12
23.280,14
23.300,13
23.320,11
23.340, 9
23.360,12
23.380,17
23.400, 9
23.420, 4
23.440,10
23.460,16
23.480,18
23.500,19
23.520,12
23.540,16
23.560,15
23.580,10
23.600,11
23.620,11
23.640,16
23.660, 9
23.680,10
23.700, 9
23.720, 9
23.740,10
23.760,17
23.780, 9
23.800,17
23.820,12
23.840, 9
23.860, 9
23.880,10
23.900,10
23.920,15
23.940, 8
23.960,14
23.980,13
24.000,12
24.020,12
24.040,14
24.060,14
24.080,11
24.100,12
24.120, 9
24.140,11
24.160,13
24.180,17
24.200,16
24.220,17
24.240,13
24.260,19
24.280,14
24.300, 6
24.320,16
24.340,11
24.360,12
24.380,14
24.400,13
24.420,10
24.440,15
24.460, 6
24.480,19
24.500,20
24.520,10
24.540,15
24.560, 5
24.580, 9
24.600, 8
24.620,10
24.640,12
24.660,11
24.680, 7
24.700, 7
24.720,12
24.740, 6
24.760,12
24.780,13
24.800,18
24.820,15
24.840,10
24.860,18
24.880,17
24.900,12
24.920,18
24.940,11
24.960,15
24.980,15
25.000,10
25.020,13
25.040,13
25.060,11
25.080,11
25.100,16
25.120,13
25.140,11
25.160, 8
25.180,14
25.200,13
25.220,17
25.240,14
25.260,10
25.280, 9
25.300,11
25.320,17
25.340,16
25.360, 8
25.380, 9
25.400,12
25.420, 9
25.440,16
25.460,11
25.480,11
25.500, 8
25.520,13
25.540, 7
25.560,18
25.580, 6
25.600,14
25.620,22
25.640,14
25.660,11
25.680,14
25.700,18
25.720,11
25.740,10
25.760,17
25.780,11
25.800,12
25.820,12
25.840,16
25.860,14
25.880,11
25.900,16
25.920,12
25.940,17
25.960,22
25.980,10
26.000,13
26.020,11
26.040,10
26.060,20
26.080,14
26.100,12
26.120,14
26.140,12
26.160,15
26.180,16
26.200,12
26.220,15
26.240, 6
26.260,16
26.280,18
26.300,16
26.320,20
26.340,11
26.360,16
26.380,15
26.400, 9
26.420,16
26.440, 6
26.460,12
26.480,17
26.500,12
26.520,16
26.540,12
26.560,12
26.580, 8
26.600,14
26.620,18
26.640,12
26.660,10
26.680,21
26.700, 9
