XRD - Maiz-0-med,
5.01,1965
5.03,1989
5.05,1999
5.07,1987
5.09,2059
5.11,1998
5.13,1982
5.15,2007
5.17,1983
5.19,1998
5.21,1987
5.23,1908
5.25,2009
5.27,2047
5.29,1963
5.31,2017
5.33,1937
5.35,2003
5.37,1992
5.39,1929
5.41,1950
5.43,1999
5.45,1967
5.47,1962
5.49,1960
5.51,1955
5.53,2040
5.55,1993
5.57,2020
5.59,1913
5.61,1898
5.63,2016
5.65,1980
5.67,1941
5.69,1935
5.71,1925
5.73,1945
5.75,1949
5.77,1938
5.79,1869
5.81,1881
5.83,1909
5.85,1919
5.87,1926
5.89,1970
5.91,1957
5.93,1886
5.95,1871
5.97,1919
5.99,1983
6.01,1931
6.03,1888
6.05,1924
6.07,1905
6.09,1909
6.11,1896
6.13,1930
6.15,1935
6.17,1924
6.19,1933
6.21,2004
6.23,1857
6.25,1893
6.27,1834
6.29,1978
6.31,1898
6.33,1885
6.35,1837
6.37,1865
6.39,1947
6.41,1948
6.43,1900
6.45,1988
6.47,1899
6.49,1888
6.51,1887
6.53,1871
6.55,1884
6.57,1918
6.59,1947
6.61,1954
6.63,1912
6.65,1866
6.67,1872
6.69,1883
6.71,1978
6.73,1875
6.75,1933
6.77,1917
6.79,1946
6.81,2009
6.83,1970
6.85,1975
6.87,2043
6.89,1900
6.91,1969
6.93,1917
6.95,1948
6.97,1916
6.99,1869
7.01,1951
7.03,1965
7.05,2024
7.07,1967
7.09,2084
7.11,1983
7.13,1990
7.15,1951
7.17,2117
7.19,1998
7.21,2007
7.23,1979
7.25,1994
7.27,2052
7.29,2107
7.31,2091
7.33,2116
7.35,2031
7.37,1989
7.39,2100
7.41,2038
7.43,2161
7.45,2044
7.47,1989
7.49,2048
7.51,2123
7.53,2083
7.55,2027
7.57,2034
7.59,2032
7.61,2096
7.63,2094
7.65,2137
7.67,2075
7.69,2085
7.71,2158
7.73,2085
7.75,2130
7.77,2116
7.79,2078
7.81,2078
7.83,2052
7.85,2098
7.87,2105
7.89,2091
7.91,2145
7.93,2136
7.95,2094
7.97,2159
7.99,2170
8.01,2183
8.03,2091
8.05,2182
8.07,2196
8.09,2151
8.11,2115
8.13,2139
8.15,2142
8.17,2229
8.19,2186
8.21,2114
8.23,2197
8.25,2238
8.27,2270
8.29,2158
8.31,2232
8.33,2159
8.35,2193
8.37,2238
8.39,2245
8.41,2185
8.43,2234
8.45,2195
8.47,2257
8.49,2263
8.51,2271
8.53,2250
8.55,2305
8.57,2259
8.59,2365
8.61,2320
8.63,2339
8.65,2331
8.67,2429
8.69,2457
8.71,2422
8.73,2379
8.75,2287
8.77,2392
8.79,2346
8.81,2434
8.83,2365
8.85,2454
8.87,2474
8.89,2449
8.91,2341
8.93,2386
8.95,2412
8.97,2467
8.99,2510
9.01,2460
9.03,2501
9.05,2466
9.07,2556
9.09,2521
9.11,2488
9.13,2502
9.15,2542
9.17,2534
9.19,2505
9.21,2551
9.23,2579
9.25,2609
9.27,2465
9.29,2619
9.31,2578
9.33,2693
9.35,2603
9.37,2608
9.39,2670
9.41,2771
9.43,2658
9.45,2723
9.47,2744
9.49,2635
9.51,2623
9.53,2745
9.55,2744
9.57,2673
9.59,2706
9.61,2689
9.63,2709
9.65,2777
9.67,2755
9.69,2762
9.71,2734
9.73,2772
9.75,2807
9.77,2834
9.79,2814
9.81,2795
9.83,2769
9.85,2856
9.87,2923
9.89,2830
9.91,2860
9.93,2891
9.95,2914
9.97,2986
9.99,2990
10.01,2987
10.03,2981
10.05,3005
10.07,2956
10.09,2997
10.11,2937
10.13,3003
10.15,2984
10.17,2949
10.19,3030
10.21,3026
10.23,2981
10.25,2918
10.27,2957
10.29,2962
10.31,2957
10.33,2935
10.35,2892
10.37,2959
10.39,2868
10.41,2935
10.43,2985
10.45,2987
10.47,2930
10.49,2925
10.51,2879
10.53,2889
10.55,2954
10.57,2908
10.59,2959
10.61,2988
10.63,2995
10.65,2993
10.67,3055
10.69,2957
10.71,2875
10.73,3023
10.75,3137
10.77,3061
10.79,3115
10.81,3134
10.83,3054
10.85,3033
10.87,2986
10.89,3172
10.91,3090
10.93,3089
10.95,3217
10.97,3227
10.99,3182
11.01,3254
11.03,3293
11.05,3247
11.07,3229
11.09,3268
11.11,3323
11.13,3392
11.15,3395
11.17,3426
11.19,3316
11.21,3436
11.23,3502
11.25,3547
11.27,3396
11.29,3419
11.31,3436
11.33,3526
11.35,3468
11.37,3417
11.39,3363
11.41,3473
11.43,3402
11.45,3586
11.47,3515
11.49,3534
11.51,3420
11.53,3367
11.55,3540
11.57,3468
11.59,3601
11.61,3490
11.63,3371
11.65,3550
11.67,3437
11.69,3467
11.71,3306
11.73,3485
11.75,3495
11.77,3495
11.79,3339
11.81,3416
11.83,3404
11.85,3339
11.87,3462
11.89,3424
11.91,3256
11.93,3437
11.95,3416
11.97,3507
11.99,3474
12.01,3552
12.03,3565
12.05,3423
12.07,3432
12.09,3568
12.11,3541
12.13,3425
12.15,3449
12.17,3578
12.19,3455
12.21,3587
12.23,3507
12.25,3490
12.27,3543
12.29,3566
12.31,3524
12.33,3536
12.35,3649
12.37,3545
12.39,3527
12.41,3552
12.43,3519
12.45,3520
12.47,3675
12.49,3581
12.51,3499
12.53,3534
12.55,3646
12.57,3640
12.59,3546
12.61,3666
12.63,3548
12.65,3632
12.67,3610
12.69,3622
12.71,3680
12.73,3753
12.75,3664
12.77,3651
12.79,3815
12.81,3633
12.83,3654
12.85,3656
12.87,3685
12.89,3700
12.91,3645
12.93,3702
12.95,3652
12.97,3644
12.99,3749
13.01,3603
13.03,3803
13.05,3726
13.07,3768
13.09,3762
13.11,3833
13.13,3818
13.15,3737
13.17,3831
13.19,3761
13.21,3756
13.23,3778
13.25,3782
13.27,3716
13.29,3912
13.31,3848
13.33,3846
13.35,3794
13.37,3759
13.39,3681
13.41,3824
13.43,3815
13.45,3815
13.47,3734
13.49,3844
13.51,3754
13.53,3826
13.55,3792
13.57,3718
13.59,3784
13.61,3859
13.63,3893
13.65,3871
13.67,3879
13.69,3924
13.71,3864
13.73,3892
13.75,3821
13.77,3871
13.79,3915
13.81,3856
13.83,4048
13.85,3955
13.87,4024
13.89,4001
13.91,3994
13.93,4127
13.95,3964
13.97,3991
13.99,4109
14.01,4106
14.03,4094
14.05,4166
14.07,4151
14.09,4148
14.11,4205
14.13,4245
14.15,4352
14.17,4235
14.19,4378
14.21,4359
14.23,4308
14.25,4461
14.27,4327
14.29,4438
14.31,4510
14.33,4357
14.35,4511
14.37,4595
14.39,4638
14.41,4640
14.43,4721
14.45,4777
14.47,4684
14.49,4754
14.51,4936
14.53,5032
14.55,4972
14.57,5119
14.59,5054
14.61,5123
14.63,5236
14.65,5368
14.67,5375
14.69,5364
14.71,5393
14.73,5474
14.75,5528
14.77,5659
14.79,5758
14.81,5685
14.83,5750
14.85,5944
14.87,5948
14.89,5976
14.91,6055
14.93,6215
14.95,6073
14.97,6280
14.99,6328
15.01,6192
15.03,6522
15.05,6426
15.07,6474
15.09,6541
15.11,6556
15.13,6759
15.15,6530
15.17,6531
15.19,6608
15.21,6614
15.23,6593
15.25,6638
15.27,6751
15.29,6539
15.31,6476
15.33,6562
15.35,6548
15.37,6518
15.39,6423
15.41,6269
15.43,6427
15.45,6283
15.47,6122
15.49,6205
15.51,6115
15.53,5944
15.55,6014
15.57,5889
15.59,5872
15.61,5897
15.63,5691
15.65,5668
15.67,5549
15.69,5580
15.71,5387
15.73,5441
15.75,5372
15.77,5459
15.79,5259
15.81,5210
15.83,5077
15.85,5226
15.87,5201
15.89,5105
15.91,5165
15.93,5046
15.95,5074
15.97,5028
15.99,5094
16.01,5089
16.03,5028
16.05,5058
16.07,5130
16.09,4962
16.11,4847
16.13,4887
16.15,4951
16.17,5022
16.19,5014
16.21,5088
16.23,5100
16.25,5141
16.27,5143
16.29,5171
16.31,5231
16.33,5227
16.35,5214
16.37,5313
16.39,5398
16.41,5498
16.43,5546
16.45,5634
16.47,5462
16.49,5681
16.51,5552
16.53,5665
16.55,5620
16.57,5951
16.59,5906
16.61,6028
16.63,5939
16.65,6126
16.67,6083
16.69,6288
16.71,6396
16.73,6433
16.75,6491
16.77,6666
16.79,6593
16.81,6601
16.83,6758
16.85,6706
16.87,6867
16.89,7020
16.91,6971
16.93,7071
16.95,7036
16.97,7270
16.99,7163
17.01,7109
17.03,7364
17.05,7325
17.07,7506
17.09,7378
17.11,7563
17.13,7476
17.15,7548
17.17,7579
17.19,7669
17.21,7852
17.23,7662
17.25,7678
17.27,7694
17.29,7612
17.31,7556
17.33,7559
17.35,7604
17.37,7609
17.39,7709
17.41,7630
17.43,7533
17.45,7393
17.47,7411
17.49,7373
17.51,7456
17.53,7417
17.55,7344
17.57,7274
17.59,7247
17.61,7363
17.63,7309
17.65,7349
17.67,7199
17.69,7253
17.71,7198
17.73,7138
17.75,7255
17.77,7044
17.79,7301
17.81,7407
17.83,7471
17.85,7435
17.87,7308
17.89,7338
17.91,7292
17.93,7568
17.95,7421
17.97,7763
17.99,7373
18.01,7631
18.03,7604
18.05,7410
18.07,7700
18.09,7661
18.11,7448
18.13,7513
18.15,7415
18.17,7448
18.19,7518
18.21,7528
18.23,7440
18.25,7425
18.27,7151
18.29,7234
18.31,7380
18.33,7240
18.35,7087
18.37,7210
18.39,6970
18.41,6944
18.43,6771
18.45,6849
18.47,6705
18.49,6687
18.51,6584
18.53,6542
18.55,6403
18.57,6521
18.59,6336
18.61,6269
18.63,6208
18.65,6293
18.67,6160
18.69,6165
18.71,6001
18.73,5894
18.75,5955
18.77,5795
18.79,5699
18.81,5770
18.83,5682
18.85,5557
18.87,5578
18.89,5555
18.91,5500
18.93,5566
18.95,5320
18.97,5376
18.99,5400
19.01,5366
19.03,5363
19.05,5283
19.07,5138
19.09,5196
19.11,5215
19.13,5060
19.15,5255
19.17,5192
19.19,5053
19.21,5280
19.23,5221
19.25,5080
19.27,4985
19.29,5044
19.31,5001
19.33,5075
19.35,5007
19.37,4942
19.39,4949
19.41,5012
19.43,5104
19.45,5049
19.47,5054
19.49,4917
19.51,5035
19.53,5186
19.55,5001
19.57,4987
19.59,5070
19.61,5044
19.63,5146
19.65,5187
19.67,5180
19.69,5115
19.71,5080
19.73,5052
19.75,5102
19.77,5063
19.79,5133
19.81,5140
19.83,5168
19.85,5095
19.87,5137
19.89,5077
19.91,5246
19.93,4992
19.95,5255
19.97,5089
19.99,5210
20.01,5045
20.03,5246
20.05,5134
20.07,5049
20.09,5109
20.11,5054
20.13,5145
20.15,5070
20.17,5110
20.19,5093
20.21,5148
20.23,5015
20.25,5121
20.27,4991
20.29,5134
20.31,5033
20.33,4836
20.35,5064
20.37,4954
20.39,4912
20.41,4842
20.43,4911
20.45,4979
20.47,5003
20.49,4911
20.51,4922
20.53,4923
20.55,4809
20.57,4763
20.59,4687
20.61,4717
20.63,4773
20.65,4817
20.67,4597
20.69,4578
20.71,4672
20.73,4659
20.75,4601
20.77,4397
20.79,4610
20.81,4568
20.83,4490
20.85,4574
20.87,4512
20.89,4609
20.91,4404
20.93,4591
20.95,4492
20.97,4485
20.99,4455
21.01,4536
21.03,4300
21.05,4399
21.07,4359
21.09,4328
21.11,4270
21.13,4389
21.15,4249
21.17,4325
21.19,4356
21.21,4344
21.23,4260
21.25,4333
21.27,4260
21.29,4336
21.31,4282
21.33,4335
21.35,4216
21.37,4324
21.39,4273
21.41,4226
21.43,4336
21.45,4295
21.47,4228
21.49,4266
21.51,4217
21.53,4306
21.55,4250
21.57,4278
21.59,4232
21.61,4237
21.63,4232
21.65,4244
21.67,4232
21.69,4291
21.71,4322
21.73,4325
21.75,4282
21.77,4342
21.79,4372
21.81,4284
21.83,4339
21.85,4385
21.87,4304
21.89,4327
21.91,4343
21.93,4455
21.95,4330
21.97,4454
21.99,4404
22.01,4543
22.03,4401
22.05,4446
22.07,4374
22.09,4545
22.11,4635
22.13,4589
22.15,4529
22.17,4532
22.19,4482
22.21,4691
22.23,4660
22.25,4626
22.27,4537
22.29,4695
22.31,4781
22.33,4677
22.35,4766
22.37,4795
22.39,4877
22.41,4807
22.43,4950
22.45,4976
22.47,5071
22.49,5061
22.51,5107
22.53,5096
22.55,5256
22.57,5306
22.59,5316
22.61,5302
22.63,5266
22.65,5375
22.67,5501
22.69,5293
22.71,5563
22.73,5593
22.75,5575
22.77,5582
22.79,5663
22.81,5761
22.83,5710
22.85,5854
22.87,5822
22.89,5987
22.91,5981
22.93,5872
22.95,5865
22.97,6120
22.99,6146
23.01,6024
23.03,5973
23.05,6100
23.07,6258
23.09,6149
23.11,6189
23.13,6170
23.15,6048
23.17,6196
23.19,6136
23.21,6147
23.23,6154
23.25,6103
23.27,6222
23.29,6273
23.31,6276
23.33,6044
23.35,6135
23.37,6236
23.39,5911
23.41,5926
23.43,6000
23.45,5925
23.47,5956
23.49,6012
23.51,5952
23.53,5888
23.55,5767
23.57,5703
23.59,5804
23.61,5662
23.63,5579
23.65,5709
23.67,5556
23.69,5615
23.71,5518
23.73,5508
23.75,5368
23.77,5352
23.79,5446
23.81,5259
23.83,5298
23.85,5374
23.87,5120
23.89,5175
23.91,5137
23.93,5113
23.95,5121
23.97,4977
23.99,5030
24.01,4972
24.03,4913
24.05,4896
24.07,4870
24.09,4942
24.11,4805
24.13,4758
24.15,4701
24.17,4762
24.19,4687
24.21,4592
24.23,4503
24.25,4512
24.27,4523
24.29,4592
24.31,4457
24.33,4477
24.35,4376
24.37,4431
24.39,4355
24.41,4290
24.43,4269
24.45,4359
24.47,4278
24.49,4255
24.51,4216
24.53,4115
24.55,4187
24.57,4080
24.59,4190
24.61,4077
24.63,4027
24.65,3985
24.67,3985
24.69,3998
24.71,3773
24.73,3961
24.75,3944
24.77,3872
24.79,3774
24.81,3806
24.83,3669
24.85,3828
24.87,3854
24.89,3696
24.91,3717
24.93,3727
24.95,3649
24.97,3740
24.99,3628
25.01,3562
25.03,3619
25.05,3494
25.07,3462
25.09,3442
25.11,3475
25.13,3390
25.15,3484
25.17,3354
25.19,3392
25.21,3397
25.23,3360
25.25,3404
25.27,3396
25.29,3386
25.31,3309
25.33,3244
25.35,3262
25.37,3222
25.39,3233
25.41,3257
25.43,3283
25.45,3409
25.47,3222
25.49,3255
25.51,3269
25.53,3187
25.55,3210
25.57,3203
25.59,3143
25.61,3159
25.63,3147
25.65,3158
25.67,3263
25.69,3089
25.71,3230
25.73,3209
25.75,3081
25.77,3176
25.79,3144
25.81,3136
25.83,3008
25.85,3119
25.87,3109
25.89,3145
25.91,3056
25.93,3057
25.95,3138
25.97,3191
25.99,3057
26.01,3181
26.03,3075
26.05,3054
26.07,3123
26.09,3024
26.11,3121
26.13,3109
26.15,3163
26.17,3055
26.19,3068
26.21,3072
26.23,3043
26.25,3044
26.27,3122
26.29,3192
26.31,3105
26.33,3114
26.35,3112
26.37,3024
26.39,3059
26.41,3127
26.43,3116
26.45,3059
26.47,3143
26.49,3141
26.51,3164
26.53,3125
26.55,3130
26.57,3027
26.59,3205
26.61,3212
26.63,3236
26.65,3121
26.67,3098
26.69,3111
26.71,3309
26.73,3094
26.75,3139
26.77,3141
26.79,3119
26.81,3152
26.83,3184
26.85,3124
26.87,3019
26.89,3067
26.91,3177
26.93,3081
26.95,3062
26.97,3093
26.99,3103
27.01,3002
27.03,3032
27.05,3002
27.07,2985
27.09,3013
27.11,2890
27.13,2970
27.15,2970
27.17,2933
27.19,2912
27.21,2919
27.23,2859
27.25,2908
27.27,2891
27.29,2832
27.31,2941
27.33,2747
27.35,2796
27.37,2794
27.39,2755
27.41,2814
27.43,2783
27.45,2642
27.47,2663
27.49,2770
27.51,2688
27.53,2836
27.55,2616
27.57,2815
27.59,2749
27.61,2724
27.63,2750
27.65,2723
27.67,2599
27.69,2772
27.71,2790
27.73,2631
27.75,2700
27.77,2705
27.79,2723
27.81,2679
27.83,2699
27.85,2730
27.87,2616
27.89,2723
27.91,2576
27.93,2678
27.95,2781
27.97,2731
27.99,2732
28.01,2760
28.03,2641
28.05,2691
28.07,2667
28.09,2716
28.11,2531
28.13,2604
28.15,2635
28.17,2754
28.19,2703
28.21,2663
28.23,2652
28.25,2702
28.27,2654
28.29,2713
28.31,2652
28.33,2608
28.35,2770
28.37,2760
28.39,2737
28.41,2769
28.43,2748
28.45,2620
28.47,2769
28.49,2699
28.51,2720
28.53,2760
28.55,2840
28.57,2720
28.59,2672
28.61,2636
28.63,2857
28.65,2753
28.67,2742
28.69,2782
28.71,2766
28.73,2637
28.75,2689
28.77,2702
28.79,2793
28.81,2762
28.83,2875
28.85,2819
28.87,2796
28.89,2752
28.91,2851
28.93,2742
28.95,2769
28.97,2822
28.99,2813
29.01,2772
29.03,2761
29.05,2868
29.07,2844
29.09,2841
29.11,2809
29.13,2840
29.15,2888
29.17,2882
29.19,2887
29.21,2785
29.23,2818
29.25,2840
29.27,2868
29.29,2806
29.31,2844
29.33,2833
29.35,2947
29.37,2801
29.39,2865
29.41,2763
29.43,2846
29.45,2840
29.47,2880
29.49,2838
29.51,2780
29.53,2801
29.55,2874
29.57,2882
29.59,2793
29.61,2727
29.63,2747
29.65,2891
29.67,2772
29.69,2791
29.71,2792
29.73,2781
29.75,2806
29.77,2758
29.79,2752
29.81,2943
29.83,2911
29.85,2944
29.87,2938
29.89,2933
29.91,2882
29.93,2864
29.95,2811
29.97,2908
29.99,2969
30.01,2900
30.03,2807
30.05,2965
30.07,2935
30.09,2914
30.11,2968
30.13,2944
30.15,2969
30.17,3048
30.19,3003
30.21,2962
30.23,2976
30.25,3000
30.27,3033
30.29,2996
30.31,3023
30.33,3116
30.35,3112
30.37,3113
30.39,3044
30.41,3090
30.43,3036
30.45,3145
30.47,3107
30.49,3044
30.51,3122
30.53,3117
30.55,3097
30.57,3071
30.59,3065
30.61,3137
30.63,3295
30.65,3071
30.67,3062
30.69,3057
30.71,3076
30.73,3114
30.75,3069
30.77,3089
30.79,3171
30.81,3081
30.83,3030
30.85,2991
30.87,2991
30.89,3202
30.91,3152
30.93,3140
30.95,3108
30.97,3125
30.99,3059
31.01,3108
31.03,3086
31.05,3019
31.07,3252
31.09,3122
31.11,3162
31.13,3119
31.15,2937
31.17,3043
31.19,3002
31.21,3050
31.23,3063
31.25,3050
31.27,3087
31.29,3030
31.31,3098
31.33,3144
31.35,3027
31.37,3035
31.39,3030
31.41,3100
31.43,3025
31.45,3036
31.47,3082
31.49,3074
31.51,3165
31.53,3078
31.55,3083
31.57,3056
31.59,3120
31.61,3041
31.63,2950
31.65,3000
31.67,2995
31.69,3079
31.71,3034
31.73,2984
31.75,2973
31.77,3051
31.79,2976
31.81,3014
31.83,3040
31.85,2849
31.87,2997
31.89,3032
31.91,2961
31.93,2982
31.95,2958
31.97,2960
31.99,2998
32.01,2946
32.03,2980
32.05,3109
32.07,2889
32.09,2883
32.11,2914
32.13,2930
32.15,3052
32.17,3008
32.19,2954
32.21,2988
32.23,3022
32.25,2919
32.27,3022
32.29,2945
32.31,2959
32.33,3094
32.35,3010
32.37,3012
32.39,2993
32.41,2963
32.43,2920
32.45,3023
32.47,3158
32.49,3049
32.51,2936
32.53,3069
32.55,2974
32.57,2962
32.59,3001
32.61,3010
32.63,3085
32.65,3138
32.67,3050
32.69,3057
32.71,3037
32.73,3028
32.75,3054
32.77,3055
32.79,3087
32.81,3045
32.83,3076
32.85,3009
32.87,3063
32.89,3022
32.91,3125
32.93,3066
32.95,3096
32.97,3002
32.99,3096
33.01,2966
33.03,3027
33.05,3114
33.07,3092
33.09,2940
33.11,3095
33.13,3076
33.15,3090
33.17,3149
33.19,3127
33.21,3019
33.23,3202
33.25,3050
33.27,3113
33.29,2938
33.31,3063
33.33,3046
33.35,3114
33.37,3073
33.39,3225
33.41,3030
33.43,3158
33.45,2951
33.47,2989
33.49,3154
33.51,3037
33.53,3025
33.55,3091
33.57,3149
33.59,3097
33.61,3092
33.63,3061
33.65,3057
33.67,3078
33.69,3030
33.71,3180
33.73,3082
33.75,3023
33.77,3045
33.79,3069
33.81,3012
33.83,3101
33.85,3003
33.87,3092
33.89,3053
33.91,3073
33.93,3119
33.95,3048
33.97,3135
33.99,3151
34.01,2882
34.03,2999
34.05,3039
34.07,3012
34.09,3041
34.11,3007
34.13,3003
34.15,3067
34.17,2921
34.19,3010
34.21,3031
34.23,3002
34.25,2892
34.27,3042
34.29,2992
34.31,2922
34.33,3034
34.35,2840
34.37,2932
34.39,2805
34.41,2938
34.43,2833
34.45,3007
34.47,2939
34.49,2989
34.51,2954
34.53,2914
34.55,2832
34.57,2887
34.59,2933
34.61,2953
34.63,2939
34.65,2914
34.67,2936
34.69,2943
34.71,2908
34.73,2858
34.75,2868
34.77,2905
34.79,2828
34.81,2841
34.83,2988
34.85,2795
34.87,2841
34.89,2882
34.91,2793
34.93,2809
34.95,2919
34.97,2798
34.99,2822
35.01,2876
35.03,2766
35.05,2809
35.07,2755
35.09,2771
35.11,2846
35.13,2759
35.15,2826
35.17,2824
35.19,2790
35.21,2800
35.23,2775
35.25,2723
35.27,2813
35.29,2781
35.31,2754
35.33,2711
35.35,2780
35.37,2701
35.39,2787
35.41,2768
35.43,2702
35.45,2690
35.47,2696
35.49,2742
35.51,2742
35.53,2665
35.55,2708
35.57,2663
35.59,2595
35.61,2708
35.63,2715
35.65,2687
35.67,2729
35.69,2781
35.71,2661
35.73,2579
35.75,2667
35.77,2694
35.79,2686
35.81,2681
35.83,2595
35.85,2721
35.87,2801
35.89,2658
35.91,2567
35.93,2541
35.95,2691
35.97,2634
35.99,2701
36.01,2645
36.03,2717
36.05,2625
36.07,2666
36.09,2661
36.11,2649
36.13,2608
36.15,2693
36.17,2668
36.19,2608
36.21,2657
36.23,2549
36.25,2764
36.27,2666
36.29,2637
36.31,2664
36.33,2632
36.35,2695
36.37,2673
36.39,2671
36.41,2565
36.43,2652
36.45,2611
36.47,2612
36.49,2772
36.51,2617
36.53,2704
36.55,2734
36.57,2662
36.59,2646
36.61,2599
36.63,2631
36.65,2630
36.67,2628
36.69,2612
36.71,2629
36.73,2596
36.75,2697
36.77,2648
36.79,2621
36.81,2651
36.83,2640
36.85,2595
36.87,2557
36.89,2564
36.91,2549
36.93,2624
36.95,2570
36.97,2573
36.99,2568
37.01,2596
37.03,2592
37.05,2545
37.07,2676
37.09,2610
37.11,2641
37.13,2544
37.15,2579
37.17,2575
37.19,2463
37.21,2548
37.23,2581
37.25,2533
37.27,2532
37.29,2556
37.31,2525
37.33,2630
37.35,2563
37.37,2564
37.39,2685
37.41,2542
37.43,2532
37.45,2499
37.47,2551
37.49,2537
37.51,2527
37.53,2573
37.55,2516
37.57,2613
37.59,2482
37.61,2575
37.63,2552
37.65,2534
37.67,2548
37.69,2519
37.71,2620
37.73,2573
37.75,2574
37.77,2495
37.79,2429
37.81,2494
37.83,2699
37.85,2556
37.87,2509
37.89,2502
37.91,2550
37.93,2605
37.95,2593
37.97,2483
37.99,2562
38.01,2527
38.03,2574
38.05,2508
38.07,2536
38.09,2640
38.11,2635
38.13,2618
38.15,2682
38.17,2619
38.19,2595
38.21,2648
38.23,2494
38.25,2647
38.27,2547
38.29,2493
38.31,2591
38.33,2558
38.35,2683
38.37,2578
38.39,2621
38.41,2557
38.43,2498
38.45,2666
38.47,2603
38.49,2584
38.51,2637
38.53,2628
38.55,2573
38.57,2578
38.59,2632
38.61,2515
38.63,2615
38.65,2622
38.67,2528
38.69,2561
38.71,2628
38.73,2655
38.75,2632
38.77,2552
38.79,2552
38.81,2546
38.83,2563
38.85,2561
38.87,2534
38.89,2594
38.91,2547
38.93,2511
38.95,2597
38.97,2607
38.99,2519
39.01,2568
39.03,2466
39.05,2569
39.07,2472
39.09,2452
39.11,2557
39.13,2354
39.15,2438
39.17,2472
39.19,2447
39.21,2436
39.23,2400
39.25,2438
39.27,2391
39.29,2381
39.31,2450
39.33,2405
39.35,2441
39.37,2355
39.39,2420
39.41,2416
39.43,2337
39.45,2385
39.47,2375
39.49,2498
39.51,2391
39.53,2405
39.55,2354
39.57,2340
39.59,2343
39.61,2308
39.63,2407
39.65,2309
39.67,2307
39.69,2403
39.71,2350
39.73,2324
39.75,2258
39.77,2275
39.79,2333
39.81,2340
39.83,2257
39.85,2284
39.87,2255
39.89,2290
39.91,2343
39.93,2258
39.95,2268
39.97,2261
39.99,2270
40.01,2224
40.03,2214
40.05,2272
40.07,2321
40.09,2337
40.11,2300
40.13,2216
40.15,2359
40.17,2196
40.19,2166
40.21,2247
40.23,2223
40.25,2294
40.27,2167
40.29,2293
40.31,2125
40.33,2202
40.35,2145
40.37,2314
40.39,2207
40.41,2168
40.43,2212
40.45,2214
40.47,2193
40.49,2244
40.51,2173
40.53,2235
40.55,2149
40.57,2218
40.59,2180
40.61,2191
40.63,2083
40.65,2111
40.67,2104
40.69,2184
40.71,2171
40.73,2135
40.75,2101
40.77,2077
40.79,2127
40.81,2147
40.83,2049
40.85,2163
40.87,2099
40.89,2223
40.91,2113
40.93,2106
40.95,2118
40.97,2104
40.99,2053
41.01,2121
41.03,2112
41.05,2086
41.07,2065
41.09,2096
41.11,2085
41.13,2059
41.15,2055
41.17,2102
41.19,2044
41.21,2061
41.23,2039
41.25,2034
41.27,2034
41.29,2084
41.31,2135
41.33,1936
41.35,2055
41.37,1981
41.39,2081
41.41,2039
41.43,2085
41.45,2085
41.47,1939
41.49,2030
41.51,2026
41.53,2034
41.55,2003
41.57,1994
41.59,2056
41.61,2055
41.63,2050
41.65,2028
41.67,2001
41.69,2074
41.71,2052
41.73,1972
41.75,1952
41.77,2048
41.79,2050
41.81,2022
41.83,2021
41.85,2028
41.87,2006
41.89,2028
41.91,1988
41.93,1974
41.95,1979
41.97,1964
41.99,1969
42.01,2014
42.03,1952
42.05,2053
42.07,2081
42.09,1985
42.11,2050
42.13,2018
42.15,2019
42.17,1955
42.19,2035
42.21,1997
42.23,1993
42.25,2058
42.27,1988
42.29,2034
42.31,1995
42.33,2124
42.35,2076
42.37,2116
42.39,2026
42.41,1948
42.43,2110
42.45,2060
42.47,2057
42.49,2004
42.51,2076
42.53,2008
42.55,2087
42.57,2072
42.59,2028
42.61,2066
42.63,2032
42.65,2047
42.67,2053
42.69,2077
42.71,2120
42.73,2094
42.75,2072
42.77,1973
42.79,2010
42.81,2131
42.83,2079
42.85,1992
42.87,2066
42.89,2025
42.91,2094
42.93,2072
42.95,2121
42.97,2124
42.99,2097
43.01,2096
43.03,2077
43.05,2030
43.07,2168
43.09,2014
43.11,2068
43.13,1974
43.15,2118
43.17,2108
43.19,2081
43.21,2074
43.23,2061
43.25,2059
43.27,2031
43.29,2048
43.31,2044
43.33,2102
43.35,2061
43.37,2017
43.39,2082
43.41,2066
43.43,2103
43.45,2097
43.47,2088
43.49,2048
43.51,1994
43.53,2101
43.55,2013
43.57,1934
43.59,2034
43.61,1958
43.63,2039
43.65,1970
43.67,2015
43.69,2035
43.71,2028
43.73,1998
43.75,2054
43.77,2012
43.79,1981
43.81,1991
43.83,2086
43.85,2049
43.87,1982
43.89,2001
43.91,1941
43.93,2015
43.95,2042
43.97,2087
43.99,1950
44.01,2002
44.03,2013
44.05,2041
44.07,2033
44.09,2017
44.11,2054
44.13,2057
44.15,2017
44.17,2011
44.19,1945
44.21,1987
44.23,1944
44.25,1944
44.27,1985
44.29,2052
44.31,2002
44.33,2002
