XRD - Maiz-30-2,
5.01,2156
5.03,2086
5.05,2140
5.07,2114
5.09,2088
5.11,2138
5.13,2091
5.15,2102
5.17,2064
5.19,2073
5.21,2134
5.23,2150
5.25,2143
5.27,2023
5.29,2184
5.31,2114
5.33,2094
5.35,2075
5.37,2037
5.39,2093
5.41,2072
5.43,2075
5.45,2127
5.47,2019
5.49,2053
5.51,2117
5.53,1989
5.55,2136
5.57,2083
5.59,2136
5.61,2064
5.63,2101
5.65,2081
5.67,2072
5.69,2065
5.71,2066
5.73,2086
5.75,1988
5.77,2156
5.79,2028
5.81,2066
5.83,2045
5.85,2069
5.87,2043
5.89,2145
5.91,2089
5.93,2051
5.95,1963
5.97,2017
5.99,1999
6.01,2100
6.03,2012
6.05,2103
6.07,2015
6.09,2054
6.11,1988
6.13,2059
6.15,2048
6.17,2044
6.19,2075
6.21,2005
6.23,2063
6.25,1959
6.27,1991
6.29,2018
6.31,2075
6.33,1989
6.35,2036
6.37,1954
6.39,1989
6.41,2099
6.43,2033
6.45,2050
6.47,1993
6.49,2108
6.51,1923
6.53,1984
6.55,2029
6.57,2083
6.59,2032
6.61,1961
6.63,1968
6.65,1985
6.67,1992
6.69,2074
6.71,2053
6.73,2034
6.75,2050
6.77,2130
6.79,1999
6.81,2058
6.83,2028
6.85,2052
6.87,2066
6.89,2109
6.91,2035
6.93,2108
6.95,2052
6.97,2084
6.99,2092
7.01,2182
7.03,2139
7.05,2046
7.07,2094
7.09,2046
7.11,2192
7.13,2123
7.15,2084
7.17,2061
7.19,2077
7.21,1946
7.23,2127
7.25,2191
7.27,2185
7.29,2026
7.31,2139
7.33,2187
7.35,2165
7.37,2181
7.39,2154
7.41,2114
7.43,2135
7.45,2135
7.47,2251
7.49,2166
7.51,2113
7.53,2125
7.55,2172
7.57,2131
7.59,2089
7.61,2225
7.63,2246
7.65,2165
7.67,2310
7.69,2164
7.71,2150
7.73,2213
7.75,2195
7.77,2164
7.79,2216
7.81,2183
7.83,2156
7.85,2241
7.87,2211
7.89,2215
7.91,2232
7.93,2238
7.95,2281
7.97,2256
7.99,2202
8.01,2160
8.03,2224
8.05,2210
8.07,2194
8.09,2207
8.11,2250
8.13,2208
8.15,2214
8.17,2312
8.19,2293
8.21,2271
8.23,2259
8.25,2251
8.27,2254
8.29,2223
8.31,2259
8.33,2242
8.35,2333
8.37,2214
8.39,2370
8.41,2370
8.43,2400
8.45,2305
8.47,2295
8.49,2355
8.51,2346
8.53,2327
8.55,2445
8.57,2388
8.59,2361
8.61,2372
8.63,2316
8.65,2378
8.67,2329
8.69,2413
8.71,2426
8.73,2439
8.75,2423
8.77,2419
8.79,2545
8.81,2418
8.83,2433
8.85,2483
8.87,2507
8.89,2484
8.91,2513
8.93,2412
8.95,2540
8.97,2599
8.99,2492
9.01,2525
9.03,2448
9.05,2530
9.07,2528
9.09,2622
9.11,2580
9.13,2573
9.15,2519
9.17,2530
9.19,2593
9.21,2589
9.23,2639
9.25,2604
9.27,2582
9.29,2597
9.31,2620
9.33,2673
9.35,2636
9.37,2740
9.39,2654
9.41,2660
9.43,2645
9.45,2772
9.47,2547
9.49,2663
9.51,2662
9.53,2649
9.55,2679
9.57,2728
9.59,2759
9.61,2777
9.63,2727
9.65,2785
9.67,2733
9.69,2669
9.71,2882
9.73,2791
9.75,2802
9.77,2877
9.79,2799
9.81,2731
9.83,2808
9.85,2862
9.87,2820
9.89,2850
9.91,2834
9.93,2957
9.95,3042
9.97,2991
9.99,2972
10.01,3069
10.03,2958
10.05,2962
10.07,2995
10.09,2965
10.11,2983
10.13,2930
10.15,2998
10.17,3050
10.19,2938
10.21,2986
10.23,3040
10.25,2930
10.27,2891
10.29,2914
10.31,2864
10.33,2895
10.35,2894
10.37,2930
10.39,2841
10.41,2869
10.43,2869
10.45,2936
10.47,2876
10.49,2931
10.51,3001
10.53,2876
10.55,2995
10.57,2878
10.59,2942
10.61,2949
10.63,3010
10.65,2913
10.67,2964
10.69,2986
10.71,2931
10.73,3031
10.75,3067
10.77,3032
10.79,3132
10.81,3040
10.83,3079
10.85,3035
10.87,3041
10.89,3110
10.91,3100
10.93,3087
10.95,3141
10.97,3151
10.99,3069
11.01,3186
11.03,3147
11.05,3298
11.07,3361
11.09,3245
11.11,3238
11.13,3376
11.15,3376
11.17,3236
11.19,3311
11.21,3380
11.23,3322
11.25,3405
11.27,3412
11.29,3377
11.31,3334
11.33,3360
11.35,3361
11.37,3275
11.39,3451
11.41,3408
11.43,3444
11.45,3437
11.47,3350
11.49,3382
11.51,3420
11.53,3404
11.55,3418
11.57,3424
11.59,3352
11.61,3366
11.63,3282
11.65,3432
11.67,3441
11.69,3315
11.71,3424
11.73,3310
11.75,3429
11.77,3361
11.79,3322
11.81,3369
11.83,3359
11.85,3385
11.87,3371
11.89,3385
11.91,3410
11.93,3376
11.95,3357
11.97,3385
11.99,3288
12.01,3311
12.03,3327
12.05,3403
12.07,3362
12.09,3250
12.11,3374
12.13,3506
12.15,3388
12.17,3328
12.19,3366
12.21,3482
12.23,3407
12.25,3486
12.27,3342
12.29,3528
12.31,3538
12.33,3284
12.35,3416
12.37,3486
12.39,3411
12.41,3513
12.43,3529
12.45,3464
12.47,3545
12.49,3534
12.51,3471
12.53,3574
12.55,3483
12.57,3571
12.59,3588
12.61,3496
12.63,3497
12.65,3636
12.67,3726
12.69,3492
