XRD - Maiz-40,
5.01,1539
5.03,1545
5.05,1523
5.07,1527
5.09,1568
5.11,1600
5.13,1565
5.15,1593
5.17,1499
5.19,1506
5.21,1550
5.23,1527
5.25,1583
5.27,1486
5.29,1539
5.31,1505
5.33,1539
5.35,1510
5.37,1535
5.39,1484
5.41,1489
5.43,1481
5.45,1507
5.47,1468
5.49,1482
5.51,1435
5.53,1478
5.55,1499
5.57,1409
5.59,1458
5.61,1371
5.63,1516
5.65,1492
5.67,1374
5.69,1431
5.71,1428
5.73,1453
5.75,1438
5.77,1381
5.79,1432
5.81,1419
5.83,1436
5.85,1359
5.87,1354
5.89,1452
5.91,1397
5.93,1338
5.95,1396
5.97,1403
5.99,1419
6.01,1404
6.03,1364
6.05,1315
6.07,1367
6.09,1410
6.11,1393
6.13,1361
6.15,1360
6.17,1392
6.19,1341
6.21,1307
6.23,1297
6.25,1360
6.27,1338
6.29,1319
6.31,1227
6.33,1395
6.35,1278
6.37,1309
6.39,1292
6.41,1310
6.43,1343
6.45,1287
6.47,1340
6.49,1273
6.51,1281
6.53,1309
6.55,1329
6.57,1254
6.59,1333
6.61,1217
6.63,1288
6.65,1275
6.67,1271
6.69,1329
6.71,1224
6.73,1318
6.75,1278
6.77,1322
6.79,1307
6.81,1181
6.83,1259
6.85,1245
6.87,1281
6.89,1250
6.91,1278
6.93,1224
6.95,1231
6.97,1255
6.99,1287
7.01,1243
7.03,1237
7.05,1245
7.07,1233
7.09,1230
7.11,1206
7.13,1260
7.15,1216
7.17,1197
7.19,1223
7.21,1259
7.23,1287
7.25,1236
7.27,1187
7.29,1231
7.31,1176
7.33,1152
7.35,1229
7.37,1243
7.39,1166
7.41,1271
7.43,1207
7.45,1202
7.47,1284
7.49,1192
7.51,1271
7.53,1197
7.55,1248
7.57,1239
7.59,1219
7.61,1192
7.63,1221
7.65,1229
7.67,1210
7.69,1191
7.71,1201
7.73,1215
7.75,1279
7.77,1173
7.79,1227
7.81,1225
7.83,1186
7.85,1210
7.87,1199
7.89,1235
7.91,1207
7.93,1223
7.95,1249
7.97,1150
7.99,1288
8.01,1203
8.03,1215
8.05,1186
8.07,1225
8.09,1195
8.11,1206
8.13,1220
8.15,1200
8.17,1133
8.19,1185
8.21,1242
8.23,1185
8.25,1205
8.27,1213
8.29,1184
8.31,1188
8.33,1209
8.35,1157
8.37,1181
8.39,1179
8.41,1219
8.43,1183
8.45,1210
8.47,1272
8.49,1215
8.51,1209
8.53,1218
8.55,1155
8.57,1157
8.59,1203
8.61,1163
8.63,1199
8.65,1190
8.67,1257
8.69,1252
8.71,1203
8.73,1142
8.75,1233
8.77,1245
8.79,1244
8.81,1210
8.83,1190
8.85,1135
8.87,1216
8.89,1163
8.91,1220
8.93,1217
8.95,1239
8.97,1280
8.99,1201
9.01,1158
9.03,1192
9.05,1235
9.07,1241
9.09,1269
9.11,1196
9.13,1170
9.15,1213
9.17,1187
9.19,1296
9.21,1241
9.23,1231
9.25,1240
9.27,1249
9.29,1243
9.31,1265
9.33,1293
9.35,1204
9.37,1171
9.39,1170
9.41,1190
9.43,1213
9.45,1197
9.47,1228
9.49,1254
9.51,1235
9.53,1237
9.55,1201
9.57,1271
9.59,1202
9.61,1267
9.63,1219
9.65,1196
9.67,1279
9.69,1243
9.71,1297
9.73,1230
9.75,1254
9.77,1282
9.79,1282
9.81,1188
9.83,1229
9.85,1251
9.87,1271
