XRD - Maiz-40 - 2med,
5.01,981
5.03,1029
5.05,1006
5.07,986
5.09,992
5.11,1014
5.13,1018
5.15,1000
5.17,1034
5.19,1013
5.21,996
5.23,988
5.25,935
5.27,1040
5.29,993
5.31,950
5.33,966
5.35,956
5.37,957
5.39,922
5.41,990
5.43,994
5.45,1003
5.47,930
5.49,965
5.51,975
5.53,932
5.55,929
5.57,937
5.59,960
5.61,914
5.63,949
5.65,958
5.67,947
5.69,945
5.71,934
5.73,906
5.75,964
5.77,939
5.79,921
5.81,908
5.83,930
5.85,933
5.87,877
5.89,927
5.91,892
5.93,897
5.95,844
5.97,970
5.99,911
6.01,856
6.03,945
6.05,858
6.07,880
6.09,888
6.11,929
6.13,865
6.15,841
6.17,847
6.19,876
6.21,866
6.23,930
6.25,845
6.27,856
6.29,843
6.31,856
6.33,796
6.35,804
6.37,825
6.39,863
6.41,829
6.43,780
6.45,810
6.47,826
6.49,872
6.51,854
6.53,897
6.55,865
6.57,814
6.59,863
6.61,834
6.63,835
6.65,809
6.67,836
6.69,840
6.71,828
6.73,779
6.75,810
6.77,810
6.79,819
6.81,764
6.83,846
6.85,746
6.87,836
6.89,799
6.91,797
6.93,763
6.95,795
6.97,782
6.99,773
7.01,772
7.03,828
7.05,793
7.07,777
7.09,791
7.11,790
7.13,743
7.15,778
7.17,801
7.19,791
7.21,789
7.23,840
7.25,779
7.27,799
7.29,805
7.31,772
7.33,766
7.35,789
7.37,815
7.39,861
7.41,817
7.43,790
7.45,781
7.47,790
7.49,788
7.51,760
7.53,792
7.55,774
7.57,762
7.59,787
7.61,761
7.63,855
7.65,781
7.67,771
7.69,803
7.71,794
7.73,804
7.75,754
7.77,780
7.79,785
7.81,739
7.83,796
7.85,784
7.87,774
7.89,752
7.91,793
7.93,797
7.95,789
7.97,750
7.99,790
8.01,768
8.03,784
8.05,754
8.07,766
8.09,758
8.11,772
8.13,742
8.15,758
8.17,781
8.19,814
8.21,729
8.23,777
8.25,761
8.27,782
8.29,805
8.31,775
8.33,802
8.35,788
8.37,765
8.39,740
8.41,809
8.43,784
8.45,751
8.47,803
8.49,767
8.51,753
8.53,751
8.55,804
8.57,750
8.59,796
8.61,765
8.63,771
8.65,772
8.67,803
8.69,751
8.71,790
8.73,750
8.75,791
8.77,761
8.79,778
8.81,773
8.83,829
8.85,752
8.87,736
8.89,780
8.91,751
8.93,817
8.95,783
8.97,785
8.99,758
9.01,792
9.03,793
9.05,775
9.07,764
9.09,809
9.11,757
9.13,777
9.15,831
9.17,793
9.19,817
9.21,796
9.23,795
9.25,781
9.27,816
9.29,780
9.31,811
9.33,753
9.35,785
9.37,833
9.39,816
9.41,753
9.43,823
9.45,800
9.47,773
9.49,758
9.51,777
9.53,760
9.55,815
9.57,785
9.59,771
9.61,798
9.63,793
9.65,789
9.67,784
9.69,778
9.71,792
9.73,821
9.75,833
9.77,842
9.79,816
9.81,822
9.83,820
9.85,819
9.87,853
9.89,798
9.91,835
