XRD - Patata-30,
5.01,6206
5.03,6083
5.05,6248
5.07,6277
5.09,5928
5.11,5993
5.13,5748
5.15,5655
5.17,5479
5.19,5417
5.21,5176
5.23,5102
5.25,4784
5.27,4693
5.29,4617
5.31,4356
5.33,4359
5.35,4148
5.37,3966
5.39,3802
5.41,3630
5.43,3535
5.45,3413
5.47,3267
5.49,3264
5.51,3194
5.53,3109
5.55,2980
5.57,2964
5.59,2782
5.61,2812
5.63,2664
5.65,2737
5.67,2625
5.69,2591
5.71,2471
5.73,2427
5.75,2346
5.77,2378
5.79,2340
5.81,2309
5.83,2275
5.85,2344
5.87,2243
5.89,2177
5.91,2187
5.93,2173
5.95,2142
5.97,2117
5.99,2019
6.01,2006
6.03,2064
6.05,2049
6.07,2008
6.09,2023
6.11,1933
6.13,2021
6.15,1917
6.17,1895
6.19,1942
6.21,1937
6.23,1942
6.25,1883
6.27,1888
6.29,1959
6.31,1900
6.33,1847
6.35,1844
6.37,1899
6.39,1823
6.41,1822
6.43,1868
6.45,1873
6.47,1917
6.49,1827
6.51,1850
6.53,1844
6.55,1860
6.57,1794
6.59,1879
6.61,1793
6.63,1868
6.65,1801
6.67,1848
6.69,1848
6.71,1838
6.73,1746
6.75,1809
6.77,1733
6.79,1782
6.81,1814
6.83,1782
6.85,1854
6.87,1760
6.89,1809
6.91,1791
6.93,1700
6.95,1852
6.97,1854
6.99,1766
7.01,1823
7.03,1781
7.05,1814
7.07,1865
7.09,1810
7.11,1814
7.13,1794
7.15,1805
7.17,1810
7.19,1841
7.21,1726
7.23,1772
7.25,1764
7.27,1777
7.29,1804
7.31,1809
7.33,1775
7.35,1778
7.37,1880
7.39,1814
7.41,1825
7.43,1801
7.45,1784
7.47,1804
7.49,1857
7.51,1821
7.53,1869
7.55,1792
7.57,1852
7.59,1831
7.61,1901
7.63,1809
7.65,1826
7.67,1780
7.69,1933
7.71,1890
7.73,1894
7.75,1843
7.77,1893
7.79,1941
7.81,1861
7.83,1921
7.85,1865
7.87,1935
7.89,1839
7.91,1892
7.93,2009
7.95,1973
7.97,1986
7.99,1993
8.01,1977
8.03,1882
8.05,1906
8.07,1952
8.09,2010
8.11,1876
8.13,1984
8.15,2047
8.17,1956
8.19,2026
8.21,1903
8.23,1981
8.25,2054
8.27,2048
8.29,2032
8.31,2040
8.33,2020
8.35,2126
8.37,2034
8.39,2051
8.41,2110
8.43,2063
8.45,2132
8.47,2128
8.49,2091
8.51,2201
8.53,2125
8.55,2151
8.57,2143
8.59,2094
8.61,2171
8.63,2188
8.65,2141
8.67,2226
8.69,2303
8.71,2292
8.73,2167
8.75,2305
8.77,2299
8.79,2257
8.81,2270
8.83,2304
8.85,2374
8.87,2299
8.89,2327
8.91,2324
8.93,2422
8.95,2552
8.97,2432
8.99,2410
9.01,2533
9.03,2471
9.05,2500
9.07,2455
9.09,2570
9.11,2660
9.13,2544
9.15,2549
9.17,2479
9.19,2629
9.21,2653
9.23,2636
9.25,2744
9.27,2721
9.29,2685
9.31,2654
9.33,2796
9.35,2739
9.37,2659
9.39,2778
9.41,2852
9.43,2788
9.45,2757
9.47,2784
9.49,2762
9.51,2856
9.53,2786
9.55,2788
9.57,2789
9.59,2889
9.61,2817
9.63,2844
9.65,2816
9.67,2956
9.69,2862
9.71,2941
9.73,2866
9.75,2797
9.77,2901
9.79,2879
9.81,2819
9.83,2938
9.85,2816
9.87,2843
9.89,2832
9.91,2817
9.93,2841
9.95,2770
9.97,2888
9.99,2923
10.01,2899
10.03,2862
10.05,2906
10.07,3009
10.09,2818
10.11,2871
10.13,2843
10.15,2797
10.17,2840
10.19,2886
10.21,2903
10.23,3011
10.25,2969
10.27,2868
10.29,2924
10.31,2891
10.33,2942
10.35,2887
10.37,2988
10.39,2989
10.41,2949
10.43,2929
10.45,3054
10.47,3051
10.49,3004
10.51,2912
10.53,3037
10.55,3024
10.57,3088
10.59,3075
10.61,3081
10.63,3080
10.65,3100
10.67,3138
10.69,3079
10.71,3230
10.73,3199
10.75,3107
10.77,3236
10.79,3245
10.81,3215
10.83,3179
10.85,3195
10.87,3187
10.89,3298
10.91,3173
10.93,3241
10.95,3247
10.97,3255
10.99,3208
11.01,3226
11.03,3268
11.05,3253
11.07,3270
11.09,3198
11.11,3185
11.13,3202
11.15,3277
11.17,3186
11.19,3153
11.21,3231
11.23,3225
11.25,3165
11.27,3189
11.29,3249
11.31,3246
11.33,3214
11.35,3183
11.37,3177
11.39,3120
11.41,3315
11.43,3127
11.45,3226
11.47,3147
11.49,3189
11.51,3152
11.53,3122
11.55,3158
11.57,3248
11.59,3164
11.61,3179
11.63,3257
11.65,3205
11.67,3179
11.69,3150
11.71,3250
11.73,3178
11.75,3243
11.77,3270
11.79,3314
11.81,3310
11.83,3327
11.85,3256
11.87,3233
11.89,3289
11.91,3234
11.93,3290
11.95,3238
11.97,3325
11.99,3313
12.01,3311
12.03,3376
12.05,3481
12.07,3382
12.09,3429
12.11,3466
12.13,3376
12.15,3440
12.17,3518
12.19,3456
12.21,3489
12.23,3454
12.25,3636
12.27,3472
12.29,3552
12.31,3616
12.33,3608
12.35,3574
12.37,3740
12.39,3558
12.41,3700
12.43,3604
12.45,3610
12.47,3695
12.49,3798
12.51,3751
12.53,3816
12.55,3855
12.57,3884
12.59,3884
12.61,3872
12.63,3846
12.65,3947
12.67,3927
12.69,3973
12.71,4067
12.73,4067
12.75,3965
12.77,4138
12.79,4239
12.81,4089
12.83,4256
12.85,4245
12.87,4289
12.89,4313
12.91,4303
12.93,4378
12.95,4286
12.97,4378
12.99,4376
13.01,4587
13.03,4447
13.05,4514
13.07,4597
13.09,4721
13.11,4679
13.13,4709
13.15,4680
13.17,4681
13.19,4886
13.21,4944
13.23,4908
13.25,5074
13.27,4923
13.29,5261
13.31,5145
13.33,5232
13.35,5147
13.37,5250
13.39,5343
13.41,5495
13.43,5515
13.45,5542
13.47,5485
13.49,5522
13.51,5607
13.53,5656
13.55,5596
13.57,5578
13.59,5760
13.61,5682
13.63,5887
13.65,5912
13.67,5870
13.69,5910
13.71,5901
13.73,5881
13.75,5897
13.77,5918
13.79,5974
13.81,5956
13.83,5963
13.85,5856
13.87,5905
13.89,5847
13.91,6012
13.93,5963
13.95,5860
13.97,5940
13.99,5865
14.01,5866
14.03,5895
14.05,5910
14.07,6034
14.09,5979
14.11,5954
14.13,5921
14.15,6115
14.17,6034
14.19,6025
14.21,6115
14.23,5981
14.25,6048
14.27,6053
14.29,6044
14.31,6053
14.33,6191
14.35,6120
14.37,6097
14.39,6125
14.41,6076
14.43,6210
14.45,6213
14.47,6138
14.49,6127
14.51,6202
14.53,6255
14.55,6507
14.57,6144
14.59,6357
14.61,6265
14.63,6196
14.65,6335
14.67,6285
14.69,6270
14.71,6142
14.73,6104
14.75,6329
14.77,6258
14.79,6152
14.81,6123
14.83,6153
14.85,6170
14.87,6061
14.89,6078
14.91,5915
14.93,5788
14.95,5874
14.97,5912
14.99,5927
15.01,5792
15.03,5826
