Angle,Intensity
10.025066900,489.0
10.075200704,453.0
10.125334508,436.0
10.175468312,445.0
10.225602116,435.0
10.275735920,389.0
10.325869725,478.0
10.376003529,412.0
10.426137333,414.0
10.476271137,423.0
10.526404941,447.0
10.576538745,433.0
10.626672549,412.0
10.676806353,407.0
10.726940157,376.0
10.777073961,418.0
10.827207765,407.0
10.877341570,406.0
10.927475374,425.0
10.977609178,373.0
11.027742982,431.0
11.077876786,380.0
11.128010590,372.0
11.178144394,400.0
11.228278198,415.0
11.278412002,377.0
11.328545806,376.0
11.378679610,406.0
11.428813415,399.0
11.478947219,359.0
11.529081023,390.0
11.579214827,437.0
11.629348631,370.0
11.679482435,396.0
11.729616239,377.0
11.779750043,356.0
11.829883847,341.0
11.880017651,400.0
11.930151455,368.0
11.980285260,370.0
12.030419064,354.0
12.080552868,389.0
12.130686672,409.0
12.180820476,387.0
12.230954280,391.0
12.281088084,380.0
12.331221888,390.0
12.381355692,406.0
12.431489496,412.0
12.481623300,344.0
12.531757105,437.0
12.581890909,394.0
12.632024713,405.0
12.682158517,390.0
12.732292321,377.0
12.782426125,350.0
12.832559929,337.0
12.882693733,365.0
12.932827537,361.0
12.982961341,331.0
13.033095145,364.0
13.083228950,378.0
13.133362754,335.0
13.183496558,370.0
13.233630362,364.0
13.283764166,358.0
13.333897970,316.0
13.384031774,378.0
13.434165578,356.0
13.484299382,395.0
13.534433186,360.0
13.584566990,396.0
13.634700795,346.0
13.684834599,388.0
13.734968403,337.0
13.785102207,352.0
13.835236011,365.0
13.885369815,331.0
13.935503619,374.0
13.985637423,389.0
14.035771227,302.0
14.085905031,362.0
14.136038835,355.0
14.186172640,353.0
14.236306444,334.0
14.286440248,331.0
14.336574052,373.0
14.386707856,293.0
14.436841660,329.0
14.486975464,314.0
14.537109268,352.0
14.587243072,302.0
14.637376876,330.0
14.687510681,331.0
14.737644485,316.0
14.787778289,316.0
14.837912093,328.0
14.888045897,328.0
14.938179701,312.0
14.988313505,322.0
15.038447309,292.0
15.088581113,289.0
15.138714917,317.0
15.188848721,302.0
15.238982526,307.0
15.289116330,308.0
15.339250134,293.0
15.389383938,310.0
15.439517742,282.0
15.489651546,287.0
15.539785350,295.0
15.589919154,307.0
15.640052958,290.0
15.690186762,274.0
15.740320566,311.0
15.790454371,265.0
15.840588175,260.0
15.890721979,289.0
15.940855783,268.0
15.990989587,288.0
16.041123391,284.0
16.091257195,253.0
16.141390999,284.0
16.191524803,260.0
16.241658607,257.0
16.291792411,284.0
16.341926216,280.0
16.392060020,258.0
16.442193824,222.0
16.492327628,225.0
16.542461432,260.0
16.592595236,259.0
16.642729040,265.0
16.692862844,259.0
16.742996648,257.0
16.793130452,253.0
16.843264256,268.0
16.893398061,225.0
16.943531865,219.0
16.993665669,265.0
17.043799473,251.0
17.093933277,283.0
17.144067081,249.0
17.194200885,211.0
17.244334689,259.0
17.294468493,247.0
17.344602297,260.0
17.394736101,254.0
17.444869906,228.0
17.495003710,241.0
17.545137514,235.0
17.595271318,237.0
17.645405122,223.0
17.695538926,227.0
17.745672730,213.0
17.795806534,197.0
17.845940338,243.0
17.896074142,217.0
17.946207946,210.0
17.996341751,222.0
18.046475555,237.0
18.096609359,235.0
18.146743163,199.0
18.196876967,189.0
18.247010771,209.0
18.297144575,223.0
18.347278379,205.0
18.397412183,204.0
18.447545987,180.0
18.497679791,213.0
18.547813596,206.0
18.597947400,198.0
18.648081204,209.0
18.698215008,199.0
18.748348812,212.0
18.798482616,188.0
18.848616420,193.0
18.898750224,176.0
18.948884028,209.0
18.999017832,224.0
19.049151636,169.0
19.099285441,191.0
19.149419245,176.0
19.199553049,171.0
19.249686853,192.0
19.299820657,197.0
19.349954461,198.0
19.400088265,199.0
19.450222069,189.0
19.500355873,195.0
19.550489677,153.0
19.600623481,187.0
19.650757286,185.0
19.700891090,173.0
19.751024894,155.0
19.801158698,173.0
19.851292502,153.0
19.901426306,177.0
19.951560110,170.0
20.001693914,189.0
20.051827718,189.0
20.101961522,174.0
20.152095326,152.0
20.202229131,147.0
20.252362935,163.0
20.302496739,153.0
20.352630543,133.0
20.402764347,167.0
20.452898151,161.0
20.503031955,161.0
20.553165759,169.0
20.603299563,163.0
20.653433367,150.0
20.703567171,156.0
20.753700976,169.0
20.803834780,165.0
20.853968584,155.0
20.904102388,162.0
20.954236192,150.0
21.004369996,158.0
21.054503800,149.0
21.104637604,139.0
21.154771408,163.0
21.204905212,129.0
21.255039016,143.0
21.305172821,146.0
21.355306625,152.0
21.405440429,152.0
21.455574233,156.0
21.505708037,152.0
21.555841841,158.0
21.605975645,146.0
21.656109449,138.0
21.706243253,140.0
21.756377057,156.0
21.806510861,117.0
21.856644666,140.0
21.906778470,159.0
21.956912274,145.0
22.007046078,144.0
22.057179882,137.0
22.107313686,138.0
22.157447490,140.0
22.207581294,144.0
22.257715098,132.0
22.307848902,134.0
22.357982706,135.0
22.408116511,124.0
22.458250315,123.0
22.508384119,116.0
22.558517923,147.0
22.608651727,169.0
22.658785531,150.0
22.708919335,120.0
22.759053139,124.0
22.809186943,132.0
22.859320747,131.0
22.909454551,111.0
22.959588356,112.0
23.009722160,149.0
23.059855964,129.0
23.109989768,129.0
23.160123572,132.0
23.210257376,153.0
23.260391180,115.0
23.310524984,105.0
23.360658788,120.0
23.410792592,96.0
23.460926396,116.0
23.511060201,134.0
23.561194005,124.0
23.611327809,117.0
23.661461613,108.0
23.711595417,131.0
23.761729221,120.0
23.811863025,150.0
23.861996829,126.0
23.912130633,121.0
23.962264437,114.0
24.012398242,123.0
24.062532046,135.0
24.112665850,139.0
24.162799654,129.0
24.212933458,121.0
24.263067262,129.0
24.313201066,115.0
24.363334870,103.0
24.413468674,137.0
24.463602478,116.0
24.513736282,111.0
24.563870087,114.0
24.614003891,132.0
24.664137695,114.0
24.714271499,106.0
24.764405303,106.0
24.814539107,117.0
24.864672911,114.0
24.914806715,103.0
24.964940519,118.0
25.015074323,137.0
25.065208127,102.0
25.115341932,112.0
25.165475736,122.0
25.215609540,112.0
25.265743344,115.0
25.315877148,109.0
25.366010952,111.0
25.416144756,121.0
25.466278560,121.0
25.516412364,127.0
25.566546168,124.0
25.616679972,137.0
25.666813777,115.0
25.716947581,124.0
25.767081385,131.0
25.817215189,123.0
25.867348993,90.0
25.917482797,116.0
25.967616601,109.0
26.017750405,102.0
26.067884209,100.0
26.118018013,112.0
26.168151817,115.0
26.218285622,114.0
26.268419426,103.0
26.318553230,108.0
26.368687034,104.0
26.418820838,108.0
26.468954642,110.0
26.519088446,117.0
26.569222250,129.0
26.619356054,144.0
26.669489858,129.0
26.719623662,132.0
26.769757467,129.0
26.819891271,103.0
26.870025075,134.0
26.920158879,117.0
26.970292683,118.0
27.020426487,132.0
27.070560291,108.0
27.120694095,150.0
27.170827899,124.0
27.220961703,118.0
27.271095507,126.0
27.321229312,121.0
27.371363116,128.0
27.421496920,129.0
27.471630724,132.0
27.521764528,126.0
27.571898332,149.0
27.622032136,128.0
27.672165940,143.0
27.722299744,143.0
27.772433548,147.0
27.822567352,145.0
27.872701157,161.0
27.922834961,157.0
27.972968765,167.0
28.023102569,187.0
28.073236373,195.0
28.123370177,192.0
28.173503981,286.0
28.223637785,317.0
28.273771589,474.0
28.323905393,973.0
28.374039197,3320.0
28.424173002,7598.0
28.474306806,5980.0
28.524440610,3475.0
28.574574414,1034.0
28.624708218,417.0
28.674842022,274.0
28.724975826,200.0
28.775109630,181.0
28.825243434,191.0
28.875377238,137.0
28.925511042,152.0
28.975644847,116.0
29.025778651,123.0
29.075912455,128.0
29.126046259,111.0
29.176180063,114.0
29.226313867,127.0
29.276447671,118.0
29.326581475,128.0
29.376715279,100.0
29.426849083,98.0
29.476982887,87.0
29.527116692,100.0
29.577250496,102.0
29.627384300,102.0
29.677518104,92.0
29.727651908,79.0
29.777785712,109.0
29.827919516,98.0
29.878053320,92.0
29.928187124,92.0
29.978320928,82.0
30.028454732,102.0
30.078588537,81.0
30.128722341,100.0
30.178856145,88.0
30.228989949,117.0
30.279123753,102.0
30.329257557,100.0
30.379391361,126.0
30.429525165,108.0
30.479658969,103.0
30.529792773,112.0
30.579926577,70.0
30.630060382,97.0
30.680194186,86.0
30.730327990,99.0
30.780461794,78.0
30.830595598,106.0
30.880729402,100.0
30.930863206,82.0
30.980997010,96.0
31.031130814,85.0
31.081264618,102.0
31.131398422,92.0
31.181532227,91.0
31.231666031,68.0
31.281799835,87.0
31.331933639,99.0
31.382067443,80.0
31.432201247,90.0
31.482335051,96.0
31.532468855,104.0
31.582602659,76.0
31.632736463,96.0
31.682870267,94.0
31.733004072,96.0
31.783137876,82.0
31.833271680,79.0
31.883405484,102.0
31.933539288,88.0
31.983673092,93.0
32.033806896,74.0
32.083940700,80.0
32.134074504,92.0
32.184208308,54.0
32.234342112,80.0
32.284475917,85.0
32.334609721,75.0
32.384743525,99.0
32.434877329,78.0
32.485011133,70.0
32.535144937,93.0
32.585278741,69.0
32.635412545,84.0
32.685546349,78.0
32.735680153,87.0
32.785813958,78.0
32.835947762,61.0
32.886081566,85.0
32.936215370,88.0
32.986349174,64.0
33.036482978,69.0
33.086616782,94.0
33.136750586,73.0
33.186884390,85.0
33.237018194,80.0
33.287151998,96.0
33.337285803,68.0
33.387419607,69.0
33.437553411,80.0
33.487687215,76.0
33.537821019,68.0
33.587954823,70.0
33.638088627,63.0
33.688222431,68.0
33.738356235,75.0
33.788490039,85.0
33.838623843,88.0
33.888757648,84.0
33.938891452,66.0
33.989025256,66.0
34.039159060,60.0
34.089292864,57.0
34.139426668,78.0
34.189560472,70.0
34.239694276,72.0
34.289828080,76.0
34.339961884,84.0
34.390095688,79.0
34.440229493,84.0
34.490363297,62.0
34.540497101,63.0
