Angle,Intensity
55.505355630,79.0
55.522066899,61.0
55.538778168,65.0
55.555489437,52.0
55.572200706,66.0
55.588911975,78.0
55.605623244,61.0
55.622334513,71.0
55.639045782,72.0
55.655757051,71.0
55.672468320,69.0
55.689179589,69.0
55.705890858,62.0
55.722602127,85.0
55.739313396,77.0
55.756024665,78.0
55.772735934,69.0
55.789447203,98.0
55.806158472,92.0
55.822869741,97.0
55.839581010,114.0
55.856292279,113.0
55.873003548,120.0
55.889714817,146.0
55.906426086,157.0
55.923137355,159.0
55.939848624,180.0
55.956559893,191.0
55.973271162,211.0
55.989982431,219.0
56.006693699,213.0
56.023404968,246.0
56.040116237,292.0
56.056827506,358.0
56.073538775,477.0
56.090250044,570.0
56.106961313,783.0
56.123672582,1136.0
56.140383851,1723.0
56.157095120,2618.0
56.173806389,3673.0
56.190517658,4405.0
56.207228927,4211.0
56.223940196,3310.0
56.240651465,2325.0
56.257362734,1619.0
56.274074003,1388.0
56.290785272,1350.0
56.307496541,1607.0
56.324207810,2041.0
56.340919079,2321.0
56.357630348,2204.0
56.374341617,1835.0
56.391052886,1304.0
56.407764155,812.0
56.424475424,537.0
56.441186693,456.0
56.457897962,345.0
56.474609231,270.0
56.491320500,226.0
