Angle,Intensity
10.018066900,39.0
10.068200704,39.0
10.118334508,42.0
10.168468312,37.0
10.218602116,39.0
10.268735920,46.0
10.318869725,39.0
10.369003529,36.0
10.419137333,36.0
10.469271137,34.0
10.519404941,42.0
10.569538745,43.0
10.619672549,49.0
10.669806353,54.0
10.719940157,48.0
10.770073961,46.0
10.820207765,46.0
10.870341570,44.0
10.920475374,40.0
10.970609178,37.0
11.020742982,50.0
11.070876786,50.0
11.121010590,32.0
11.171144394,39.0
11.221278198,63.0
11.271412002,43.0
11.321545806,50.0
11.371679610,46.0
11.421813415,42.0
11.471947219,58.0
11.522081023,38.0
11.572214827,61.0
11.622348631,51.0
11.672482435,61.0
11.722616239,46.0
11.772750043,46.0
11.822883847,66.0
11.873017651,42.0
11.923151455,76.0
11.973285260,69.0
12.023419064,50.0
12.073552868,45.0
12.123686672,52.0
12.173820476,44.0
12.223954280,61.0
12.274088084,56.0
12.324221888,51.0
12.374355692,57.0
12.424489496,69.0
12.474623300,87.0
12.524757105,61.0
12.574890909,61.0
12.625024713,56.0
12.675158517,58.0
12.725292321,62.0
12.775426125,62.0
12.825559929,66.0
12.875693733,48.0
12.925827537,63.0
12.975961341,62.0
13.026095145,38.0
13.076228950,66.0
13.126362754,64.0
13.176496558,64.0
13.226630362,50.0
13.276764166,75.0
13.326897970,63.0
13.377031774,73.0
13.427165578,48.0
13.477299382,58.0
13.527433186,76.0
13.577566990,52.0
13.627700795,74.0
13.677834599,58.0
13.727968403,69.0
13.778102207,66.0
13.828236011,69.0
13.878369815,70.0
13.928503619,57.0
13.978637423,67.0
14.028771227,61.0
14.078905031,88.0
14.129038835,57.0
14.179172640,60.0
14.229306444,61.0
14.279440248,73.0
14.329574052,85.0
14.379707856,68.0
14.429841660,72.0
14.479975464,62.0
14.530109268,72.0
14.580243072,62.0
14.630376876,49.0
14.680510681,64.0
14.730644485,61.0
14.780778289,52.0
14.830912093,50.0
14.881045897,66.0
14.931179701,63.0
14.981313505,82.0
15.031447309,51.0
15.081581113,55.0
15.131714917,45.0
15.181848721,70.0
15.231982526,66.0
15.282116330,39.0
15.332250134,51.0
15.382383938,44.0
15.432517742,58.0
15.482651546,70.0
15.532785350,56.0
15.582919154,54.0
15.633052958,57.0
15.683186762,48.0
15.733320566,58.0
15.783454371,60.0
15.833588175,46.0
15.883721979,51.0
15.933855783,60.0
15.983989587,58.0
16.034123391,46.0
16.084257195,51.0
16.134390999,51.0
16.184524803,51.0
16.234658607,44.0
16.284792411,43.0
16.334926216,72.0
16.385060020,54.0
16.435193824,46.0
16.485327628,56.0
16.535461432,40.0
16.585595236,38.0
16.635729040,40.0
16.685862844,42.0
16.735996648,40.0
16.786130452,49.0
16.836264256,44.0
16.886398061,54.0
16.936531865,43.0
16.986665669,33.0
17.036799473,49.0
17.086933277,50.0
17.137067081,37.0
17.187200885,49.0
17.237334689,34.0
17.287468493,44.0
17.337602297,40.0
17.387736101,50.0
17.437869906,39.0
17.488003710,42.0
17.538137514,32.0
17.588271318,49.0
17.638405122,37.0
17.688538926,33.0
17.738672730,34.0
17.788806534,37.0
17.838940338,34.0
17.889074142,32.0
17.939207946,51.0
17.989341751,36.0
18.039475555,46.0
18.089609359,28.0
18.139743163,33.0
18.189876967,44.0
18.240010771,26.0
18.290144575,39.0
18.340278379,36.0
18.390412183,32.0
18.440545987,43.0
18.490679791,34.0
18.540813596,33.0
18.590947400,25.0
18.641081204,32.0
18.691215008,31.0
18.741348812,31.0
18.791482616,34.0
18.841616420,36.0
18.891750224,42.0
18.941884028,36.0
18.992017832,31.0
19.042151636,28.0
19.092285441,32.0
19.142419245,28.0
19.192553049,34.0
19.242686853,39.0
19.292820657,38.0
19.342954461,28.0
19.393088265,36.0
19.443222069,34.0
