Angle,Intensity
10.008355630,45.0
10.025066899,34.0
10.041778168,30.0
10.058489437,30.0
10.075200706,38.0
10.091911975,33.0
10.108623244,49.0
10.125334513,36.0
10.142045782,36.0
10.158757051,33.0
10.175468320,29.0
10.192179589,34.0
10.208890858,28.0
10.225602127,33.0
10.242313396,44.0
10.259024665,38.0
10.275735934,44.0
10.292447203,42.0
10.309158472,36.0
10.325869741,32.0
10.342581010,42.0
10.359292279,33.0
10.376003548,36.0
10.392714817,48.0
10.409426085,35.0
10.426137354,38.0
10.442848623,40.0
10.459559892,54.0
10.476271161,48.0
10.492982430,33.0
10.509693699,40.0
10.526404968,35.0
10.543116237,29.0
10.559827506,38.0
10.576538775,38.0
10.593250044,37.0
10.609961313,38.0
10.626672582,37.0
10.643383851,47.0
10.660095120,29.0
10.676806389,42.0
10.693517658,27.0
10.710228927,34.0
10.726940196,40.0
10.743651465,34.0
10.760362734,30.0
10.777074003,32.0
10.793785272,37.0
10.810496541,35.0
10.827207810,34.0
10.843919079,30.0
10.860630348,36.0
10.877341617,40.0
10.894052886,35.0
10.910764155,39.0
10.927475424,34.0
10.944186693,55.0
10.960897962,39.0
10.977609231,36.0
10.994320500,38.0
11.011031769,38.0
11.027743038,45.0
11.044454307,34.0
11.061165576,43.0
11.077876845,30.0
11.094588114,42.0
11.111299383,46.0
11.128010652,29.0
11.144721921,32.0
11.161433190,40.0
11.178144459,48.0
11.194855727,32.0
11.211566996,30.0
11.228278265,42.0
11.244989534,47.0
11.261700803,29.0
11.278412072,38.0
11.295123341,45.0
11.311834610,45.0
11.328545879,37.0
11.345257148,50.0
11.361968417,47.0
11.378679686,49.0
11.395390955,50.0
11.412102224,49.0
11.428813493,42.0
11.445524762,34.0
11.462236031,43.0
11.478947300,49.0
11.495658569,40.0
11.512369838,36.0
11.529081107,45.0
11.545792376,39.0
11.562503645,33.0
11.579214914,46.0
11.595926183,38.0
11.612637452,42.0
11.629348721,32.0
11.646059990,46.0
11.662771259,66.0
11.679482528,42.0
11.696193797,54.0
11.712905066,46.0
11.729616335,57.0
11.746327604,36.0
11.763038873,37.0
11.779750142,57.0
11.796461411,36.0
11.813172680,55.0
11.829883949,32.0
11.846595218,53.0
11.863306487,42.0
11.880017756,63.0
11.896729025,54.0
11.913440294,36.0
11.930151563,42.0
11.946862832,37.0
11.963574101,66.0
11.980285369,50.0
11.996996638,43.0
12.013707907,56.0
12.030419176,50.0
12.047130445,47.0
12.063841714,63.0
12.080552983,33.0
12.097264252,27.0
12.113975521,48.0
12.130686790,47.0
12.147398059,45.0
12.164109328,59.0
12.180820597,56.0
12.197531866,44.0
12.214243135,45.0
12.230954404,51.0
12.247665673,51.0
12.264376942,51.0
12.281088211,43.0
12.297799480,39.0
12.314510749,47.0
12.331222018,50.0
12.347933287,48.0
12.364644556,36.0
12.381355825,50.0
12.398067094,42.0
12.414778363,48.0
12.431489632,39.0
12.448200901,46.0
12.464912170,48.0
12.481623439,47.0
12.498334708,48.0
12.515045977,37.0
12.531757246,45.0
12.548468515,39.0
12.565179784,57.0
12.581891053,57.0
12.598602322,57.0
12.615313591,42.0
12.632024860,53.0
12.648736129,50.0
12.665447398,56.0
12.682158667,68.0
12.698869936,46.0
12.715581205,43.0
12.732292474,47.0
12.749003743,53.0
12.765715011,61.0
12.782426280,51.0
12.799137549,48.0
12.815848818,38.0
12.832560087,47.0
12.849271356,57.0
12.865982625,51.0
12.882693894,37.0
12.899405163,47.0
12.916116432,38.0
12.932827701,38.0
12.949538970,48.0
12.966250239,60.0
12.982961508,35.0
12.999672777,49.0
13.016384046,39.0
13.033095315,49.0
13.049806584,48.0
13.066517853,47.0
13.083229122,63.0
13.099940391,37.0
13.116651660,47.0
13.133362929,56.0
13.150074198,48.0
13.166785467,49.0
13.183496736,57.0
13.200208005,57.0
13.216919274,34.0
13.233630543,51.0
13.250341812,42.0
13.267053081,53.0
13.283764350,49.0
13.300475619,53.0
13.317186888,60.0
13.333898157,64.0
13.350609426,66.0
13.367320695,54.0
13.384031964,53.0
13.400743233,45.0
13.417454502,66.0
13.434165771,48.0
13.450877040,61.0
13.467588309,39.0
13.484299578,61.0
13.501010847,39.0
13.517722116,49.0
13.534433385,56.0
13.551144653,49.0
13.567855922,55.0
13.584567191,45.0
13.601278460,57.0
13.617989729,61.0
13.634700998,42.0
13.651412267,55.0
13.668123536,53.0
13.684834805,50.0
13.701546074,43.0
13.718257343,49.0
13.734968612,49.0
13.751679881,55.0
13.768391150,53.0
13.785102419,55.0
13.801813688,51.0
13.818524957,59.0
13.835236226,55.0
13.851947495,42.0
13.868658764,46.0
13.885370033,58.0
13.902081302,61.0
13.918792571,45.0
13.935503840,60.0
13.952215109,54.0
13.968926378,43.0
13.985637647,50.0
14.002348916,68.0
14.019060185,51.0
14.035771454,49.0
14.052482723,48.0
14.069193992,51.0
14.085905261,48.0
14.102616530,59.0
14.119327799,37.0
14.136039068,58.0
14.152750337,55.0
14.169461606,50.0
14.186172875,56.0
14.202884144,55.0
14.219595413,48.0
14.236306682,39.0
14.253017951,58.0
14.269729220,57.0
14.286440489,54.0
14.303151758,46.0
14.319863027,55.0
14.336574295,59.0
14.353285564,39.0
14.369996833,66.0
14.386708102,51.0
14.403419371,49.0
14.420130640,39.0
14.436841909,63.0
14.453553178,46.0
14.470264447,57.0
14.486975716,46.0
14.503686985,45.0
14.520398254,59.0
14.537109523,42.0
14.553820792,56.0
14.570532061,58.0
14.587243330,53.0
14.603954599,53.0
14.620665868,54.0
14.637377137,53.0
14.654088406,48.0
14.670799675,47.0
14.687510944,29.0
14.704222213,47.0
14.720933482,65.0
14.737644751,55.0
14.754356020,57.0
14.771067289,36.0
14.787778558,53.0
14.804489827,55.0
14.821201096,55.0
14.837912365,49.0
14.854623634,63.0
14.871334903,45.0
14.888046172,47.0
14.904757441,48.0
14.921468710,34.0
14.938179979,38.0
14.954891248,47.0
14.971602517,48.0
14.988313786,50.0
15.005025055,42.0
15.021736324,49.0
15.038447593,50.0
15.055158862,43.0
15.071870131,49.0
15.088581400,57.0
15.105292669,49.0
15.122003938,49.0
15.138715206,47.0
15.155426475,56.0
15.172137744,56.0
15.188849013,50.0
15.205560282,46.0
15.222271551,44.0
15.238982820,68.0
15.255694089,40.0
15.272405358,38.0
15.289116627,34.0
15.305827896,32.0
15.322539165,38.0
15.339250434,50.0
15.355961703,57.0
15.372672972,42.0
15.389384241,36.0
15.406095510,44.0
15.422806779,56.0
15.439518048,45.0
15.456229317,38.0
15.472940586,34.0
15.489651855,43.0
15.506363124,40.0
15.523074393,45.0
15.539785662,43.0
15.556496931,33.0
15.573208200,43.0
15.589919469,43.0
15.606630738,40.0
15.623342007,48.0
15.640053276,44.0
15.656764545,45.0
15.673475814,35.0
15.690187083,48.0
15.706898352,49.0
15.723609621,42.0
15.740320890,44.0
15.757032159,42.0
15.773743428,53.0
15.790454697,55.0
15.807165966,48.0
15.823877235,37.0
15.840588504,45.0
15.857299773,42.0
15.874011042,47.0
15.890722311,35.0
15.907433580,36.0
15.924144848,44.0
15.940856117,34.0
15.957567386,34.0
15.974278655,40.0
15.990989924,37.0
16.007701193,43.0
16.024412462,42.0
16.041123731,39.0
16.057835000,35.0
16.074546269,46.0
16.091257538,46.0
16.107968807,39.0
16.124680076,44.0
16.141391345,38.0
16.158102614,35.0
16.174813883,34.0
16.191525152,40.0
16.208236421,49.0
16.224947690,40.0
16.241658959,37.0
16.258370228,47.0
16.275081497,42.0
16.291792766,43.0
16.308504035,35.0
