Angle,Intensity
10.025066900,87.0
10.075200704,94.0
10.125334508,88.0
10.175468312,119.0
10.225602116,130.0
10.275735920,108.0
10.325869725,107.0
10.376003529,104.0
10.426137333,84.0
10.476271137,104.0
10.526404941,112.0
10.576538745,98.0
10.626672549,88.0
10.676806353,74.0
10.726940157,77.0
10.777073961,88.0
10.827207765,80.0
10.877341569,98.0
10.927475374,84.0
10.977609178,81.0
11.027742982,81.0
11.077876786,101.0
11.128010590,100.0
11.178144394,87.0
11.228278198,80.0
11.278412002,93.0
11.328545806,91.0
11.378679610,70.0
11.428813414,66.0
11.478947219,104.0
11.529081023,86.0
11.579214827,74.0
11.629348631,82.0
11.679482435,99.0
11.729616239,90.0
11.779750043,91.0
11.829883847,95.0
11.880017651,106.0
11.930151455,79.0
11.980285259,89.0
12.030419063,124.0
12.080552868,93.0
12.130686672,99.0
12.180820476,93.0
12.230954280,95.0
12.281088084,90.0
12.331221888,90.0
12.381355692,103.0
12.431489496,84.0
12.481623300,92.0
12.531757104,81.0
12.581890908,102.0
12.632024712,101.0
12.682158517,65.0
12.732292321,104.0
12.782426125,72.0
12.832559929,77.0
12.882693733,100.0
12.932827537,90.0
12.982961341,93.0
13.033095145,83.0
13.083228949,112.0
13.133362753,92.0
13.183496557,108.0
13.233630362,89.0
13.283764166,81.0
13.333897970,96.0
13.384031774,108.0
13.434165578,104.0
13.484299382,115.0
13.534433186,79.0
13.584566990,102.0
13.634700794,127.0
13.684834598,84.0
13.734968402,92.0
13.785102206,96.0
13.835236011,80.0
13.885369815,92.0
13.935503619,86.0
13.985637423,86.0
14.035771227,104.0
14.085905031,99.0
14.136038835,113.0
14.186172639,93.0
14.236306443,111.0
14.286440247,96.0
14.336574051,118.0
14.386707856,107.0
14.436841660,120.0
14.486975464,113.0
14.537109268,93.0
14.587243072,102.0
14.637376876,113.0
14.687510680,112.0
14.737644484,88.0
14.787778288,117.0
14.837912092,115.0
14.888045896,100.0
14.938179700,96.0
14.988313505,96.0
15.038447309,102.0
15.088581113,87.0
15.138714917,86.0
15.188848721,96.0
15.238982525,102.0
15.289116329,104.0
15.339250133,91.0
15.389383937,75.0
15.439517741,101.0
15.489651545,99.0
15.539785349,77.0
15.589919154,89.0
15.640052958,82.0
15.690186762,83.0
15.740320566,74.0
15.790454370,84.0
15.840588174,74.0
15.890721978,68.0
15.940855782,64.0
15.990989586,84.0
16.041123390,59.0
16.091257194,71.0
16.141390999,66.0
16.191524803,70.0
16.241658607,77.0
16.291792411,77.0
16.341926215,68.0
16.392060019,84.0
16.442193823,60.0
16.492327627,71.0
16.542461431,78.0
16.592595235,47.0
16.642729039,88.0
16.692862843,83.0
16.742996648,67.0
16.793130452,66.0
16.843264256,76.0
16.893398060,69.0
16.943531864,79.0
16.993665668,66.0
17.043799472,67.0
17.093933276,74.0
17.144067080,74.0
17.194200884,69.0
17.244334688,77.0
17.294468493,77.0
17.344602297,69.0
17.394736101,63.0
17.444869905,52.0
17.495003709,63.0
17.545137513,63.0
17.595271317,63.0
17.645405121,49.0
17.695538925,68.0
17.745672729,72.0
17.795806533,67.0
17.845940337,53.0
17.896074142,71.0
17.946207946,56.0
17.996341750,54.0
18.046475554,69.0
18.096609358,58.0
18.146743162,66.0
18.196876966,62.0
18.247010770,53.0
18.297144574,60.0
18.347278378,50.0
18.397412182,51.0
18.447545987,69.0
18.497679791,50.0
18.547813595,62.0
18.597947399,49.0
18.648081203,70.0
18.698215007,60.0
18.748348811,56.0
18.798482615,69.0
18.848616419,53.0
18.898750223,51.0
18.948884027,46.0
18.999017831,51.0
19.049151636,47.0
19.099285440,57.0
19.149419244,51.0
19.199553048,37.0
19.249686852,54.0
19.299820656,52.0
19.349954460,47.0
19.400088264,39.0
19.450222068,52.0
19.500355872,46.0
19.550489676,49.0
19.600623480,47.0
19.650757285,31.0
19.700891089,45.0
19.751024893,38.0
19.801158697,51.0
19.851292501,42.0
19.901426305,37.0
19.951560109,51.0
20.001693913,41.0
20.051827717,45.0
20.101961521,40.0
20.152095325,40.0
20.202229130,49.0
20.252362934,44.0
20.302496738,45.0
20.352630542,32.0
20.402764346,44.0
20.452898150,44.0
20.503031954,39.0
20.553165758,44.0
20.603299562,42.0
20.653433366,27.0
20.703567170,41.0
20.753700974,41.0
20.803834779,58.0
20.853968583,42.0
20.904102387,40.0
20.954236191,41.0
21.004369995,39.0
21.054503799,55.0
21.104637603,32.0
21.154771407,29.0
21.204905211,34.0
21.255039015,23.0
21.305172819,41.0
21.355306624,46.0
21.405440428,38.0
21.455574232,32.0
21.505708036,34.0
21.555841840,43.0
21.605975644,40.0
21.656109448,39.0
21.706243252,40.0
21.756377056,31.0
21.806510860,25.0
21.856644664,31.0
21.906778468,37.0
21.956912273,41.0
22.007046077,43.0
22.057179881,54.0
22.107313685,33.0
22.157447489,35.0
22.207581293,33.0
22.257715097,27.0
22.307848901,28.0
22.357982705,33.0
22.408116509,34.0
22.458250313,38.0
22.508384118,23.0
22.558517922,42.0
22.608651726,21.0
22.658785530,22.0
22.708919334,28.0
22.759053138,29.0
22.809186942,46.0
22.859320746,27.0
22.909454550,33.0
22.959588354,34.0
23.009722158,38.0
23.059855962,30.0
23.109989767,33.0
23.160123571,37.0
23.210257375,35.0
23.260391179,31.0
23.310524983,32.0
23.360658787,29.0
23.410792591,39.0
23.460926395,32.0
23.511060199,33.0
23.561194003,31.0
23.611327807,38.0
23.661461611,20.0
23.711595416,32.0
23.761729220,37.0
23.811863024,25.0
23.861996828,34.0
23.912130632,29.0
23.962264436,32.0
24.012398240,44.0
24.062532044,30.0
24.112665848,32.0
24.162799652,33.0
24.212933456,43.0
24.263067261,32.0
24.313201065,26.0
24.363334869,45.0
24.413468673,27.0
24.463602477,41.0
24.513736281,39.0
24.563870085,40.0
24.614003889,45.0
24.664137693,25.0
24.714271497,31.0
24.764405301,28.0
24.814539105,34.0
24.864672910,39.0
24.914806714,28.0
24.964940518,40.0
25.015074322,42.0
25.065208126,37.0
25.115341930,38.0
25.165475734,34.0
25.215609538,51.0
25.265743342,33.0
25.315877146,34.0
25.366010950,35.0
25.416144755,40.0
25.466278559,20.0
25.516412363,47.0
25.566546167,38.0
25.616679971,41.0
25.666813775,32.0
25.716947579,46.0
25.767081383,35.0
25.817215187,35.0
25.867348991,40.0
25.917482795,29.0
25.967616599,30.0
26.017750404,45.0
26.067884208,21.0
26.118018012,32.0
26.168151816,41.0
26.218285620,23.0
26.268419424,26.0
26.318553228,44.0
26.368687032,39.0
26.418820836,25.0
26.468954640,33.0
26.519088444,23.0
26.569222248,37.0
26.619356053,35.0
26.669489857,27.0
26.719623661,27.0
26.769757465,31.0
26.819891269,35.0
26.870025073,32.0
26.920158877,39.0
26.970292681,41.0
27.020426485,28.0
27.070560289,41.0
27.120694093,33.0
27.170827898,52.0
27.220961702,38.0
27.271095506,42.0
27.321229310,33.0
27.371363114,34.0
27.421496918,47.0
27.471630722,42.0
27.521764526,44.0
27.571898330,28.0
27.622032134,44.0
27.672165938,35.0
27.722299742,32.0
27.772433547,42.0
27.822567351,50.0
27.872701155,55.0
27.922834959,65.0
27.972968763,65.0
28.023102567,55.0
28.073236371,79.0
28.123370175,99.0
28.173503979,104.0
28.223637783,110.0
28.273771587,216.0
28.323905392,396.0
28.374039196,1100.0
28.424173000,2931.0
28.474306804,3381.0
28.524440608,2268.0
28.574574412,809.0
28.624708216,308.0
28.674842020,165.0
28.724975824,112.0
28.775109628,119.0
28.825243432,87.0
28.875377236,83.0
28.925511041,84.0
28.975644845,76.0
29.025778649,80.0
29.075912453,62.0
29.126046257,57.0
29.176180061,62.0
29.226313865,60.0
29.276447669,68.0
29.326581473,50.0
29.376715277,56.0
29.426849081,44.0
29.476982886,67.0
29.527116690,58.0
29.577250494,38.0
29.627384298,58.0
29.677518102,59.0
29.727651906,47.0
29.777785710,52.0
29.827919514,54.0
29.878053318,45.0
29.928187122,37.0
29.978320926,46.0
30.028454730,57.0
30.078588535,52.0
30.128722339,63.0
30.178856143,44.0
30.228989947,69.0
30.279123751,58.0
30.329257555,34.0
30.379391359,53.0
30.429525163,31.0
30.479658967,55.0
30.529792771,42.0
30.579926575,43.0
30.630060379,30.0
30.680194184,43.0
30.730327988,49.0
30.780461792,57.0
30.830595596,47.0
30.880729400,43.0
30.930863204,43.0
30.980997008,46.0
31.031130812,39.0
31.081264616,28.0
31.131398420,44.0
31.181532224,40.0
31.231666029,52.0
31.281799833,30.0
31.331933637,29.0
31.382067441,40.0
31.432201245,26.0
31.482335049,31.0
31.532468853,27.0
31.582602657,33.0
31.632736461,33.0
31.682870265,26.0
31.733004069,44.0
31.783137873,39.0
31.833271678,21.0
31.883405482,26.0
31.933539286,38.0
31.983673090,27.0
32.033806894,23.0
32.083940698,29.0
32.134074502,29.0
32.184208306,21.0
32.234342110,27.0
32.284475914,26.0
32.334609718,27.0
32.384743523,28.0
32.434877327,31.0
32.485011131,39.0
32.535144935,29.0
32.585278739,28.0
32.635412543,31.0
32.685546347,33.0
32.735680151,25.0
32.785813955,28.0
32.835947759,18.0
32.886081563,23.0
32.936215367,19.0
32.986349172,35.0
33.036482976,19.0
33.086616780,26.0
33.136750584,38.0
33.186884388,41.0
33.237018192,18.0
33.287151996,19.0
33.337285800,20.0
33.387419604,29.0
33.437553408,26.0
33.487687212,18.0
33.537821016,30.0
33.587954821,27.0
33.638088625,22.0
33.688222429,22.0
33.738356233,19.0
33.788490037,31.0
33.838623841,35.0
33.888757645,34.0
33.938891449,21.0
33.989025253,16.0
34.039159057,30.0
34.089292861,25.0
34.139426666,42.0
34.189560470,28.0
34.239694274,26.0
34.289828078,17.0
34.339961882,20.0
34.390095686,27.0
34.440229490,23.0
34.490363294,26.0
34.540497098,34.0
34.590630902,33.0
34.640764706,34.0
34.690898510,25.0
34.741032315,27.0
34.791166119,20.0
34.841299923,26.0
34.891433727,20.0
34.941567531,15.0
34.991701335,18.0
35.041835139,26.0
35.091968943,23.0
35.142102747,21.0
35.192236551,20.0
35.242370355,27.0
35.292504160,21.0
35.342637964,21.0
35.392771768,29.0
35.442905572,25.0
35.493039376,22.0
35.543173180,27.0
35.593306984,20.0
35.643440788,21.0
35.693574592,26.0
35.743708396,20.0
35.793842200,21.0
35.843976004,30.0
35.894109809,23.0
35.944243613,30.0
35.994377417,22.0
36.044511221,17.0
36.094645025,28.0
36.144778829,23.0
36.194912633,10.0
36.245046437,32.0
36.295180241,22.0
36.345314045,21.0
36.395447849,25.0
36.445581654,30.0
36.495715458,20.0
36.545849262,15.0
36.595983066,30.0
36.646116870,23.0
36.696250674,17.0
36.746384478,25.0
36.796518282,19.0
36.846652086,17.0
36.896785890,16.0
36.946919694,22.0
36.997053498,19.0
37.047187303,26.0
37.097321107,17.0
37.147454911,19.0
37.197588715,17.0
37.247722519,21.0
37.297856323,21.0
37.347990127,16.0
37.398123931,20.0
37.448257735,15.0
37.498391539,28.0
37.548525343,28.0
37.598659147,27.0
37.648792952,18.0
37.698926756,28.0
37.749060560,23.0
37.799194364,26.0
37.849328168,21.0
37.899461972,33.0
37.949595776,19.0
37.999729580,22.0
38.049863384,23.0
38.099997188,11.0
38.150130992,22.0
38.200264797,19.0
38.250398601,22.0
38.300532405,19.0
38.350666209,25.0
38.400800013,14.0
38.450933817,22.0
38.501067621,16.0
38.551201425,19.0
38.601335229,15.0
38.651469033,25.0
38.701602837,13.0
38.751736641,16.0
38.801870446,21.0
38.852004250,18.0
38.902138054,16.0
38.952271858,26.0
39.002405662,19.0
39.052539466,16.0
39.102673270,25.0
39.152807074,15.0
39.202940878,20.0
39.253074682,21.0
39.303208486,31.0
39.353342291,27.0
39.403476095,11.0
39.453609899,20.0
39.503743703,14.0
39.553877507,23.0
39.604011311,18.0
39.654145115,28.0
39.704278919,18.0
39.754412723,16.0
39.804546527,13.0
39.854680331,25.0
39.904814135,28.0
39.954947940,22.0
40.005081744,16.0
40.055215548,18.0
40.105349352,18.0
40.155483156,20.0
40.205616960,13.0
40.255750764,25.0
40.305884568,18.0
40.356018372,30.0
40.406152176,23.0
40.456285980,22.0
40.506419784,30.0
40.556553589,19.0
40.606687393,15.0
40.656821197,22.0
40.706955001,17.0
40.757088805,22.0
40.807222609,18.0
40.857356413,23.0
40.907490217,25.0
40.957624021,22.0
41.007757825,10.0
41.057891629,23.0
41.108025434,21.0
41.158159238,21.0
41.208293042,9.0
41.258426846,13.0
41.308560650,18.0
41.358694454,10.0
41.408828258,21.0
41.458962062,21.0
41.509095866,21.0
41.559229670,17.0
41.609363474,25.0
41.659497278,23.0
41.709631083,13.0
41.759764887,22.0
41.809898691,17.0
41.860032495,16.0
41.910166299,20.0
41.960300103,22.0
42.010433907,18.0
42.060567711,28.0
42.110701515,43.0
42.160835319,21.0
42.210969123,23.0
42.261102928,29.0
42.311236732,19.0
42.361370536,20.0
42.411504340,23.0
42.461638144,22.0
42.511771948,15.0
42.561905752,17.0
42.612039556,26.0
42.662173360,27.0
42.712307164,18.0
42.762440968,19.0
42.812574772,14.0
42.862708577,18.0
42.912842381,27.0
42.962976185,13.0
43.013109989,19.0
43.063243793,26.0
43.113377597,21.0
43.163511401,33.0
43.213645205,28.0
43.263779009,21.0
43.313912813,17.0
43.364046617,21.0
43.414180422,26.0
43.464314226,35.0
43.514448030,14.0
43.564581834,28.0
43.614715638,22.0
43.664849442,23.0
43.714983246,26.0
43.765117050,20.0
43.815250854,26.0
43.865384658,25.0
43.915518462,29.0
43.965652266,22.0
44.015786071,29.0
44.065919875,22.0
44.116053679,22.0
44.166187483,23.0
44.216321287,11.0
44.266455091,33.0
44.316588895,21.0
44.366722699,23.0
44.416856503,16.0
44.466990307,25.0
44.517124111,16.0
44.567257915,23.0
44.617391720,15.0
44.667525524,16.0
44.717659328,25.0
44.767793132,21.0
44.817926936,15.0
44.868060740,20.0
44.918194544,22.0
44.968328348,20.0
45.018462152,17.0
45.068595956,28.0
45.118729760,25.0
45.168863565,19.0
45.218997369,22.0
45.269131173,21.0
45.319264977,32.0
45.369398781,19.0
45.419532585,11.0
45.469666389,21.0
45.519800193,17.0
45.569933997,16.0
45.620067801,30.0
45.670201605,20.0
45.720335409,22.0
45.770469214,19.0
45.820603018,19.0
45.870736822,20.0
45.920870626,26.0
45.971004430,20.0
46.021138234,21.0
46.071272038,17.0
46.121405842,17.0
46.171539646,23.0
46.221673450,28.0
46.271807254,21.0
46.321941059,18.0
46.372074863,17.0
46.422208667,23.0
46.472342471,23.0
46.522476275,16.0
46.572610079,27.0
46.622743883,21.0
46.672877687,20.0
46.723011491,35.0
46.773145295,31.0
46.823279099,22.0
46.873412903,31.0
46.923546708,34.0
46.973680512,62.0
47.023814316,64.0
47.073948120,93.0
47.124081924,114.0
47.174215728,200.0
47.224349532,502.0
47.274483336,1239.0
47.324617140,1642.0
47.374750944,978.0
47.424884748,1031.0
47.475018552,594.0
47.525152357,242.0
47.575286161,116.0
47.625419965,80.0
47.675553769,56.0
47.725687573,39.0
47.775821377,49.0
47.825955181,40.0
47.876088985,35.0
47.926222789,26.0
47.976356593,31.0
48.026490397,31.0
48.076624202,40.0
48.126758006,26.0
48.176891810,38.0
48.227025614,28.0
48.277159418,28.0
48.327293222,25.0
48.377427026,29.0
48.427560830,37.0
48.477694634,22.0
48.527828438,33.0
48.577962242,25.0
48.628096046,30.0
48.678229851,18.0
48.728363655,33.0
48.778497459,26.0
48.828631263,30.0
48.878765067,18.0
48.928898871,15.0
48.979032675,37.0
49.029166479,33.0
49.079300283,21.0
49.129434087,31.0
49.179567891,34.0
49.229701696,25.0
49.279835500,18.0
49.329969304,28.0
49.380103108,21.0
49.430236912,20.0
49.480370716,26.0
49.530504520,22.0
49.580638324,17.0
49.630772128,29.0
49.680905932,22.0
49.731039736,29.0
49.781173540,23.0
49.831307345,20.0
49.881441149,29.0
49.931574953,23.0
49.981708757,20.0
50.031842561,20.0
50.081976365,19.0
50.132110169,19.0
50.182243973,20.0
50.232377777,21.0
50.282511581,19.0
50.332645385,20.0
50.382779190,21.0
50.432912994,16.0
50.483046798,22.0
50.533180602,21.0
50.583314406,21.0
50.633448210,19.0
50.683582014,20.0
50.733715818,19.0
50.783849622,17.0
50.833983426,23.0
50.884117230,17.0
50.934251034,28.0
50.984384839,20.0
51.034518643,21.0
51.084652447,26.0
51.134786251,20.0
51.184920055,20.0
51.235053859,16.0
51.285187663,15.0
51.335321467,25.0
51.385455271,35.0
51.435589075,19.0
51.485722879,18.0
51.535856683,20.0
51.585990488,14.0
51.636124292,11.0
51.686258096,9.0
51.736391900,13.0
51.786525704,22.0
51.836659508,14.0
51.886793312,16.0
51.936927116,15.0
51.987060920,7.0
52.037194724,11.0
52.087328528,20.0
52.137462333,18.0
52.187596137,16.0
52.237729941,13.0
52.287863745,20.0
52.337997549,13.0
52.388131353,25.0
52.438265157,15.0
52.488398961,16.0
52.538532765,19.0
52.588666569,10.0
52.638800373,13.0
52.688934177,13.0
52.739067982,15.0
52.789201786,17.0
52.839335590,21.0
52.889469394,14.0
52.939603198,10.0
52.989737002,11.0
53.039870806,14.0
53.090004610,16.0
53.140138414,17.0
53.190272218,10.0
53.240406022,14.0
53.290539827,11.0
53.340673631,13.0
53.390807435,16.0
53.440941239,14.0
53.491075043,9.0
53.541208847,11.0
53.591342651,9.0
53.641476455,11.0
53.691610259,18.0
53.741744063,14.0
53.791877867,14.0
53.842011671,13.0
53.892145476,13.0
53.942279280,21.0
53.992413084,17.0
54.042546888,16.0
54.092680692,9.0
54.142814496,16.0
54.192948300,17.0
54.243082104,10.0
54.293215908,17.0
54.343349712,19.0
54.393483516,11.0
54.443617321,6.0
54.493751125,11.0
54.543884929,11.0
54.594018733,11.0
54.644152537,17.0
54.694286341,21.0
54.744420145,16.0
54.794553949,17.0
54.844687753,14.0
54.894821557,11.0
54.944955361,17.0
54.995089165,14.0
55.045222970,16.0
55.095356774,13.0
55.145490578,15.0
55.195624382,29.0
55.245758186,19.0
55.295891990,22.0
55.346025794,16.0
55.396159598,17.0
55.446293402,19.0
55.496427206,11.0
55.546561010,15.0
55.596694814,22.0
55.646828619,18.0
55.696962423,25.0
55.747096227,32.0
55.797230031,40.0
55.847363835,47.0
55.897497639,54.0
55.947631443,78.0
55.997765247,132.0
56.047899051,312.0
56.098032855,752.0
56.148166659,821.0
56.198300464,383.0
56.248434268,512.0
56.298568072,449.0
56.348701876,181.0
56.398835680,90.0
56.448969484,52.0
56.499103288,35.0
56.549237092,27.0
56.599370896,32.0
56.649504700,17.0
56.699638504,25.0
56.749772308,19.0
56.799906113,17.0
56.850039917,11.0
56.900173721,25.0
56.950307525,18.0
57.000441329,20.0
57.050575133,18.0
57.100708937,25.0
57.150842741,16.0
57.200976545,16.0
57.251110349,20.0
57.301244153,26.0
57.351377958,20.0
57.401511762,20.0
57.451645566,18.0
57.501779370,16.0
57.551913174,11.0
57.602046978,11.0
57.652180782,10.0
57.702314586,17.0
57.752448390,16.0
57.802582194,18.0
57.852715998,17.0
57.902849802,16.0
57.952983607,15.0
58.003117411,14.0
58.053251215,13.0
58.103385019,15.0
58.153518823,13.0
58.203652627,11.0
58.253786431,10.0
58.303920235,8.0
58.354054039,15.0
58.404187843,8.0
58.454321647,11.0
58.504455451,13.0
58.554589256,15.0
58.604723060,8.0
58.654856864,14.0
58.704990668,17.0
58.755124472,14.0
58.805258276,19.0
58.855392080,13.0
58.905525884,13.0
58.955659688,21.0
59.005793492,21.0
59.055927296,9.0
59.106061101,19.0
59.156194905,20.0
59.206328709,9.0
59.256462513,22.0
59.306596317,17.0
59.356730121,13.0
59.406863925,9.0
59.456997729,18.0
59.507131533,17.0
59.557265337,13.0
59.607399141,16.0
59.657532945,19.0
59.707666750,14.0
59.757800554,11.0
59.807934358,9.0
59.858068162,10.0
59.908201966,15.0
59.958335770,11.0
