Angle,Intensity
55.505355630,61.0
55.522066899,57.0
55.538778168,46.0
55.555489437,53.0
55.572200706,58.0
55.588911975,58.0
55.605623244,56.0
55.622334513,50.0
55.639045782,53.0
55.655757051,70.0
55.672468320,79.0
55.689179589,60.0
55.705890858,65.0
55.722602127,56.0
55.739313396,93.0
55.756024665,66.0
55.772735934,92.0
55.789447203,80.0
55.806158472,115.0
55.822869741,131.0
55.839581010,128.0
55.856292279,165.0
55.873003548,120.0
55.889714817,145.0
55.906426086,220.0
55.923137355,191.0
55.939848624,260.0
55.956559893,285.0
55.973271162,421.0
55.989982431,568.0
56.006693699,659.0
56.023404968,971.0
56.040116237,1228.0
56.056827506,1534.0
56.073538775,1981.0
56.090250044,2144.0
56.106961313,2415.0
56.123672582,2211.0
56.140383851,1918.0
56.157095120,1618.0
56.173806389,1238.0
56.190517658,1108.0
56.207228927,1140.0
56.223940196,1268.0
56.240651465,1249.0
56.257362734,1273.0
56.274074003,1217.0
56.290785272,985.0
56.307496541,773.0
56.324207810,608.0
56.340919079,373.0
56.357630348,284.0
56.374341617,225.0
56.391052886,189.0
56.407764155,158.0
56.424475424,151.0
56.441186693,108.0
56.457897962,98.0
56.474609231,97.0
56.491320500,85.0
