Angle,Intensity
55.495355630,57.0
55.512066899,57.0
55.528778168,81.0
55.545489437,49.0
55.562200706,70.0
55.578911975,63.0
55.595623244,71.0
55.612334513,57.0
55.629045782,68.0
55.645757051,66.0
55.662468320,76.0
55.679179589,80.0
55.695890858,77.0
55.712602127,78.0
55.729313396,94.0
55.746024665,73.0
55.762735934,106.0
55.779447203,81.0
55.796158472,110.0
55.812869741,144.0
55.829581010,138.0
55.846292279,140.0
55.863003548,137.0
55.879714817,170.0
55.896426086,177.0
55.913137355,175.0
55.929848624,196.0
55.946559893,270.0
55.963271162,264.0
55.979982431,299.0
55.996693700,437.0
56.013404969,527.0
56.030116238,693.0
56.046827507,961.0
56.063538776,1364.0
56.080250045,1750.0
56.096961314,2118.0
56.113672583,2648.0
56.130383852,2813.0
56.147095121,2945.0
56.163806390,2732.0
56.180517659,2199.0
56.197228928,1893.0
56.213940197,1435.0
56.230651466,1370.0
56.247362735,1440.0
56.264074004,1554.0
56.280785273,1629.0
56.297496542,1544.0
56.314207811,1378.0
56.330919080,1126.0
56.347630349,810.0
56.364341618,621.0
56.381052887,411.0
56.397764156,315.0
56.414475425,247.0
56.431186694,198.0
56.447897963,188.0
56.464609232,155.0
56.481320501,144.0
56.498031770,105.0
56.514743039,119.0
56.531454308,125.0
56.548165577,100.0
56.564876846,78.0
56.581588115,88.0
56.598299384,92.0
56.615010653,87.0
56.631721922,72.0
56.648433191,87.0
56.665144460,64.0
56.681855729,77.0
56.698566998,62.0
56.715278267,64.0
56.731989536,68.0
56.748700805,53.0
56.765412074,62.0
56.782123343,72.0
56.798834612,70.0
56.815545881,62.0
56.832257150,54.0
56.848968419,63.0
56.865679688,61.0
56.882390957,56.0
56.899102226,62.0
56.915813495,57.0
56.932524764,58.0
56.949236033,50.0
56.965947302,51.0
56.982658571,61.0
56.999369840,65.0
57.016081109,50.0
57.032792378,70.0
57.049503647,58.0
57.066214916,65.0
57.082926185,40.0
57.099637454,62.0
57.116348723,51.0
57.133059992,40.0
57.149771261,50.0
57.166482530,52.0
57.183193799,48.0
57.199905068,61.0
57.216616337,39.0
57.233327606,50.0
57.250038875,46.0
57.266750144,42.0
57.283461413,40.0
57.300172682,45.0
57.316883951,56.0
57.333595220,38.0
57.350306489,47.0
57.367017758,37.0
57.383729027,46.0
57.400440296,46.0
57.417151565,58.0
57.433862834,46.0
57.450574103,52.0
57.467285372,22.0
57.483996641,47.0
57.500707910,35.0
57.517419179,51.0
57.534130448,50.0
57.550841717,57.0
57.567552986,57.0
57.584264255,51.0
57.600975524,46.0
57.617686793,42.0
57.634398062,42.0
57.651109331,36.0
57.667820600,48.0
57.684531869,36.0
57.701243138,39.0
57.717954407,35.0
57.734665676,34.0
57.751376945,33.0
57.768088214,52.0
57.784799483,52.0
57.801510752,33.0
57.818222021,36.0
57.834933290,49.0
57.851644559,37.0
57.868355828,56.0
57.885067097,55.0
57.901778366,51.0
57.918489635,35.0
57.935200904,50.0
57.951912173,41.0
57.968623442,37.0
57.985334711,40.0
58.002045980,48.0
58.018757249,34.0
58.035468518,50.0
58.052179787,35.0
58.068891056,36.0
58.085602325,48.0
58.102313594,39.0
58.119024863,36.0
58.135736132,35.0
58.152447401,33.0
58.169158670,34.0
58.185869939,47.0
58.202581208,46.0
58.219292477,35.0
58.236003746,36.0
58.252715015,36.0
58.269426284,34.0
58.286137553,33.0
58.302848822,38.0
58.319560091,45.0
58.336271360,32.0
58.352982629,43.0
58.369693898,41.0
58.386405167,41.0
58.403116436,37.0
58.419827705,38.0
58.436538974,38.0
58.453250243,28.0
58.469961512,43.0
58.486672781,43.0
58.503384050,28.0
58.520095319,34.0
58.536806588,35.0
58.553517857,47.0
58.570229126,46.0
58.586940395,42.0
58.603651664,43.0
58.620362933,35.0
58.637074202,27.0
58.653785471,48.0
58.670496740,40.0
58.687208009,35.0
58.703919278,40.0
58.720630547,40.0
58.737341816,27.0
58.754053085,41.0
58.770764354,47.0
58.787475623,48.0
58.804186892,35.0
58.820898161,32.0
58.837609430,48.0
58.854320699,34.0
58.871031968,39.0
58.887743237,36.0
58.904454506,45.0
58.921165775,34.0
58.937877044,27.0
58.954588313,36.0
58.971299582,33.0
58.988010851,27.0
59.004722120,33.0
59.021433389,38.0
59.038144658,30.0
59.054855927,39.0
59.071567196,39.0
59.088278465,38.0
59.104989734,35.0
59.121701003,42.0
59.138412272,40.0
59.155123541,30.0
59.171834810,42.0
59.188546079,36.0
59.205257348,27.0
59.221968617,36.0
59.238679886,43.0
59.255391155,40.0
59.272102424,42.0
59.288813693,41.0
59.305524962,41.0
59.322236231,49.0
59.338947500,30.0
59.355658769,36.0
59.372370038,33.0
59.389081307,40.0
59.405792576,28.0
59.422503845,31.0
59.439215114,20.0
59.455926383,28.0
59.472637652,35.0
59.489348921,35.0
59.506060190,25.0
