Angle,Intensity
10.001355630,493.0
10.018066899,443.0
10.034778169,485.0
10.051489438,516.0
10.068200708,498.0
10.084911977,476.0
10.101623246,480.0
10.118334516,487.0
10.135045785,487.0
10.151757055,493.0
10.168468324,493.0
10.185179593,493.0
10.201890863,502.0
10.218602132,480.0
10.235313401,497.0
10.252024671,494.0
10.268735940,478.0
10.285447210,496.0
10.302158479,464.0
10.318869748,498.0
10.335581018,501.0
10.352292287,474.0
10.369003557,500.0
10.385714826,509.0
10.402426095,478.0
10.419137365,450.0
10.435848634,493.0
10.452559904,451.0
10.469271173,462.0
10.485982442,477.0
10.502693712,462.0
10.519404981,508.0
10.536116251,485.0
10.552827520,511.0
10.569538789,470.0
10.586250059,453.0
10.602961328,498.0
10.619672598,479.0
10.636383867,458.0
10.653095136,470.0
10.669806406,463.0
10.686517675,471.0
10.703228944,464.0
10.719940214,473.0
10.736651483,474.0
10.753362753,472.0
10.770074022,453.0
10.786785291,450.0
10.803496561,483.0
10.820207830,464.0
10.836919100,484.0
10.853630369,466.0
10.870341638,480.0
10.887052908,443.0
10.903764177,528.0
10.920475447,497.0
10.937186716,486.0
10.953897985,476.0
10.970609255,465.0
10.987320524,499.0
11.004031794,506.0
11.020743063,480.0
11.037454332,478.0
11.054165602,523.0
11.070876871,494.0
11.087588141,478.0
11.104299410,491.0
11.121010679,513.0
11.137721949,469.0
11.154433218,468.0
11.171144487,515.0
11.187855757,507.0
11.204567026,511.0
11.221278296,491.0
11.237989565,488.0
11.254700834,508.0
11.271412104,477.0
11.288123373,493.0
11.304834643,508.0
11.321545912,497.0
11.338257181,487.0
11.354968451,496.0
11.371679720,506.0
11.388390990,494.0
11.405102259,509.0
11.421813528,509.0
11.438524798,482.0
11.455236067,480.0
11.471947337,486.0
11.488658606,518.0
11.505369875,518.0
11.522081145,496.0
11.538792414,530.0
11.555503684,515.0
11.572214953,499.0
11.588926222,602.0
11.605637492,494.0
11.622348761,519.0
11.639060030,484.0
11.655771300,521.0
11.672482569,495.0
11.689193839,530.0
11.705905108,504.0
11.722616377,492.0
11.739327647,559.0
11.756038916,534.0
11.772750186,507.0
11.789461455,545.0
11.806172724,494.0
11.822883994,528.0
11.839595263,508.0
11.856306533,569.0
11.873017802,510.0
11.889729071,537.0
11.906440341,480.0
11.923151610,532.0
11.939862880,496.0
11.956574149,561.0
11.973285418,527.0
11.989996688,527.0
12.006707957,555.0
12.023419227,551.0
12.040130496,562.0
12.056841765,528.0
12.073553035,558.0
12.090264304,549.0
12.106975573,510.0
12.123686843,567.0
12.140398112,508.0
12.157109382,575.0
12.173820651,559.0
12.190531920,565.0
12.207243190,532.0
12.223954459,577.0
12.240665729,537.0
12.257376998,553.0
12.274088267,575.0
12.290799537,577.0
12.307510806,566.0
12.324222076,556.0
12.340933345,570.0
12.357644614,581.0
12.374355884,606.0
12.391067153,622.0
12.407778423,577.0
12.424489692,592.0
12.441200961,618.0
12.457912231,604.0
12.474623500,562.0
12.491334770,559.0
12.508046039,559.0
12.524757308,544.0
12.541468578,567.0
12.558179847,582.0
12.574891116,565.0
12.591602386,555.0
12.608313655,582.0
12.625024925,566.0
12.641736194,604.0
12.658447463,598.0
12.675158733,567.0
12.691870002,588.0
12.708581272,580.0
12.725292541,599.0
12.742003810,563.0
12.758715080,622.0
12.775426349,587.0
12.792137619,629.0
12.808848888,580.0
12.825560157,580.0
12.842271427,606.0
12.858982696,643.0
12.875693966,629.0
12.892405235,598.0
12.909116504,582.0
12.925827774,615.0
12.942539043,583.0
12.959250313,605.0
12.975961582,608.0
12.992672851,572.0
13.009384121,586.0
13.026095390,602.0
13.042806659,575.0
13.059517929,565.0
13.076229198,581.0
13.092940468,611.0
13.109651737,542.0
13.126363006,616.0
13.143074276,598.0
13.159785545,586.0
13.176496815,612.0
13.193208084,565.0
13.209919353,562.0
13.226630623,583.0
13.243341892,605.0
13.260053162,599.0
13.276764431,603.0
13.293475700,620.0
13.310186970,588.0
13.326898239,568.0
13.343609509,620.0
13.360320778,576.0
13.377032047,599.0
13.393743317,582.0
13.410454586,610.0
13.427165856,599.0
