Angle,Intensity
10.001355630,212.0
10.018066899,230.0
10.034778168,217.0
10.051489437,241.0
10.068200706,236.0
10.084911975,223.0
10.101623244,245.0
10.118334513,206.0
10.135045782,216.0
10.151757051,210.0
10.168468320,214.0
10.185179589,201.0
10.201890858,223.0
10.218602127,194.0
10.235313396,209.0
10.252024665,171.0
10.268735934,190.0
10.285447203,178.0
10.302158472,213.0
10.318869741,182.0
10.335581010,204.0
10.352292279,206.0
10.369003548,167.0
10.385714817,213.0
10.402426085,226.0
10.419137354,176.0
10.435848623,173.0
10.452559892,204.0
10.469271161,161.0
10.485982430,176.0
10.502693699,209.0
10.519404968,190.0
10.536116237,185.0
10.552827506,190.0
10.569538775,188.0
10.586250044,195.0
10.602961313,212.0
10.619672582,180.0
10.636383851,179.0
10.653095120,183.0
10.669806389,189.0
10.686517658,190.0
10.703228927,197.0
10.719940196,183.0
10.736651465,182.0
10.753362734,175.0
10.770074003,193.0
10.786785272,185.0
10.803496541,189.0
10.820207810,170.0
10.836919079,179.0
10.853630348,165.0
10.870341617,163.0
10.887052886,183.0
10.903764155,184.0
10.920475424,175.0
10.937186693,170.0
10.953897962,185.0
10.970609231,161.0
10.987320500,186.0
11.004031769,180.0
11.020743038,175.0
11.037454307,149.0
11.054165576,174.0
11.070876845,171.0
11.087588114,167.0
11.104299383,179.0
11.121010652,158.0
11.137721921,158.0
11.154433190,184.0
11.171144459,170.0
11.187855727,171.0
11.204566996,178.0
11.221278265,152.0
11.237989534,157.0
11.254700803,182.0
11.271412072,168.0
11.288123341,175.0
11.304834610,176.0
11.321545879,155.0
11.338257148,169.0
11.354968417,159.0
11.371679686,171.0
11.388390955,157.0
11.405102224,170.0
11.421813493,153.0
11.438524762,160.0
11.455236031,146.0
11.471947300,183.0
11.488658569,147.0
11.505369838,162.0
11.522081107,127.0
11.538792376,169.0
11.555503645,149.0
11.572214914,161.0
11.588926183,162.0
11.605637452,174.0
11.622348721,157.0
11.639059990,149.0
11.655771259,172.0
11.672482528,165.0
11.689193797,160.0
11.705905066,162.0
11.722616335,139.0
11.739327604,127.0
11.756038873,163.0
11.772750142,150.0
11.789461411,158.0
11.806172680,151.0
11.822883949,162.0
11.839595218,168.0
11.856306487,184.0
11.873017756,147.0
11.889729025,149.0
11.906440294,137.0
11.923151563,157.0
11.939862832,143.0
11.956574101,171.0
11.973285369,152.0
11.989996638,127.0
12.006707907,143.0
12.023419176,154.0
12.040130445,175.0
12.056841714,147.0
12.073552983,170.0
12.090264252,157.0
12.106975521,150.0
12.123686790,153.0
12.140398059,144.0
12.157109328,161.0
12.173820597,122.0
12.190531866,137.0
12.207243135,165.0
12.223954404,148.0
12.240665673,157.0
12.257376942,147.0
12.274088211,150.0
12.290799480,138.0
12.307510749,122.0
12.324222018,150.0
12.340933287,134.0
12.357644556,151.0
12.374355825,136.0
12.391067094,161.0
12.407778363,158.0
12.424489632,139.0
12.441200901,151.0
12.457912170,136.0
12.474623439,165.0
12.491334708,146.0
12.508045977,165.0
12.524757246,132.0
12.541468515,134.0
12.558179784,137.0
12.574891053,132.0
12.591602322,142.0
12.608313591,150.0
12.625024860,131.0
12.641736129,129.0
12.658447398,141.0
12.675158667,117.0
12.691869936,150.0
12.708581205,124.0
12.725292474,149.0
12.742003742,124.0
12.758715011,127.0
12.775426280,137.0
12.792137549,137.0
12.808848818,144.0
12.825560087,129.0
12.842271356,127.0
12.858982625,168.0
12.875693894,152.0
12.892405163,138.0
12.909116432,118.0
12.925827701,149.0
12.942538970,117.0
12.959250239,133.0
12.975961508,158.0
12.992672777,142.0
13.009384046,149.0
13.026095315,134.0
13.042806584,126.0
13.059517853,144.0
13.076229122,144.0
13.092940391,122.0
13.109651660,142.0
13.126362929,138.0
13.143074198,140.0
13.159785467,141.0
13.176496736,117.0
13.193208005,118.0
13.209919274,130.0
13.226630543,124.0
13.243341812,121.0
13.260053081,116.0
13.276764350,113.0
13.293475619,130.0
13.310186888,119.0
13.326898157,123.0
13.343609426,116.0
13.360320695,138.0
13.377031964,141.0
13.393743233,138.0
13.410454502,108.0
13.427165771,127.0
13.443877040,130.0
13.460588309,120.0
13.477299578,127.0
13.494010847,115.0
13.510722116,108.0
13.527433384,129.0
13.544144653,136.0
13.560855922,109.0
13.577567191,129.0
13.594278460,120.0
13.610989729,126.0
13.627700998,142.0
13.644412267,132.0
13.661123536,137.0
13.677834805,119.0
13.694546074,132.0
13.711257343,110.0
13.727968612,123.0
13.744679881,124.0
13.761391150,119.0
13.778102419,138.0
13.794813688,132.0
13.811524957,133.0
13.828236226,121.0
13.844947495,138.0
13.861658764,123.0
13.878370033,108.0
13.895081302,130.0
13.911792571,152.0
13.928503840,137.0
13.945215109,130.0
13.961926378,127.0
13.978637647,113.0
13.995348916,137.0
14.012060185,115.0
14.028771454,123.0
14.045482723,117.0
14.062193992,113.0
14.078905261,139.0
14.095616530,132.0
14.112327799,115.0
14.129039068,142.0
14.145750337,139.0
14.162461606,116.0
14.179172875,115.0
14.195884144,147.0
14.212595413,127.0
14.229306682,130.0
14.246017951,113.0
14.262729220,134.0
14.279440489,118.0
14.296151758,120.0
14.312863026,111.0
14.329574295,136.0
14.346285564,102.0
14.362996833,131.0
14.379708102,111.0
14.396419371,133.0
14.413130640,110.0
14.429841909,107.0
14.446553178,128.0
14.463264447,95.0
14.479975716,98.0
14.496686985,115.0
14.513398254,115.0
14.530109523,132.0
14.546820792,120.0
14.563532061,109.0
14.580243330,120.0
14.596954599,116.0
14.613665868,112.0
14.630377137,115.0
14.647088406,109.0
14.663799675,111.0
14.680510944,112.0
14.697222213,118.0
14.713933482,102.0
14.730644751,127.0
14.747356020,109.0
14.764067289,102.0
14.780778558,95.0
14.797489827,98.0
14.814201096,120.0
14.830912365,143.0
14.847623634,95.0
14.864334903,96.0
14.881046172,124.0
14.897757441,116.0
14.914468710,117.0
14.931179979,98.0
14.947891248,106.0
14.964602517,111.0
14.981313786,110.0
14.998025055,119.0
15.014736324,106.0
15.031447593,94.0
15.048158862,98.0
15.064870131,100.0
15.081581400,101.0
15.098292668,106.0
15.115003937,126.0
15.131715206,101.0
15.148426475,90.0
15.165137744,101.0
15.181849013,99.0
15.198560282,109.0
15.215271551,95.0
15.231982820,106.0
15.248694089,118.0
15.265405358,98.0
15.282116627,108.0
15.298827896,89.0
15.315539165,123.0
15.332250434,98.0
15.348961703,112.0
15.365672972,109.0
15.382384241,112.0
15.399095510,90.0
15.415806779,94.0
15.432518048,101.0
15.449229317,96.0
15.465940586,115.0
15.482651855,91.0
15.499363124,92.0
15.516074393,89.0
15.532785662,92.0
15.549496931,90.0
15.566208200,92.0
15.582919469,102.0
15.599630738,117.0
15.616342007,91.0
15.633053276,90.0
15.649764545,94.0
15.666475814,100.0
15.683187083,98.0
15.699898352,113.0
15.716609621,119.0
15.733320890,82.0
15.750032159,87.0
15.766743428,102.0
15.783454697,124.0
15.800165966,136.0
15.816877235,110.0
15.833588504,98.0
15.850299773,99.0
15.867011042,118.0
15.883722310,100.0
15.900433579,97.0
15.917144848,112.0
15.933856117,89.0
15.950567386,97.0
15.967278655,80.0
15.983989924,105.0
16.000701193,98.0
16.017412462,97.0
16.034123731,85.0
16.050835000,102.0
16.067546269,94.0
16.084257538,94.0
16.100968807,115.0
16.117680076,88.0
16.134391345,103.0
16.151102614,89.0
16.167813883,92.0
16.184525152,107.0
16.201236421,96.0
16.217947690,102.0
16.234658959,123.0
16.251370228,113.0
16.268081497,85.0
16.284792766,98.0
16.301504035,111.0
16.318215304,81.0
16.334926573,101.0
16.351637842,111.0
16.368349111,94.0
16.385060380,111.0
16.401771649,89.0
16.418482918,88.0
16.435194187,99.0
16.451905456,99.0
16.468616725,97.0
16.485327994,105.0
16.502039263,101.0
16.518750532,88.0
16.535461801,86.0
16.552173070,87.0
16.568884339,96.0
16.585595608,73.0
16.602306877,73.0
16.619018146,105.0
16.635729415,95.0
16.652440684,65.0
16.669151952,96.0
16.685863221,73.0
16.702574490,88.0
16.719285759,84.0
16.735997028,100.0
16.752708297,85.0
16.769419566,63.0
16.786130835,95.0
16.802842104,95.0
16.819553373,94.0
16.836264642,84.0
16.852975911,97.0
16.869687180,71.0
16.886398449,76.0
16.903109718,106.0
16.919820987,80.0
16.936532256,75.0
16.953243525,87.0
16.969954794,96.0
16.986666063,87.0
17.003377332,98.0
17.020088601,87.0
17.036799870,84.0
17.053511139,79.0
17.070222408,102.0
17.086933677,76.0
17.103644946,106.0
17.120356215,89.0
17.137067484,69.0
17.153778753,81.0
17.170490022,92.0
17.187201291,82.0
17.203912560,88.0
17.220623829,101.0
17.237335098,80.0
17.254046367,91.0
17.270757636,95.0
17.287468905,90.0
17.304180174,89.0
17.320891443,84.0
17.337602712,76.0
17.354313981,84.0
17.371025250,68.0
17.387736519,91.0
17.404447788,65.0
17.421159057,96.0
17.437870325,95.0
17.454581594,109.0
17.471292863,105.0
17.488004132,95.0
17.504715401,79.0
17.521426670,87.0
17.538137939,91.0
17.554849208,92.0
17.571560477,94.0
17.588271746,73.0
17.604983015,89.0
17.621694284,78.0
17.638405553,86.0
17.655116822,67.0
17.671828091,79.0
17.688539360,95.0
17.705250629,80.0
17.721961898,82.0
17.738673167,78.0
17.755384436,70.0
17.772095705,65.0
17.788806974,79.0
17.805518243,95.0
17.822229512,69.0
17.838940781,76.0
17.855652050,97.0
17.872363319,71.0
17.889074588,81.0
17.905785857,85.0
17.922497126,84.0
17.939208395,98.0
17.955919664,82.0
17.972630933,91.0
17.989342202,86.0
18.006053471,66.0
18.022764740,97.0
18.039476009,90.0
18.056187278,81.0
18.072898547,95.0
18.089609816,90.0
18.106321085,74.0
18.123032354,68.0
18.139743623,67.0
18.156454892,87.0
18.173166161,101.0
18.189877430,76.0
18.206588699,90.0
18.223299967,90.0
18.240011236,92.0
18.256722505,91.0
18.273433774,75.0
18.290145043,78.0
18.306856312,74.0
18.323567581,102.0
18.340278850,82.0
18.356990119,98.0
18.373701388,86.0
18.390412657,89.0
18.407123926,98.0
18.423835195,84.0
18.440546464,74.0
18.457257733,78.0
18.473969002,70.0
18.490680271,88.0
18.507391540,76.0
18.524102809,65.0
18.540814078,66.0
18.557525347,73.0
18.574236616,74.0
18.590947885,86.0
18.607659154,70.0
18.624370423,74.0
18.641081692,71.0
18.657792961,76.0
18.674504230,71.0
18.691215499,73.0
18.707926768,67.0
18.724638037,79.0
18.741349306,90.0
18.758060575,82.0
18.774771844,75.0
18.791483113,67.0
18.808194382,71.0
18.824905651,78.0
18.841616920,60.0
18.858328189,81.0
18.875039458,76.0
18.891750727,70.0
18.908461996,69.0
18.925173265,89.0
18.941884534,67.0
18.958595803,74.0
18.975307072,76.0
18.992018341,65.0
19.008729609,77.0
19.025440878,66.0
19.042152147,65.0
19.058863416,75.0
19.075574685,73.0
19.092285954,66.0
19.108997223,67.0
19.125708492,80.0
19.142419761,100.0
19.159131030,67.0
19.175842299,81.0
19.192553568,67.0
19.209264837,98.0
19.225976106,86.0
19.242687375,64.0
19.259398644,79.0
19.276109913,85.0
19.292821182,82.0
19.309532451,74.0
19.326243720,71.0
19.342954989,66.0
19.359666258,73.0
19.376377527,75.0
19.393088796,56.0
19.409800065,80.0
19.426511334,76.0
19.443222603,82.0
19.459933872,77.0
19.476645141,66.0
19.493356410,71.0
19.510067679,64.0
19.526778948,71.0
19.543490217,63.0
19.560201486,63.0
19.576912755,74.0
19.593624024,46.0
19.610335293,75.0
19.627046562,64.0
19.643757831,56.0
19.660469100,79.0
19.677180369,73.0
19.693891638,64.0
19.710602907,67.0
19.727314176,75.0
19.744025445,77.0
19.760736714,86.0
19.777447983,90.0
19.794159251,60.0
19.810870520,80.0
19.827581789,87.0
19.844293058,60.0
19.861004327,58.0
19.877715596,85.0
19.894426865,87.0
19.911138134,61.0
19.927849403,65.0
19.944560672,82.0
19.961271941,77.0
19.977983210,63.0
19.994694479,58.0
20.011405748,67.0
20.028117017,70.0
20.044828286,66.0
20.061539555,59.0
20.078250824,68.0
20.094962093,78.0
20.111673362,70.0
20.128384631,77.0
20.145095900,70.0
20.161807169,79.0
20.178518438,76.0
20.195229707,69.0
20.211940976,53.0
20.228652245,71.0
20.245363514,68.0
20.262074783,59.0
20.278786052,82.0
20.295497321,50.0
20.312208590,58.0
20.328919859,66.0
20.345631128,58.0
20.362342397,73.0
20.379053666,71.0
20.395764935,59.0
20.412476204,44.0
20.429187473,68.0
20.445898742,74.0
20.462610011,71.0
20.479321280,63.0
20.496032549,76.0
20.512743818,60.0
20.529455087,66.0
20.546166356,59.0
20.562877625,61.0
20.579588893,60.0
20.596300162,56.0
20.613011431,54.0
20.629722700,57.0
20.646433969,73.0
20.663145238,58.0
20.679856507,80.0
20.696567776,84.0
20.713279045,63.0
20.729990314,63.0
20.746701583,60.0
20.763412852,47.0
20.780124121,76.0
20.796835390,68.0
20.813546659,64.0
20.830257928,73.0
20.846969197,86.0
20.863680466,60.0
20.880391735,91.0
20.897103004,65.0
20.913814273,59.0
20.930525542,49.0
20.947236811,64.0
20.963948080,63.0
20.980659349,63.0
20.997370618,68.0
21.014081887,69.0
21.030793156,51.0
21.047504425,70.0
21.064215694,63.0
21.080926963,64.0
21.097638232,79.0
21.114349501,75.0
21.131060770,69.0
21.147772039,77.0
21.164483308,66.0
21.181194577,56.0
21.197905846,55.0
21.214617115,82.0
21.231328384,56.0
21.248039653,50.0
21.264750922,70.0
21.281462191,57.0
21.298173460,48.0
21.314884729,66.0
21.331595998,68.0
21.348307266,59.0
21.365018535,59.0
21.381729804,60.0
21.398441073,65.0
21.415152342,65.0
21.431863611,59.0
21.448574880,69.0
21.465286149,60.0
21.481997418,58.0
21.498708687,61.0
21.515419956,53.0
21.532131225,58.0
21.548842494,64.0
21.565553763,70.0
21.582265032,59.0
21.598976301,61.0
21.615687570,59.0
21.632398839,60.0
21.649110108,47.0
21.665821377,47.0
21.682532646,71.0
21.699243915,66.0
21.715955184,56.0
21.732666453,70.0
21.749377722,71.0
21.766088991,66.0
21.782800260,46.0
21.799511529,65.0
21.816222798,61.0
21.832934067,54.0
21.849645336,61.0
21.866356605,49.0
21.883067874,67.0
21.899779143,71.0
21.916490412,61.0
21.933201681,54.0
21.949912950,57.0
21.966624219,55.0
21.983335488,59.0
22.000046757,58.0
22.016758026,45.0
22.033469295,76.0
22.050180564,47.0
22.066891833,53.0
22.083603102,55.0
22.100314371,53.0
22.117025640,75.0
22.133736908,50.0
22.150448177,54.0
22.167159446,55.0
22.183870715,67.0
22.200581984,67.0
22.217293253,69.0
22.234004522,63.0
22.250715791,61.0
