Angle,Intensity
10.001355630,490.0
10.018066899,477.0
10.034778168,446.0
10.051489437,409.0
10.068200706,453.0
10.084911975,401.0
10.101623244,463.0
10.118334513,450.0
10.135045782,433.0
10.151757051,428.0
10.168468320,467.0
10.185179589,431.0
10.201890858,419.0
10.218602127,420.0
10.235313396,450.0
10.252024665,443.0
10.268735934,433.0
10.285447203,414.0
10.302158472,422.0
10.318869741,388.0
10.335581010,441.0
10.352292279,442.0
10.369003548,429.0
10.385714817,431.0
10.402426085,434.0
10.419137354,430.0
10.435848623,426.0
10.452559892,447.0
10.469271161,384.0
10.485982430,403.0
10.502693699,450.0
10.519404968,429.0
10.536116237,433.0
10.552827506,363.0
10.569538775,419.0
10.586250044,457.0
10.602961313,415.0
10.619672582,453.0
10.636383851,428.0
10.653095120,413.0
10.669806389,426.0
10.686517658,386.0
10.703228927,441.0
10.719940196,400.0
10.736651465,453.0
10.753362734,398.0
10.770074003,411.0
10.786785272,415.0
10.803496541,407.0
10.820207810,419.0
10.836919079,405.0
10.853630348,362.0
10.870341617,395.0
10.887052886,387.0
10.903764155,416.0
10.920475424,439.0
10.937186693,403.0
10.953897962,347.0
10.970609231,412.0
10.987320500,368.0
11.004031769,399.0
11.020743038,394.0
11.037454307,419.0
11.054165576,370.0
11.070876845,416.0
11.087588114,365.0
11.104299383,424.0
11.121010652,412.0
11.137721921,411.0
11.154433190,393.0
11.171144459,397.0
11.187855727,395.0
11.204566996,379.0
11.221278265,378.0
11.237989534,403.0
11.254700803,393.0
11.271412072,350.0
11.288123341,401.0
11.304834610,362.0
11.321545879,392.0
11.338257148,397.0
11.354968417,393.0
11.371679686,391.0
11.388390955,418.0
11.405102224,394.0
11.421813493,352.0
11.438524762,367.0
11.455236031,378.0
11.471947300,411.0
11.488658569,399.0
11.505369838,411.0
11.522081107,372.0
11.538792376,363.0
11.555503645,394.0
11.572214914,389.0
11.588926183,366.0
11.605637452,389.0
11.622348721,368.0
11.639059990,438.0
11.655771259,408.0
11.672482528,392.0
11.689193797,371.0
11.705905066,404.0
11.722616335,426.0
11.739327604,407.0
11.756038873,381.0
11.772750142,374.0
11.789461411,383.0
11.806172680,362.0
11.822883949,379.0
11.839595218,371.0
11.856306487,382.0
11.873017756,390.0
11.889729025,392.0
11.906440294,371.0
11.923151563,347.0
11.939862832,386.0
11.956574101,338.0
11.973285369,388.0
11.989996638,402.0
12.006707907,378.0
12.023419176,365.0
12.040130445,358.0
12.056841714,404.0
12.073552983,410.0
12.090264252,411.0
12.106975521,392.0
12.123686790,387.0
12.140398059,386.0
12.157109328,392.0
12.173820597,374.0
12.190531866,369.0
12.207243135,379.0
12.223954404,377.0
12.240665673,403.0
12.257376942,392.0
12.274088211,397.0
12.290799480,392.0
12.307510749,348.0
12.324222018,435.0
12.340933287,390.0
12.357644556,412.0
12.374355825,369.0
12.391067094,399.0
12.407778363,412.0
12.424489632,399.0
12.441200901,415.0
12.457912170,342.0
12.474623439,404.0
12.491334708,378.0
12.508045977,351.0
12.524757246,379.0
12.541468515,419.0
12.558179784,393.0
12.574891053,384.0
12.591602322,382.0
12.608313591,387.0
12.625024860,423.0
12.641736129,371.0
12.658447398,407.0
12.675158667,399.0
12.691869936,382.0
12.708581205,390.0
12.725292474,356.0
12.742003742,438.0
12.758715011,352.0
12.775426280,376.0
12.792137549,380.0
12.808848818,395.0
12.825560087,391.0
12.842271356,367.0
12.858982625,349.0
12.875693894,370.0
12.892405163,358.0
12.909116432,394.0
12.925827701,373.0
12.942538970,383.0
12.959250239,387.0
12.975961508,388.0
12.992672777,351.0
13.009384046,388.0
13.026095315,387.0
13.042806584,388.0
13.059517853,367.0
13.076229122,403.0
13.092940391,355.0
13.109651660,379.0
13.126362929,338.0
13.143074198,376.0
13.159785467,409.0
13.176496736,368.0
13.193208005,335.0
13.209919274,377.0
13.226630543,376.0
13.243341812,386.0
13.260053081,365.0
13.276764350,373.0
13.293475619,366.0
13.310186888,346.0
13.326898157,430.0
13.343609426,360.0
13.360320695,359.0
13.377031964,374.0
13.393743233,389.0
13.410454502,348.0
13.427165771,408.0
13.443877040,371.0
13.460588309,398.0
13.477299578,363.0
13.494010847,384.0
13.510722116,356.0
13.527433384,371.0
13.544144653,367.0
13.560855922,338.0
13.577567191,351.0
13.594278460,339.0
13.610989729,373.0
13.627700998,361.0
13.644412267,394.0
13.661123536,358.0
13.677834805,400.0
13.694546074,393.0
13.711257343,331.0
13.727968612,386.0
13.744679881,348.0
13.761391150,379.0
13.778102419,400.0
13.794813688,383.0
13.811524957,356.0
13.828236226,387.0
13.844947495,351.0
13.861658764,376.0
13.878370033,388.0
13.895081302,321.0
13.911792571,349.0
13.928503840,343.0
13.945215109,384.0
13.961926378,343.0
13.978637647,370.0
13.995348916,398.0
14.012060185,379.0
14.028771454,368.0
14.045482723,376.0
14.062193992,349.0
14.078905261,377.0
14.095616530,384.0
14.112327799,401.0
14.129039068,377.0
14.145750337,360.0
14.162461606,358.0
14.179172875,340.0
14.195884144,372.0
14.212595413,360.0
14.229306682,372.0
14.246017951,341.0
14.262729220,313.0
14.279440489,352.0
14.296151758,350.0
14.312863026,340.0
14.329574295,330.0
14.346285564,349.0
14.362996833,338.0
14.379708102,334.0
14.396419371,369.0
14.413130640,360.0
14.429841909,368.0
14.446553178,360.0
14.463264447,335.0
14.479975716,335.0
14.496686985,336.0
14.513398254,368.0
14.530109523,338.0
14.546820792,348.0
14.563532061,360.0
14.580243330,327.0
14.596954599,390.0
14.613665868,338.0
14.630377137,347.0
14.647088406,311.0
14.663799675,347.0
14.680510944,336.0
14.697222213,330.0
14.713933482,343.0
14.730644751,326.0
14.747356020,339.0
14.764067289,348.0
14.780778558,316.0
14.797489827,298.0
14.814201096,353.0
14.830912365,310.0
14.847623634,332.0
14.864334903,346.0
14.881046172,331.0
14.897757441,282.0
14.914468710,332.0
14.931179979,349.0
14.947891248,299.0
14.964602517,299.0
14.981313786,269.0
14.998025055,327.0
15.014736324,288.0
15.031447593,328.0
15.048158862,305.0
15.064870131,290.0
15.081581400,342.0
15.098292668,299.0
15.115003937,342.0
15.131715206,320.0
15.148426475,274.0
15.165137744,317.0
15.181849013,332.0
15.198560282,307.0
15.215271551,329.0
15.231982820,282.0
15.248694089,315.0
15.265405358,285.0
15.282116627,307.0
15.298827896,308.0
15.315539165,311.0
15.332250434,252.0
15.348961703,311.0
15.365672972,301.0
15.382384241,307.0
15.399095510,318.0
15.415806779,280.0
15.432518048,275.0
15.449229317,290.0
15.465940586,276.0
15.482651855,258.0
15.499363124,314.0
15.516074393,288.0
15.532785662,289.0
15.549496931,280.0
15.566208200,293.0
15.582919469,273.0
15.599630738,275.0
15.616342007,283.0
15.633053276,297.0
15.649764545,243.0
15.666475814,265.0
15.683187083,264.0
15.699898352,295.0
15.716609621,314.0
15.733320890,264.0
15.750032159,289.0
15.766743428,287.0
15.783454697,284.0
15.800165966,310.0
15.816877235,228.0
15.833588504,306.0
15.850299773,240.0
15.867011042,292.0
15.883722310,276.0
15.900433579,272.0
15.917144848,263.0
15.933856117,266.0
15.950567386,245.0
15.967278655,289.0
15.983989924,247.0
16.000701193,241.0
16.017412462,248.0
16.034123731,265.0
16.050835000,255.0
16.067546269,282.0
16.084257538,259.0
16.100968807,245.0
16.117680076,237.0
16.134391345,241.0
16.151102614,255.0
16.167813883,274.0
16.184525152,280.0
16.201236421,282.0
16.217947690,248.0
16.234658959,227.0
16.251370228,235.0
16.268081497,241.0
16.284792766,227.0
16.301504035,238.0
16.318215304,237.0
16.334926573,273.0
16.351637842,223.0
16.368349111,219.0
16.385060380,251.0
16.401771649,234.0
16.418482918,217.0
16.435194187,253.0
16.451905456,270.0
16.468616725,202.0
16.485327994,233.0
16.502039263,277.0
16.518750532,241.0
16.535461801,236.0
16.552173070,217.0
16.568884339,231.0
16.585595608,252.0
16.602306877,245.0
16.619018146,241.0
16.635729415,241.0
16.652440684,234.0
16.669151952,225.0
16.685863221,220.0
16.702574490,220.0
16.719285759,246.0
16.735997028,243.0
16.752708297,225.0
16.769419566,233.0
16.786130835,237.0
16.802842104,241.0
16.819553373,206.0
16.836264642,241.0
16.852975911,219.0
16.869687180,223.0
16.886398449,223.0
16.903109718,230.0
16.919820987,225.0
16.936532256,221.0
16.953243525,226.0
16.969954794,222.0
16.986666063,236.0
17.003377332,209.0
17.020088601,223.0
17.036799870,220.0
17.053511139,186.0
17.070222408,209.0
17.086933677,235.0
17.103644946,216.0
17.120356215,224.0
17.137067484,204.0
17.153778753,194.0
17.170490022,231.0
17.187201291,244.0
17.203912560,206.0
17.220623829,205.0
17.237335098,191.0
17.254046367,197.0
17.270757636,225.0
17.287468905,234.0
17.304180174,207.0
17.320891443,194.0
17.337602712,216.0
17.354313981,227.0
17.371025250,204.0
17.387736519,207.0
17.404447788,189.0
17.421159057,217.0
17.437870325,226.0
17.454581594,207.0
17.471292863,233.0
17.488004132,185.0
17.504715401,202.0
17.521426670,214.0
17.538137939,220.0
17.554849208,190.0
