Angle,Intensity
10.025066900,496.0
10.075200704,474.0
10.125334508,436.0
10.175468312,472.0
10.225602116,481.0
10.275735920,433.0
10.325869725,403.0
10.376003529,414.0
10.426137333,432.0
10.476271137,468.0
10.526404941,401.0
10.576538745,419.0
10.626672549,406.0
10.676806353,429.0
10.726940157,400.0
10.777073961,397.0
10.827207765,401.0
10.877341570,397.0
10.927475374,393.0
10.977609178,414.0
11.027742982,367.0
11.077876786,412.0
11.128010590,397.0
11.178144394,412.0
11.228278198,408.0
11.278412002,387.0
11.328545806,356.0
11.378679610,454.0
11.428813415,419.0
11.478947219,367.0
11.529081023,382.0
11.579214827,406.0
11.629348631,399.0
11.679482435,427.0
11.729616239,411.0
11.779750043,421.0
11.829883847,450.0
11.880017651,377.0
11.930151455,397.0
11.980285260,383.0
12.030419064,429.0
12.080552868,399.0
12.130686672,380.0
12.180820476,391.0
12.230954280,395.0
12.281088084,355.0
12.331221888,431.0
12.381355692,364.0
12.431489496,371.0
12.481623300,382.0
12.531757105,359.0
12.581890909,444.0
12.632024713,373.0
12.682158517,373.0
12.732292321,384.0
12.782426125,400.0
12.832559929,371.0
12.882693733,399.0
12.932827537,391.0
12.982961341,365.0
13.033095145,373.0
13.083228950,405.0
13.133362754,341.0
13.183496558,396.0
13.233630362,390.0
13.283764166,367.0
13.333897970,407.0
13.384031774,402.0
13.434165578,353.0
13.484299382,370.0
13.534433186,393.0
13.584566990,382.0
13.634700795,353.0
13.684834599,387.0
13.734968403,405.0
13.785102207,379.0
13.835236011,365.0
13.885369815,353.0
13.935503619,396.0
13.985637423,388.0
14.035771227,417.0
14.085905031,397.0
14.136038835,397.0
14.186172640,397.0
14.236306444,360.0
14.286440248,365.0
14.336574052,389.0
14.386707856,383.0
14.436841660,360.0
14.486975464,356.0
14.537109268,347.0
14.587243072,337.0
14.637376876,346.0
14.687510681,316.0
14.737644485,341.0
14.787778289,366.0
14.837912093,313.0
14.888045897,344.0
14.938179701,340.0
14.988313505,311.0
15.038447309,370.0
15.088581113,352.0
15.138714917,355.0
15.188848721,347.0
15.238982526,299.0
15.289116330,334.0
15.339250134,317.0
15.389383938,318.0
15.439517742,324.0
15.489651546,331.0
15.539785350,310.0
15.589919154,290.0
15.640052958,296.0
15.690186762,293.0
15.740320566,304.0
15.790454371,259.0
15.840588175,284.0
15.890721979,328.0
15.940855783,274.0
15.990989587,274.0
16.041123391,259.0
16.091257195,263.0
16.141390999,299.0
16.191524803,266.0
16.241658607,266.0
16.291792411,262.0
16.341926216,263.0
16.392060020,263.0
16.442193824,288.0
16.492327628,243.0
16.542461432,268.0
16.592595236,239.0
16.642729040,230.0
16.692862844,225.0
16.742996648,265.0
16.793130452,231.0
16.843264256,247.0
16.893398061,274.0
16.943531865,255.0
16.993665669,243.0
17.043799473,213.0
17.093933277,221.0
17.144067081,253.0
17.194200885,230.0
17.244334689,223.0
17.294468493,224.0
17.344602297,229.0
17.394736101,198.0
17.444869906,204.0
17.495003710,221.0
17.545137514,180.0
17.595271318,198.0
17.645405122,207.0
17.695538926,191.0
17.745672730,194.0
17.795806534,181.0
17.845940338,175.0
17.896074142,176.0
17.946207946,182.0
17.996341751,168.0
18.046475555,181.0
18.096609359,175.0
18.146743163,182.0
18.196876967,187.0
18.247010771,187.0
18.297144575,176.0
18.347278379,177.0
18.397412183,169.0
18.447545987,145.0
18.497679791,135.0
18.547813596,153.0
18.597947400,168.0
18.648081204,159.0
18.698215008,147.0
18.748348812,158.0
18.798482616,146.0
18.848616420,150.0
18.898750224,145.0
18.948884028,153.0
18.999017832,133.0
19.049151636,128.0
19.099285441,123.0
19.149419245,141.0
19.199553049,152.0
19.249686853,133.0
19.299820657,146.0
19.349954461,162.0
19.400088265,129.0
19.450222069,131.0
19.500355873,127.0
19.550489677,141.0
19.600623481,121.0
19.650757286,150.0
19.700891090,121.0
19.751024894,131.0
