Angle,Intensity
10.001355630,222.0
10.018066899,198.0
10.034778168,237.0
10.051489437,243.0
10.068200706,227.0
10.084911975,231.0
10.101623244,236.0
10.118334513,214.0
10.135045782,212.0
10.151757051,254.0
10.168468320,201.0
10.185179589,238.0
10.201890858,233.0
10.218602127,200.0
10.235313396,228.0
10.252024665,231.0
10.268735934,241.0
10.285447203,230.0
10.302158472,218.0
10.318869741,249.0
10.335581010,243.0
10.352292279,218.0
10.369003548,230.0
10.385714817,240.0
10.402426085,241.0
10.419137354,218.0
10.435848623,234.0
10.452559892,241.0
10.469271161,227.0
10.485982430,245.0
10.502693699,254.0
10.519404968,260.0
10.536116237,269.0
10.552827506,247.0
10.569538775,233.0
10.586250044,245.0
10.602961313,231.0
10.619672582,252.0
10.636383851,232.0
10.653095120,222.0
10.669806389,234.0
10.686517658,227.0
10.703228927,232.0
10.719940196,242.0
10.736651465,256.0
10.753362734,246.0
10.770074003,237.0
10.786785272,237.0
10.803496541,271.0
10.820207810,236.0
10.836919079,231.0
10.853630348,284.0
10.870341617,261.0
10.887052886,255.0
10.903764155,247.0
10.920475424,265.0
10.937186693,239.0
10.953897962,246.0
10.970609231,253.0
10.987320500,228.0
11.004031769,256.0
11.020743038,238.0
11.037454307,252.0
11.054165576,254.0
11.070876845,218.0
11.087588114,253.0
11.104299383,248.0
11.121010652,260.0
11.137721921,268.0
11.154433190,254.0
11.171144459,249.0
11.187855727,248.0
11.204566996,286.0
11.221278265,261.0
11.237989534,257.0
11.254700803,231.0
11.271412072,259.0
11.288123341,266.0
11.304834610,278.0
11.321545879,301.0
11.338257148,244.0
11.354968417,255.0
11.371679686,286.0
11.388390955,278.0
11.405102224,281.0
11.421813493,283.0
11.438524762,281.0
11.455236031,304.0
11.471947300,263.0
11.488658569,289.0
11.505369838,273.0
11.522081107,313.0
11.538792376,271.0
11.555503645,291.0
11.572214914,275.0
11.588926183,309.0
11.605637452,271.0
11.622348721,295.0
11.639059990,261.0
11.655771259,295.0
11.672482528,288.0
11.689193797,303.0
11.705905066,307.0
11.722616335,288.0
11.739327604,280.0
11.756038873,273.0
11.772750142,292.0
11.789461411,285.0
11.806172680,260.0
11.822883949,276.0
11.839595218,284.0
11.856306487,274.0
11.873017756,300.0
11.889729025,287.0
11.906440294,292.0
11.923151563,241.0
11.939862832,317.0
11.956574101,290.0
11.973285369,286.0
11.989996638,336.0
12.006707907,310.0
12.023419176,324.0
12.040130445,281.0
12.056841714,322.0
12.073552983,294.0
12.090264252,290.0
12.106975521,280.0
12.123686790,288.0
12.140398059,315.0
12.157109328,295.0
12.173820597,284.0
12.190531866,310.0
12.207243135,338.0
12.223954404,297.0
12.240665673,327.0
12.257376942,325.0
12.274088211,370.0
12.290799480,353.0
12.307510749,331.0
12.324222018,323.0
12.340933287,332.0
12.357644556,332.0
12.374355825,312.0
12.391067094,336.0
12.407778363,300.0
12.424489632,331.0
12.441200901,335.0
12.457912170,324.0
12.474623439,342.0
12.491334708,294.0
12.508045977,317.0
12.524757246,322.0
12.541468515,315.0
12.558179784,335.0
12.574891053,322.0
12.591602322,315.0
12.608313591,370.0
12.625024860,307.0
12.641736129,341.0
12.658447398,297.0
12.675158667,351.0
12.691869936,349.0
12.708581205,310.0
12.725292474,349.0
12.742003742,330.0
12.758715011,344.0
12.775426280,309.0
12.792137549,333.0
12.808848818,320.0
12.825560087,309.0
12.842271356,359.0
12.858982625,323.0
12.875693894,349.0
12.892405163,341.0
12.909116432,324.0
12.925827701,315.0
12.942538970,351.0
12.959250239,323.0
12.975961508,357.0
12.992672777,342.0
13.009384046,324.0
13.026095315,341.0
13.042806584,351.0
13.059517853,330.0
13.076229122,354.0
13.092940391,316.0
13.109651660,339.0
13.126362929,331.0
13.143074198,342.0
13.159785467,336.0
13.176496736,347.0
13.193208005,339.0
13.209919274,330.0
13.226630543,350.0
13.243341812,319.0
13.260053081,333.0
13.276764350,319.0
13.293475619,344.0
13.310186888,356.0
13.326898157,344.0
13.343609426,359.0
13.360320695,343.0
13.377031964,317.0
13.393743233,403.0
13.410454502,321.0
13.427165771,332.0
13.443877040,352.0
13.460588309,362.0
13.477299578,316.0
13.494010847,369.0
13.510722116,362.0
13.527433384,346.0
13.544144653,348.0
13.560855922,364.0
13.577567191,367.0
13.594278460,355.0
13.610989729,385.0
13.627700998,347.0
13.644412267,373.0
13.661123536,365.0
13.677834805,355.0
13.694546074,342.0
13.711257343,364.0
13.727968612,347.0
13.744679881,373.0
13.761391150,333.0
13.778102419,373.0
13.794813688,319.0
13.811524957,411.0
13.828236226,311.0
13.844947495,341.0
13.861658764,383.0
13.878370033,332.0
13.895081302,313.0
13.911792571,373.0
13.928503840,346.0
13.945215109,344.0
13.961926378,320.0
13.978637647,340.0
13.995348916,353.0
14.012060185,336.0
14.028771454,357.0
14.045482723,344.0
14.062193992,349.0
14.078905261,382.0
14.095616530,351.0
14.112327799,373.0
14.129039068,322.0
14.145750337,343.0
14.162461606,396.0
14.179172875,359.0
14.195884144,310.0
14.212595413,320.0
14.229306682,337.0
14.246017951,349.0
14.262729220,391.0
14.279440489,353.0
14.296151758,341.0
14.312863026,349.0
14.329574295,307.0
14.346285564,311.0
14.362996833,375.0
14.379708102,332.0
14.396419371,343.0
14.413130640,335.0
14.429841909,341.0
14.446553178,358.0
14.463264447,362.0
14.479975716,351.0
14.496686985,347.0
14.513398254,342.0
14.530109523,379.0
14.546820792,326.0
14.563532061,355.0
14.580243330,353.0
14.596954599,316.0
14.613665868,340.0
14.630377137,331.0
14.647088406,317.0
14.663799675,294.0
14.680510944,343.0
14.697222213,333.0
14.713933482,328.0
14.730644751,334.0
14.747356020,322.0
14.764067289,349.0
14.780778558,323.0
14.797489827,300.0
14.814201096,306.0
14.830912365,320.0
14.847623634,311.0
14.864334903,326.0
14.881046172,304.0
14.897757441,349.0
14.914468710,313.0
14.931179979,349.0
14.947891248,360.0
14.964602517,293.0
14.981313786,319.0
14.998025055,332.0
15.014736324,285.0
15.031447593,280.0
15.048158862,362.0
15.064870131,319.0
15.081581400,304.0
15.098292668,307.0
15.115003937,295.0
15.131715206,322.0
15.148426475,340.0
15.165137744,322.0
15.181849013,308.0
15.198560282,313.0
15.215271551,296.0
15.231982820,299.0
15.248694089,309.0
15.265405358,323.0
15.282116627,321.0
15.298827896,310.0
15.315539165,337.0
15.332250434,281.0
15.348961703,323.0
15.365672972,286.0
15.382384241,286.0
15.399095510,287.0
15.415806779,295.0
15.432518048,331.0
15.449229317,297.0
15.465940586,316.0
15.482651855,286.0
15.499363124,283.0
15.516074393,290.0
15.532785662,281.0
15.549496931,325.0
15.566208200,299.0
15.582919469,320.0
15.599630738,281.0
15.616342007,270.0
15.633053276,303.0
15.649764545,306.0
15.666475814,278.0
15.683187083,271.0
15.699898352,312.0
15.716609621,320.0
15.733320890,253.0
15.750032159,305.0
15.766743428,285.0
15.783454697,266.0
15.800165966,284.0
15.816877235,289.0
15.833588504,260.0
15.850299773,275.0
15.867011042,306.0
15.883722310,264.0
15.900433579,299.0
15.917144848,248.0
15.933856117,283.0
15.950567386,259.0
15.967278655,301.0
15.983989924,276.0
16.000701193,269.0
16.017412462,286.0
16.034123731,272.0
16.050835000,256.0
16.067546269,285.0
16.084257538,255.0
16.100968807,268.0
16.117680076,284.0
16.134391345,294.0
16.151102614,257.0
16.167813883,272.0
16.184525152,280.0
16.201236421,284.0
16.217947690,276.0
16.234658959,296.0
16.251370228,261.0
16.268081497,284.0
16.284792766,291.0
16.301504035,279.0
16.318215304,266.0
16.334926573,258.0
16.351637842,250.0
16.368349111,274.0
16.385060380,272.0
16.401771649,268.0
16.418482918,263.0
16.435194187,272.0
16.451905456,248.0
16.468616725,296.0
16.485327994,274.0
16.502039263,271.0
16.518750532,272.0
16.535461801,294.0
16.552173070,255.0
16.568884339,256.0
16.585595608,277.0
16.602306877,231.0
16.619018146,274.0
16.635729415,265.0
16.652440684,237.0
16.669151952,232.0
16.685863221,265.0
16.702574490,230.0
16.719285759,270.0
16.735997028,253.0
16.752708297,246.0
16.769419566,244.0
16.786130835,250.0
16.802842104,231.0
16.819553373,285.0
16.836264642,226.0
16.852975911,269.0
16.869687180,231.0
16.886398449,266.0
16.903109718,234.0
16.919820987,255.0
16.936532256,241.0
16.953243525,263.0
16.969954794,258.0
16.986666063,238.0
17.003377332,239.0
17.020088601,252.0
17.036799870,254.0
17.053511139,278.0
17.070222408,242.0
17.086933677,285.0
17.103644946,240.0
17.120356215,215.0
17.137067484,248.0
17.153778753,254.0
17.170490022,240.0
17.187201291,247.0
17.203912560,242.0
17.220623829,269.0
17.237335098,236.0
17.254046367,252.0
17.270757636,243.0
17.287468905,237.0
17.304180174,254.0
17.320891443,250.0
17.337602712,241.0
17.354313981,233.0
17.371025250,225.0
17.387736519,240.0
17.404447788,241.0
17.421159057,261.0
17.437870325,253.0
17.454581594,225.0
17.471292863,212.0
17.488004132,237.0
