Angle,Intensity
55.505355630,54.0
55.522066899,38.0
55.538778168,38.0
55.555489437,53.0
55.572200706,46.0
55.588911975,63.0
55.605623244,43.0
55.622334513,55.0
55.639045782,38.0
55.655757051,63.0
55.672468320,56.0
55.689179589,64.0
55.705890858,61.0
55.722602127,56.0
55.739313396,58.0
55.756024665,67.0
55.772735934,79.0
55.789447203,97.0
55.806158472,98.0
55.822869741,106.0
55.839581010,140.0
55.856292279,126.0
55.873003548,139.0
55.889714817,143.0
55.906426086,146.0
55.923137355,158.0
55.939848624,181.0
55.956559893,214.0
55.973271162,219.0
55.989982431,289.0
56.006693699,419.0
56.023404968,456.0
56.040116237,718.0
56.056827506,912.0
56.073538775,1194.0
56.090250044,1542.0
56.106961313,1866.0
56.123672582,2123.0
56.140383851,2324.0
56.157095120,2187.0
56.173806389,1966.0
56.190517658,1610.0
56.207228927,1408.0
56.223940196,1230.0
56.240651465,1205.0
56.257362734,1210.0
56.274074003,1246.0
56.290785272,1270.0
56.307496541,1214.0
56.324207810,1063.0
56.340919079,808.0
56.357630348,635.0
56.374341617,438.0
56.391052886,306.0
56.407764155,239.0
56.424475424,182.0
56.441186693,137.0
56.457897962,142.0
56.474609231,127.0
56.491320500,101.0
