Angle,Intensity
10.001355630,198.0
10.018066899,198.0
10.034778168,194.0
10.051489437,205.0
10.068200706,185.0
10.084911975,187.0
10.101623244,210.0
10.118334513,198.0
10.135045782,198.0
10.151757051,195.0
10.168468320,185.0
10.185179589,197.0
10.201890858,181.0
10.218602127,164.0
10.235313396,201.0
10.252024665,194.0
10.268735934,177.0
10.285447203,183.0
10.302158472,186.0
10.318869741,205.0
10.335581010,196.0
10.352292279,184.0
10.369003548,203.0
10.385714817,186.0
10.402426085,212.0
10.419137354,174.0
10.435848623,202.0
10.452559892,213.0
10.469271161,182.0
10.485982430,210.0
10.502693699,184.0
10.519404968,205.0
10.536116237,176.0
10.552827506,190.0
10.569538775,204.0
10.586250044,170.0
10.602961313,189.0
10.619672582,221.0
10.636383851,184.0
10.653095120,211.0
10.669806389,195.0
10.686517658,206.0
10.703228927,205.0
10.719940196,214.0
10.736651465,175.0
10.753362734,225.0
10.770074003,191.0
10.786785272,170.0
10.803496541,223.0
10.820207810,203.0
10.836919079,185.0
10.853630348,201.0
10.870341617,201.0
10.887052886,213.0
10.903764155,211.0
10.920475424,214.0
10.937186693,175.0
10.953897962,192.0
10.970609231,217.0
10.987320500,228.0
11.004031769,195.0
11.020743038,212.0
11.037454307,242.0
11.054165576,207.0
11.070876845,211.0
11.087588114,180.0
11.104299383,221.0
11.121010652,229.0
11.137721921,197.0
11.154433190,192.0
11.171144458,217.0
11.187855727,236.0
11.204566996,209.0
11.221278265,223.0
11.237989534,221.0
11.254700803,226.0
11.271412072,205.0
11.288123341,213.0
11.304834610,220.0
11.321545879,209.0
11.338257148,187.0
11.354968417,243.0
11.371679686,233.0
11.388390955,205.0
11.405102224,210.0
11.421813493,249.0
11.438524762,207.0
11.455236031,207.0
11.471947300,212.0
11.488658569,238.0
11.505369838,241.0
11.522081107,229.0
11.538792376,235.0
11.555503645,230.0
11.572214914,229.0
11.588926183,231.0
11.605637452,239.0
11.622348721,231.0
11.639059990,216.0
11.655771259,204.0
11.672482528,218.0
11.689193797,225.0
11.705905066,240.0
11.722616335,231.0
11.739327604,233.0
11.756038873,226.0
11.772750142,251.0
11.789461411,207.0
11.806172680,247.0
11.822883949,223.0
11.839595218,242.0
11.856306487,215.0
11.873017756,242.0
11.889729025,238.0
11.906440294,261.0
11.923151563,215.0
11.939862831,256.0
11.956574100,231.0
11.973285369,218.0
11.989996638,231.0
12.006707907,248.0
12.023419176,241.0
12.040130445,274.0
12.056841714,220.0
12.073552983,201.0
12.090264252,242.0
12.106975521,247.0
12.123686790,280.0
12.140398059,233.0
12.157109328,243.0
12.173820597,234.0
12.190531866,241.0
12.207243135,236.0
12.223954404,265.0
12.240665673,246.0
12.257376942,242.0
12.274088211,249.0
12.290799480,247.0
12.307510749,243.0
12.324222018,264.0
12.340933287,263.0
12.357644556,238.0
12.374355825,264.0
12.391067094,253.0
12.407778363,253.0
12.424489632,255.0
12.441200901,262.0
12.457912170,284.0
12.474623439,259.0
12.491334708,241.0
12.508045977,251.0
12.524757246,225.0
12.541468515,231.0
12.558179784,275.0
12.574891053,295.0
12.591602322,257.0
12.608313591,271.0
12.625024860,256.0
12.641736129,268.0
12.658447398,281.0
12.675158667,272.0
12.691869936,247.0
12.708581204,265.0
12.725292473,210.0
12.742003742,245.0
12.758715011,257.0
12.775426280,263.0
12.792137549,239.0
12.808848818,250.0
12.825560087,251.0
12.842271356,283.0
12.858982625,229.0
12.875693894,260.0
12.892405163,248.0
12.909116432,228.0
12.925827701,241.0
12.942538970,247.0
12.959250239,236.0
12.975961508,265.0
12.992672777,276.0
13.009384046,265.0
13.026095315,302.0
13.042806584,262.0
13.059517853,260.0
13.076229122,281.0
13.092940391,306.0
13.109651660,272.0
13.126362929,274.0
13.143074198,287.0
13.159785467,291.0
13.176496736,292.0
13.193208005,235.0
13.209919274,250.0
13.226630543,248.0
13.243341812,273.0
13.260053081,288.0
13.276764350,266.0
13.293475619,310.0
13.310186888,246.0
13.326898157,298.0
13.343609426,281.0
13.360320695,273.0
13.377031964,256.0
13.393743233,253.0
13.410454502,251.0
13.427165771,286.0
13.443877040,276.0
13.460588309,243.0
13.477299577,263.0
13.494010846,266.0
13.510722115,246.0
13.527433384,274.0
13.544144653,285.0
13.560855922,276.0
13.577567191,273.0
13.594278460,258.0
13.610989729,285.0
13.627700998,263.0
13.644412267,264.0
13.661123536,293.0
13.677834805,285.0
13.694546074,251.0
13.711257343,240.0
13.727968612,270.0
13.744679881,307.0
13.761391150,246.0
13.778102419,287.0
13.794813688,275.0
13.811524957,257.0
13.828236226,283.0
13.844947495,261.0
13.861658764,283.0
13.878370033,288.0
13.895081302,294.0
13.911792571,268.0
13.928503840,248.0
13.945215109,255.0
13.961926378,265.0
13.978637647,246.0
13.995348916,240.0
14.012060185,271.0
14.028771454,273.0
14.045482723,276.0
14.062193992,271.0
14.078905261,269.0
14.095616530,255.0
14.112327799,275.0
14.129039068,269.0
14.145750337,268.0
14.162461606,269.0
14.179172875,245.0
14.195884144,254.0
14.212595413,249.0
14.229306682,281.0
14.246017950,280.0
14.262729219,255.0
14.279440488,287.0
14.296151757,275.0
14.312863026,285.0
14.329574295,257.0
14.346285564,262.0
14.362996833,261.0
14.379708102,242.0
14.396419371,309.0
14.413130640,268.0
14.429841909,234.0
14.446553178,251.0
14.463264447,232.0
14.479975716,265.0
14.496686985,254.0
14.513398254,293.0
14.530109523,241.0
14.546820792,244.0
14.563532061,247.0
14.580243330,266.0
14.596954599,247.0
14.613665868,262.0
14.630377137,233.0
14.647088406,233.0
14.663799675,251.0
14.680510944,255.0
14.697222213,277.0
14.713933482,245.0
14.730644751,231.0
14.747356020,227.0
14.764067289,251.0
14.780778558,244.0
14.797489827,269.0
14.814201096,236.0
14.830912365,229.0
14.847623634,225.0
14.864334903,214.0
14.881046172,246.0
14.897757441,235.0
14.914468710,226.0
14.931179979,228.0
14.947891248,231.0
14.964602517,253.0
14.981313786,248.0
14.998025055,265.0
15.014736323,219.0
15.031447592,246.0
15.048158861,232.0
15.064870130,223.0
