Angle,Intensity
10.018355630,248.0
10.035066899,221.0
10.051778168,179.0
10.068489437,226.0
10.085200706,207.0
10.101911975,235.0
10.118623244,216.0
10.135334513,212.0
10.152045782,203.0
10.168757051,236.0
10.185468320,233.0
10.202179589,199.0
10.218890858,233.0
10.235602127,199.0
10.252313396,205.0
10.269024665,241.0
10.285735934,227.0
10.302447203,212.0
10.319158472,201.0
10.335869741,218.0
10.352581010,246.0
10.369292279,238.0
10.386003548,240.0
10.402714817,176.0
10.419426085,210.0
10.436137354,218.0
10.452848623,230.0
10.469559892,226.0
10.486271161,231.0
10.502982430,223.0
10.519693699,233.0
10.536404968,209.0
10.553116237,228.0
10.569827506,224.0
10.586538775,223.0
10.603250044,240.0
10.619961313,217.0
10.636672582,241.0
10.653383851,233.0
10.670095120,234.0
10.686806389,225.0
10.703517658,263.0
10.720228927,211.0
10.736940196,239.0
10.753651465,233.0
10.770362734,214.0
10.787074003,216.0
10.803785272,247.0
10.820496541,227.0
10.837207810,231.0
10.853919079,224.0
10.870630348,224.0
10.887341617,243.0
10.904052886,223.0
10.920764155,209.0
10.937475424,228.0
10.954186693,242.0
10.970897962,239.0
10.987609231,209.0
11.004320500,239.0
11.021031769,241.0
11.037743038,228.0
11.054454307,225.0
11.071165576,242.0
11.087876845,227.0
11.104588114,272.0
11.121299383,245.0
11.138010652,241.0
11.154721921,206.0
11.171433190,257.0
11.188144458,217.0
11.204855727,231.0
11.221566996,250.0
11.238278265,240.0
11.254989534,223.0
11.271700803,261.0
11.288412072,249.0
11.305123341,232.0
11.321834610,217.0
11.338545879,266.0
11.355257148,247.0
11.371968417,277.0
11.388679686,248.0
11.405390955,261.0
11.422102224,236.0
11.438813493,264.0
11.455524762,260.0
11.472236031,264.0
11.488947300,296.0
11.505658569,268.0
11.522369838,279.0
11.539081107,279.0
11.555792376,280.0
11.572503645,262.0
11.589214914,299.0
11.605926183,287.0
11.622637452,293.0
11.639348721,276.0
11.656059990,274.0
11.672771259,278.0
11.689482528,269.0
11.706193797,257.0
11.722905066,251.0
11.739616335,300.0
11.756327604,294.0
11.773038873,286.0
11.789750142,289.0
11.806461411,241.0
11.823172680,277.0
11.839883949,272.0
11.856595218,284.0
11.873306487,291.0
11.890017756,247.0
11.906729025,277.0
11.923440294,287.0
11.940151563,262.0
11.956862832,272.0
11.973574100,273.0
11.990285369,275.0
12.006996638,305.0
12.023707907,287.0
12.040419176,301.0
12.057130445,303.0
12.073841714,317.0
12.090552983,274.0
12.107264252,272.0
12.123975521,329.0
12.140686790,323.0
12.157398059,288.0
12.174109328,322.0
12.190820597,281.0
12.207531866,320.0
12.224243135,279.0
12.240954404,294.0
12.257665673,301.0
12.274376942,332.0
12.291088211,334.0
12.307799480,305.0
12.324510749,321.0
12.341222018,330.0
12.357933287,353.0
12.374644556,338.0
12.391355825,333.0
12.408067094,328.0
12.424778363,352.0
