Angle,Intensity
10.007177820,440.0
10.015533455,462.0
10.023889089,433.0
10.032244724,424.0
10.040600358,425.0
10.048955993,420.0
10.057311627,442.0
10.065667262,448.0
10.074022896,440.0
10.082378531,410.0
10.090734165,450.0
10.099089800,456.0
10.107445434,474.0
10.115801069,464.0
10.124156703,462.0
10.132512338,477.0
10.140867973,424.0
10.149223607,412.0
10.157579242,387.0
10.165934876,449.0
10.174290511,441.0
10.182646145,421.0
10.191001780,456.0
10.199357414,457.0
10.207713049,455.0
10.216068683,472.0
10.224424318,459.0
10.232779952,449.0
10.241135587,424.0
10.249491221,478.0
10.257846856,461.0
10.266202491,510.0
10.274558125,453.0
10.282913760,504.0
10.291269394,456.0
10.299625029,473.0
10.307980663,439.0
10.316336298,443.0
10.324691932,448.0
10.333047567,436.0
10.341403201,477.0
10.349758836,474.0
10.358114470,481.0
10.366470105,435.0
10.374825739,440.0
10.383181374,446.0
10.391537009,449.0
10.399892643,496.0
10.408248278,452.0
10.416603912,458.0
10.424959547,457.0
10.433315181,463.0
10.441670816,480.0
10.450026450,487.0
10.458382085,484.0
10.466737719,495.0
10.475093354,499.0
10.483448988,443.0
10.491804623,471.0
10.500160257,466.0
10.508515892,447.0
10.516871526,464.0
10.525227161,511.0
10.533582796,471.0
10.541938430,478.0
10.550294065,477.0
10.558649699,491.0
10.567005334,464.0
10.575360968,462.0
10.583716603,468.0
10.592072237,491.0
10.600427872,410.0
10.608783506,495.0
10.617139141,482.0
10.625494775,531.0
10.633850410,492.0
10.642206044,442.0
10.650561679,457.0
10.658917314,487.0
10.667272948,489.0
10.675628583,487.0
10.683984217,458.0
10.692339852,528.0
10.700695486,465.0
10.709051121,468.0
10.717406755,468.0
10.725762390,488.0
10.734118024,509.0
10.742473659,471.0
10.750829293,477.0
10.759184928,474.0
10.767540562,444.0
10.775896197,459.0
10.784251832,451.0
10.792607466,499.0
10.800963101,482.0
10.809318735,511.0
10.817674370,489.0
10.826030004,467.0
10.834385639,528.0
10.842741273,512.0
10.851096908,493.0
10.859452542,496.0
10.867808177,507.0
10.876163811,467.0
10.884519446,485.0
10.892875080,478.0
10.901230715,474.0
10.909586350,510.0
10.917941984,511.0
10.926297619,543.0
10.934653253,496.0
10.943008888,463.0
10.951364522,497.0
10.959720157,503.0
10.968075791,525.0
10.976431426,497.0
10.984787060,454.0
10.993142695,491.0
11.001498329,495.0
11.009853964,506.0
11.018209598,523.0
11.026565233,480.0
11.034920868,500.0
11.043276502,486.0
11.051632137,501.0
11.059987771,493.0
11.068343406,479.0
11.076699040,538.0
11.085054675,500.0
11.093410309,522.0
11.101765944,470.0
11.110121578,451.0
11.118477213,496.0
11.126832847,483.0
11.135188482,485.0
11.143544116,497.0
11.151899751,521.0
11.160255386,539.0
11.168611020,517.0
11.176966655,538.0
11.185322289,494.0
11.193677924,488.0
11.202033558,497.0
11.210389193,517.0
11.218744827,493.0
11.227100462,506.0
11.235456096,500.0
11.243811731,482.0
11.252167365,521.0
11.260523000,530.0
11.268878634,528.0
11.277234269,509.0
11.285589904,481.0
11.293945538,544.0
11.302301173,538.0
11.310656807,524.0
11.319012442,557.0
11.327368076,524.0
11.335723711,518.0
11.344079345,481.0
11.352434980,539.0
11.360790614,500.0
11.369146249,491.0
11.377501883,503.0
11.385857518,539.0
11.394213152,496.0
11.402568787,540.0
11.410924422,519.0
11.419280056,567.0
11.427635691,528.0
11.435991325,549.0
11.444346960,486.0
11.452702594,572.0
11.461058229,499.0
11.469413863,539.0
11.477769498,552.0
11.486125132,576.0
11.494480767,518.0
11.502836401,577.0
11.511192036,558.0
11.519547670,546.0
11.527903305,531.0
11.536258939,557.0
11.544614574,514.0
11.552970209,553.0
11.561325843,507.0
11.569681478,555.0
11.578037112,506.0
11.586392747,500.0
11.594748381,582.0
11.603104016,485.0
11.611459650,522.0
11.619815285,527.0
11.628170919,532.0
11.636526554,526.0
11.644882188,488.0
11.653237823,573.0
11.661593457,543.0
11.669949092,576.0
11.678304727,539.0
11.686660361,584.0
11.695015996,566.0
11.703371630,548.0
11.711727265,514.0
11.720082899,497.0
11.728438534,532.0
11.736794168,566.0
11.745149803,542.0
11.753505437,555.0
11.761861072,567.0
11.770216706,548.0
