Angle,Intensity
10.025066900,107.0
10.075200704,118.0
10.125334508,96.0
10.175468312,98.0
10.225602116,107.0
10.275735920,117.0
10.325869725,116.0
10.376003529,133.0
10.426137333,104.0
10.476271137,107.0
10.526404941,129.0
10.576538745,129.0
10.626672549,116.0
10.676806353,99.0
10.726940157,137.0
10.777073961,125.0
10.827207765,138.0
10.877341569,118.0
10.927475374,116.0
10.977609178,125.0
11.027742982,124.0
11.077876786,128.0
11.128010590,123.0
11.178144394,132.0
11.228278198,149.0
11.278412002,135.0
11.328545806,128.0
11.378679610,130.0
11.428813414,149.0
11.478947219,142.0
11.529081023,153.0
11.579214827,149.0
11.629348631,151.0
11.679482435,156.0
11.729616239,137.0
11.779750043,156.0
11.829883847,156.0
11.880017651,139.0
11.930151455,142.0
11.980285259,144.0
12.030419063,161.0
12.080552868,173.0
12.130686672,165.0
12.180820476,159.0
12.230954280,143.0
12.281088084,159.0
12.331221888,151.0
12.381355692,162.0
12.431489496,173.0
12.481623300,157.0
12.531757104,139.0
12.581890908,164.0
12.632024712,176.0
12.682158517,174.0
12.732292321,167.0
12.782426125,148.0
12.832559929,177.0
12.882693733,169.0
12.932827537,174.0
12.982961341,174.0
13.033095145,173.0
13.083228949,178.0
13.133362753,153.0
13.183496557,176.0
13.233630362,165.0
13.283764166,213.0
13.333897970,180.0
13.384031774,153.0
13.434165578,155.0
13.484299382,191.0
13.534433186,205.0
13.584566990,162.0
13.634700794,172.0
13.684834598,180.0
13.734968402,160.0
13.785102206,159.0
13.835236011,181.0
13.885369815,179.0
13.935503619,198.0
13.985637423,174.0
14.035771227,185.0
14.085905031,152.0
14.136038835,180.0
14.186172639,199.0
14.236306443,179.0
14.286440247,173.0
14.336574051,156.0
14.386707856,180.0
14.436841660,194.0
14.486975464,172.0
14.537109268,168.0
14.587243072,145.0
14.637376876,172.0
14.687510680,170.0
14.737644484,156.0
14.787778288,184.0
14.837912092,167.0
14.888045896,157.0
14.938179700,153.0
14.988313505,163.0
15.038447309,190.0
15.088581113,131.0
15.138714917,156.0
15.188848721,157.0
15.238982525,141.0
15.289116329,168.0
15.339250133,170.0
15.389383937,140.0
15.439517741,151.0
15.489651545,148.0
15.539785349,173.0
15.589919154,121.0
15.640052958,130.0
15.690186762,151.0
15.740320566,159.0
15.790454370,142.0
15.840588174,141.0
15.890721978,131.0
15.940855782,141.0
15.990989586,118.0
16.041123390,125.0
16.091257194,144.0
16.141390999,110.0
16.191524803,144.0
16.241658607,136.0
16.291792411,139.0
16.341926215,128.0
16.392060019,121.0
16.442193823,115.0
16.492327627,127.0
16.542461431,131.0
16.592595235,102.0
16.642729039,148.0
16.692862843,129.0
16.742996648,108.0
16.793130452,108.0
16.843264256,115.0
16.893398060,112.0
16.943531864,139.0
16.993665668,121.0
17.043799472,123.0
17.093933276,110.0
17.144067080,123.0
17.194200884,125.0
17.244334688,131.0
17.294468493,140.0
17.344602297,108.0
17.394736101,105.0
17.444869905,123.0
17.495003709,123.0
17.545137513,111.0
17.595271317,115.0
17.645405121,93.0
17.695538925,111.0
17.745672729,102.0
17.795806533,123.0
17.845940337,110.0
17.896074142,120.0
17.946207946,117.0
17.996341750,100.0
18.046475554,103.0
18.096609358,106.0
18.146743162,93.0
18.196876966,107.0
18.247010770,99.0
18.297144574,100.0
18.347278378,99.0
18.397412182,104.0
18.447545987,98.0
18.497679791,115.0
18.547813595,96.0
18.597947399,82.0
18.648081203,105.0
18.698215007,113.0
18.748348811,98.0
18.798482615,98.0
18.848616419,105.0
18.898750223,101.0
18.948884027,83.0
18.999017831,83.0
19.049151636,86.0
19.099285440,84.0
19.149419244,71.0
19.199553048,93.0
19.249686852,80.0
19.299820656,93.0
19.349954460,86.0
19.400088264,83.0
19.450222068,115.0
19.500355872,88.0
19.550489676,93.0
19.600623480,84.0
19.650757285,88.0
19.700891089,90.0
19.751024893,86.0
19.801158697,100.0
19.851292501,84.0
19.901426305,77.0
19.951560109,72.0
20.001693913,70.0
20.051827717,80.0
20.101961521,67.0
20.152095325,76.0
20.202229130,71.0
20.252362934,87.0
20.302496738,80.0
20.352630542,69.0
20.402764346,72.0
20.452898150,74.0
20.503031954,70.0
20.553165758,77.0
20.603299562,93.0
20.653433366,103.0
20.703567170,69.0
20.753700974,66.0
20.803834779,99.0
20.853968583,75.0
20.904102387,74.0
20.954236191,68.0
21.004369995,76.0
21.054503799,82.0
