Angle,Intensity
10.008355630,79.0
10.025066899,77.0
10.041778168,107.0
10.058489437,87.0
10.075200706,87.0
10.091911975,112.0
10.108623244,88.0
10.125334513,81.0
10.142045782,85.0
10.158757051,86.0
10.175468320,97.0
10.192179589,93.0
10.208890858,100.0
10.225602127,96.0
10.242313396,95.0
10.259024665,90.0
10.275735934,90.0
10.292447203,103.0
10.309158472,94.0
10.325869741,85.0
10.342581010,95.0
10.359292279,95.0
10.376003548,112.0
10.392714817,106.0
10.409426086,98.0
10.426137355,106.0
10.442848623,92.0
10.459559892,96.0
10.476271161,85.0
10.492982430,84.0
10.509693699,87.0
10.526404968,84.0
10.543116237,84.0
10.559827506,105.0
10.576538775,109.0
10.593250044,69.0
10.609961313,94.0
10.626672582,99.0
10.643383851,108.0
10.660095120,99.0
10.676806389,96.0
10.693517658,110.0
10.710228927,103.0
10.726940196,91.0
10.743651465,86.0
10.760362734,96.0
10.777074003,90.0
10.793785272,98.0
10.810496541,97.0
10.827207810,97.0
10.843919079,88.0
10.860630348,109.0
10.877341617,96.0
10.894052886,109.0
10.910764155,103.0
10.927475424,131.0
10.944186693,93.0
10.960897962,92.0
10.977609231,94.0
10.994320500,107.0
11.011031769,88.0
11.027743038,105.0
11.044454307,97.0
11.061165576,116.0
11.077876845,103.0
11.094588114,97.0
11.111299383,109.0
11.128010652,105.0
11.144721921,103.0
11.161433190,85.0
11.178144459,121.0
11.194855728,107.0
11.211566997,119.0
11.228278266,108.0
11.244989535,95.0
11.261700804,114.0
11.278412073,93.0
11.295123341,113.0
11.311834610,108.0
11.328545879,91.0
11.345257148,102.0
11.361968417,126.0
11.378679686,105.0
11.395390955,98.0
11.412102224,110.0
11.428813493,99.0
11.445524762,122.0
11.462236031,101.0
11.478947300,92.0
11.495658569,113.0
11.512369838,107.0
11.529081107,114.0
11.545792376,123.0
11.562503645,95.0
11.579214914,100.0
11.595926183,102.0
11.612637452,120.0
11.629348721,128.0
11.646059990,139.0
11.662771259,108.0
11.679482528,120.0
11.696193797,112.0
11.712905066,116.0
11.729616335,137.0
11.746327604,120.0
11.763038873,114.0
11.779750142,116.0
11.796461411,124.0
11.813172680,121.0
11.829883949,105.0
11.846595218,102.0
11.863306487,123.0
11.880017756,136.0
11.896729025,117.0
11.913440294,124.0
11.930151563,111.0
11.946862832,126.0
11.963574101,121.0
11.980285370,101.0
11.996996639,121.0
12.013707908,122.0
12.030419177,113.0
12.047130446,127.0
12.063841715,131.0
12.080552984,109.0
12.097264253,124.0
12.113975522,88.0
12.130686791,110.0
12.147398059,125.0
12.164109328,114.0
12.180820597,124.0
12.197531866,109.0
12.214243135,132.0
12.230954404,111.0
12.247665673,117.0
12.264376942,112.0
12.281088211,114.0
12.297799480,131.0
12.314510749,134.0
12.331222018,139.0
12.347933287,105.0
12.364644556,108.0
12.381355825,127.0
12.398067094,134.0
12.414778363,123.0
12.431489632,134.0
12.448200901,126.0
12.464912170,110.0
12.481623439,116.0
12.498334708,132.0
12.515045977,125.0
12.531757246,144.0
12.548468515,107.0
12.565179784,117.0
12.581891053,103.0
12.598602322,132.0
12.615313591,127.0
12.632024860,106.0
12.648736129,124.0
12.665447398,97.0
12.682158667,115.0
12.698869936,130.0
12.715581205,132.0
12.732292474,128.0
12.749003743,99.0
12.765715012,105.0
12.782426281,134.0
12.799137550,128.0
12.815848819,137.0
12.832560088,139.0
12.849271357,131.0
12.865982626,127.0
12.882693895,120.0
12.899405164,92.0
12.916116433,125.0
12.932827702,128.0
12.949538971,142.0
12.966250240,108.0
12.982961509,120.0
12.999672778,127.0
13.016384046,125.0
13.033095315,123.0
13.049806584,124.0
13.066517853,161.0
13.083229122,128.0
13.099940391,134.0
13.116651660,132.0
13.133362929,134.0
13.150074198,120.0
13.166785467,122.0
13.183496736,114.0
13.200208005,127.0
13.216919274,134.0
13.233630543,132.0
13.250341812,132.0
13.267053081,115.0
13.283764350,146.0
13.300475619,131.0
13.317186888,164.0
13.333898157,116.0
13.350609426,108.0
13.367320695,136.0
13.384031964,137.0
13.400743233,100.0
13.417454502,120.0
13.434165771,143.0
13.450877040,130.0
13.467588309,125.0
13.484299578,138.0
13.501010847,130.0
13.517722116,123.0
13.534433385,115.0
13.551144654,153.0
13.567855923,112.0
13.584567192,119.0
13.601278461,156.0
13.617989730,115.0
13.634700999,123.0
13.651412268,141.0
13.668123537,113.0
13.684834806,152.0
13.701546075,126.0
13.718257344,124.0
13.734968613,137.0
13.751679882,126.0
13.768391151,115.0
13.785102420,129.0
13.801813689,130.0
13.818524958,119.0
13.835236227,114.0
13.851947496,120.0
13.868658764,126.0
13.885370033,111.0
13.902081302,115.0
13.918792571,105.0
13.935503840,107.0
13.952215109,132.0
13.968926378,116.0
13.985637647,116.0
14.002348916,113.0
14.019060185,112.0
14.035771454,121.0
14.052482723,124.0
14.069193992,137.0
14.085905261,114.0
14.102616530,108.0
14.119327799,143.0
14.136039068,128.0
14.152750337,107.0
14.169461606,126.0
14.186172875,121.0
14.202884144,123.0
14.219595413,124.0
14.236306682,114.0
14.253017951,110.0
14.269729220,113.0
14.286440489,141.0
14.303151758,97.0
14.319863027,116.0
14.336574296,125.0
14.353285565,87.0
14.369996834,92.0
14.386708103,107.0
14.403419372,116.0
14.420130641,110.0
14.436841910,114.0
14.453553179,122.0
14.470264448,103.0
14.486975717,128.0
14.503686986,150.0
14.520398255,100.0
14.537109524,121.0
14.553820793,113.0
14.570532062,108.0
14.587243331,117.0
14.603954600,120.0
14.620665869,109.0
14.637377138,117.0
14.654088407,115.0
14.670799676,112.0
14.687510945,138.0
14.704222214,107.0
14.720933482,109.0
14.737644751,113.0
14.754356020,94.0
14.771067289,108.0
14.787778558,125.0
14.804489827,117.0
14.821201096,105.0
14.837912365,120.0
14.854623634,91.0
14.871334903,108.0
14.888046172,125.0
14.904757441,102.0
14.921468710,107.0
14.938179979,90.0
14.954891248,117.0
14.971602517,112.0
14.988313786,103.0
15.005025055,108.0
15.021736324,98.0
15.038447593,107.0
15.055158862,103.0
15.071870131,107.0
15.088581400,96.0
15.105292669,109.0
15.122003938,100.0
15.138715207,93.0
15.155426476,116.0
15.172137745,100.0
15.188849014,107.0
15.205560283,113.0
15.222271552,97.0
15.238982821,108.0
15.255694090,100.0
15.272405359,112.0
15.289116628,111.0
15.305827897,92.0
15.322539166,93.0
15.339250435,92.0
15.355961704,100.0
15.372672973,106.0
15.389384242,81.0
15.406095511,106.0
15.422806780,93.0
15.439518049,129.0
15.456229318,98.0
15.472940587,79.0
15.489651856,76.0
15.506363125,88.0
15.523074394,103.0
15.539785663,98.0
15.556496932,108.0
15.573208200,93.0
15.589919469,99.0
15.606630738,117.0
15.623342007,109.0
15.640053276,95.0
15.656764545,94.0
15.673475814,88.0
15.690187083,83.0
15.706898352,86.0
15.723609621,91.0
15.740320890,86.0
15.757032159,110.0
15.773743428,97.0
15.790454697,108.0
15.807165966,77.0
15.823877235,87.0
15.840588504,87.0
15.857299773,76.0
15.874011042,115.0
15.890722311,86.0
15.907433580,78.0
15.924144849,82.0
15.940856118,116.0
15.957567387,106.0
15.974278656,77.0
15.990989925,99.0
16.007701194,79.0
16.024412463,102.0
16.041123732,121.0
16.057835001,100.0
16.074546270,70.0
16.091257539,86.0
16.107968808,92.0
16.124680077,86.0
16.141391346,85.0
16.158102615,99.0
16.174813884,101.0
16.191525153,99.0
16.208236422,100.0
16.224947691,97.0
16.241658960,99.0
16.258370229,78.0
16.275081498,92.0
16.291792767,99.0
16.308504036,90.0
16.325215305,77.0
16.341926574,92.0
16.358637843,93.0
16.375349112,97.0
16.392060381,88.0
16.408771650,91.0
16.425482918,77.0
16.442194187,100.0
16.458905456,82.0
16.475616725,90.0
16.492327994,76.0
16.509039263,105.0
16.525750532,83.0
16.542461801,102.0
16.559173070,83.0
16.575884339,77.0
16.592595608,85.0
16.609306877,78.0
16.626018146,82.0
16.642729415,111.0
16.659440684,76.0
16.676151953,85.0
16.692863222,103.0
16.709574491,91.0
16.726285760,92.0
16.742997029,77.0
16.759708298,91.0
16.776419567,72.0
16.793130836,77.0
16.809842105,83.0
16.826553374,78.0
16.843264643,73.0
16.859975912,83.0
16.876687181,79.0
16.893398450,86.0
16.910109719,85.0
16.926820988,77.0
16.943532257,79.0
16.960243526,71.0
16.976954795,77.0
16.993666064,76.0
17.010377333,77.0
17.027088602,71.0
17.043799871,65.0
17.060511140,76.0
17.077222409,73.0
17.093933678,80.0
17.110644947,83.0
17.127356216,71.0
17.144067485,87.0
17.160778754,80.0
17.177490023,97.0
17.194201292,90.0
17.210912561,81.0
17.227623830,84.0
17.244335099,81.0
17.261046368,97.0
17.277757637,85.0
17.294468905,88.0
17.311180174,78.0
17.327891443,72.0
17.344602712,71.0
17.361313981,68.0
17.378025250,65.0
17.394736519,95.0
17.411447788,79.0
17.428159057,52.0
17.444870326,79.0
17.461581595,66.0
17.478292864,60.0
17.495004133,70.0
17.511715402,83.0
17.528426671,69.0
17.545137940,72.0
17.561849209,61.0
17.578560478,68.0
17.595271747,73.0
17.611983016,69.0
17.628694285,82.0
17.645405554,84.0
17.662116823,94.0
17.678828092,81.0
17.695539361,88.0
17.712250630,79.0
17.728961899,84.0
17.745673168,82.0
17.762384437,66.0
17.779095706,78.0
17.795806975,79.0
17.812518244,75.0
17.829229513,62.0
17.845940782,73.0
17.862652051,58.0
17.879363320,57.0
17.896074589,73.0
17.912785858,61.0
17.929497127,57.0
17.946208396,77.0
17.962919665,77.0
17.979630934,71.0
17.996342203,75.0
18.013053472,67.0
18.029764741,73.0
18.046476010,78.0
18.063187279,86.0
18.079898548,72.0
18.096609817,60.0
18.113321086,70.0
18.130032355,78.0
18.146743623,66.0
18.163454892,67.0
18.180166161,72.0
18.196877430,80.0
18.213588699,75.0
18.230299968,45.0
18.247011237,56.0
18.263722506,60.0
18.280433775,73.0
18.297145044,63.0
18.313856313,69.0
18.330567582,77.0
18.347278851,68.0
18.363990120,70.0
18.380701389,79.0
18.397412658,71.0
18.414123927,76.0
18.430835196,75.0
18.447546465,61.0
18.464257734,72.0
18.480969003,75.0
18.497680272,64.0
18.514391541,82.0
18.531102810,70.0
18.547814079,48.0
18.564525348,68.0
18.581236617,62.0
18.597947886,81.0
18.614659155,70.0
18.631370424,77.0
18.648081693,69.0
18.664792962,57.0
18.681504231,72.0
18.698215500,83.0
18.714926769,61.0
18.731638038,78.0
18.748349307,65.0
18.765060576,62.0
18.781771845,67.0
18.798483114,69.0
18.815194383,70.0
18.831905652,75.0
18.848616921,81.0
18.865328190,65.0
18.882039459,61.0
18.898750728,62.0
18.915461997,69.0
18.932173266,68.0
18.948884535,54.0
18.965595804,76.0
18.982307073,64.0
18.999018341,38.0
19.015729610,56.0
19.032440879,63.0
19.049152148,57.0
19.065863417,58.0
19.082574686,73.0
19.099285955,76.0
19.115997224,58.0
19.132708493,58.0
19.149419762,65.0
19.166131031,62.0
19.182842300,50.0
19.199553569,54.0
19.216264838,64.0
19.232976107,61.0
19.249687376,51.0
19.266398645,68.0
19.283109914,60.0
19.299821183,61.0
19.316532452,60.0
19.333243721,53.0
19.349954990,61.0
19.366666259,40.0
19.383377528,61.0
19.400088797,55.0
19.416800066,51.0
19.433511335,52.0
19.450222604,56.0
19.466933873,40.0
