Angle,Intensity
10.015355630,185.0
10.032066899,174.0
10.048778168,212.0
10.065489437,209.0
10.082200706,204.0
10.098911975,219.0
10.115623244,204.0
10.132334513,236.0
10.149045782,216.0
10.165757051,209.0
10.182468320,228.0
10.199179589,210.0
10.215890858,196.0
10.232602127,216.0
10.249313396,187.0
10.266024665,205.0
10.282735934,207.0
10.299447203,198.0
10.316158472,219.0
10.332869741,214.0
10.349581010,218.0
10.366292279,213.0
10.383003548,215.0
10.399714816,202.0
10.416426085,228.0
10.433137354,195.0
10.449848623,226.0
10.466559892,186.0
10.483271161,196.0
10.499982430,217.0
10.516693699,199.0
10.533404968,223.0
10.550116237,211.0
10.566827506,205.0
10.583538775,245.0
10.600250044,224.0
10.616961313,229.0
10.633672582,236.0
10.650383851,201.0
10.667095120,233.0
10.683806389,255.0
10.700517658,238.0
10.717228927,206.0
10.733940196,230.0
10.750651465,203.0
10.767362734,204.0
10.784074003,210.0
10.800785272,196.0
10.817496541,232.0
10.834207810,206.0
10.850919079,231.0
10.867630348,200.0
10.884341617,225.0
10.901052886,225.0
10.917764155,233.0
10.934475424,231.0
10.951186693,253.0
10.967897962,226.0
10.984609231,230.0
11.001320500,194.0
11.018031769,243.0
11.034743038,234.0
11.051454307,226.0
11.068165576,219.0
11.084876845,249.0
11.101588114,248.0
11.118299383,247.0
11.135010652,228.0
11.151721921,239.0
11.168433189,239.0
11.185144458,212.0
11.201855727,225.0
11.218566996,241.0
11.235278265,262.0
11.251989534,242.0
11.268700803,242.0
11.285412072,259.0
11.302123341,260.0
11.318834610,234.0
11.335545879,255.0
11.352257148,238.0
11.368968417,259.0
11.385679686,263.0
11.402390955,257.0
11.419102224,272.0
11.435813493,240.0
11.452524762,253.0
11.469236031,255.0
11.485947300,259.0
11.502658569,245.0
11.519369838,248.0
11.536081107,216.0
11.552792376,278.0
11.569503645,270.0
11.586214914,274.0
11.602926183,288.0
11.619637452,262.0
11.636348721,264.0
11.653059990,271.0
11.669771259,247.0
11.686482528,246.0
11.703193797,271.0
11.719905066,263.0
11.736616335,283.0
11.753327604,272.0
11.770038873,261.0
11.786750142,260.0
11.803461411,250.0
11.820172680,290.0
11.836883949,263.0
11.853595218,268.0
11.870306487,260.0
11.887017756,277.0
11.903729025,248.0
11.920440294,291.0
11.937151562,289.0
11.953862831,262.0
11.970574100,279.0
11.987285369,306.0
12.003996638,272.0
12.020707907,283.0
12.037419176,277.0
12.054130445,258.0
12.070841714,276.0
12.087552983,310.0
12.104264252,276.0
12.120975521,272.0
12.137686790,275.0
12.154398059,260.0
12.171109328,296.0
12.187820597,296.0
12.204531866,302.0
12.221243135,323.0
12.237954404,302.0
12.254665673,316.0
12.271376942,334.0
12.288088211,307.0
12.304799480,274.0
12.321510749,329.0
12.338222018,315.0
12.354933287,321.0
12.371644556,300.0
12.388355825,319.0
12.405067094,335.0
12.421778363,305.0
12.438489632,305.0
12.455200901,332.0
12.471912170,309.0
12.488623439,329.0
12.505334708,305.0
12.522045977,290.0
12.538757246,310.0
12.555468515,325.0
12.572179784,317.0
12.588891053,263.0
12.605602322,326.0
12.622313591,303.0
12.639024860,325.0
12.655736129,296.0
12.672447398,307.0
12.689158667,274.0
12.705869935,322.0
12.722581204,306.0
12.739292473,285.0
12.756003742,306.0
12.772715011,290.0
12.789426280,295.0
12.806137549,306.0
12.822848818,316.0
12.839560087,316.0
12.856271356,318.0
12.872982625,315.0
