Angle,Intensity
10.025066900,120.0
10.075200704,90.0
10.125334508,111.0
10.175468312,109.0
10.225602116,98.0
10.275735920,98.0
10.325869725,104.0
10.376003529,103.0
10.426137333,106.0
10.476271137,102.0
10.526404941,96.0
10.576538745,116.0
10.626672549,96.0
10.676806353,90.0
10.726940157,100.0
10.777073961,98.0
10.827207765,108.0
10.877341570,116.0
10.927475374,112.0
10.977609178,82.0
11.027742982,116.0
11.077876786,132.0
11.128010590,111.0
11.178144394,135.0
11.228278198,131.0
11.278412002,102.0
11.328545806,108.0
11.378679610,103.0
11.428813415,109.0
11.478947219,106.0
11.529081023,99.0
11.579214827,120.0
11.629348631,121.0
11.679482435,116.0
11.729616239,121.0
11.779750043,131.0
11.829883847,116.0
11.880017651,122.0
11.930151455,108.0
11.980285260,118.0
12.030419064,105.0
12.080552868,114.0
12.130686672,115.0
12.180820476,127.0
12.230954280,137.0
12.281088084,129.0
12.331221888,126.0
12.381355692,115.0
12.431489496,117.0
12.481623300,110.0
12.531757105,121.0
12.581890909,126.0
12.632024713,117.0
12.682158517,137.0
12.732292321,108.0
12.782426125,126.0
12.832559929,116.0
12.882693733,127.0
12.932827537,128.0
12.982961341,108.0
13.033095145,133.0
13.083228950,111.0
13.133362754,150.0
13.183496558,161.0
13.233630362,150.0
13.283764166,132.0
13.333897970,143.0
13.384031774,137.0
13.434165578,129.0
13.484299382,155.0
13.534433186,128.0
13.584566990,143.0
13.634700795,132.0
13.684834599,159.0
13.734968403,139.0
13.785102207,134.0
13.835236011,147.0
13.885369815,152.0
13.935503619,153.0
13.985637423,144.0
14.035771227,137.0
14.085905031,135.0
14.136038835,124.0
14.186172640,137.0
14.236306444,132.0
14.286440248,144.0
14.336574052,121.0
14.386707856,150.0
14.436841660,168.0
14.486975464,129.0
14.537109268,132.0
14.587243072,144.0
14.637376876,132.0
14.687510681,150.0
14.737644485,145.0
14.787778289,135.0
14.837912093,140.0
14.888045897,133.0
14.938179701,131.0
14.988313505,120.0
15.038447309,116.0
15.088581113,151.0
15.138714917,120.0
15.188848721,112.0
15.238982526,117.0
15.289116330,123.0
15.339250134,103.0
15.389383938,131.0
15.439517742,108.0
15.489651546,147.0
15.539785350,123.0
15.589919154,116.0
15.640052958,112.0
15.690186762,110.0
15.740320566,117.0
15.790454371,120.0
15.840588175,110.0
15.890721979,115.0
15.940855783,133.0
15.990989587,123.0
16.041123391,120.0
16.091257195,108.0
16.141390999,118.0
16.191524803,127.0
16.241658607,133.0
16.291792411,116.0
16.341926216,126.0
16.392060020,111.0
16.442193824,98.0
16.492327628,99.0
16.542461432,115.0
16.592595236,114.0
16.642729040,120.0
16.692862844,106.0
16.742996648,133.0
16.793130452,90.0
16.843264256,112.0
16.893398061,100.0
16.943531865,109.0
16.993665669,94.0
17.043799473,76.0
17.093933277,111.0
17.144067081,108.0
17.194200885,91.0
17.244334689,120.0
17.294468493,103.0
17.344602297,92.0
17.394736101,96.0
17.444869906,105.0
17.495003710,109.0
17.545137514,98.0
17.595271318,88.0
17.645405122,118.0
17.695538926,127.0
17.745672730,100.0
17.795806534,111.0
17.845940338,94.0
17.896074142,74.0
17.946207946,105.0
17.996341751,92.0
18.046475555,90.0
18.096609359,79.0
18.146743163,81.0
18.196876967,104.0
18.247010771,96.0
18.297144575,92.0
18.347278379,94.0
18.397412183,92.0
18.447545987,102.0
18.497679791,78.0
18.547813596,96.0
18.597947400,102.0
18.648081204,104.0
18.698215008,112.0
18.748348812,78.0
18.798482616,67.0
18.848616420,93.0
18.898750224,100.0
18.948884028,108.0
18.999017832,78.0
19.049151636,79.0
19.099285441,76.0
19.149419245,69.0
19.199553049,69.0
19.249686853,109.0
19.299820657,73.0
19.349954461,70.0
19.400088265,93.0
19.450222069,84.0
