Angle,Intensity
10.025066900,88.0
10.075200704,114.0
10.125334508,110.0
10.175468312,108.0
10.225602116,102.0
10.275735920,105.0
10.325869725,110.0
10.376003529,115.0
10.426137333,82.0
10.476271137,109.0
10.526404941,102.0
10.576538745,115.0
10.626672549,127.0
10.676806353,106.0
10.726940157,121.0
10.777073961,100.0
10.827207765,100.0
10.877341570,112.0
10.927475374,81.0
10.977609178,118.0
11.027742982,93.0
11.077876786,121.0
11.128010590,114.0
11.178144394,128.0
11.228278198,97.0
11.278412002,93.0
11.328545806,124.0
11.378679610,79.0
11.428813415,141.0
11.478947219,123.0
11.529081023,124.0
11.579214827,112.0
11.629348631,123.0
11.679482435,115.0
11.729616239,92.0
11.779750043,112.0
11.829883847,112.0
11.880017651,104.0
11.930151455,120.0
11.980285260,109.0
12.030419064,117.0
12.080552868,99.0
12.130686672,135.0
12.180820476,135.0
12.230954280,147.0
12.281088084,111.0
12.331221888,120.0
12.381355692,120.0
12.431489496,129.0
12.481623300,106.0
12.531757105,129.0
12.581890909,137.0
12.632024713,127.0
12.682158517,111.0
12.732292321,126.0
12.782426125,139.0
12.832559929,114.0
12.882693733,122.0
12.932827537,111.0
12.982961341,131.0
13.033095145,133.0
13.083228950,149.0
13.133362754,114.0
13.183496558,122.0
13.233630362,138.0
13.283764166,134.0
13.333897970,174.0
13.384031774,141.0
13.434165578,111.0
13.484299382,133.0
13.534433186,143.0
13.584566990,137.0
13.634700795,106.0
13.684834599,143.0
13.734968403,128.0
13.785102207,157.0
13.835236011,168.0
13.885369815,161.0
13.935503619,169.0
13.985637423,132.0
14.035771227,117.0
14.085905031,137.0
14.136038835,135.0
14.186172640,135.0
14.236306444,140.0
14.286440248,147.0
14.336574052,155.0
14.386707856,143.0
14.436841660,153.0
14.486975464,170.0
14.537109268,133.0
14.587243072,137.0
14.637376876,137.0
14.687510681,118.0
14.737644485,140.0
14.787778289,141.0
14.837912093,128.0
14.888045897,131.0
14.938179701,126.0
14.988313505,126.0
15.038447309,133.0
15.088581113,93.0
15.138714917,132.0
15.188848721,127.0
15.238982526,100.0
15.289116330,114.0
15.339250134,126.0
15.389383938,124.0
15.439517742,112.0
15.489651546,133.0
15.539785350,104.0
15.589919154,135.0
15.640052958,139.0
15.690186762,108.0
15.740320566,117.0
15.790454371,109.0
15.840588175,115.0
15.890721979,116.0
15.940855783,112.0
15.990989587,118.0
16.041123391,100.0
16.091257195,110.0
16.141390999,97.0
16.191524803,141.0
16.241658607,103.0
16.291792411,115.0
16.341926216,102.0
16.392060020,111.0
16.442193824,108.0
16.492327628,103.0
16.542461432,122.0
16.592595236,111.0
16.642729040,105.0
16.692862844,114.0
16.742996648,106.0
16.793130452,104.0
16.843264256,109.0
16.893398061,109.0
16.943531865,99.0
16.993665669,84.0
17.043799473,105.0
17.093933277,102.0
17.144067081,92.0
17.194200885,103.0
17.244334689,109.0
17.294468493,104.0
17.344602297,91.0
17.394736101,108.0
17.444869906,118.0
17.495003710,90.0
17.545137514,122.0
17.595271318,86.0
17.645405122,100.0
17.695538926,111.0
17.745672730,98.0
17.795806534,86.0
17.845940338,106.0
17.896074142,105.0
17.946207946,63.0
17.996341751,69.0
18.046475555,69.0
18.096609359,86.0
18.146743163,96.0
18.196876967,105.0
