Angle,Intensity
10.025066900,93.0
10.075200704,106.0
10.125334508,91.0
10.175468312,108.0
10.225602116,92.0
10.275735920,99.0
10.325869725,90.0
10.376003529,118.0
10.426137333,109.0
10.476271137,100.0
10.526404941,102.0
10.576538745,98.0
10.626672549,84.0
10.676806353,123.0
10.726940157,108.0
10.777073961,102.0
10.827207765,105.0
10.877341570,114.0
10.927475374,115.0
10.977609178,96.0
11.027742982,109.0
11.077876786,102.0
11.128010590,96.0
11.178144394,104.0
11.228278198,109.0
11.278412002,97.0
11.328545806,126.0
11.378679610,104.0
11.428813415,108.0
11.478947219,109.0
11.529081023,99.0
11.579214827,102.0
11.629348631,120.0
11.679482435,117.0
11.729616239,102.0
11.779750043,102.0
11.829883847,115.0
11.880017651,116.0
11.930151455,111.0
11.980285260,117.0
12.030419064,117.0
12.080552868,116.0
12.130686672,124.0
12.180820476,110.0
12.230954280,127.0
12.281088084,112.0
12.331221888,127.0
12.381355692,131.0
12.431489496,137.0
12.481623300,138.0
12.531757105,135.0
12.581890909,129.0
12.632024713,135.0
12.682158517,128.0
12.732292321,156.0
12.782426125,129.0
12.832559929,106.0
12.882693733,116.0
12.932827537,129.0
12.982961341,133.0
13.033095145,149.0
13.083228950,140.0
13.133362754,134.0
13.183496558,128.0
13.233630362,112.0
13.283764166,137.0
13.333897970,127.0
13.384031774,162.0
13.434165578,141.0
13.484299382,180.0
13.534433186,134.0
13.584566990,139.0
13.634700795,141.0
13.684834599,147.0
13.734968403,140.0
13.785102207,153.0
13.835236011,163.0
13.885369815,152.0
13.935503619,131.0
13.985637423,161.0
14.035771227,140.0
14.085905031,124.0
14.136038835,127.0
14.186172640,159.0
14.236306444,143.0
14.286440248,144.0
14.336574052,175.0
14.386707856,141.0
14.436841660,143.0
14.486975464,137.0
14.537109268,114.0
14.587243072,143.0
14.637376876,135.0
14.687510680,153.0
14.737644485,118.0
14.787778289,151.0
14.837912093,106.0
14.888045897,138.0
14.938179701,139.0
14.988313505,129.0
15.038447309,144.0
15.088581113,111.0
15.138714917,129.0
15.188848721,117.0
15.238982525,122.0
15.289116330,131.0
15.339250134,145.0
15.389383938,129.0
15.439517742,106.0
15.489651546,117.0
15.539785350,135.0
15.589919154,111.0
15.640052958,141.0
15.690186762,129.0
15.740320566,97.0
15.790454370,131.0
15.840588175,120.0
15.890721979,128.0
15.940855783,124.0
15.990989587,118.0
16.041123391,102.0
16.091257195,106.0
16.141390999,137.0
16.191524803,127.0
16.241658607,104.0
16.291792411,96.0
16.341926215,120.0
16.392060020,102.0
16.442193824,111.0
16.492327628,100.0
16.542461432,117.0
16.592595236,122.0
16.642729040,92.0
16.692862844,105.0
16.742996648,100.0
16.793130452,123.0
16.843264256,117.0
16.893398060,109.0
16.943531865,110.0
16.993665669,103.0
17.043799473,106.0
17.093933277,104.0
17.144067081,122.0
17.194200885,116.0
17.244334689,98.0
17.294468493,111.0
17.344602297,118.0
17.394736101,112.0
17.444869905,90.0
17.495003710,86.0
17.545137514,82.0
17.595271318,100.0
17.645405122,94.0
17.695538926,94.0
17.745672730,112.0
17.795806534,88.0
17.845940338,97.0
17.896074142,96.0
17.946207946,84.0
17.996341750,100.0
18.046475555,82.0
18.096609359,73.0
18.146743163,112.0
18.196876967,100.0
18.247010771,87.0
18.297144575,80.0
18.347278379,102.0
18.397412183,90.0
18.447545987,93.0
18.497679791,90.0
18.547813595,122.0
18.597947400,94.0
18.648081204,87.0
18.698215008,84.0
18.748348812,87.0
18.798482616,93.0
18.848616420,82.0
18.898750224,98.0
18.948884028,91.0
18.999017832,74.0
19.049151636,92.0
19.099285440,80.0
19.149419245,69.0
19.199553049,90.0
19.249686853,74.0
19.299820657,96.0
19.349954461,84.0
19.400088265,84.0
19.450222069,74.0
19.500355873,93.0
19.550489677,76.0
19.600623481,76.0
19.650757285,79.0
19.700891090,85.0
19.751024894,68.0
19.801158698,76.0
19.851292502,81.0
19.901426306,81.0
19.951560110,70.0
20.001693914,78.0
20.051827718,69.0
20.101961522,103.0
20.152095326,79.0
20.202229130,90.0
20.252362935,73.0
20.302496739,58.0
20.352630543,74.0
20.402764347,72.0
20.452898151,80.0
20.503031955,74.0
20.553165759,70.0
20.603299563,76.0
20.653433367,76.0
20.703567171,66.0
20.753700975,68.0
20.803834780,64.0
20.853968584,69.0
20.904102388,55.0
20.954236192,66.0
21.004369996,63.0
21.054503800,81.0
21.104637604,74.0
21.154771408,68.0
21.204905212,64.0
21.255039016,60.0
21.305172820,60.0
21.355306625,66.0
21.405440429,64.0
21.455574233,84.0
21.505708037,62.0
21.555841841,48.0
21.605975645,51.0
21.656109449,58.0
21.706243253,60.0
21.756377057,58.0
21.806510861,64.0
21.856644665,56.0
21.906778470,52.0
21.956912274,61.0
22.007046078,55.0
22.057179882,54.0
22.107313686,64.0
22.157447490,72.0
22.207581294,74.0
22.257715098,60.0
22.307848902,54.0
22.357982706,57.0
22.408116510,62.0
22.458250315,62.0
22.508384119,62.0
22.558517923,52.0
22.608651727,58.0
22.658785531,62.0
22.708919335,74.0
22.759053139,50.0
22.809186943,64.0
22.859320747,60.0
22.909454551,74.0
22.959588355,66.0
23.009722160,61.0
23.059855964,54.0
23.109989768,54.0
23.160123572,58.0
23.210257376,60.0
23.260391180,64.0
23.310524984,43.0
23.360658788,69.0
23.410792592,58.0
23.460926396,73.0
23.511060200,49.0
23.561194005,70.0
23.611327809,54.0
23.661461613,58.0
23.711595417,64.0
23.761729221,60.0
23.811863025,40.0
23.861996829,60.0
23.912130633,44.0
23.962264437,58.0
24.012398241,54.0
24.062532045,48.0
24.112665850,55.0
24.162799654,51.0
24.212933458,49.0
24.263067262,56.0
24.313201066,58.0
24.363334870,45.0
24.413468674,51.0
24.463602478,55.0
24.513736282,54.0
24.563870086,62.0
24.614003890,55.0
24.664137695,67.0
24.714271499,56.0
24.764405303,51.0
24.814539107,43.0
24.864672911,38.0
24.914806715,49.0
24.964940519,55.0
25.015074323,49.0
25.065208127,66.0
25.115341931,39.0
25.165475735,54.0
25.215609540,45.0
25.265743344,73.0
25.315877148,56.0
25.366010952,56.0
25.416144756,52.0
25.466278560,56.0
25.516412364,64.0
25.566546168,68.0
25.616679972,80.0
25.666813776,70.0
25.716947580,60.0
25.767081385,56.0
25.817215189,64.0
25.867348993,62.0
25.917482797,72.0
25.967616601,60.0
26.017750405,51.0
26.067884209,64.0
26.118018013,61.0
26.168151817,61.0
26.218285621,50.0
26.268419425,75.0
26.318553230,66.0
26.368687034,60.0
26.418820838,70.0
26.468954642,78.0
26.519088446,63.0
26.569222250,90.0
26.619356054,68.0
26.669489858,81.0
26.719623662,69.0
26.769757466,67.0
26.819891270,84.0
26.870025075,81.0
26.920158879,67.0
26.970292683,97.0
27.020426487,67.0
27.070560291,60.0
27.120694095,87.0
27.170827899,92.0
27.220961703,100.0
27.271095507,72.0
27.321229311,67.0
27.371363115,70.0
27.421496920,79.0
27.471630724,62.0
27.521764528,90.0
27.571898332,72.0
27.622032136,81.0
27.672165940,84.0
27.722299744,87.0
27.772433548,118.0
27.822567352,99.0
27.872701156,134.0
27.922834960,99.0
27.972968765,139.0
28.023102569,121.0
28.073236373,144.0
28.123370177,183.0
28.173503981,218.0
28.223637785,316.0
28.273771589,408.0
28.323905393,956.0
28.374039197,3499.0
28.424173001,7779.0
28.474306805,5704.0
28.524440610,3082.0
28.574574414,858.0
28.624708218,373.0
28.674842022,241.0
28.724975826,189.0
28.775109630,152.0
28.825243434,123.0
28.875377238,102.0
28.925511042,97.0
28.975644846,79.0
29.025778650,84.0
29.075912455,90.0
29.126046259,72.0
29.176180063,93.0
29.226313867,84.0
29.276447671,76.0
29.326581475,61.0
29.376715279,74.0
29.426849083,75.0
29.476982887,78.0
29.527116691,67.0
29.577250495,57.0
29.627384300,62.0
29.677518104,58.0
29.727651908,57.0
29.777785712,60.0
29.827919516,51.0
29.878053320,66.0
29.928187124,60.0
29.978320928,64.0
30.028454732,60.0
30.078588536,72.0
30.128722340,63.0
30.178856145,76.0
30.228989949,61.0
30.279123753,69.0
30.329257557,68.0
30.379391361,60.0
30.429525165,44.0
30.479658969,61.0
30.529792773,55.0
30.579926577,60.0
30.630060381,60.0
30.680194185,62.0
30.730327990,62.0
30.780461794,67.0
30.830595598,48.0
30.880729402,69.0
30.930863206,51.0
30.980997010,74.0
31.031130814,49.0
31.081264618,42.0
31.131398422,52.0
31.181532226,57.0
31.231666030,64.0
31.281799835,55.0
31.331933639,55.0
31.382067443,64.0
31.432201247,52.0
31.482335051,57.0
31.532468855,57.0
31.582602659,49.0
31.632736463,58.0
31.682870267,46.0
31.733004071,73.0
31.783137875,42.0
31.833271680,46.0
31.883405484,45.0
31.933539288,48.0
31.983673092,51.0
32.033806896,58.0
32.083940700,55.0
32.134074504,54.0
32.184208308,40.0
32.234342112,52.0
32.284475916,66.0
32.334609720,48.0
32.384743525,55.0
32.434877329,51.0
32.485011133,45.0
32.535144937,45.0
32.585278741,48.0
32.635412545,56.0
32.685546349,56.0
32.735680153,40.0
32.785813957,31.0
32.835947761,51.0
32.886081565,44.0
32.936215370,55.0
32.986349174,57.0
33.036482978,42.0
33.086616782,50.0
33.136750586,49.0
33.186884390,52.0
33.237018194,56.0
33.287151998,46.0
33.337285802,37.0
33.387419606,60.0
33.437553410,45.0
33.487687215,44.0
33.537821019,49.0
33.587954823,36.0
33.638088627,45.0
33.688222431,52.0
33.738356235,72.0
33.788490039,42.0
33.838623843,34.0
33.888757647,45.0
33.938891451,43.0
33.989025255,48.0
34.039159060,54.0
34.089292864,48.0
34.139426668,49.0
34.189560472,54.0
34.239694276,39.0
34.289828080,62.0
34.339961884,43.0
34.390095688,37.0
34.440229492,50.0
34.490363296,45.0
34.540497100,36.0
34.590630905,32.0
34.640764709,44.0
34.690898513,39.0
34.741032317,49.0
34.791166121,39.0
34.841299925,42.0
34.891433729,37.0
34.941567533,49.0
34.991701337,42.0
35.041835141,39.0
35.091968945,34.0
35.142102750,60.0
35.192236554,50.0
35.242370358,52.0
35.292504162,44.0
35.342637966,50.0
35.392771770,55.0
35.442905574,42.0
35.493039378,49.0
35.543173182,52.0
35.593306986,48.0
35.643440790,44.0
35.693574595,32.0
35.743708399,39.0
35.793842203,28.0
35.843976007,39.0
35.894109811,42.0
35.944243615,54.0
35.994377419,44.0
36.044511223,39.0
36.094645027,44.0
36.144778831,40.0
36.194912635,45.0
36.245046440,34.0
36.295180244,34.0
36.345314048,50.0
36.395447852,43.0
36.445581656,33.0
36.495715460,36.0
36.545849264,40.0
36.595983068,48.0
36.646116872,39.0
36.696250676,39.0
36.746384480,38.0
36.796518285,40.0
36.846652089,44.0
36.896785893,55.0
36.946919697,38.0
36.997053501,42.0
37.047187305,30.0
37.097321109,42.0
37.147454913,36.0
37.197588717,33.0
37.247722521,34.0
37.297856325,38.0
37.347990130,49.0
37.398123934,45.0
37.448257738,31.0
37.498391542,42.0
37.548525346,27.0
37.598659150,32.0
37.648792954,39.0
37.698926758,36.0
37.749060562,37.0
37.799194366,40.0
37.849328170,48.0
37.899461975,46.0
37.949595779,31.0
37.999729583,36.0
38.049863387,40.0
38.099997191,42.0
38.150130995,36.0
38.200264799,37.0
38.250398603,38.0
38.300532407,44.0
38.350666211,31.0
38.400800015,33.0
38.450933820,39.0
38.501067624,33.0
38.551201428,43.0
38.601335232,34.0
38.651469036,28.0
38.701602840,37.0
38.751736644,30.0
38.801870448,50.0
38.852004252,38.0
38.902138056,48.0
38.952271860,42.0
39.002405665,33.0
39.052539469,42.0
39.102673273,43.0
39.152807077,39.0
39.202940881,25.0
39.253074685,37.0
39.303208489,45.0
39.353342293,30.0
39.403476097,27.0
39.453609901,32.0
39.503743705,39.0
39.553877510,26.0
39.604011314,28.0
39.654145118,37.0
39.704278922,40.0
39.754412726,39.0
39.804546530,27.0
39.854680334,32.0
39.904814138,33.0
