Angle,Intensity
10.011355630,249.0
10.028066899,278.0
10.044778168,286.0
10.061489437,250.0
10.078200706,260.0
10.094911975,250.0
10.111623244,264.0
10.128334513,271.0
10.145045782,239.0
10.161757051,277.0
10.178468320,240.0
10.195179589,248.0
10.211890858,261.0
10.228602127,279.0
10.245313396,255.0
10.262024665,285.0
10.278735934,260.0
10.295447203,287.0
10.312158472,258.0
10.328869741,268.0
10.345581010,290.0
10.362292279,292.0
10.379003548,280.0
10.395714817,250.0
10.412426085,250.0
10.429137354,270.0
10.445848623,273.0
10.462559892,291.0
10.479271161,286.0
10.495982430,280.0
10.512693699,249.0
10.529404968,249.0
10.546116237,289.0
10.562827506,260.0
10.579538775,308.0
10.596250044,306.0
10.612961313,246.0
10.629672582,288.0
10.646383851,287.0
10.663095120,259.0
10.679806389,244.0
10.696517658,236.0
10.713228927,288.0
10.729940196,287.0
10.746651465,299.0
10.763362734,255.0
10.780074003,285.0
10.796785272,284.0
10.813496541,284.0
10.830207810,290.0
10.846919079,288.0
10.863630348,286.0
10.880341617,287.0
10.897052886,294.0
10.913764155,299.0
10.930475424,276.0
10.947186693,276.0
10.963897962,235.0
10.980609231,285.0
10.997320500,291.0
11.014031769,302.0
11.030743038,296.0
11.047454307,279.0
11.064165576,264.0
11.080876845,330.0
11.097588114,270.0
11.114299383,288.0
11.131010652,302.0
11.147721921,293.0
11.164433190,298.0
11.181144458,309.0
11.197855727,294.0
11.214566996,275.0
11.231278265,280.0
11.247989534,291.0
11.264700803,274.0
11.281412072,310.0
11.298123341,309.0
11.314834610,314.0
11.331545879,332.0
11.348257148,283.0
11.364968417,294.0
11.381679686,265.0
11.398390955,290.0
11.415102224,299.0
11.431813493,340.0
11.448524762,330.0
11.465236031,314.0
11.481947300,353.0
11.498658569,349.0
11.515369838,324.0
11.532081107,319.0
11.548792376,330.0
11.565503645,309.0
11.582214914,313.0
11.598926183,345.0
11.615637452,319.0
11.632348721,307.0
11.649059990,328.0
11.665771259,309.0
11.682482528,308.0
11.699193797,328.0
11.715905066,299.0
11.732616335,299.0
11.749327604,296.0
11.766038873,315.0
11.782750142,325.0
11.799461411,354.0
11.816172680,316.0
11.832883949,319.0
11.849595218,329.0
11.866306487,349.0
11.883017756,344.0
11.899729025,372.0
11.916440294,313.0
11.933151563,344.0
11.949862831,303.0
11.966574100,322.0
11.983285369,347.0
11.999996638,343.0
12.016707907,326.0
12.033419176,324.0
12.050130445,338.0
12.066841714,321.0
12.083552983,322.0
12.100264252,365.0
12.116975521,358.0
12.133686790,333.0
12.150398059,328.0
12.167109328,360.0
12.183820597,320.0
12.200531866,328.0
12.217243135,331.0
12.233954404,367.0
12.250665673,326.0
12.267376942,316.0
12.284088211,334.0
12.300799480,328.0
12.317510749,342.0
12.334222018,359.0
12.350933287,337.0
12.367644556,360.0
12.384355825,349.0
12.401067094,390.0
12.417778363,347.0
12.434489632,344.0
12.451200901,338.0
12.467912170,361.0
12.484623439,339.0
12.501334708,334.0
12.518045977,338.0
12.534757246,331.0
12.551468515,339.0
12.568179784,335.0
12.584891053,352.0
12.601602322,348.0
12.618313591,346.0
12.635024860,364.0
12.651736129,358.0
12.668447398,372.0
12.685158667,346.0
12.701869936,377.0
12.718581204,361.0
12.735292473,376.0
12.752003742,342.0
12.768715011,381.0
12.785426280,344.0
12.802137549,342.0
12.818848818,361.0
12.835560087,363.0
12.852271356,378.0
12.868982625,358.0
12.885693894,377.0
12.902405163,400.0
12.919116432,369.0
12.935827701,372.0
12.952538970,363.0
12.969250239,360.0
12.985961508,384.0
13.002672777,350.0
13.019384046,397.0
13.036095315,350.0
13.052806584,366.0
13.069517853,358.0
13.086229122,367.0
13.102940391,364.0
13.119651660,357.0
13.136362929,391.0
13.153074198,397.0
13.169785467,381.0
13.186496736,360.0
13.203208005,355.0
13.219919274,379.0
13.236630543,362.0
13.253341812,357.0
13.270053081,369.0
13.286764350,390.0
13.303475619,377.0
13.320186888,344.0
13.336898157,403.0
13.353609426,347.0
13.370320695,406.0
13.387031964,346.0
13.403743233,365.0
13.420454502,368.0
13.437165771,382.0
13.453877040,351.0
13.470588309,375.0
13.487299577,333.0
13.504010846,387.0
13.520722115,354.0
13.537433384,383.0
13.554144653,366.0
13.570855922,347.0
13.587567191,380.0
13.604278460,370.0
13.620989729,390.0
13.637700998,375.0
13.654412267,367.0
13.671123536,391.0
13.687834805,393.0
13.704546074,360.0
13.721257343,402.0
13.737968612,372.0
13.754679881,363.0
13.771391150,369.0
13.788102419,366.0
13.804813688,396.0
13.821524957,351.0
13.838236226,366.0
13.854947495,388.0
13.871658764,404.0
13.888370033,374.0
13.905081302,363.0
13.921792571,373.0
13.938503840,368.0
13.955215109,359.0
13.971926378,381.0
13.988637647,367.0
14.005348916,355.0
14.022060185,379.0
14.038771454,342.0
14.055482723,383.0
14.072193992,396.0
14.088905261,391.0
14.105616530,389.0
14.122327799,361.0
14.139039068,373.0
14.155750337,355.0
14.172461606,349.0
14.189172875,391.0
14.205884144,352.0
14.222595413,375.0
14.239306682,365.0
14.256017950,381.0
14.272729219,372.0
14.289440488,378.0
14.306151757,365.0
14.322863026,359.0
14.339574295,367.0
14.356285564,335.0
14.372996833,334.0
14.389708102,354.0
14.406419371,340.0
14.423130640,316.0
14.439841909,346.0
14.456553178,373.0
14.473264447,358.0
14.489975716,320.0
14.506686985,354.0
14.523398254,399.0
14.540109523,338.0
14.556820792,397.0
14.573532061,317.0
14.590243330,380.0
14.606954599,369.0
14.623665868,373.0
14.640377137,322.0
14.657088406,332.0
14.673799675,352.0
14.690510944,369.0
14.707222213,326.0
14.723933482,355.0
14.740644751,383.0
14.757356020,321.0
14.774067289,318.0
14.790778558,305.0
14.807489827,352.0
14.824201096,338.0
14.840912365,289.0
14.857623634,334.0
14.874334903,352.0
14.891046172,286.0
14.907757441,340.0
14.924468710,298.0
14.941179979,325.0
14.957891248,351.0
14.974602517,348.0
14.991313786,305.0
15.008025055,311.0
15.024736323,336.0
15.041447592,329.0
15.058158861,313.0
15.074870130,303.0
15.091581399,305.0
15.108292668,316.0
15.125003937,343.0
15.141715206,285.0
15.158426475,329.0
15.175137744,326.0
15.191849013,306.0
15.208560282,340.0
15.225271551,337.0
15.241982820,305.0
15.258694089,338.0
15.275405358,273.0
15.292116627,306.0
15.308827896,343.0
15.325539165,284.0
15.342250434,314.0
15.358961703,364.0
