Angle,Intensity
10.025066900,115.0
10.075200704,106.0
10.125334508,105.0
10.175468312,110.0
10.225602116,91.0
10.275735920,91.0
10.325869725,78.0
10.376003529,111.0
10.426137333,120.0
10.476271137,99.0
10.526404941,91.0
10.576538745,100.0
10.626672549,114.0
10.676806353,94.0
10.726940157,115.0
10.777073961,108.0
10.827207765,98.0
10.877341570,97.0
10.927475374,106.0
10.977609178,103.0
11.027742982,112.0
11.077876786,111.0
11.128010590,127.0
11.178144394,114.0
11.228278198,111.0
11.278412002,116.0
11.328545806,112.0
11.378679610,114.0
11.428813415,103.0
11.478947219,111.0
11.529081023,114.0
11.579214827,114.0
11.629348631,103.0
11.679482435,110.0
11.729616239,122.0
11.779750043,121.0
11.829883847,115.0
11.880017651,115.0
11.930151455,132.0
11.980285260,124.0
12.030419064,122.0
12.080552868,117.0
12.130686672,140.0
12.180820476,114.0
12.230954280,128.0
12.281088084,137.0
12.331221888,121.0
12.381355692,129.0
12.431489496,126.0
12.481623300,124.0
12.531757105,128.0
12.581890909,110.0
12.632024713,129.0
12.682158517,117.0
12.732292321,132.0
12.782426125,158.0
12.832559929,134.0
12.882693733,133.0
12.932827537,126.0
12.982961341,120.0
13.033095145,122.0
13.083228950,151.0
13.133362754,121.0
13.183496558,134.0
13.233630362,124.0
13.283764166,151.0
13.333897970,139.0
13.384031774,127.0
13.434165578,149.0
13.484299382,137.0
13.534433186,157.0
13.584566990,120.0
13.634700795,131.0
13.684834599,123.0
13.734968403,146.0
13.785102207,150.0
13.835236011,150.0
13.885369815,181.0
13.935503619,141.0
13.985637423,162.0
14.035771227,163.0
14.085905031,135.0
14.136038835,143.0
14.186172640,139.0
14.236306444,126.0
14.286440248,144.0
14.336574052,128.0
14.386707856,145.0
14.436841660,143.0
14.486975464,133.0
14.537109268,138.0
14.587243072,137.0
14.637376876,138.0
14.687510681,118.0
14.737644485,141.0
14.787778289,120.0
14.837912093,131.0
14.888045897,106.0
14.938179701,126.0
14.988313505,128.0
15.038447309,135.0
15.088581113,122.0
15.138714917,133.0
15.188848721,126.0
15.238982526,132.0
15.289116330,118.0
15.339250134,111.0
15.389383938,129.0
15.439517742,135.0
15.489651546,117.0
15.539785350,114.0
15.589919154,111.0
15.640052958,120.0
15.690186762,122.0
15.740320566,129.0
15.790454371,111.0
15.840588175,110.0
15.890721979,112.0
15.940855783,128.0
15.990989587,135.0
16.041123391,118.0
16.091257195,116.0
16.141390999,116.0
16.191524803,111.0
16.241658607,93.0
16.291792411,106.0
16.341926216,121.0
16.392060020,114.0
16.442193824,109.0
16.492327628,108.0
16.542461432,106.0
16.592595236,114.0
16.642729040,96.0
16.692862844,109.0
16.742996648,112.0
16.793130452,124.0
16.843264256,112.0
16.893398061,106.0
16.943531865,143.0
16.993665669,100.0
17.043799473,103.0
17.093933277,106.0
17.144067081,105.0
17.194200885,105.0
17.244334689,129.0
17.294468493,121.0
17.344602297,85.0
17.394736101,109.0
17.444869906,111.0
17.495003710,103.0
17.545137514,85.0
17.595271318,88.0
17.645405122,86.0
17.695538926,91.0
17.745672730,99.0
17.795806534,108.0
17.845940338,105.0
17.896074142,86.0
17.946207946,91.0
17.996341751,84.0
18.046475555,97.0
18.096609359,103.0
18.146743163,102.0
18.196876967,104.0
18.247010771,86.0
18.297144575,86.0
18.347278379,93.0
18.397412183,84.0
18.447545987,86.0
18.497679791,88.0
18.547813596,90.0
18.597947400,109.0
18.648081204,87.0
18.698215008,94.0
18.748348812,106.0
18.798482616,75.0
18.848616420,91.0
18.898750224,99.0
18.948884028,90.0
18.999017832,93.0
19.049151636,96.0
19.099285441,70.0
19.149419245,84.0
19.199553049,98.0
19.249686853,76.0
19.299820657,93.0
19.349954461,80.0
19.400088265,91.0
19.450222069,70.0
19.500355873,63.0
19.550489677,97.0
19.600623481,63.0
19.650757286,97.0
19.700891090,82.0
19.751024894,82.0
