Angle,Intensity
10.011355630,201.0
10.028066899,205.0
10.044778168,211.0
10.061489437,197.0
10.078200706,215.0
10.094911975,230.0
10.111623244,203.0
10.128334513,226.0
10.145045782,191.0
10.161757051,201.0
10.178468320,205.0
10.195179589,179.0
10.211890858,197.0
10.228602127,218.0
10.245313396,215.0
10.262024665,200.0
10.278735934,198.0
10.295447203,189.0
10.312158472,196.0
10.328869741,203.0
10.345581010,191.0
10.362292279,239.0
10.379003548,207.0
10.395714817,207.0
10.412426085,203.0
10.429137354,216.0
10.445848623,221.0
10.462559892,195.0
10.479271161,204.0
10.495982430,225.0
10.512693699,230.0
10.529404968,230.0
10.546116237,219.0
10.562827506,236.0
10.579538775,246.0
10.596250044,221.0
10.612961313,207.0
10.629672582,203.0
10.646383851,203.0
10.663095120,204.0
10.679806389,243.0
10.696517658,250.0
10.713228927,221.0
10.729940196,200.0
10.746651465,212.0
10.763362734,202.0
10.780074003,213.0
10.796785272,226.0
10.813496541,220.0
10.830207810,223.0
10.846919079,226.0
10.863630348,216.0
10.880341617,210.0
10.897052886,227.0
10.913764155,244.0
10.930475424,203.0
10.947186693,226.0
10.963897962,239.0
10.980609231,232.0
10.997320500,215.0
11.014031769,248.0
11.030743038,207.0
11.047454307,241.0
11.064165576,235.0
11.080876845,212.0
11.097588114,218.0
11.114299383,226.0
11.131010652,274.0
11.147721921,261.0
11.164433190,235.0
11.181144458,262.0
11.197855727,215.0
11.214566996,243.0
11.231278265,246.0
11.247989534,247.0
11.264700803,241.0
11.281412072,259.0
11.298123341,263.0
11.314834610,221.0
11.331545879,239.0
11.348257148,262.0
11.364968417,244.0
11.381679686,243.0
11.398390955,255.0
11.415102224,234.0
11.431813493,240.0
11.448524762,250.0
11.465236031,266.0
11.481947300,270.0
11.498658569,224.0
11.515369838,262.0
11.532081107,263.0
11.548792376,279.0
11.565503645,274.0
11.582214914,272.0
11.598926183,259.0
11.615637452,309.0
11.632348721,270.0
11.649059990,294.0
11.665771259,309.0
11.682482528,283.0
11.699193797,261.0
11.715905066,273.0
11.732616335,263.0
11.749327604,262.0
11.766038873,265.0
11.782750142,304.0
11.799461411,280.0
11.816172680,271.0
11.832883949,293.0
11.849595218,281.0
11.866306487,248.0
11.883017756,262.0
11.899729025,263.0
11.916440294,287.0
11.933151563,273.0
11.949862831,290.0
11.966574100,269.0
11.983285369,273.0
11.999996638,260.0
12.016707907,266.0
12.033419176,266.0
12.050130445,307.0
12.066841714,302.0
12.083552983,291.0
12.100264252,319.0
12.116975521,284.0
12.133686790,325.0
12.150398059,301.0
12.167109328,284.0
12.183820597,291.0
12.200531866,295.0
12.217243135,302.0
12.233954404,259.0
12.250665673,290.0
12.267376942,292.0
12.284088211,338.0
12.300799480,323.0
12.317510749,279.0
12.334222018,286.0
12.350933287,311.0
12.367644556,338.0
12.384355825,308.0
12.401067094,321.0
12.417778363,313.0
12.434489632,311.0
12.451200901,319.0
12.467912170,291.0
12.484623439,270.0
12.501334708,309.0
12.518045977,332.0
12.534757246,316.0
12.551468515,300.0
12.568179784,318.0
12.584891053,323.0
12.601602322,326.0
12.618313591,304.0
12.635024860,309.0
12.651736129,299.0
12.668447398,338.0
12.685158667,294.0
12.701869936,336.0
12.718581204,307.0
12.735292473,290.0
12.752003742,273.0
12.768715011,313.0
12.785426280,330.0
12.802137549,315.0
12.818848818,340.0
12.835560087,346.0
12.852271356,310.0
12.868982625,319.0
12.885693894,322.0
12.902405163,311.0
12.919116432,338.0
12.935827701,285.0
12.952538970,317.0
12.969250239,322.0
12.985961508,271.0
13.002672777,322.0
13.019384046,337.0
13.036095315,366.0
13.052806584,353.0
13.069517853,354.0
13.086229122,317.0
13.102940391,325.0
13.119651660,334.0
13.136362929,321.0
13.153074198,323.0
13.169785467,373.0
13.186496736,313.0
13.203208005,323.0
13.219919274,313.0
13.236630543,340.0
13.253341812,339.0
13.270053081,307.0
13.286764350,315.0
13.303475619,321.0
13.320186888,329.0
13.336898157,315.0
13.353609426,311.0
13.370320695,329.0
13.387031964,313.0
13.403743233,323.0
13.420454502,347.0
13.437165771,325.0
13.453877040,319.0
13.470588309,320.0
13.487299577,337.0
13.504010846,329.0
13.520722115,333.0
13.537433384,319.0
13.554144653,318.0
13.570855922,310.0
13.587567191,321.0
13.604278460,363.0
13.620989729,364.0
13.637700998,306.0
13.654412267,347.0
13.671123536,350.0
13.687834805,295.0
13.704546074,352.0
13.721257343,323.0
13.737968612,313.0
13.754679881,340.0
13.771391150,311.0
13.788102419,349.0
