Angle,Intensity
28.001177820,151.0
28.009533455,158.0
28.017889089,158.0
28.026244724,157.0
28.034600358,160.0
28.042955993,134.0
28.051311627,145.0
28.059667262,155.0
28.068022896,170.0
28.076378531,163.0
28.084734165,150.0
28.093089800,169.0
28.101445434,187.0
28.109801069,174.0
28.118156704,207.0
28.126512338,185.0
28.134867973,206.0
28.143223607,202.0
28.151579242,224.0
28.159934876,224.0
28.168290511,243.0
28.176646145,224.0
28.185001780,250.0
28.193357414,282.0
28.201713049,297.0
28.210068683,301.0
28.218424318,308.0
28.226779953,319.0
28.235135587,336.0
28.243491222,338.0
28.251846856,380.0
28.260202491,422.0
28.268558125,412.0
28.276913760,476.0
28.285269394,495.0
28.293625029,554.0
28.301980663,584.0
28.310336298,702.0
28.318691932,765.0
28.327047567,845.0
28.335403202,999.0
28.343758836,1229.0
28.352114471,1433.0
28.360470105,1745.0
28.368825740,2334.0
28.377181374,2920.0
28.385537009,3822.0
28.393892643,4983.0
28.402248278,6199.0
28.410603912,7448.0
28.418959547,8520.0
28.427315181,9298.0
28.435670816,9314.0
28.444026451,9494.0
28.452382085,9263.0
28.460737720,8355.0
28.469093354,7870.0
28.477448989,7351.0
28.485804623,7074.0
28.494160258,6560.0
28.502515892,6093.0
28.510871527,5450.0
28.519227161,5017.0
28.527582796,4492.0
28.535938430,3723.0
28.544294065,3077.0
28.552649699,2386.0
28.561005334,2006.0
28.569360969,1483.0
28.577716603,1203.0
28.586072238,1016.0
28.594427872,783.0
28.602783507,669.0
28.611139141,628.0
28.619494776,529.0
28.627850410,459.0
28.636206045,438.0
28.644561679,411.0
28.652917314,348.0
28.661272948,352.0
28.669628583,324.0
28.677984218,284.0
28.686339852,270.0
28.694695487,279.0
28.703051121,240.0
28.711406756,231.0
28.719762390,219.0
28.728118025,179.0
28.736473659,195.0
28.744829294,182.0
28.753184928,162.0
28.761540563,186.0
28.769896197,158.0
28.778251832,167.0
28.786607467,175.0
28.794963101,148.0
28.803318736,162.0
28.811674370,136.0
28.820030005,135.0
28.828385639,154.0
28.836741274,151.0
28.845096908,160.0
28.853452543,143.0
28.861808177,117.0
28.870163812,117.0
28.878519446,148.0
28.886875081,144.0
28.895230716,132.0
28.903586350,144.0
28.911941985,112.0
28.920297619,131.0
28.928653254,123.0
28.937008888,121.0
28.945364523,128.0
28.953720157,126.0
28.962075792,143.0
28.970431426,129.0
28.978787061,120.0
28.987142695,104.0
28.995498330,139.0
