Angle,Intensity
30.038066900,20.0
30.088200704,19.0
30.138334508,17.0
30.188468312,21.0
30.238602116,19.0
30.288735920,18.0
30.338869725,26.0
30.389003529,17.0
30.439137333,19.0
30.489271137,20.0
30.539404941,30.0
30.589538745,18.0
30.639672549,29.0
30.689806353,25.0
30.739940157,26.0
30.790073961,19.0
30.840207765,18.0
30.890341570,17.0
30.940475374,17.0
30.990609178,20.0
31.040742982,13.0
31.090876786,15.0
31.141010590,21.0
31.191144394,10.0
31.241278198,35.0
31.291412002,22.0
31.341545806,20.0
31.391679611,16.0
31.441813415,17.0
31.491947219,21.0
31.542081023,21.0
31.592214827,16.0
31.642348631,17.0
31.692482435,24.0
31.742616239,12.0
31.792750043,36.0
31.842883847,25.0
31.893017651,22.0
31.943151456,20.0
31.993285260,25.0
32.043419064,23.0
32.093552868,25.0
32.143686672,19.0
32.193820476,12.0
32.243954280,22.0
32.294088084,11.0
32.344221888,22.0
32.394355692,18.0
32.444489496,19.0
32.494623301,16.0
32.544757105,30.0
32.594890909,30.0
32.645024713,17.0
32.695158517,22.0
32.745292321,24.0
32.795426125,16.0
32.845559929,15.0
32.895693733,16.0
32.945827537,22.0
32.995961341,24.0
33.046095146,22.0
33.096228950,17.0
33.146362754,17.0
33.196496558,25.0
33.246630362,15.0
33.296764166,8.0
33.346897970,19.0
33.397031774,23.0
33.447165578,16.0
33.497299382,17.0
33.547433187,15.0
33.597566991,20.0
33.647700795,17.0
33.697834599,13.0
33.747968403,19.0
33.798102207,18.0
33.848236011,21.0
33.898369815,19.0
33.948503619,21.0
33.998637423,16.0
34.048771227,18.0
34.098905032,26.0
34.149038836,11.0
34.199172640,20.0
34.249306444,17.0
34.299440248,20.0
34.349574052,11.0
34.399707856,18.0
34.449841660,18.0
34.499975464,21.0
34.550109268,17.0
34.600243072,19.0
34.650376877,22.0
34.700510681,20.0
34.750644485,18.0
34.800778289,15.0
34.850912093,20.0
34.901045897,22.0
34.951179701,19.0
35.001313505,21.0
35.051447309,22.0
35.101581113,21.0
35.151714918,27.0
35.201848722,20.0
35.251982526,19.0
35.302116330,23.0
35.352250134,25.0
35.402383938,29.0
35.452517742,26.0
35.502651546,30.0
35.552785350,25.0
35.602919154,29.0
35.653052958,31.0
35.703186763,33.0
35.753320567,49.0
35.803454371,51.0
35.853588175,61.0
35.903721979,58.0
35.953855783,54.0
36.003989587,60.0
36.054123391,65.0
36.104257195,72.0
36.154390999,68.0
36.204524803,87.0
36.254658608,76.0
36.304792412,80.0
36.354926216,77.0
36.405060020,61.0
36.455193824,72.0
36.505327628,66.0
36.555461432,85.0
36.605595236,79.0
36.655729040,71.0
36.705862844,74.0
36.755996648,93.0
36.806130453,82.0
36.856264257,49.0
36.906398061,62.0
36.956531865,53.0
37.006665669,60.0
37.056799473,36.0
37.106933277,54.0
37.157067081,34.0
37.207200885,36.0
37.257334689,31.0
37.307468494,36.0
37.357602298,23.0
37.407736102,26.0
37.457869906,35.0
37.508003710,34.0
37.558137514,38.0
37.608271318,27.0
37.658405122,33.0
37.708538926,30.0
37.758672730,39.0
37.808806534,26.0
37.858940339,32.0
37.909074143,29.0
37.959207947,27.0
38.009341751,23.0
38.059475555,27.0
38.109609359,21.0
38.159743163,29.0
38.209876967,21.0
38.260010771,18.0
38.310144575,16.0
38.360278379,30.0
38.410412184,23.0
38.460545988,23.0
38.510679792,23.0
38.560813596,26.0
38.610947400,23.0
38.661081204,27.0
38.711215008,23.0
38.761348812,17.0
38.811482616,23.0
38.861616420,18.0
38.911750224,18.0
38.961884029,17.0
39.012017833,24.0
39.062151637,21.0
39.112285441,18.0
39.162419245,16.0
39.212553049,25.0
39.262686853,19.0
39.312820657,21.0
39.362954461,21.0
39.413088265,19.0
39.463222070,21.0
39.513355874,23.0
39.563489678,24.0
39.613623482,19.0
39.663757286,29.0
39.713891090,21.0
39.764024894,25.0
39.814158698,26.0
39.864292502,23.0
39.914426306,29.0
39.964560110,29.0
40.014693915,31.0
40.064827719,31.0
40.114961523,45.0
40.165095327,47.0
40.215229131,33.0
40.265362935,39.0
40.315496739,37.0
40.365630543,27.0
40.415764347,34.0
40.465898151,39.0
40.516031955,49.0
40.566165760,40.0
40.616299564,48.0
40.666433368,35.0
40.716567172,49.0
40.766700976,36.0
40.816834780,35.0
40.866968584,40.0
40.917102388,49.0
40.967236192,36.0
41.017369996,39.0
41.067503801,39.0
41.117637605,40.0
41.167771409,49.0
41.217905213,73.0
41.268039017,66.0
41.318172821,68.0
41.368306625,53.0
41.418440429,91.0
41.468574233,90.0
41.518708037,96.0
41.568841841,120.0
41.618975646,109.0
41.669109450,136.0
41.719243254,132.0
41.769377058,164.0
41.819510862,165.0
41.869644666,212.0
41.919778470,204.0
41.969912274,244.0
42.020046078,263.0
42.070179882,297.0
42.120313686,348.0
42.170447491,387.0
42.220581295,388.0
42.270715099,443.0
42.320848903,420.0
42.370982707,476.0
42.421116511,474.0
42.471250315,533.0
42.521384119,519.0
42.571517923,490.0
42.621651727,501.0
42.671785531,512.0
42.721919336,476.0
42.772053140,443.0
42.822186944,437.0
42.872320748,395.0
42.922454552,387.0
42.972588356,358.0
43.022722160,298.0
43.072855964,280.0
43.122989768,292.0
43.173123572,244.0
43.223257377,237.0
43.273391181,212.0
43.323524985,227.0
43.373658789,241.0
43.423792593,215.0
43.473926397,231.0
43.524060201,269.0
43.574194005,230.0
43.624327809,208.0
43.674461613,233.0
43.724595417,237.0
43.774729222,209.0
43.824863026,209.0
43.874996830,231.0
43.925130634,203.0
43.975264438,223.0
44.025398242,258.0
44.075532046,254.0
44.125665850,290.0
44.175799654,273.0
44.225933458,314.0
44.276067262,374.0
44.326201067,461.0
44.376334871,523.0
44.426468675,602.0
44.476602479,738.0
44.526736283,903.0
44.576870087,1208.0
44.627003891,1503.0
44.677137695,2003.0
44.727271499,2248.0
44.777405303,2087.0
44.827539107,1890.0
44.877672912,1473.0
44.927806716,1097.0
44.977940520,785.0
45.028074324,565.0
45.078208128,431.0
45.128341932,330.0
45.178475736,245.0
45.228609540,214.0
45.278743344,175.0
45.328877148,141.0
45.379010953,127.0
45.429144757,102.0
45.479278561,102.0
45.529412365,74.0
45.579546169,86.0
45.629679973,81.0
45.679813777,62.0
45.729947581,60.0
45.780081385,60.0
45.830215189,46.0
45.880348993,50.0
45.930482798,62.0
45.980616602,43.0
46.030750406,39.0
46.080884210,38.0
46.131018014,36.0
46.181151818,35.0
46.231285622,32.0
46.281419426,30.0
46.331553230,41.0
46.381687034,39.0
46.431820838,33.0
46.481954643,39.0
46.532088447,20.0
46.582222251,21.0
46.632356055,22.0
46.682489859,21.0
46.732623663,17.0
46.782757467,16.0
46.832891271,22.0
46.883025075,17.0
46.933158879,20.0
46.983292683,24.0
47.033426488,27.0
47.083560292,15.0
47.133694096,16.0
47.183827900,24.0
47.233961704,17.0
47.284095508,22.0
47.334229312,13.0
47.384363116,16.0
47.434496920,20.0
47.484630724,21.0
47.534764529,13.0
47.584898333,16.0
47.635032137,8.0
47.685165941,13.0
47.735299745,16.0
47.785433549,11.0
47.835567353,12.0
47.885701157,19.0
47.935834961,16.0
47.985968765,13.0
48.036102569,17.0
48.086236374,7.0
48.136370178,20.0
48.186503982,15.0
48.236637786,10.0
48.286771590,16.0
48.336905394,18.0
48.387039198,12.0
48.437173002,25.0
48.487306806,17.0
48.537440610,17.0
48.587574414,20.0
48.637708219,12.0
48.687842023,18.0
48.737975827,17.0
48.788109631,17.0
48.838243435,16.0
48.888377239,18.0
48.938511043,12.0
48.988644847,11.0
49.038778651,16.0
49.088912455,13.0
49.139046260,19.0
49.189180064,9.0
49.239313868,21.0
49.289447672,20.0
49.339581476,18.0
49.389715280,20.0
49.439849084,15.0
49.489982888,13.0
49.540116692,17.0
49.590250496,19.0
49.640384300,9.0
49.690518105,19.0
49.740651909,16.0
49.790785713,10.0
49.840919517,13.0
49.891053321,12.0
49.941187125,15.0
49.991320929,21.0
50.041454733,13.0
50.091588537,15.0
50.141722341,18.0
50.191856145,21.0
50.241989950,26.0
50.292123754,19.0
50.342257558,21.0
50.392391362,23.0
50.442525166,20.0
50.492658970,25.0
50.542792774,17.0
50.592926578,26.0
50.643060382,22.0
50.693194186,24.0
50.743327990,25.0
50.793461795,20.0
50.843595599,24.0
50.893729403,20.0
50.943863207,19.0
50.993997011,20.0
51.044130815,20.0
51.094264619,9.0
51.144398423,15.0
51.194532227,15.0
51.244666031,17.0
51.294799836,20.0
51.344933640,12.0
51.395067444,16.0
51.445201248,18.0
51.495335052,6.0
51.545468856,8.0
51.595602660,13.0
51.645736464,7.0
51.695870268,16.0
51.746004072,10.0
51.796137876,19.0
51.846271681,8.0
51.896405485,16.0
51.946539289,12.0
51.996673093,15.0
52.046806897,10.0
52.096940701,13.0
52.147074505,6.0
52.197208309,13.0
52.247342113,9.0
52.297475917,10.0
52.347609721,11.0
52.397743526,8.0
52.447877330,8.0
52.498011134,12.0
52.548144938,13.0
52.598278742,6.0
52.648412546,8.0
52.698546350,13.0
52.748680154,10.0
52.798813958,15.0
52.848947762,10.0
52.899081566,10.0
52.949215371,13.0
52.999349175,9.0
53.049482979,12.0
53.099616783,16.0
53.149750587,10.0
53.199884391,13.0
53.250018195,11.0
53.300151999,7.0
53.350285803,16.0
53.400419607,8.0
53.450553412,13.0
53.500687216,6.0
53.550821020,10.0
53.600954824,9.0
53.651088628,9.0
53.701222432,13.0
53.751356236,4.0
53.801490040,10.0
53.851623844,6.0
53.901757648,7.0
53.951891452,7.0
54.002025257,10.0
54.052159061,19.0
54.102292865,3.0
54.152426669,8.0
54.202560473,7.0
54.252694277,10.0
54.302828081,10.0
54.352961885,12.0
54.403095689,9.0
54.453229493,11.0
54.503363297,16.0
54.553497102,7.0
54.603630906,9.0
54.653764710,10.0
54.703898514,8.0
54.754032318,13.0
54.804166122,16.0
54.854299926,11.0
54.904433730,13.0
54.954567534,13.0
55.004701338,10.0
55.054835143,15.0
55.104968947,10.0
55.155102751,15.0
55.205236555,13.0
55.255370359,8.0
55.305504163,11.0
55.355637967,11.0
55.405771771,7.0
55.455905575,7.0
55.506039379,9.0
55.556173183,5.0
55.606306988,11.0
55.656440792,9.0
55.706574596,10.0
55.756708400,8.0
55.806842204,9.0
55.856976008,17.0
55.907109812,9.0
55.957243616,12.0
56.007377420,8.0
56.057511224,11.0
56.107645028,11.0
56.157778833,16.0
56.207912637,9.0
56.258046441,12.0
56.308180245,11.0
56.358314049,16.0
56.408447853,16.0
56.458581657,10.0
56.508715461,6.0
56.558849265,9.0
56.608983069,5.0
56.659116873,12.0
56.709250678,11.0
56.759384482,13.0
56.809518286,12.0
56.859652090,7.0
56.909785894,12.0
56.959919698,8.0
57.010053502,10.0
57.060187306,7.0
57.110321110,8.0
57.160454914,7.0
57.210588719,9.0
57.260722523,12.0
57.310856327,16.0
57.360990131,10.0
57.411123935,7.0
57.461257739,13.0
57.511391543,8.0
57.561525347,15.0
57.611659151,10.0
57.661792955,12.0
57.711926759,13.0
57.762060564,7.0
57.812194368,9.0
57.862328172,12.0
57.912461976,12.0
57.962595780,8.0
58.012729584,15.0
58.062863388,8.0
58.112997192,22.0
58.163130996,11.0
58.213264800,16.0
58.263398604,12.0
58.313532409,9.0
58.363666213,19.0
58.413800017,11.0
58.463933821,16.0
58.514067625,19.0
58.564201429,10.0
58.614335233,17.0
58.664469037,12.0
58.714602841,18.0
58.764736645,23.0
58.814870449,23.0
58.865004254,23.0
58.915138058,23.0
58.965271862,16.0
59.015405666,26.0
59.065539470,16.0
59.115673274,17.0
59.165807078,26.0
59.215940882,21.0
59.266074686,33.0
59.316208490,27.0
59.366342295,29.0
59.416476099,31.0
59.466609903,26.0
59.516743707,31.0
59.566877511,26.0
59.617011315,25.0
59.667145119,27.0
59.717278923,33.0
59.767412727,31.0
59.817546531,39.0
59.867680335,29.0
59.917814140,51.0
59.967947944,60.0
60.018081748,30.0
60.068215552,38.0
60.118349356,40.0
60.168483160,58.0
60.218616964,48.0
60.268750768,66.0
60.318884572,65.0
60.369018376,59.0
60.419152180,64.0
60.469285985,74.0
60.519419789,76.0
60.569553593,79.0
60.619687397,83.0
60.669821201,100.0
60.719955005,89.0
60.770088809,100.0
60.820222613,110.0
60.870356417,119.0
60.920490221,97.0
60.970624025,122.0
61.020757830,158.0
61.070891634,147.0
61.121025438,137.0
61.171159242,143.0
61.221293046,151.0
61.271426850,130.0
61.321560654,143.0
61.371694458,152.0
61.421828262,151.0
61.471962066,173.0
61.522095871,181.0
61.572229675,131.0
61.622363479,155.0
61.672497283,148.0
61.722631087,138.0
61.772764891,133.0
61.822898695,118.0
61.873032499,122.0
61.923166303,138.0
61.973300107,113.0
62.023433911,132.0
62.073567716,120.0
62.123701520,105.0
62.173835324,106.0
62.223969128,97.0
62.274102932,82.0
62.324236736,79.0
62.374370540,97.0
62.424504344,83.0
62.474638148,51.0
62.524771952,68.0
62.574905756,62.0
62.625039561,68.0
62.675173365,62.0
62.725307169,59.0
62.775440973,53.0
62.825574777,44.0
62.875708581,47.0
62.925842385,49.0
62.975976189,33.0
63.026109993,40.0
63.076243797,36.0
63.126377602,47.0
63.176511406,45.0
63.226645210,33.0
63.276779014,22.0
63.326912818,34.0
63.377046622,34.0
63.427180426,32.0
63.477314230,22.0
63.527448034,26.0
63.577581838,30.0
63.627715642,32.0
63.677849447,19.0
63.727983251,35.0
63.778117055,17.0
63.828250859,22.0
63.878384663,24.0
63.928518467,23.0
63.978652271,26.0
64.028786075,25.0
64.078919879,31.0
64.129053683,29.0
64.179187487,23.0
64.229321292,26.0
64.279455096,32.0
64.329588900,20.0
64.379722704,30.0
64.429856508,24.0
64.479990312,34.0
64.530124116,33.0
64.580257920,30.0
64.630391724,38.0
