Angle,Intensity
30.038066900,24.0
30.088200704,17.0
30.138334508,32.0
30.188468312,15.0
30.238602116,23.0
30.288735920,21.0
30.338869725,21.0
30.389003529,21.0
30.439137333,20.0
30.489271137,15.0
30.539404941,20.0
30.589538745,20.0
30.639672549,13.0
30.689806353,13.0
30.739940157,18.0
30.790073961,21.0
30.840207765,32.0
30.890341570,8.0
30.940475374,17.0
30.990609178,30.0
31.040742982,8.0
31.090876786,24.0
31.141010590,30.0
31.191144394,19.0
31.241278198,13.0
31.291412002,29.0
31.341545806,19.0
31.391679611,29.0
31.441813415,21.0
31.491947219,26.0
31.542081023,18.0
31.592214827,15.0
31.642348631,17.0
31.692482435,18.0
31.742616239,20.0
31.792750043,12.0
31.842883847,18.0
31.893017651,22.0
31.943151456,21.0
31.993285260,13.0
32.043419064,15.0
32.093552868,13.0
32.143686672,24.0
32.193820476,22.0
32.243954280,23.0
32.294088084,23.0
32.344221888,20.0
32.394355692,15.0
32.444489496,23.0
32.494623301,25.0
32.544757105,12.0
32.594890909,25.0
32.645024713,29.0
32.695158517,19.0
32.745292321,18.0
32.795426125,22.0
32.845559929,20.0
32.895693733,21.0
32.945827537,24.0
32.995961341,18.0
33.046095146,22.0
33.096228950,32.0
33.146362754,19.0
33.196496558,27.0
33.246630362,24.0
33.296764166,17.0
33.346897970,32.0
33.397031774,10.0
33.447165578,23.0
33.497299382,11.0
33.547433187,17.0
33.597566991,19.0
33.647700795,16.0
33.697834599,16.0
33.747968403,18.0
33.798102207,19.0
33.848236011,21.0
33.898369815,23.0
33.948503619,22.0
33.998637423,26.0
34.048771227,7.0
34.098905032,22.0
34.149038836,20.0
34.199172640,25.0
34.249306444,23.0
34.299440248,27.0
34.349574052,20.0
34.399707856,24.0
34.449841660,22.0
34.499975464,17.0
34.550109268,25.0
34.600243072,15.0
34.650376877,25.0
34.700510681,12.0
34.750644485,31.0
34.800778289,13.0
34.850912093,25.0
34.901045897,19.0
34.951179701,23.0
35.001313505,25.0
35.051447309,15.0
35.101581113,15.0
35.151714918,27.0
35.201848722,21.0
35.251982526,16.0
35.302116330,23.0
35.352250134,22.0
35.402383938,30.0
35.452517742,19.0
35.502651546,18.0
35.552785350,26.0
35.602919154,33.0
35.653052958,25.0
35.703186763,30.0
35.753320567,22.0
35.803454371,25.0
35.853588175,35.0
35.903721979,31.0
35.953855783,32.0
36.003989587,29.0
36.054123391,25.0
36.104257195,34.0
36.154390999,27.0
36.204524803,27.0
36.254658608,40.0
36.304792412,45.0
36.354926216,40.0
36.405060020,35.0
36.455193824,51.0
36.505327628,47.0
36.555461432,44.0
36.605595236,53.0
36.655729040,51.0
36.705862844,62.0
36.755996648,57.0
36.806130453,60.0
36.856264257,37.0
36.906398061,72.0
36.956531865,38.0
37.006665669,49.0
37.056799473,51.0
37.106933277,48.0
37.157067081,51.0
37.207200885,58.0
37.257334689,51.0
37.307468494,46.0
37.357602298,41.0
37.407736102,54.0
37.457869906,30.0
37.508003710,26.0
37.558137514,23.0
37.608271318,24.0
37.658405122,27.0
37.708538926,33.0
37.758672730,26.0
37.808806534,27.0
37.858940339,20.0
37.909074143,29.0
37.959207947,22.0
38.009341751,23.0
38.059475555,22.0
38.109609359,24.0
