Angle,Intensity
30.008355630,95.0
30.025066899,105.0
30.041778168,106.0
30.058489437,121.0
30.075200706,96.0
30.091911975,103.0
30.108623244,96.0
30.125334513,117.0
30.142045782,119.0
30.158757051,119.0
30.175468320,91.0
30.192179589,90.0
30.208890858,102.0
30.225602127,111.0
30.242313396,111.0
30.259024665,117.0
30.275735934,91.0
30.292447203,94.0
30.309158472,110.0
30.325869741,118.0
30.342581010,85.0
30.359292279,93.0
30.376003548,126.0
30.392714817,108.0
30.409426085,122.0
30.426137354,101.0
30.442848623,131.0
30.459559892,90.0
30.476271161,87.0
30.492982430,111.0
30.509693699,106.0
30.526404968,106.0
30.543116237,127.0
30.559827506,103.0
30.576538775,103.0
30.593250044,121.0
30.609961313,104.0
30.626672582,104.0
30.643383851,96.0
30.660095120,104.0
30.676806389,103.0
30.693517658,96.0
30.710228927,105.0
30.726940196,92.0
30.743651465,88.0
30.760362734,96.0
30.777074003,103.0
30.793785272,89.0
30.810496541,116.0
30.827207810,100.0
30.843919079,108.0
30.860630348,99.0
30.877341617,104.0
30.894052886,92.0
30.910764155,113.0
30.927475424,106.0
30.944186693,92.0
30.960897962,104.0
30.977609231,106.0
30.994320500,83.0
31.011031769,108.0
31.027743038,104.0
31.044454307,107.0
31.061165576,100.0
31.077876845,112.0
31.094588114,93.0
31.111299383,107.0
31.128010652,92.0
31.144721921,94.0
31.161433190,90.0
31.178144458,90.0
31.194855727,111.0
31.211566996,104.0
31.228278265,79.0
31.244989534,87.0
31.261700803,99.0
31.278412072,89.0
31.295123341,117.0
31.311834610,100.0
31.328545879,93.0
31.345257148,120.0
31.361968417,100.0
31.378679686,101.0
31.395390955,96.0
31.412102224,99.0
31.428813493,113.0
31.445524762,101.0
31.462236031,107.0
31.478947300,91.0
31.495658569,99.0
31.512369838,94.0
31.529081107,106.0
31.545792376,101.0
31.562503645,104.0
31.579214914,103.0
31.595926183,99.0
31.612637452,84.0
31.629348721,113.0
31.646059990,101.0
31.662771259,113.0
31.679482528,104.0
31.696193797,93.0
31.712905066,96.0
31.729616335,103.0
31.746327604,100.0
31.763038873,96.0
31.779750142,103.0
31.796461411,97.0
31.813172680,96.0
31.829883949,104.0
31.846595218,92.0
31.863306487,96.0
31.880017756,104.0
31.896729025,102.0
31.913440294,97.0
31.930151563,95.0
31.946862832,94.0
31.963574100,102.0
31.980285369,74.0
31.996996638,104.0
32.013707907,90.0
32.030419176,103.0
32.047130445,97.0
32.063841714,110.0
32.080552983,107.0
32.097264252,108.0
32.113975521,90.0
32.130686790,89.0
32.147398059,105.0
32.164109328,116.0
32.180820597,89.0
32.197531866,107.0
32.214243135,87.0
32.230954404,118.0
32.247665673,84.0
32.264376942,99.0
32.281088211,84.0
32.297799480,84.0
32.314510749,96.0
32.331222018,100.0
32.347933287,91.0
32.364644556,74.0
32.381355825,93.0
32.398067094,95.0
32.414778363,87.0
32.431489632,92.0
32.448200901,97.0
32.464912170,95.0
32.481623439,109.0
32.498334708,93.0
32.515045977,105.0
32.531757246,95.0
32.548468515,102.0
32.565179784,87.0
32.581891053,99.0
32.598602322,99.0
32.615313591,103.0
32.632024860,100.0
32.648736129,105.0
32.665447398,108.0
32.682158667,101.0
32.698869936,105.0
32.715581205,91.0
32.732292473,106.0
32.749003742,104.0
32.765715011,84.0
32.782426280,104.0
32.799137549,88.0
32.815848818,96.0
32.832560087,94.0
32.849271356,82.0
32.865982625,84.0
32.882693894,83.0
32.899405163,92.0
32.916116432,87.0
32.932827701,91.0
32.949538970,115.0
32.966250239,91.0
32.982961508,96.0
32.999672777,84.0
33.016384046,96.0
33.033095315,92.0
33.049806584,77.0
33.066517853,82.0
33.083229122,100.0
33.099940391,74.0
33.116651660,101.0
33.133362929,91.0
33.150074198,91.0
33.166785467,84.0
33.183496736,90.0
33.200208005,116.0
33.216919274,105.0
33.233630543,106.0
33.250341812,86.0
33.267053081,91.0
33.283764350,110.0
33.300475619,91.0
33.317186888,95.0
33.333898157,72.0
33.350609426,92.0
33.367320695,105.0
33.384031964,111.0
33.400743233,91.0
33.417454502,99.0
33.434165771,93.0
33.450877040,99.0
33.467588309,94.0
33.484299578,79.0
33.501010847,105.0
33.517722115,99.0
33.534433384,91.0
33.551144653,72.0
33.567855922,92.0
33.584567191,93.0
33.601278460,85.0
33.617989729,82.0
33.634700998,87.0
33.651412267,95.0
33.668123536,90.0
33.684834805,100.0
33.701546074,103.0
33.718257343,83.0
33.734968612,87.0
33.751679881,104.0
33.768391150,83.0
33.785102419,113.0
33.801813688,85.0
33.818524957,112.0
33.835236226,91.0
33.851947495,85.0
33.868658764,99.0
33.885370033,95.0
33.902081302,86.0
