Angle,Intensity
30.025066900,30.0
30.075200704,25.0
30.125334508,30.0
30.175468312,20.0
30.225602116,25.0
30.275735920,24.0
30.325869725,25.0
30.376003529,26.0
30.426137333,27.0
30.476271137,26.0
30.526404941,15.0
30.576538745,38.0
30.626672549,23.0
30.676806353,31.0
30.726940157,15.0
30.777073961,24.0
30.827207765,25.0
30.877341570,22.0
30.927475374,22.0
30.977609178,29.0
31.027742982,19.0
31.077876786,26.0
31.128010590,18.0
31.178144394,21.0
31.228278198,23.0
31.278412002,25.0
31.328545806,15.0
31.378679610,25.0
31.428813415,27.0
31.478947219,26.0
31.529081023,17.0
31.579214827,16.0
31.629348631,20.0
31.679482435,23.0
31.729616239,17.0
31.779750043,24.0
31.829883847,18.0
31.880017651,21.0
31.930151455,12.0
31.980285260,19.0
32.030419064,19.0
32.080552868,19.0
32.130686672,26.0
32.180820476,22.0
32.230954280,32.0
32.281088084,20.0
32.331221888,24.0
32.381355692,13.0
32.431489496,16.0
32.481623300,21.0
32.531757105,27.0
32.581890909,20.0
32.632024713,23.0
32.682158517,16.0
32.732292321,18.0
32.782426125,25.0
32.832559929,19.0
32.882693733,25.0
32.932827537,24.0
32.982961341,26.0
33.033095145,16.0
33.083228950,20.0
33.133362754,17.0
33.183496558,13.0
33.233630362,17.0
33.283764166,17.0
33.333897970,24.0
33.384031774,11.0
33.434165578,17.0
33.484299382,19.0
33.534433186,26.0
33.584566990,21.0
33.634700794,18.0
33.684834599,25.0
33.734968403,21.0
33.785102207,20.0
33.835236011,26.0
33.885369815,19.0
33.935503619,22.0
33.985637423,17.0
34.035771227,19.0
34.085905031,24.0
34.136038835,26.0
34.186172639,13.0
34.236306444,21.0
34.286440248,12.0
34.336574052,27.0
34.386707856,15.0
34.436841660,22.0
34.486975464,19.0
34.537109268,15.0
34.587243072,16.0
34.637376876,18.0
34.687510680,19.0
34.737644484,15.0
34.787778289,21.0
34.837912093,18.0
34.888045897,12.0
34.938179701,20.0
34.988313505,27.0
35.038447309,22.0
35.088581113,25.0
35.138714917,19.0
35.188848721,15.0
35.238982525,20.0
35.289116329,22.0
35.339250134,22.0
35.389383938,16.0
35.439517742,23.0
35.489651546,20.0
35.539785350,17.0
35.589919154,25.0
35.640052958,16.0
35.690186762,23.0
35.740320566,37.0
35.790454370,27.0
35.840588174,24.0
35.890721979,37.0
35.940855783,31.0
35.990989587,32.0
36.041123391,34.0
36.091257195,20.0
36.141390999,30.0
36.191524803,29.0
36.241658607,31.0
36.291792411,25.0
36.341926215,35.0
36.392060019,30.0
36.442193824,24.0
36.492327628,26.0
36.542461432,22.0
36.592595236,27.0
36.642729040,38.0
36.692862844,25.0
36.742996648,22.0
36.793130452,25.0
36.843264256,27.0
36.893398060,27.0
36.943531864,20.0
36.993665669,30.0
37.043799473,18.0
37.093933277,20.0
37.144067081,22.0
37.194200885,19.0
37.244334689,16.0
37.294468493,22.0
37.344602297,16.0
37.394736101,27.0
37.444869905,19.0
37.495003709,24.0
37.545137514,12.0
37.595271318,18.0
37.645405122,26.0
37.695538926,18.0
37.745672730,16.0
37.795806534,9.0
37.845940338,15.0
37.896074142,16.0
37.946207946,18.0
37.996341750,18.0
38.046475554,21.0
38.096609359,13.0
38.146743163,12.0
38.196876967,24.0
38.247010771,12.0
38.297144575,18.0
38.347278379,23.0
38.397412183,21.0
38.447545987,16.0
38.497679791,11.0
38.547813595,20.0
38.597947399,23.0
38.648081204,21.0
38.698215008,16.0
38.748348812,16.0
