Angle,Intensity
30.008355630,75.0
30.025066899,71.0
30.041778168,79.0
30.058489437,83.0
30.075200706,88.0
30.091911975,70.0
30.108623244,86.0
30.125334513,82.0
30.142045782,71.0
30.158757051,83.0
30.175468320,96.0
30.192179589,90.0
30.208890858,80.0
30.225602127,91.0
30.242313396,84.0
30.259024665,77.0
30.275735934,71.0
30.292447203,91.0
30.309158472,90.0
30.325869741,80.0
30.342581010,82.0
30.359292279,80.0
30.376003548,69.0
30.392714816,76.0
30.409426085,74.0
30.426137354,92.0
30.442848623,79.0
30.459559892,87.0
30.476271161,73.0
30.492982430,72.0
30.509693699,71.0
30.526404968,62.0
30.543116237,78.0
30.559827506,93.0
30.576538775,62.0
30.593250044,67.0
30.609961313,72.0
30.626672582,72.0
30.643383851,77.0
30.660095120,62.0
30.676806389,61.0
30.693517658,60.0
30.710228927,83.0
30.726940196,75.0
30.743651465,74.0
30.760362734,77.0
30.777074003,92.0
30.793785272,83.0
30.810496541,89.0
30.827207810,99.0
30.843919079,72.0
30.860630348,73.0
30.877341617,62.0
30.894052886,84.0
30.910764155,80.0
30.927475424,82.0
30.944186693,79.0
30.960897962,67.0
30.977609231,82.0
30.994320500,61.0
31.011031769,79.0
31.027743038,75.0
31.044454307,72.0
31.061165576,77.0
31.077876845,80.0
31.094588114,78.0
31.111299383,64.0
31.128010652,78.0
31.144721921,75.0
31.161433189,78.0
31.178144458,79.0
31.194855727,78.0
31.211566996,84.0
31.228278265,68.0
31.244989534,69.0
31.261700803,75.0
31.278412072,71.0
31.295123341,70.0
31.311834610,82.0
31.328545879,62.0
31.345257148,64.0
31.361968417,63.0
31.378679686,63.0
31.395390955,72.0
31.412102224,63.0
31.428813493,70.0
31.445524762,59.0
31.462236031,66.0
31.478947300,78.0
31.495658569,82.0
31.512369838,74.0
31.529081107,72.0
31.545792376,79.0
31.562503645,66.0
31.579214914,62.0
31.595926183,77.0
31.612637452,71.0
31.629348721,76.0
31.646059990,55.0
31.662771259,62.0
31.679482528,73.0
31.696193797,67.0
31.712905066,59.0
31.729616335,70.0
31.746327604,70.0
31.763038873,84.0
31.779750142,82.0
31.796461411,67.0
31.813172680,71.0
31.829883949,64.0
31.846595218,71.0
31.863306487,64.0
31.880017756,57.0
31.896729025,66.0
31.913440293,72.0
31.930151562,69.0
31.946862831,64.0
31.963574100,66.0
31.980285369,83.0
31.996996638,63.0
32.013707907,72.0
32.030419176,72.0
32.047130445,67.0
32.063841714,52.0
32.080552983,57.0
32.097264252,75.0
32.113975521,72.0
32.130686790,67.0
32.147398059,61.0
32.164109328,63.0
32.180820597,45.0
32.197531866,67.0
32.214243135,62.0
32.230954404,77.0
32.247665673,71.0
32.264376942,59.0
32.281088211,55.0
32.297799480,53.0
32.314510749,67.0
32.331222018,70.0
32.347933287,59.0
32.364644556,70.0
32.381355825,74.0
32.398067094,74.0
32.414778363,55.0
32.431489632,68.0
32.448200901,54.0
32.464912170,64.0
32.481623439,79.0
32.498334708,63.0
32.515045977,66.0
32.531757246,57.0
32.548468515,76.0
32.565179784,55.0
32.581891053,78.0
32.598602322,72.0
32.615313591,52.0
32.632024860,46.0
32.648736129,68.0
32.665447398,67.0
32.682158666,72.0
32.698869935,67.0
32.715581204,57.0
32.732292473,72.0
32.749003742,59.0
32.765715011,62.0
32.782426280,64.0
32.799137549,72.0
32.815848818,63.0
32.832560087,72.0
32.849271356,68.0
32.865982625,74.0
32.882693894,63.0
32.899405163,72.0
32.916116432,61.0
32.932827701,68.0
32.949538970,69.0
32.966250239,56.0
32.982961508,71.0
32.999672777,63.0
33.016384046,83.0
33.033095315,60.0
33.049806584,70.0
33.066517853,66.0
33.083229122,77.0
33.099940391,51.0
33.116651660,73.0
33.133362929,53.0
33.150074198,74.0
33.166785467,55.0
33.183496736,72.0
33.200208005,80.0
33.216919274,79.0
33.233630543,55.0
33.250341812,77.0
33.267053081,69.0
33.283764350,60.0
33.300475619,77.0
33.317186888,61.0
33.333898157,64.0
33.350609426,57.0
33.367320695,77.0
33.384031964,47.0
33.400743233,79.0
33.417454502,70.0
33.434165770,59.0
33.450877039,58.0
33.467588308,68.0
33.484299577,56.0
33.501010846,63.0
33.517722115,61.0
33.534433384,47.0
33.551144653,64.0
33.567855922,62.0
33.584567191,69.0
33.601278460,62.0
33.617989729,74.0
33.634700998,67.0
33.651412267,69.0
33.668123536,68.0
33.684834805,71.0
33.701546074,68.0
33.718257343,61.0
33.734968612,51.0
33.751679881,73.0
33.768391150,54.0
33.785102419,73.0
33.801813688,73.0
33.818524957,50.0
33.835236226,50.0
33.851947495,54.0
33.868658764,66.0
33.885370033,64.0
33.902081302,62.0
33.918792571,61.0
33.935503840,59.0
33.952215109,53.0
33.968926378,63.0
33.985637647,58.0
34.002348916,66.0
34.019060185,54.0
34.035771454,67.0
34.052482723,67.0
34.069193992,35.0
34.085905261,63.0
34.102616530,61.0
34.119327799,72.0
34.136039068,46.0
34.152750337,55.0
34.169461606,61.0
34.186172875,55.0
34.202884143,56.0
34.219595412,76.0
34.236306681,53.0
34.253017950,57.0
34.269729219,59.0
34.286440488,69.0
34.303151757,58.0
34.319863026,62.0
34.336574295,64.0
34.353285564,62.0
