Angle,Intensity
30.008355630,105.0
30.025066899,96.0
30.041778168,86.0
30.058489437,95.0
30.075200706,85.0
30.091911975,96.0
30.108623244,83.0
30.125334513,104.0
30.142045782,96.0
30.158757051,112.0
30.175468320,121.0
30.192179589,89.0
30.208890858,124.0
30.225602127,99.0
30.242313396,95.0
30.259024665,86.0
30.275735934,103.0
30.292447203,92.0
30.309158472,78.0
30.325869741,88.0
30.342581010,94.0
30.359292279,96.0
30.376003548,83.0
30.392714817,100.0
30.409426085,93.0
30.426137354,85.0
30.442848623,93.0
30.459559892,99.0
30.476271161,90.0
30.492982430,85.0
30.509693699,91.0
30.526404968,83.0
30.543116237,85.0
30.559827506,108.0
30.576538775,93.0
30.593250044,92.0
30.609961313,93.0
30.626672582,93.0
30.643383851,96.0
30.660095120,94.0
30.676806389,79.0
30.693517658,118.0
30.710228927,97.0
30.726940196,91.0
30.743651465,88.0
30.760362734,101.0
30.777074003,97.0
30.793785272,123.0
30.810496541,111.0
30.827207810,99.0
30.843919079,90.0
30.860630348,93.0
30.877341617,108.0
30.894052886,82.0
30.910764155,70.0
30.927475424,100.0
30.944186693,75.0
30.960897962,88.0
30.977609231,93.0
30.994320500,92.0
31.011031769,86.0
31.027743038,93.0
31.044454307,83.0
31.061165576,83.0
31.077876845,85.0
31.094588114,93.0
31.111299383,88.0
31.128010652,96.0
31.144721921,107.0
31.161433190,82.0
31.178144458,86.0
31.194855727,89.0
31.211566996,70.0
31.228278265,85.0
31.244989534,96.0
31.261700803,78.0
31.278412072,78.0
31.295123341,73.0
31.311834610,104.0
31.328545879,86.0
31.345257148,100.0
31.361968417,100.0
31.378679686,93.0
31.395390955,92.0
31.412102224,96.0
31.428813493,77.0
31.445524762,101.0
31.462236031,94.0
31.478947300,79.0
31.495658569,106.0
31.512369838,95.0
31.529081107,84.0
31.545792376,87.0
31.562503645,100.0
31.579214914,80.0
31.595926183,82.0
31.612637452,96.0
31.629348721,97.0
31.646059990,76.0
31.662771259,69.0
31.679482528,97.0
31.696193797,86.0
31.712905066,100.0
31.729616335,94.0
31.746327604,70.0
31.763038873,89.0
31.779750142,85.0
31.796461411,82.0
31.813172680,99.0
31.829883949,99.0
