Angle,Intensity
30.038066900,15.0
30.088200704,9.0
30.138334508,9.0
30.188468312,8.0
30.238602116,13.0
30.288735920,9.0
30.338869725,9.0
30.389003529,21.0
30.439137333,12.0
30.489271137,9.0
30.539404941,19.0
30.589538745,11.0
30.639672549,10.0
30.689806353,18.0
30.739940157,15.0
30.790073961,10.0
30.840207765,17.0
30.890341570,10.0
30.940475374,18.0
30.990609178,18.0
31.040742982,10.0
31.090876786,11.0
31.141010590,24.0
31.191144394,18.0
31.241278198,8.0
31.291412002,10.0
31.341545806,13.0
31.391679611,19.0
31.441813415,7.0
31.491947219,17.0
31.542081023,9.0
31.592214827,17.0
31.642348631,15.0
31.692482435,10.0
31.742616239,13.0
31.792750043,15.0
31.842883847,7.0
31.893017651,12.0
31.943151456,9.0
31.993285260,18.0
32.043419064,5.0
32.093552868,12.0
32.143686672,12.0
32.193820476,8.0
32.243954280,8.0
32.294088084,11.0
32.344221888,11.0
32.394355692,9.0
32.444489496,6.0
32.494623301,11.0
32.544757105,7.0
32.594890909,4.0
32.645024713,12.0
32.695158517,9.0
32.745292321,11.0
32.795426125,10.0
32.845559929,12.0
32.895693733,11.0
32.945827537,16.0
32.995961341,11.0
33.046095146,9.0
33.096228950,7.0
33.146362754,12.0
33.196496558,9.0
33.246630362,12.0
33.296764166,16.0
33.346897970,6.0
33.397031774,23.0
33.447165578,16.0
33.497299382,8.0
33.547433187,16.0
33.597566991,12.0
33.647700795,16.0
33.697834599,8.0
33.747968403,17.0
33.798102207,11.0
33.848236011,11.0
33.898369815,19.0
33.948503619,17.0
33.998637423,11.0
34.048771227,20.0
34.098905032,11.0
34.149038836,8.0
34.199172640,13.0
34.249306444,11.0
34.299440248,9.0
34.349574052,10.0
34.399707856,13.0
34.449841660,20.0
34.499975464,13.0
34.550109268,13.0
34.600243072,20.0
34.650376877,17.0
34.700510681,17.0
34.750644485,8.0
34.800778289,21.0
34.850912093,18.0
34.901045897,7.0
34.951179701,16.0
35.001313505,16.0
35.051447309,16.0
35.101581113,15.0
35.151714918,12.0
35.201848722,16.0
35.251982526,25.0
35.302116330,17.0
35.352250134,19.0
35.402383938,11.0
35.452517742,24.0
35.502651546,20.0
35.552785350,19.0
35.602919154,20.0
35.653052958,19.0
35.703186763,15.0
35.753320567,23.0
35.803454371,17.0
35.853588175,16.0
35.903721979,33.0
35.953855783,23.0
36.003989587,29.0
36.054123391,24.0
36.104257195,35.0
36.154390999,33.0
36.204524803,32.0
36.254658608,31.0
36.304792412,44.0
36.354926216,44.0
36.405060020,61.0
36.455193824,46.0
36.505327628,61.0
36.555461432,73.0
36.605595236,89.0
36.655729040,93.0
36.705862844,81.0
36.755996648,109.0
36.806130453,102.0
36.856264257,102.0
36.906398061,102.0
36.956531865,111.0
37.006665669,121.0
37.056799473,128.0
37.106933277,145.0
37.157067081,125.0
37.207200885,100.0
37.257334689,141.0
37.307468494,109.0
37.357602298,105.0
37.407736102,108.0
37.457869906,87.0
37.508003710,95.0
37.558137514,73.0
37.608271318,86.0
37.658405122,64.0
37.708538926,53.0
37.758672730,47.0
37.808806534,45.0
37.858940339,50.0
37.909074143,52.0
37.959207947,37.0
38.009341751,47.0
38.059475555,27.0
38.109609359,34.0
38.159743163,30.0
38.209876967,21.0
38.260010771,30.0
38.310144575,30.0
38.360278379,20.0
38.410412184,29.0
38.460545988,19.0
38.510679792,23.0
38.560813596,19.0
38.610947400,17.0
38.661081204,18.0
38.711215008,26.0
38.761348812,16.0
38.811482616,10.0
38.861616420,13.0
38.911750224,22.0
