Angle,Intensity
30.008355630,50.0
30.025066899,67.0
30.041778168,79.0
30.058489437,62.0
30.075200706,56.0
30.091911975,82.0
30.108623244,56.0
30.125334513,64.0
30.142045782,51.0
30.158757051,86.0
30.175468320,61.0
30.192179589,67.0
30.208890858,52.0
30.225602127,71.0
30.242313396,82.0
30.259024665,73.0
30.275735934,63.0
30.292447203,67.0
30.309158472,59.0
30.325869741,56.0
30.342581010,63.0
30.359292279,71.0
30.376003548,66.0
30.392714817,48.0
30.409426085,73.0
30.426137354,71.0
30.442848623,66.0
30.459559892,69.0
30.476271161,73.0
30.492982430,64.0
30.509693699,74.0
30.526404968,63.0
30.543116237,75.0
30.559827506,72.0
30.576538775,57.0
30.593250044,63.0
30.609961313,70.0
30.626672582,75.0
30.643383851,64.0
30.660095120,76.0
30.676806389,58.0
30.693517658,53.0
30.710228927,67.0
30.726940196,50.0
30.743651465,59.0
30.760362734,75.0
30.777074003,67.0
30.793785272,73.0
30.810496541,67.0
30.827207810,57.0
30.843919079,73.0
30.860630348,54.0
30.877341617,64.0
30.894052886,72.0
30.910764155,77.0
30.927475424,79.0
30.944186693,63.0
30.960897962,58.0
30.977609231,64.0
30.994320500,69.0
31.011031769,74.0
31.027743038,76.0
31.044454307,63.0
31.061165576,61.0
31.077876845,62.0
31.094588114,50.0
31.111299383,72.0
31.128010652,66.0
31.144721921,78.0
31.161433190,60.0
31.178144458,66.0
31.194855727,57.0
31.211566996,54.0
31.228278265,64.0
31.244989534,80.0
31.261700803,63.0
31.278412072,61.0
31.295123341,68.0
31.311834610,55.0
31.328545879,64.0
31.345257148,66.0
31.361968417,62.0
31.378679686,56.0
31.395390955,73.0
31.412102224,60.0
31.428813493,54.0
31.445524762,63.0
31.462236031,66.0
31.478947300,62.0
31.495658569,47.0
31.512369838,73.0
31.529081107,59.0
31.545792376,73.0
31.562503645,77.0
31.579214914,62.0
31.595926183,57.0
31.612637452,45.0
31.629348721,62.0
31.646059990,40.0
31.662771259,74.0
31.679482528,67.0
31.696193797,68.0
31.712905066,58.0
31.729616335,53.0
31.746327604,68.0
31.763038873,56.0
31.779750142,59.0
31.796461411,67.0
31.813172680,60.0
31.829883949,80.0
31.846595218,59.0
31.863306487,56.0
31.880017756,62.0
31.896729025,79.0
31.913440294,66.0
31.930151563,52.0
31.946862832,72.0
31.963574100,56.0
31.980285369,57.0
31.996996638,60.0
32.013707907,60.0
32.030419176,67.0
32.047130445,55.0
32.063841714,51.0
32.080552983,66.0
32.097264252,54.0
32.113975521,44.0
32.130686790,56.0
32.147398059,58.0
32.164109328,71.0
32.180820597,62.0
32.197531866,62.0
32.214243135,59.0
32.230954404,59.0
32.247665673,68.0
32.264376942,63.0
32.281088211,51.0
32.297799480,63.0
32.314510749,62.0
32.331222018,51.0
32.347933287,59.0
32.364644556,70.0
32.381355825,59.0
32.398067094,63.0
32.414778363,53.0
32.431489632,54.0
32.448200901,52.0
32.464912170,55.0
32.481623439,46.0
32.498334708,55.0
32.515045977,60.0
32.531757246,58.0
32.548468515,41.0
32.565179784,59.0
32.581891053,70.0
32.598602322,70.0
32.615313591,62.0
32.632024860,56.0
32.648736129,58.0
32.665447398,54.0
32.682158667,71.0
32.698869936,54.0
32.715581205,48.0
32.732292473,63.0
32.749003742,67.0
32.765715011,52.0
32.782426280,53.0
32.799137549,58.0
32.815848818,60.0
32.832560087,53.0
32.849271356,62.0
32.865982625,51.0
32.882693894,79.0
32.899405163,52.0
32.916116432,55.0
32.932827701,73.0
32.949538970,50.0
32.966250239,67.0
32.982961508,56.0
32.999672777,57.0
33.016384046,56.0
33.033095315,67.0
33.049806584,38.0
33.066517853,72.0
33.083229122,63.0
33.099940391,52.0
33.116651660,45.0
33.133362929,61.0
33.150074198,47.0
33.166785467,41.0
33.183496736,58.0
33.200208005,42.0
33.216919274,53.0
33.233630543,60.0
33.250341812,58.0
33.267053081,56.0
33.283764350,51.0
33.300475619,48.0
33.317186888,55.0
33.333898157,57.0
33.350609426,62.0
33.367320695,53.0
33.384031964,46.0
33.400743233,67.0
33.417454502,63.0
33.434165771,68.0
33.450877040,54.0
33.467588309,66.0
33.484299578,52.0
33.501010847,55.0
33.517722115,66.0
33.534433384,52.0
33.551144653,57.0
33.567855922,56.0
33.584567191,39.0
33.601278460,54.0
33.617989729,53.0
33.634700998,58.0
33.651412267,58.0
33.668123536,66.0
33.684834805,73.0
33.701546074,74.0
33.718257343,40.0
33.734968612,56.0
33.751679881,66.0
33.768391150,67.0
33.785102419,54.0
33.801813688,60.0
33.818524957,71.0
33.835236226,44.0
33.851947495,58.0
33.868658764,55.0
33.885370033,54.0
33.902081302,60.0
33.918792571,58.0
33.935503840,64.0
33.952215109,50.0
33.968926378,64.0
33.985637647,47.0
34.002348916,56.0
34.019060185,68.0
34.035771454,55.0
34.052482723,54.0
34.069193992,48.0
34.085905261,60.0
34.102616530,58.0
34.119327799,56.0
34.136039068,53.0
34.152750337,48.0
34.169461606,59.0
34.186172875,62.0
34.202884144,62.0
34.219595413,51.0
34.236306682,47.0
34.253017951,56.0
34.269729220,57.0
34.286440489,50.0
34.303151757,54.0
34.319863026,52.0
34.336574295,56.0
34.353285564,45.0
34.369996833,53.0
34.386708102,66.0
34.403419371,61.0
34.420130640,68.0
34.436841909,59.0
34.453553178,61.0
34.470264447,64.0
34.486975716,69.0
34.503686985,46.0
34.520398254,44.0
34.537109523,63.0
34.553820792,53.0
34.570532061,52.0
34.587243330,68.0
34.603954599,69.0
34.620665868,59.0
34.637377137,70.0
34.654088406,51.0
34.670799675,66.0
34.687510944,44.0
34.704222213,46.0
34.720933482,41.0
34.737644751,46.0
34.754356020,57.0
34.771067289,52.0
34.787778558,55.0
34.804489827,55.0
34.821201096,45.0
34.837912365,55.0
34.854623634,60.0
34.871334903,46.0
34.888046172,48.0
34.904757441,57.0
34.921468710,59.0
34.938179979,57.0
34.954891248,78.0
