Angle,Intensity
30.038066900,13.0
30.088200704,12.0
30.138334508,18.0
30.188468312,15.0
30.238602116,26.0
30.288735920,15.0
30.338869725,19.0
30.389003529,30.0
30.439137333,18.0
30.489271137,18.0
30.539404941,29.0
30.589538745,22.0
30.639672549,11.0
30.689806353,11.0
30.739940157,21.0
30.790073961,19.0
30.840207765,23.0
30.890341570,17.0
30.940475374,25.0
30.990609178,29.0
31.040742982,25.0
31.090876786,29.0
31.141010590,18.0
31.191144394,31.0
31.241278198,29.0
31.291412002,46.0
31.341545806,39.0
31.391679611,37.0
31.441813415,45.0
31.491947219,38.0
31.542081023,39.0
31.592214827,44.0
31.642348631,24.0
31.692482435,34.0
31.742616239,36.0
31.792750043,36.0
31.842883847,30.0
31.893017651,20.0
31.943151456,25.0
31.993285260,24.0
32.043419064,23.0
32.093552868,38.0
32.143686672,32.0
32.193820476,23.0
32.243954280,22.0
32.294088084,37.0
32.344221888,30.0
32.394355692,31.0
32.444489496,29.0
32.494623301,27.0
32.544757105,18.0
32.594890909,26.0
32.645024713,20.0
32.695158517,44.0
32.745292321,23.0
32.795426125,29.0
32.845559929,36.0
32.895693733,31.0
32.945827537,33.0
32.995961341,50.0
33.046095146,38.0
33.096228950,50.0
33.146362754,40.0
33.196496558,65.0
33.246630362,60.0
33.296764166,87.0
33.346897970,80.0
33.397031774,79.0
33.447165578,85.0
33.497299382,89.0
33.547433187,82.0
33.597566991,80.0
33.647700795,75.0
33.697834599,76.0
33.747968403,82.0
33.798102207,73.0
33.848236011,95.0
33.898369815,89.0
33.948503619,82.0
33.998637423,92.0
34.048771227,116.0
34.098905032,109.0
34.149038836,116.0
34.199172640,149.0
34.249306444,138.0
34.299440248,190.0
34.349574052,228.0
34.399707856,259.0
34.449841660,351.0
34.499975464,433.0
34.550109268,597.0
34.600243072,784.0
34.650376877,1153.0
34.700510681,1538.0
34.750644485,2275.0
34.800778289,3020.0
34.850912093,3724.0
34.901045897,4388.0
34.951179701,4397.0
35.001313505,4055.0
35.051447309,3588.0
35.101581113,3116.0
35.151714918,2410.0
35.201848722,1918.0
35.251982526,1523.0
35.302116330,1251.0
35.352250134,1008.0
35.402383938,793.0
35.452517742,645.0
35.502651546,587.0
35.552785350,494.0
35.602919154,390.0
35.653052958,357.0
35.703186763,351.0
35.753320567,297.0
