Angle,Intensity
30.008355630,59.0
30.025066899,62.0
30.041778168,58.0
30.058489437,70.0
30.075200706,63.0
30.091911975,72.0
30.108623244,57.0
30.125334513,61.0
30.142045782,57.0
30.158757051,64.0
30.175468320,69.0
30.192179589,68.0
30.208890858,58.0
30.225602127,72.0
30.242313396,69.0
30.259024665,67.0
30.275735934,66.0
30.292447203,54.0
30.309158472,86.0
30.325869741,66.0
30.342581010,58.0
30.359292279,87.0
30.376003548,72.0
30.392714816,73.0
30.409426085,67.0
30.426137354,58.0
30.442848623,73.0
30.459559892,64.0
30.476271161,66.0
30.492982430,67.0
30.509693699,78.0
30.526404968,91.0
30.543116237,77.0
30.559827506,86.0
30.576538775,67.0
30.593250044,76.0
30.609961313,71.0
30.626672582,71.0
30.643383851,71.0
30.660095120,55.0
30.676806389,71.0
30.693517658,64.0
30.710228927,67.0
30.726940196,71.0
30.743651465,54.0
30.760362734,73.0
30.777074003,78.0
30.793785272,75.0
30.810496541,64.0
30.827207810,69.0
30.843919079,73.0
30.860630348,90.0
30.877341617,61.0
30.894052886,64.0
30.910764155,69.0
30.927475424,69.0
30.944186693,74.0
30.960897962,54.0
30.977609231,67.0
30.994320500,58.0
31.011031769,70.0
31.027743038,69.0
31.044454307,73.0
31.061165576,73.0
31.077876845,70.0
31.094588114,85.0
31.111299383,72.0
31.128010652,71.0
31.144721921,74.0
31.161433189,82.0
31.178144458,77.0
31.194855727,66.0
31.211566996,99.0
31.228278265,82.0
31.244989534,80.0
31.261700803,84.0
31.278412072,87.0
31.295123341,78.0
31.311834610,78.0
31.328545879,86.0
31.345257148,85.0
31.361968417,62.0
31.378679686,62.0
31.395390955,78.0
31.412102224,84.0
31.428813493,72.0
31.445524762,71.0
31.462236031,73.0
31.478947300,71.0
31.495658569,70.0
31.512369838,79.0
31.529081107,79.0
31.545792376,71.0
31.562503645,61.0
31.579214914,89.0
31.595926183,71.0
31.612637452,75.0
31.629348721,75.0
31.646059990,70.0
31.662771259,73.0
31.679482528,74.0
31.696193797,82.0
31.712905066,86.0
31.729616335,78.0
31.746327604,77.0
31.763038873,85.0
31.779750142,60.0
31.796461411,66.0
31.813172680,68.0
31.829883949,69.0
31.846595218,71.0
31.863306487,83.0
31.880017756,68.0
31.896729025,77.0
31.913440293,63.0
31.930151562,71.0
31.946862831,66.0
31.963574100,79.0
31.980285369,72.0
31.996996638,78.0
32.013707907,63.0
32.030419176,79.0
32.047130445,58.0
32.063841714,57.0
32.080552983,59.0
32.097264252,88.0
32.113975521,62.0
32.130686790,75.0
32.147398059,61.0
32.164109328,76.0
32.180820597,67.0
32.197531866,71.0
32.214243135,60.0
32.230954404,82.0
32.247665673,62.0
32.264376942,55.0
32.281088211,74.0
32.297799480,84.0
32.314510749,73.0
32.331222018,58.0
32.347933287,75.0
32.364644556,76.0
32.381355825,71.0
32.398067094,64.0
32.414778363,83.0
32.431489632,88.0
32.448200901,76.0
32.464912170,86.0
32.481623439,76.0
32.498334708,79.0
32.515045977,86.0
32.531757246,94.0
32.548468515,80.0
32.565179784,64.0
32.581891053,89.0
