Angle,Intensity
30.008355630,96.0
30.025066899,104.0
30.041778168,91.0
30.058489437,89.0
30.075200706,83.0
30.091911975,85.0
30.108623244,93.0
30.125334513,84.0
30.142045782,95.0
30.158757051,90.0
30.175468320,83.0
30.192179589,82.0
30.208890858,87.0
30.225602127,88.0
30.242313396,97.0
30.259024665,110.0
30.275735934,97.0
30.292447203,101.0
30.309158472,88.0
30.325869741,94.0
30.342581010,107.0
30.359292279,88.0
30.376003548,99.0
30.392714816,82.0
30.409426085,94.0
30.426137354,95.0
30.442848623,97.0
30.459559892,85.0
30.476271161,87.0
30.492982430,94.0
30.509693699,87.0
30.526404968,89.0
30.543116237,99.0
30.559827506,94.0
30.576538775,111.0
30.593250044,87.0
30.609961313,107.0
30.626672582,95.0
30.643383851,117.0
30.660095120,94.0
30.676806389,110.0
30.693517658,120.0
30.710228927,91.0
30.726940196,116.0
30.743651465,82.0
30.760362734,105.0
30.777074003,103.0
30.793785272,122.0
30.810496541,102.0
30.827207810,89.0
30.843919079,110.0
30.860630348,107.0
30.877341617,120.0
30.894052886,118.0
30.910764155,129.0
30.927475424,126.0
30.944186693,122.0
30.960897962,128.0
30.977609231,169.0
30.994320500,143.0
31.011031769,139.0
31.027743038,153.0
31.044454307,160.0
31.061165576,158.0
31.077876845,152.0
31.094588114,174.0
31.111299383,159.0
31.128010652,167.0
31.144721921,182.0
31.161433189,174.0
31.178144458,153.0
31.194855727,160.0
31.211566996,183.0
31.228278265,160.0
31.244989534,185.0
31.261700803,157.0
31.278412072,161.0
31.295123341,146.0
31.311834610,155.0
31.328545879,160.0
31.345257148,155.0
31.361968417,139.0
31.378679686,157.0
31.395390955,141.0
31.412102224,141.0
31.428813493,121.0
31.445524762,115.0
31.462236031,124.0
31.478947300,111.0
31.495658569,128.0
31.512369838,118.0
31.529081107,118.0
31.545792376,121.0
31.562503645,109.0
31.579214914,110.0
31.595926183,105.0
31.612637452,85.0
31.629348721,108.0
31.646059990,100.0
31.662771259,111.0
31.679482528,126.0
31.696193797,102.0
31.712905066,97.0
31.729616335,113.0
31.746327604,124.0
31.763038873,106.0
31.779750142,111.0
31.796461411,115.0
31.813172680,95.0
31.829883949,127.0
31.846595218,117.0
31.863306487,99.0
31.880017756,99.0
31.896729025,108.0
31.913440293,116.0
31.930151562,108.0
31.946862831,110.0
31.963574100,144.0
31.980285369,124.0
31.996996638,120.0
32.013707907,117.0
32.030419176,113.0
32.047130445,124.0
32.063841714,149.0
32.080552983,113.0
32.097264252,138.0
32.113975521,127.0
32.130686790,125.0
32.147398059,136.0
32.164109328,113.0
32.180820597,105.0
32.197531866,118.0
32.214243135,150.0
32.230954404,128.0
32.247665673,133.0
32.264376942,137.0
32.281088211,124.0
32.297799480,137.0
32.314510749,133.0
32.331222018,132.0
32.347933287,133.0
32.364644556,140.0
32.381355825,136.0
32.398067094,139.0
32.414778363,115.0
32.431489632,159.0
32.448200901,152.0
32.464912170,156.0
32.481623439,149.0
32.498334708,153.0
32.515045977,136.0
32.531757246,159.0
32.548468515,154.0
32.565179784,169.0
32.581891053,164.0
32.598602322,153.0
32.615313591,141.0
32.632024860,182.0
32.648736129,183.0
32.665447398,148.0
32.682158666,173.0
32.698869935,165.0
32.715581204,164.0
32.732292473,219.0
32.749003742,186.0
32.765715011,223.0
32.782426280,202.0
32.799137549,200.0
32.815848818,246.0
32.832560087,192.0
32.849271356,227.0
32.865982625,293.0
32.882693894,254.0
32.899405163,280.0
32.916116432,293.0
32.932827701,313.0
32.949538970,367.0
32.966250239,397.0
32.982961508,405.0
32.999672777,448.0
33.016384046,458.0
33.033095315,501.0
33.049806584,543.0
33.066517853,559.0
33.083229122,560.0
33.099940391,599.0
33.116651660,579.0
33.133362929,621.0
33.150074198,614.0
33.166785467,666.0
33.183496736,595.0
33.200208005,594.0
33.216919274,601.0
33.233630543,612.0
33.250341812,550.0
33.267053081,513.0
33.283764350,532.0
33.300475619,499.0
33.317186888,550.0
33.333898157,497.0
33.350609426,474.0
33.367320695,498.0
33.384031964,469.0
33.400743233,494.0
33.417454502,445.0
33.434165770,448.0
33.450877039,461.0
33.467588308,440.0
33.484299577,491.0
33.501010846,431.0
33.517722115,438.0
33.534433384,456.0
33.551144653,450.0
33.567855922,451.0
33.584567191,434.0
33.601278460,451.0
33.617989729,454.0
33.634700998,461.0
33.651412267,466.0
33.668123536,498.0
33.684834805,450.0
33.701546074,499.0
33.718257343,505.0
33.734968612,504.0
33.751679881,540.0
33.768391150,546.0
33.785102419,576.0
33.801813688,583.0
33.818524957,636.0
33.835236226,615.0
33.851947495,649.0
33.868658764,639.0
33.885370033,662.0
33.902081302,658.0
33.918792571,695.0
33.935503840,747.0
33.952215109,768.0
33.968926378,809.0
33.985637647,854.0
34.002348916,863.0
34.019060185,955.0
34.035771454,1005.0
34.052482723,1026.0
34.069193992,1018.0
34.085905261,1146.0
34.102616530,1297.0
34.119327799,1238.0
34.136039068,1360.0
34.152750337,1553.0
34.169461606,1662.0
34.186172875,1821.0
34.202884143,2008.0
34.219595412,2174.0
34.236306681,2430.0
34.253017950,2723.0
34.269729219,3028.0
34.286440488,3340.0
34.303151757,3662.0
34.319863026,4429.0
34.336574295,4890.0
34.353285564,5411.0
34.369996833,6475.0
34.386708102,7173.0
34.403419371,8389.0
34.420130640,9747.0
34.436841909,11017.0
34.453553178,12841.0
34.470264447,15070.0
34.486975716,17668.0
34.503686985,20303.0
34.520398254,22981.0
34.537109523,26168.0
34.553820792,29038.0
34.570532061,31946.0
34.587243330,35277.0
34.603954599,37472.0
34.620665868,39281.0
34.637377137,40879.0
34.654088406,41703.0
34.670799675,41147.0
34.687510944,40844.0
34.704222213,39042.0
34.720933482,37572.0
34.737644751,35533.0
34.754356020,33252.0
34.771067289,30711.0
34.787778558,28089.0
34.804489827,25593.0
34.821201096,23314.0
34.837912365,21113.0
34.854623634,18757.0
34.871334903,16759.0
34.888046172,14962.0
34.904757441,13642.0
34.921468710,12206.0
34.938179979,11089.0
34.954891247,9963.0
34.971602516,8855.0
34.988313785,8057.0
35.005025054,7394.0
35.021736323,6592.0
35.038447592,6083.0
35.055158861,5547.0
35.071870130,5139.0
35.088581399,4764.0
35.105292668,4274.0
35.122003937,4159.0
35.138715206,3868.0
35.155426475,3392.0
35.172137744,3345.0
35.188849013,2976.0
35.205560282,2868.0
35.222271551,2781.0
35.238982820,2594.0
35.255694089,2436.0
35.272405358,2360.0
35.289116627,2209.0
35.305827896,2065.0
35.322539165,2030.0
35.339250434,1879.0
35.355961703,1760.0
35.372672972,1770.0
35.389384241,1596.0
35.406095510,1602.0
35.422806779,1576.0
35.439518048,1364.0
35.456229317,1415.0
35.472940586,1320.0
35.489651855,1350.0
35.506363124,1294.0
35.523074393,1205.0
35.539785662,1149.0
35.556496931,1177.0
35.573208200,1174.0
35.589919469,1046.0
35.606630738,1032.0
35.623342007,1037.0
35.640053276,960.0
35.656764545,955.0
35.673475814,933.0
35.690187083,892.0
35.706898352,912.0
35.723609620,887.0
35.740320889,875.0
35.757032158,813.0
35.773743427,790.0
35.790454696,731.0
35.807165965,706.0
35.823877234,763.0
35.840588503,695.0
35.857299772,655.0
35.874011041,650.0
35.890722310,671.0
35.907433579,627.0
35.924144848,639.0
35.940856117,590.0
35.957567386,583.0
35.974278655,578.0
35.990989924,562.0
36.007701193,518.0
