Angle,Intensity
30.038066900,11.0
30.088200704,22.0
30.138334508,19.0
30.188468312,21.0
30.238602116,11.0
30.288735920,16.0
30.338869725,19.0
30.389003529,30.0
30.439137333,18.0
30.489271137,17.0
30.539404941,27.0
30.589538745,22.0
30.639672549,22.0
30.689806353,23.0
30.739940157,21.0
30.790073961,25.0
30.840207765,23.0
30.890341570,21.0
30.940475374,22.0
30.990609178,17.0
31.040742982,22.0
31.090876786,26.0
31.141010590,12.0
31.191144394,35.0
31.241278198,35.0
31.291412002,24.0
31.341545806,31.0
31.391679611,25.0
31.441813415,27.0
31.491947219,31.0
31.542081023,37.0
31.592214827,21.0
31.642348631,30.0
31.692482435,26.0
31.742616239,18.0
31.792750043,29.0
31.842883847,24.0
31.893017651,16.0
31.943151456,18.0
31.993285260,18.0
32.043419064,18.0
32.093552868,23.0
32.143686672,22.0
32.193820476,17.0
32.243954280,17.0
32.294088084,26.0
32.344221888,34.0
32.394355692,23.0
32.444489496,22.0
32.494623301,30.0
32.544757105,29.0
32.594890909,24.0
32.645024713,35.0
32.695158517,12.0
32.745292321,27.0
32.795426125,30.0
32.845559929,30.0
32.895693733,32.0
32.945827537,32.0
32.995961341,34.0
33.046095146,46.0
33.096228950,35.0
33.146362754,43.0
33.196496558,49.0
33.246630362,43.0
33.296764166,51.0
33.346897970,64.0
33.397031774,54.0
33.447165578,52.0
33.497299382,59.0
33.547433187,59.0
33.597566991,62.0
33.647700795,53.0
33.697834599,64.0
33.747968403,59.0
33.798102207,74.0
33.848236011,51.0
33.898369815,53.0
33.948503619,88.0
33.998637423,71.0
34.048771227,74.0
34.098905032,91.0
34.149038836,100.0
34.199172640,127.0
34.249306444,153.0
34.299440248,209.0
34.349574052,192.0
34.399707856,283.0
34.449841660,339.0
34.499975464,472.0
34.550109268,618.0
34.600243072,761.0
34.650376877,1033.0
34.700510681,1336.0
34.750644485,1657.0
34.800778289,1904.0
34.850912093,2146.0
34.901045897,2165.0
34.951179701,1993.0
35.001313505,1751.0
35.051447309,1459.0
35.101581113,1178.0
35.151714918,979.0
35.201848722,780.0
35.251982526,683.0
35.302116330,503.0
35.352250134,485.0
35.402383938,345.0
35.452517742,289.0
35.502651546,283.0
35.552785350,240.0
35.602919154,174.0
35.653052958,191.0
35.703186763,177.0
35.753320567,164.0
35.803454371,147.0
35.853588175,125.0
35.903721979,141.0
35.953855783,113.0
36.003989587,130.0
36.054123391,101.0
36.104257195,95.0
36.154390999,114.0
36.204524803,99.0
36.254658608,78.0
36.304792412,83.0
36.354926216,68.0
36.405060020,63.0
36.455193824,69.0
36.505327628,71.0
36.555461432,80.0
36.605595236,46.0
36.655729040,72.0
36.705862844,48.0
36.755996648,55.0
36.806130453,66.0
36.856264257,54.0
36.906398061,55.0
36.956531865,63.0
37.006665669,69.0
37.056799473,62.0
37.106933277,61.0
37.157067081,59.0
37.207200885,61.0
37.257334689,52.0
37.307468494,59.0
37.357602298,49.0
37.407736102,38.0
37.457869906,60.0
37.508003710,60.0
37.558137514,63.0
37.608271318,59.0
37.658405122,65.0
37.708538926,62.0
37.758672730,72.0
37.808806534,74.0
37.858940339,81.0
37.909074143,88.0
37.959207947,107.0
38.009341751,116.0
38.059475555,93.0
38.109609359,90.0
38.159743163,110.0
38.209876967,111.0
38.260010771,97.0
38.310144575,117.0
38.360278379,78.0
38.410412184,77.0
38.460545988,93.0
38.510679792,85.0
38.560813596,93.0
38.610947400,76.0
38.661081204,69.0
38.711215008,94.0
38.761348812,96.0
38.811482616,92.0
38.861616420,79.0
38.911750224,81.0
38.961884029,80.0
39.012017833,68.0
39.062151637,91.0
39.112285441,88.0
39.162419245,87.0
39.212553049,93.0
39.262686853,111.0
39.312820657,96.0
39.362954461,145.0
39.413088265,162.0
39.463222070,191.0
39.513355874,214.0
39.563489678,265.0
39.613623482,278.0
39.663757286,326.0
39.713891090,444.0
39.764024894,501.0
39.814158698,599.0
39.864292502,655.0
39.914426306,636.0
39.964560110,725.0
40.014693915,703.0
40.064827719,639.0
40.114961523,539.0
40.165095327,470.0
40.215229131,420.0
40.265362935,323.0
40.315496739,286.0
40.365630543,238.0
40.415764347,195.0
40.465898151,152.0
40.516031955,138.0
40.566165760,147.0
40.616299564,107.0
40.666433368,78.0
40.716567172,101.0
40.766700976,79.0
40.816834780,63.0
40.866968584,60.0
40.917102388,54.0
40.967236192,48.0
41.017369996,39.0
41.067503801,51.0
41.117637605,45.0
41.167771409,37.0
41.217905213,48.0
41.268039017,41.0
41.318172821,32.0
41.368306625,53.0
41.418440429,37.0
41.468574233,43.0
41.518708037,26.0
41.568841841,25.0
41.618975646,34.0
41.669109450,36.0
41.719243254,38.0
41.769377058,33.0
41.819510862,22.0
41.869644666,35.0
41.919778470,30.0
41.969912274,27.0
42.020046078,35.0
42.070179882,26.0
42.120313686,33.0
42.170447491,36.0
42.220581295,41.0
42.270715099,31.0
42.320848903,22.0
42.370982707,18.0
42.421116511,30.0
42.471250315,35.0
42.521384119,29.0
42.571517923,38.0
42.621651727,39.0
42.671785531,69.0
42.721919336,58.0
42.772053140,63.0
42.822186944,63.0
42.872320748,41.0
42.922454552,48.0
42.972588356,54.0
43.022722160,43.0
43.072855964,60.0
43.122989768,50.0
43.173123572,65.0
43.223257377,66.0
43.273391181,61.0
43.323524985,81.0
43.373658789,50.0
43.423792593,66.0
43.473926397,76.0
43.524060201,81.0
43.574194005,82.0
43.624327809,78.0
43.674461613,77.0
43.724595417,93.0
43.774729222,64.0
43.824863026,101.0
43.874996830,76.0
43.925130634,85.0
43.975264438,104.0
44.025398242,117.0
44.075532046,129.0
44.125665850,129.0
44.175799654,150.0
44.225933458,195.0
44.276067262,213.0
44.326201067,298.0
44.376334871,328.0
44.426468675,396.0
44.476602479,545.0
44.526736283,742.0
44.576870087,993.0
44.627003891,1427.0
44.677137695,1532.0
44.727271499,1565.0
44.777405303,1425.0
44.827539107,1128.0
44.877672912,826.0
44.927806716,604.0
44.977940520,425.0
45.028074324,276.0
45.078208128,209.0
45.128341932,189.0
45.178475736,125.0
45.228609540,100.0
45.278743344,85.0
45.328877148,91.0
45.379010953,86.0
45.429144757,67.0
45.479278561,61.0
45.529412365,44.0
45.579546169,39.0
45.629679973,34.0
45.679813777,50.0
45.729947581,37.0
45.780081385,35.0
45.830215189,40.0
45.880348993,34.0
45.930482798,36.0
45.980616602,31.0
46.030750406,17.0
46.080884210,19.0
46.131018014,20.0
46.181151818,22.0
46.231285622,23.0
46.281419426,23.0
46.331553230,18.0
46.381687034,17.0
46.431820838,27.0
46.481954643,12.0
46.532088447,24.0
46.582222251,15.0
46.632356055,15.0
46.682489859,15.0
46.732623663,22.0
46.782757467,15.0
46.832891271,21.0
46.883025075,18.0
46.933158879,15.0
46.983292683,19.0
47.033426488,11.0
47.083560292,11.0
47.133694096,15.0
47.183827900,10.0
47.233961704,19.0
47.284095508,12.0
47.334229312,11.0
47.384363116,15.0
47.434496920,15.0
47.484630724,8.0
47.534764529,19.0
47.584898333,6.0
47.635032137,11.0
47.685165941,9.0
47.735299745,13.0
47.785433549,18.0
47.835567353,7.0
47.885701157,9.0
47.935834961,15.0
47.985968765,11.0
48.036102569,8.0
48.086236374,7.0
48.136370178,11.0
48.186503982,10.0
48.236637786,10.0
48.286771590,6.0
48.336905394,13.0
48.387039198,4.0
48.437173002,21.0
48.487306806,17.0
48.537440610,9.0
48.587574414,8.0
48.637708219,18.0
48.687842023,17.0
48.737975827,15.0
48.788109631,16.0
48.838243435,17.0
48.888377239,10.0
48.938511043,12.0
48.988644847,15.0
49.038778651,23.0
49.088912455,9.0
49.139046260,18.0
49.189180064,12.0
49.239313868,11.0
49.289447672,8.0
49.339581476,18.0
49.389715280,18.0
49.439849084,6.0
49.489982888,11.0
49.540116692,7.0
49.590250496,15.0
49.640384300,18.0
49.690518105,15.0
49.740651909,16.0
49.790785713,15.0
49.840919517,20.0
49.891053321,6.0
49.941187125,11.0
49.991320929,11.0
50.041454733,12.0
50.091588537,11.0
50.141722341,18.0
50.191856145,9.0
50.241989950,16.0
50.292123754,16.0
50.342257558,7.0
50.392391362,11.0
50.442525166,20.0
50.492658970,17.0
50.542792774,13.0
50.592926578,17.0
50.643060382,17.0
50.693194186,9.0
50.743327990,15.0
50.793461795,19.0
50.843595599,16.0
50.893729403,12.0
50.943863207,18.0
50.993997011,15.0
51.044130815,12.0
51.094264619,17.0
51.144398423,13.0
51.194532227,13.0
51.244666031,24.0
51.294799836,9.0
51.344933640,11.0
51.395067444,12.0
51.445201248,10.0
51.495335052,21.0
51.545468856,12.0
51.595602660,8.0
51.645736464,20.0
51.695870268,17.0
51.746004072,11.0
51.796137876,18.0
51.846271681,11.0
51.896405485,20.0
51.946539289,13.0
51.996673093,23.0
52.046806897,18.0
52.096940701,10.0
52.147074505,24.0
52.197208309,22.0
52.247342113,30.0
52.297475917,25.0
52.347609721,26.0
52.397743526,29.0
52.447877330,26.0
52.498011134,21.0
52.548144938,31.0
52.598278742,29.0
52.648412546,26.0
52.698546350,24.0
52.748680154,35.0
52.798813958,26.0
52.848947762,30.0
52.899081566,32.0
52.949215371,20.0
52.999349175,22.0
53.049482979,30.0
53.099616783,26.0
53.149750587,17.0
53.199884391,21.0
53.250018195,22.0
53.300151999,13.0
53.350285803,17.0
53.400419607,13.0
53.450553412,10.0
53.500687216,11.0
53.550821020,10.0
53.600954824,7.0
53.651088628,7.0
53.701222432,12.0
53.751356236,16.0
53.801490040,12.0
53.851623844,8.0
53.901757648,16.0
53.951891452,9.0
54.002025257,8.0
54.052159061,12.0
54.102292865,11.0
54.152426669,11.0
54.202560473,5.0
54.252694277,17.0
54.302828081,12.0
54.352961885,6.0
54.403095689,13.0
54.453229493,19.0
54.503363297,15.0
54.553497102,11.0
54.603630906,5.0
54.653764710,17.0
54.703898514,11.0
54.754032318,5.0
54.804166122,10.0
54.854299926,9.0
54.904433730,11.0
54.954567534,9.0
55.004701338,7.0
55.054835143,10.0
55.104968947,10.0
55.155102751,6.0
55.205236555,5.0
