Angle,Intensity
30.035066900,6.0
30.085200704,5.0
30.135334508,9.0
30.185468312,4.0
30.235602116,6.0
30.285735920,7.0
30.335869725,3.0
30.386003529,10.0
30.436137333,6.0
30.486271137,6.0
30.536404941,7.0
30.586538745,11.0
30.636672549,6.0
30.686806353,6.0
30.736940157,8.0
30.787073961,7.0
30.837207765,7.0
30.887341570,10.0
30.937475374,3.0
30.987609178,5.0
31.037742982,6.0
31.087876786,7.0
31.138010590,4.0
31.188144394,11.0
31.238278198,4.0
31.288412002,7.0
31.338545806,5.0
31.388679611,15.0
31.438813415,5.0
31.488947219,7.0
31.539081023,6.0
31.589214827,10.0
31.639348631,6.0
31.689482435,9.0
31.739616239,16.0
31.789750043,27.0
31.839883847,25.0
31.890017651,35.0
31.940151456,22.0
31.990285260,25.0
32.040419064,19.0
32.090552868,13.0
32.140686672,20.0
32.190820476,16.0
32.240954280,11.0
32.291088084,14.0
32.341221888,13.0
32.391355692,9.0
32.441489496,11.0
32.491623301,4.0
32.541757105,10.0
32.591890909,16.0
32.642024713,14.0
32.692158517,10.0
32.742292321,6.0
32.792426125,11.0
32.842559929,7.0
32.892693733,7.0
32.942827537,13.0
32.992961341,10.0
33.043095146,16.0
33.093228950,16.0
33.143362754,14.0
33.193496558,20.0
33.243630362,18.0
33.293764166,15.0
33.343897970,14.0
33.394031774,22.0
33.444165578,31.0
33.494299382,20.0
33.544433187,28.0
33.594566991,28.0
33.644700795,37.0
33.694834599,42.0
33.744968403,49.0
33.795102207,77.0
33.845236011,100.0
33.895369815,95.0
33.945503619,138.0
33.995637423,110.0
34.045771227,95.0
34.095905032,91.0
34.146038836,77.0
34.196172640,86.0
34.246306444,65.0
34.296440248,72.0
34.346574052,66.0
34.396707856,67.0
34.446841660,65.0
34.496975464,64.0
34.547109268,92.0
34.597243072,79.0
34.647376877,78.0
34.697510681,110.0
34.747644485,119.0
34.797778289,113.0
34.847912093,131.0
34.898045897,161.0
34.948179701,193.0
34.998313505,248.0
35.048447309,312.0
35.098581113,441.0
35.148714918,663.0
35.198848722,997.0
35.248982526,1745.0
35.299116330,3249.0
35.349250134,5636.0
35.399383938,8180.0
35.449517742,9339.0
35.499651546,8833.0
35.549785350,7132.0
35.599919154,5068.0
35.650052958,3552.0
35.700186763,2353.0
35.750320567,1689.0
35.800454371,1183.0
35.850588175,935.0
35.900721979,700.0
35.950855783,600.0
36.000989587,504.0
36.051123391,405.0
36.101257195,314.0
36.151390999,289.0
36.201524803,278.0
36.251658608,220.0
36.301792412,208.0
36.351926216,218.0
36.402060020,141.0
36.452193824,142.0
36.502327628,124.0
36.552461432,136.0
36.602595236,106.0
36.652729040,91.0
36.702862844,98.0
36.752996648,104.0
36.803130453,92.0
36.853264257,79.0
36.903398061,81.0
36.953531865,70.0
37.003665669,74.0
37.053799473,59.0
37.103933277,72.0
37.154067081,62.0
37.204200885,39.0
37.254334689,47.0
37.304468494,30.0
37.354602298,42.0
37.404736102,51.0
37.454869906,32.0
37.505003710,35.0
37.555137514,34.0
37.605271318,42.0
37.655405122,30.0
37.705538926,37.0
37.755672730,25.0
37.805806534,34.0
37.855940339,26.0
37.906074143,21.0
37.956207947,21.0
38.006341751,18.0
38.056475555,22.0
38.106609359,26.0
38.156743163,18.0
38.206876967,31.0
38.257010771,32.0
38.307144575,28.0
38.357278379,47.0
38.407412184,52.0
38.457545988,63.0
38.507679792,96.0
38.557813596,132.0
38.607947400,184.0
38.658081204,206.0
38.708215008,290.0
38.758348812,339.0
38.808482616,333.0
38.858616420,306.0
38.908750224,272.0
38.958884029,216.0
39.009017833,139.0
39.059151637,113.0
39.109285441,68.0
39.159419245,50.0
39.209553049,43.0
39.259686853,38.0
39.309820657,21.0
39.359954461,27.0
39.410088265,19.0
39.460222070,27.0
39.510355874,17.0
39.560489678,11.0
39.610623482,25.0
39.660757286,19.0
39.710891090,22.0
39.761024894,20.0
39.811158698,20.0
39.861292502,23.0
39.911426306,26.0
39.961560110,29.0
40.011693915,32.0
40.061827719,42.0
40.111961523,57.0
40.162095327,80.0
