Angle,Intensity
30.035066900,13.0
30.085200704,5.0
30.135334508,5.0
30.185468312,7.0
30.235602116,8.0
30.285735920,7.0
30.335869725,6.0
30.386003529,11.0
30.436137333,8.0
30.486271137,7.0
30.536404941,6.0
30.586538745,8.0
30.636672549,5.0
30.686806353,10.0
30.736940157,16.0
30.787073961,7.0
30.837207765,13.0
30.887341570,8.0
30.937475374,9.0
30.987609178,7.0
31.037742982,5.0
31.087876786,10.0
31.138010590,11.0
31.188144394,11.0
31.238278198,13.0
31.288412002,10.0
31.338545806,9.0
31.388679611,7.0
31.438813415,9.0
31.488947219,18.0
31.539081023,16.0
31.589214827,7.0
31.639348631,9.0
31.689482435,15.0
31.739616239,9.0
31.789750043,18.0
31.839883847,23.0
31.890017651,27.0
31.940151456,19.0
31.990285260,23.0
32.040419064,18.0
32.090552868,20.0
32.140686672,17.0
32.190820476,23.0
32.240954280,15.0
32.291088084,16.0
32.341221888,14.0
32.391355692,18.0
32.441489496,11.0
32.491623301,16.0
32.541757105,9.0
32.591890909,10.0
32.642024713,11.0
32.692158517,16.0
32.742292321,15.0
32.792426125,17.0
32.842559929,11.0
32.892693733,21.0
32.942827537,8.0
32.992961341,20.0
33.043095146,16.0
33.093228950,17.0
33.143362754,22.0
33.193496558,22.0
33.243630362,8.0
33.293764166,20.0
33.343897970,15.0
33.394031774,23.0
33.444165578,21.0
33.494299382,22.0
33.544433187,34.0
33.594566991,35.0
33.644700795,31.0
33.694834599,40.0
33.744968403,50.0
33.795102207,68.0
33.845236011,74.0
33.895369815,81.0
33.945503619,79.0
33.995637423,90.0
34.045771227,79.0
34.095905032,91.0
34.146038836,89.0
34.196172640,77.0
34.246306444,76.0
34.296440248,56.0
34.346574052,56.0
34.396707856,70.0
34.446841660,81.0
34.496975464,84.0
34.547109268,101.0
34.597243072,80.0
34.647376877,107.0
34.697510681,110.0
34.747644485,136.0
34.797778289,166.0
34.847912093,178.0
34.898045897,252.0
34.948179701,242.0
34.998313505,400.0
35.048447309,497.0
35.098581113,691.0
35.148714918,1066.0
35.198848722,1678.0
35.248982526,2494.0
35.299116330,3667.0
35.349250134,5202.0
35.399383938,6262.0
35.449517742,6805.0
35.499651546,6263.0
35.549785350,5456.0
35.599919154,4416.0
35.650052958,3457.0
35.700186763,2593.0
35.750320567,1983.0
35.800454371,1499.0
35.850588175,1170.0
35.900721979,934.0
35.950855783,685.0
36.000989587,670.0
36.051123391,566.0
36.101257195,451.0
36.151390999,390.0
36.201524803,356.0
36.251658608,315.0
36.301792412,272.0
36.351926216,254.0
36.402060020,215.0
36.452193824,218.0
36.502327628,168.0
36.552461432,151.0
36.602595236,149.0
36.652729040,155.0
36.702862844,125.0
36.752996648,111.0
36.803130453,118.0
36.853264257,108.0
36.903398061,114.0
36.953531865,95.0
37.003665669,77.0
37.053799473,91.0
37.103933277,76.0
37.154067081,100.0
37.204200885,71.0
37.254334689,46.0
37.304468494,62.0
37.354602298,62.0
37.404736102,54.0
37.454869906,52.0
37.505003710,44.0
37.555137514,51.0
37.605271318,44.0
37.655405122,29.0
37.705538926,49.0
37.755672730,37.0
37.805806534,35.0
37.855940339,33.0
37.906074143,38.0
37.956207947,33.0
38.006341751,37.0
38.056475555,32.0
38.106609359,28.0
38.156743163,18.0
38.206876967,33.0
38.257010771,25.0
38.307144575,27.0
38.357278379,31.0
38.407412184,26.0
38.457545988,23.0
38.507679792,31.0
38.557813596,30.0
38.607947400,19.0
38.658081204,29.0
38.708215008,42.0
38.758348812,28.0
38.808482616,40.0
38.858616420,29.0
38.908750224,23.0
38.958884029,29.0
39.009017833,26.0
39.059151637,34.0
39.109285441,28.0
39.159419245,31.0
39.209553049,27.0
39.259686853,18.0
39.309820657,23.0
39.359954461,27.0
39.410088265,18.0
39.460222070,28.0
39.510355874,33.0
39.560489678,17.0
39.610623482,28.0
39.660757286,21.0
39.710891090,27.0
39.761024894,15.0
39.811158698,18.0
39.861292502,21.0
39.911426306,19.0
39.961560110,13.0
40.011693915,23.0
40.061827719,15.0
40.111961523,21.0
40.162095327,27.0
40.212229131,38.0
40.262362935,42.0
40.312496739,40.0
40.362630543,56.0
40.412764347,75.0
40.462898151,78.0
40.513031955,78.0
40.563165760,94.0
40.613299564,88.0
40.663433368,74.0
40.713567172,77.0
40.763700976,41.0
40.813834780,55.0
40.863968584,29.0
40.914102388,35.0
40.964236192,28.0
41.014369996,29.0
41.064503801,20.0
41.114637605,26.0
41.164771409,15.0
41.214905213,22.0
41.265039017,14.0
41.315172821,9.0
41.365306625,15.0
41.415440429,11.0
41.465574233,17.0
41.515708037,15.0
41.565841841,10.0
41.615975646,15.0
41.666109450,10.0
41.716243254,14.0
41.766377058,16.0
41.816510862,9.0
41.866644666,11.0
41.916778470,18.0
41.966912274,15.0
42.017046078,13.0
42.067179882,19.0
42.117313686,17.0
42.167447491,17.0
42.217581295,11.0
42.267715099,8.0
42.317848903,14.0
42.367982707,17.0
42.418116511,19.0
42.468250315,9.0
42.518384119,11.0
42.568517923,19.0
42.618651727,18.0
42.668785531,14.0
42.718919336,23.0
42.769053140,16.0
42.819186944,23.0
42.869320748,15.0
42.919454552,19.0
42.969588356,17.0
43.019722160,11.0
43.069855964,23.0
43.119989768,18.0
43.170123572,20.0
43.220257377,23.0
43.270391181,13.0
43.320524985,19.0
43.370658789,25.0
43.420792593,19.0
43.470926397,29.0
43.521060201,19.0
43.571194005,35.0
43.621327809,40.0
43.671461613,33.0
43.721595417,50.0
43.771729222,65.0
43.821863026,110.0
43.871996830,92.0
43.922130634,147.0
43.972264438,240.0
44.022398242,283.0
44.072532046,313.0
44.122665850,298.0
44.172799654,217.0
44.222933458,174.0
44.273067262,106.0
44.323201067,98.0
44.373334871,69.0
44.423468675,46.0
44.473602479,58.0
44.523736283,44.0
44.573870087,50.0
44.624003891,38.0
44.674137695,41.0
44.724271499,50.0
44.774405303,47.0
44.824539107,59.0
44.874672912,45.0
44.924806716,54.0
44.974940520,39.0
45.025074324,51.0
45.075208128,31.0
45.125341932,44.0
45.175475736,38.0
45.225609540,34.0
45.275743344,29.0
45.325877148,26.0
45.376010953,28.0
45.426144757,20.0
45.476278561,27.0
45.526412365,13.0
45.576546169,22.0
45.626679973,16.0
45.676813777,16.0
45.726947581,16.0
45.777081385,16.0
45.827215189,10.0
45.877348993,19.0
45.927482798,11.0
45.977616602,13.0
46.027750406,9.0
46.077884210,10.0
46.128018014,11.0
46.178151818,10.0
46.228285622,17.0
46.278419426,20.0
46.328553230,9.0
46.378687034,16.0
46.428820838,13.0
46.478954643,6.0
46.529088447,11.0
46.579222251,6.0
46.629356055,15.0
46.679489859,9.0
46.729623663,11.0
46.779757467,10.0
46.829891271,14.0
46.880025075,10.0
46.930158879,18.0
46.980292683,10.0
47.030426488,6.0
47.080560292,5.0
47.130694096,13.0
47.180827900,3.0
47.230961704,8.0
47.281095508,15.0
47.331229312,13.0
47.381363116,9.0
47.431496920,15.0
47.481630724,5.0
47.531764529,10.0
47.581898333,13.0
47.632032137,14.0
47.682165941,11.0
47.732299745,6.0
47.782433549,13.0
47.832567353,11.0
47.882701157,10.0
47.932834961,5.0
47.982968765,15.0
48.033102569,14.0
48.083236374,9.0
48.133370178,7.0
48.183503982,14.0
48.233637786,9.0
48.283771590,9.0
48.333905394,10.0
48.384039198,7.0
48.434173002,9.0
48.484306806,10.0
48.534440610,9.0
48.584574414,10.0
48.634708219,14.0
48.684842023,7.0
48.734975827,16.0
48.785109631,13.0
48.835243435,14.0
48.885377239,5.0
48.935511043,6.0
48.985644847,8.0
49.035778651,9.0
49.085912455,11.0
49.136046260,14.0
49.186180064,4.0
49.236313868,17.0
49.286447672,5.0
49.336581476,7.0
49.386715280,10.0
49.436849084,9.0
49.486982888,13.0
49.537116692,7.0
49.587250496,8.0
49.637384300,17.0
49.687518105,6.0
49.737651909,8.0
49.787785713,13.0
49.837919517,25.0
49.888053321,15.0
49.938187125,14.0
49.988320929,15.0
50.038454733,7.0
50.088588537,17.0
50.138722341,17.0
50.188856145,5.0
50.238989950,18.0
50.289123754,16.0
50.339257558,18.0
50.389391362,15.0
50.439525166,25.0
50.489658970,22.0
50.539792774,27.0
50.589926578,20.0
50.640060382,37.0
50.690194186,40.0
50.740327990,31.0
50.790461795,44.0
50.840595599,42.0
50.890729403,56.0
50.940863207,77.0
50.990997011,93.0
51.041130815,101.0
51.091264619,151.0
51.141398423,125.0
51.191532227,116.0
51.241666031,131.0
51.291799836,80.0
51.341933640,76.0
51.392067444,49.0
51.442201248,38.0
51.492335052,37.0
51.542468856,25.0
51.592602660,21.0
51.642736464,19.0
51.692870268,18.0
51.743004072,14.0
51.793137876,9.0
51.843271681,15.0
51.893405485,18.0
51.943539289,16.0
51.993673093,7.0
52.043806897,7.0
52.093940701,10.0
52.144074505,8.0
52.194208309,14.0
52.244342113,17.0
52.294475917,5.0
52.344609721,13.0
52.394743526,13.0
52.444877330,15.0
52.495011134,4.0
52.545144938,14.0
52.595278742,10.0
52.645412546,9.0
52.695546350,11.0
52.745680154,10.0
52.795813958,8.0
52.845947762,6.0
52.896081566,8.0
52.946215371,9.0
52.996349175,11.0
53.046482979,9.0
53.096616783,8.0
53.146750587,16.0
53.196884391,15.0
53.247018195,9.0
53.297151999,11.0
53.347285803,16.0
53.397419607,9.0
53.447553412,16.0
53.497687216,15.0
53.547821020,7.0
53.597954824,10.0
53.648088628,11.0
53.698222432,7.0
53.748356236,8.0
53.798490040,14.0
53.848623844,8.0
53.898757648,8.0
53.948891452,8.0
53.999025257,14.0
54.049159061,8.0
54.099292865,5.0
54.149426669,15.0
54.199560473,9.0
54.249694277,2.0
54.299828081,9.0
54.349961885,14.0
54.400095689,5.0
54.450229493,9.0
54.500363297,11.0
54.550497102,9.0
54.600630906,10.0
54.650764710,8.0
54.700898514,6.0
54.751032318,7.0
54.801166122,11.0
54.851299926,5.0
54.901433730,10.0
54.951567534,8.0
55.001701338,8.0
55.051835143,4.0
55.101968947,5.0
55.152102751,4.0
55.202236555,5.0
55.252370359,9.0
55.302504163,5.0
55.352637967,8.0
55.402771771,6.0
55.452905575,15.0
55.503039379,5.0
55.553173183,14.0
55.603306988,7.0
55.653440792,5.0
55.703574596,6.0
55.753708400,11.0
55.803842204,8.0
55.853976008,3.0
55.904109812,4.0
55.954243616,10.0
56.004377420,7.0
56.054511224,10.0
56.104645028,10.0
56.154778833,6.0
56.204912637,9.0
56.255046441,6.0
56.305180245,7.0
56.355314049,6.0
56.405447853,8.0
56.455581657,8.0
56.505715461,8.0
56.555849265,8.0
56.605983069,4.0
56.656116873,5.0
56.706250678,18.0
56.756384482,8.0
56.806518286,9.0
56.856652090,9.0
56.906785894,9.0
56.956919698,8.0
57.007053502,9.0
57.057187306,3.0
57.107321110,7.0
57.157454914,8.0
57.207588719,8.0
57.257722523,5.0
57.307856327,9.0
57.357990131,10.0
57.408123935,15.0
57.458257739,8.0
57.508391543,17.0
57.558525347,5.0
57.608659151,4.0
57.658792955,4.0
57.708926759,9.0
57.759060564,10.0
57.809194368,10.0
57.859328172,8.0
57.909461976,7.0
57.959595780,15.0
58.009729584,5.0
58.059863388,10.0
58.109997192,10.0
58.160130996,6.0
58.210264800,8.0
58.260398604,6.0
58.310532409,14.0
58.360666213,10.0
58.410800017,7.0
58.460933821,7.0
58.511067625,11.0
58.561201429,7.0
58.611335233,4.0
58.661469037,4.0
58.711602841,6.0
58.761736645,15.0
58.811870449,5.0
58.862004254,8.0
58.912138058,5.0
58.962271862,13.0
59.012405666,7.0
59.062539470,7.0
59.112673274,7.0
59.162807078,10.0
59.212940882,9.0
59.263074686,6.0
59.313208490,10.0
59.363342295,7.0
59.413476099,4.0
59.463609903,4.0
59.513743707,5.0
59.563877511,7.0
59.614011315,9.0
59.664145119,4.0
59.714278923,9.0
59.764412727,9.0
59.814546531,7.0
59.864680335,8.0
59.914814140,8.0
59.964947944,7.0
60.015081748,4.0
60.065215552,3.0
60.115349356,6.0
60.165483160,6.0
60.215616964,8.0
60.265750768,6.0
60.315884572,11.0
60.366018376,9.0
60.416152180,5.0
60.466285985,15.0
60.516419789,7.0
60.566553593,6.0
60.616687397,8.0
60.666821201,6.0
60.716955005,8.0
60.767088809,7.0
60.817222613,7.0
60.867356417,9.0
60.917490221,16.0
60.967624025,14.0
61.017757830,4.0
61.067891634,6.0
61.118025438,2.0
61.168159242,6.0
61.218293046,7.0
61.268426850,10.0
61.318560654,9.0
61.368694458,6.0
61.418828262,8.0
61.468962066,7.0
61.519095871,8.0
61.569229675,13.0
61.619363479,11.0
61.669497283,5.0
61.719631087,8.0
61.769764891,10.0
61.819898695,5.0
61.870032499,6.0
61.920166303,6.0
61.970300107,8.0
62.020433911,6.0
62.070567716,10.0
62.120701520,5.0
62.170835324,9.0
62.220969128,18.0
62.271102932,9.0
62.321236736,9.0
62.371370540,16.0
62.421504344,9.0
62.471638148,8.0
62.521771952,8.0
62.571905756,9.0
62.622039561,9.0
62.672173365,13.0
62.722307169,16.0
62.772440973,16.0
62.822574777,14.0
62.872708581,16.0
62.922842385,10.0
62.972976189,13.0
63.023109993,10.0
63.073243797,23.0
63.123377602,18.0
63.173511406,9.0
63.223645210,20.0
63.273779014,10.0
63.323912818,15.0
63.374046622,20.0
63.424180426,14.0
63.474314230,9.0
63.524448034,15.0
63.574581838,11.0
63.624715642,10.0
63.674849447,13.0
63.724983251,17.0
63.775117055,8.0
63.825250859,17.0
63.875384663,11.0
63.925518467,11.0
63.975652271,10.0
64.025786075,11.0
64.075919879,8.0
64.126053683,6.0
64.176187487,9.0
64.226321292,8.0
64.276455096,6.0
64.326588900,11.0
64.376722704,6.0
64.426856508,6.0
64.476990312,8.0
64.527124116,8.0
64.577257920,9.0
64.627391724,13.0
64.677525528,13.0
64.727659332,7.0
64.777793137,11.0
64.827926941,7.0
64.878060745,7.0
64.928194549,11.0
64.978328353,14.0
65.028462157,14.0
65.078595961,4.0
65.128729765,8.0
65.178863569,13.0
65.228997373,8.0
65.279131178,5.0
65.329264982,9.0
65.379398786,18.0
65.429532590,11.0
65.479666394,2.0
65.529800198,8.0
65.579934002,6.0
65.630067806,8.0
65.680201610,8.0
65.730335414,10.0
65.780469218,13.0
65.830603023,11.0
65.880736827,8.0
65.930870631,6.0
65.981004435,10.0
66.031138239,11.0
66.081272043,7.0
66.131405847,7.0
66.181539651,13.0
66.231673455,5.0
66.281807259,16.0
66.331941063,15.0
66.382074868,11.0
66.432208672,6.0
66.482342476,9.0
66.532476280,14.0
66.582610084,7.0
66.632743888,4.0
66.682877692,4.0
66.733011496,7.0
66.783145300,9.0
66.833279104,11.0
66.883412908,8.0
66.933546713,7.0
66.983680517,8.0
67.033814321,11.0
67.083948125,8.0
67.134081929,7.0
67.184215733,7.0
67.234349537,11.0
67.284483341,3.0
67.334617145,4.0
67.384750949,7.0
67.434884754,5.0
67.485018558,13.0
67.535152362,14.0
67.585286166,5.0
67.635419970,11.0
67.685553774,14.0
67.735687578,7.0
67.785821382,5.0
67.835955186,9.0
67.886088990,9.0
67.936222794,14.0
67.986356599,10.0
68.036490403,5.0
68.086624207,8.0
68.136758011,4.0
68.186891815,5.0
68.237025619,10.0
68.287159423,11.0
68.337293227,11.0
68.387427031,6.0
68.437560835,14.0
68.487694639,11.0
68.537828444,14.0
68.587962248,8.0
68.638096052,10.0
68.688229856,11.0
68.738363660,4.0
68.788497464,9.0
68.838631268,8.0
68.888765072,14.0
68.938898876,6.0
68.989032680,14.0
69.039166485,7.0
69.089300289,13.0
69.139434093,11.0
69.189567897,13.0
69.239701701,13.0
69.289835505,20.0
69.339969309,16.0
69.390103113,11.0
69.440236917,6.0
69.490370721,13.0
69.540504525,8.0
69.590638330,14.0
69.640772134,4.0
69.690905938,9.0
69.741039742,7.0
69.791173546,9.0
69.841307350,7.0
69.891441154,14.0
69.941574958,7.0
69.991708762,7.0
70.041842566,13.0
70.091976370,8.0
70.142110175,13.0
70.192243979,13.0
70.242377783,9.0
70.292511587,18.0
70.342645391,11.0
70.392779195,14.0
70.442912999,22.0
70.493046803,22.0
70.543180607,20.0
70.593314411,19.0
70.643448215,19.0
70.693582020,18.0
70.743715824,27.0
70.793849628,15.0
70.843983432,13.0
70.894117236,22.0
70.944251040,14.0
70.994384844,21.0
71.044518648,18.0
71.094652452,17.0
71.144786256,25.0
71.194920061,19.0
71.245053865,19.0
71.295187669,19.0
71.345321473,30.0
71.395455277,10.0
71.445589081,22.0
71.495722885,17.0
71.545856689,16.0
71.595990493,30.0
71.646124297,26.0
71.696258101,17.0
71.746391906,17.0
71.796525710,20.0
71.846659514,9.0
71.896793318,22.0
71.946927122,10.0
71.997060926,10.0
72.047194730,21.0
72.097328534,15.0
72.147462338,14.0
72.197596142,14.0
72.247729946,15.0
72.297863751,16.0
72.347997555,17.0
72.398131359,15.0
72.448265163,19.0
72.498398967,16.0
72.548532771,9.0
72.598666575,15.0
72.648800379,10.0
72.698934183,18.0
72.749067987,15.0
72.799201791,20.0
72.849335596,27.0
72.899469400,29.0
72.949603204,26.0
72.999737008,22.0
73.049870812,23.0
73.100004616,31.0
73.150138420,20.0
73.200272224,39.0
73.250406028,25.0
73.300539832,39.0
73.350673637,44.0
73.400807441,33.0
73.450941245,42.0
73.501075049,55.0
73.551208853,58.0
73.601342657,58.0
73.651476461,62.0
73.701610265,84.0
73.751744069,96.0
73.801877873,104.0
73.852011677,142.0
73.902145482,140.0
73.952279286,145.0
74.002413090,164.0
74.052546894,200.0
74.102680698,201.0
74.152814502,181.0
74.202948306,204.0
74.253082110,253.0
74.303215914,211.0
74.353349718,176.0
74.403483522,223.0
74.453617327,187.0
74.503751131,167.0
74.553884935,180.0
74.604018739,170.0
74.654152543,179.0
74.704286347,190.0
74.754420151,226.0
74.804553955,236.0
74.854687759,282.0
74.904821563,320.0
74.954955367,369.0
75.005089172,339.0
75.055222976,302.0
75.105356780,282.0
75.155490584,238.0
75.205624388,224.0
75.255758192,174.0
75.305891996,130.0
75.356025800,129.0
75.406159604,92.0
75.456293408,70.0
75.506427213,66.0
75.556561017,51.0
75.606694821,37.0
75.656828625,31.0
75.706962429,44.0
75.757096233,41.0
75.807230037,30.0
75.857363841,41.0
75.907497645,38.0
75.957631449,21.0
76.007765253,29.0
76.057899058,32.0
76.108032862,27.0
76.158166666,21.0
76.208300470,26.0
76.258434274,25.0
76.308568078,29.0
76.358701882,16.0
76.408835686,15.0
76.458969490,11.0
76.509103294,31.0
76.559237098,21.0
76.609370903,18.0
76.659504707,16.0
76.709638511,21.0
76.759772315,25.0
76.809906119,18.0
76.860039923,20.0
76.910173727,22.0
76.960307531,19.0
77.010441335,26.0
77.060575139,23.0
77.110708944,38.0
77.160842748,29.0
77.210976552,29.0
77.261110356,29.0
77.311244160,33.0
77.361377964,38.0
77.411511768,31.0
77.461645572,34.0
77.511779376,33.0
77.561913180,27.0
77.612046984,27.0
77.662180789,28.0
77.712314593,26.0
77.762448397,27.0
77.812582201,17.0
77.862716005,26.0
77.912849809,34.0
77.962983613,20.0
78.013117417,14.0
78.063251221,18.0
78.113385025,9.0
78.163518829,11.0
78.213652634,14.0
78.263786438,16.0
78.313920242,19.0
78.364054046,16.0
78.414187850,16.0
78.464321654,16.0
78.514455458,8.0
78.564589262,13.0
78.614723066,16.0
78.664856870,11.0
78.714990674,19.0
78.765124479,10.0
78.815258283,17.0
78.865392087,16.0
78.915525891,5.0
78.965659695,16.0
79.015793499,19.0
79.065927303,10.0
79.116061107,10.0
79.166194911,10.0
79.216328715,7.0
79.266462520,7.0
79.316596324,16.0
79.366730128,10.0
79.416863932,14.0
79.466997736,17.0
79.517131540,9.0
79.567265344,9.0
79.617399148,10.0
79.667532952,11.0
79.717666756,17.0
79.767800560,9.0
79.817934365,5.0
79.868068169,8.0
79.918201973,19.0
79.968335777,14.0
80.018469581,6.0
80.068603385,7.0
80.118737189,7.0
80.168870993,15.0
80.219004797,14.0
80.269138601,21.0
80.319272405,14.0
80.369406210,4.0
80.419540014,10.0
80.469673818,4.0
80.519807622,14.0
80.569941426,13.0
80.620075230,8.0
80.670209034,11.0
80.720342838,9.0
80.770476642,17.0
80.820610446,6.0
80.870744250,17.0
80.920878055,11.0
80.971011859,6.0
81.021145663,6.0
81.071279467,11.0
81.121413271,10.0
81.171547075,13.0
81.221680879,10.0
81.271814683,11.0
81.321948487,9.0
81.372082291,10.0
81.422216096,11.0
81.472349900,18.0
81.522483704,8.0
81.572617508,5.0
81.622751312,5.0
81.672885116,9.0
81.723018920,10.0
81.773152724,10.0
81.823286528,9.0
81.873420332,15.0
81.923554136,16.0
81.973687941,18.0
82.023821745,6.0
82.073955549,19.0
82.124089353,4.0
82.174223157,14.0
82.224356961,11.0
82.274490765,15.0
82.324624569,10.0
82.374758373,11.0
82.424892177,9.0
82.475025981,16.0
82.525159786,6.0
82.575293590,10.0
82.625427394,6.0
82.675561198,15.0
82.725695002,6.0
82.775828806,10.0
82.825962610,5.0
82.876096414,7.0
82.926230218,9.0
82.976364022,14.0
83.026497827,8.0
83.076631631,7.0
83.126765435,9.0
83.176899239,11.0
83.227033043,9.0
83.277166847,7.0
83.327300651,8.0
83.377434455,9.0
83.427568259,8.0
83.477702063,8.0
83.527835867,6.0
83.577969672,14.0
83.628103476,8.0
83.678237280,10.0
83.728371084,7.0
83.778504888,5.0
83.828638692,7.0
83.878772496,13.0
83.928906300,15.0
83.979040104,7.0
84.029173908,14.0
84.079307712,5.0
84.129441517,7.0
84.179575321,14.0
84.229709125,11.0
84.279842929,9.0
84.329976733,4.0
84.380110537,3.0
84.430244341,10.0
84.480378145,5.0
84.530511949,13.0
84.580645753,6.0
84.630779557,9.0
84.680913362,4.0
84.731047166,13.0
84.781180970,15.0
84.831314774,8.0
84.881448578,4.0
84.931582382,9.0
84.981716186,13.0
85.031849990,16.0
85.081983794,5.0
85.132117598,4.0
85.182251403,10.0
85.232385207,9.0
85.282519011,8.0
85.332652815,5.0
85.382786619,9.0
85.432920423,11.0
85.483054227,11.0
85.533188031,9.0
85.583321835,15.0
85.633455639,2.0
85.683589443,16.0
85.733723248,8.0
85.783857052,9.0
85.833990856,7.0
85.884124660,19.0
85.934258464,11.0
85.984392268,10.0
86.034526072,10.0
86.084659876,13.0
86.134793680,9.0
86.184927484,10.0
86.235061288,9.0
86.285195093,5.0
86.335328897,8.0
86.385462701,5.0
86.435596505,9.0
86.485730309,9.0
86.535864113,15.0
86.585997917,8.0
86.636131721,6.0
86.686265525,11.0
86.736399329,7.0
86.786533133,15.0
86.836666938,9.0
86.886800742,16.0
86.936934546,14.0
86.987068350,13.0
87.037202154,9.0
87.087335958,9.0
87.137469762,6.0
87.187603566,10.0
87.237737370,13.0
87.287871174,3.0
87.338004979,4.0
87.388138783,6.0
87.438272587,10.0
87.488406391,5.0
87.538540195,13.0
87.588673999,10.0
87.638807803,7.0
87.688941607,7.0
87.739075411,9.0
87.789209215,9.0
87.839343019,7.0
87.889476824,15.0
87.939610628,15.0
87.989744432,15.0
88.039878236,8.0
88.090012040,9.0
88.140145844,11.0
88.190279648,3.0
88.240413452,10.0
88.290547256,15.0
88.340681060,11.0
88.390814864,8.0
88.440948669,14.0
88.491082473,10.0
88.541216277,6.0
88.591350081,8.0
88.641483885,13.0
88.691617689,5.0
88.741751493,11.0
88.791885297,11.0
88.842019101,9.0
88.892152905,7.0
88.942286709,20.0
88.992420514,9.0
89.042554318,10.0
89.092688122,9.0
89.142821926,13.0
89.192955730,9.0
89.243089534,8.0
89.293223338,16.0
89.343357142,7.0
89.393490946,16.0
89.443624750,17.0
89.493758555,19.0
89.543892359,20.0
89.594026163,11.0
89.644159967,14.0
89.694293771,18.0
89.744427575,16.0
89.794561379,18.0
89.844695183,13.0
89.894828987,18.0
89.944962791,22.0
89.995096595,20.0
90.045230400,16.0
90.095364204,22.0
90.145498008,25.0
90.195631812,19.0
90.245765616,26.0
90.295899420,29.0
90.346033224,42.0
90.396167028,34.0
90.446300832,51.0
90.496434636,42.0
90.546568440,51.0
90.596702245,71.0
90.646836049,69.0
90.696969853,114.0
90.747103657,114.0
90.797237461,99.0
90.847371265,99.0
90.897505069,110.0
90.947638873,102.0
90.997772677,84.0
91.047906481,86.0
91.098040286,72.0
91.148174090,66.0
91.198307894,66.0
91.248441698,66.0
91.298575502,28.0
91.348709306,31.0
91.398843110,35.0
91.448976914,33.0
91.499110718,16.0
91.549244522,20.0
91.599378326,19.0
91.649512131,19.0
91.699645935,19.0
91.749779739,19.0
91.799913543,17.0
91.850047347,14.0
91.900181151,17.0
91.950314955,15.0
92.000448759,10.0
92.050582563,7.0
92.100716367,10.0
92.150850171,14.0
92.200983976,15.0
92.251117780,19.0
92.301251584,13.0
92.351385388,11.0
92.401519192,10.0
92.451652996,21.0
92.501786800,8.0
92.551920604,20.0
92.602054408,7.0
92.652188212,8.0
92.702322016,11.0
92.752455821,7.0
92.802589625,5.0
92.852723429,16.0
92.902857233,14.0
92.952991037,6.0
93.003124841,11.0
93.053258645,4.0
93.103392449,9.0
93.153526253,11.0
93.203660057,10.0
93.253793862,22.0
93.303927666,14.0
93.354061470,6.0
93.404195274,14.0
93.454329078,11.0
93.504462882,8.0
93.554596686,8.0
93.604730490,11.0
93.654864294,19.0
93.704998098,18.0
93.755131902,7.0
93.805265707,9.0
93.855399511,6.0
93.905533315,9.0
93.955667119,9.0
94.005800923,7.0
94.055934727,7.0
94.106068531,9.0
94.156202335,7.0
94.206336139,10.0
94.256469943,7.0
94.306603747,8.0
94.356737552,8.0
94.406871356,11.0
94.457005160,10.0
94.507138964,2.0
94.557272768,15.0
94.607406572,7.0
94.657540376,7.0
94.707674180,6.0
94.757807984,7.0
94.807941788,7.0
94.858075592,7.0
94.908209397,6.0
94.958343201,9.0
95.008477005,16.0
95.058610809,6.0
95.108744613,11.0
95.158878417,6.0
95.209012221,8.0
95.259146025,11.0
95.309279829,7.0
95.359413633,10.0
95.409547438,5.0
95.459681242,7.0
95.509815046,7.0
95.559948850,11.0
95.610082654,9.0
95.660216458,8.0
95.710350262,16.0
95.760484066,13.0
95.810617870,19.0
95.860751674,15.0
95.910885478,28.0
95.961019283,22.0
96.011153087,20.0
96.061286891,20.0
96.111420695,19.0
96.161554499,25.0
96.211688303,20.0
96.261822107,21.0
96.311955911,19.0
96.362089715,11.0
96.412223519,13.0
96.462357323,18.0
96.512491128,16.0
96.562624932,21.0
96.612758736,11.0
96.662892540,14.0
96.713026344,11.0
96.763160148,4.0
96.813293952,11.0
96.863427756,8.0
96.913561560,14.0
96.963695364,16.0
97.013829169,8.0
97.063962973,8.0
97.114096777,7.0
97.164230581,10.0
97.214364385,18.0
97.264498189,8.0
97.314631993,9.0
97.364765797,11.0
97.414899601,4.0
97.465033405,7.0
97.515167209,13.0
97.565301014,7.0
97.615434818,7.0
97.665568622,8.0
97.715702426,9.0
97.765836230,9.0
97.815970034,5.0
97.866103838,5.0
97.916237642,11.0
97.966371446,10.0
98.016505250,9.0
98.066639054,8.0
98.116772859,6.0
98.166906663,11.0
98.217040467,10.0
98.267174271,5.0
98.317308075,11.0
98.367441879,11.0
98.417575683,7.0
98.467709487,13.0
98.517843291,13.0
98.567977095,13.0
98.618110899,8.0
98.668244704,8.0
98.718378508,11.0
98.768512312,13.0
98.818646116,8.0
98.868779920,13.0
98.918913724,13.0
98.969047528,7.0
99.019181332,6.0
99.069315136,13.0
99.119448940,8.0
99.169582745,15.0
99.219716549,8.0
99.269850353,13.0
99.319984157,7.0
99.370117961,6.0
99.420251765,9.0
99.470385569,11.0
99.520519373,7.0
99.570653177,6.0
99.620786981,6.0
99.670920785,8.0
99.721054590,7.0
99.771188394,7.0
99.821322198,7.0
