[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={56BCC7D6-C695-42C6-9FE3-F6764B4E71BD}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,15/Apr/2016 14:39
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.000,60.000
Scan step size,0.0200000
No. of points, 2001
Scan type,PRE-SET COUNTS
Omega,1.500
Time per step,15.00
[Scan points]
Angle,Intensity
20.000,36
20.020,33
20.040,29
20.060,34
20.080,34
20.100,31
20.120,48
20.140,37
20.160,32
20.180,46
20.200,37
20.220,48
20.240,42
20.260,33
20.280,33
20.300,44
20.320,42
20.340,37
20.360,46
20.380,44
20.400,34
20.420,33
20.440,41
20.460,49
20.480,47
20.500,35
20.520,32
20.540,40
20.560,33
20.580,44
20.600,42
20.620,45
20.640,32
20.660,36
20.680,45
20.700,31
20.720,31
20.740,38
20.760,38
20.780,42
20.800,45
20.820,41
20.840,23
20.860,46
20.880,36
20.900,24
20.920,37
20.940,35
20.960,40
20.980,32
21.000,54
21.020,44
21.040,36
21.060,33
21.080,41
21.100,35
21.120,29
21.140,42
21.160,39
21.180,34
21.200,50
21.220,33
21.240,35
21.260,32
21.280,31
21.300,31
21.320,37
21.340,31
21.360,49
21.380,35
21.400,41
21.420,35
21.440,43
21.460,32
21.480,32
21.500,39
21.520,40
21.540,25
21.560,45
21.580,29
21.600,44
21.620,32
21.640,39
21.660,31
21.680,29
21.700,35
21.720,47
21.740,34
21.760,40
21.780,37
21.800,33
21.820,37
21.840,43
21.860,41
21.880,29
21.900,43
21.920,27
21.940,26
21.960,39
21.980,37
22.000,38
22.020,42
22.040,45
22.060,32
22.080,45
22.100,44
22.120,45
22.140,30
22.160,46
22.180,42
22.200,39
22.220,47
22.240,34
22.260,43
22.280,41
22.300,46
22.320,39
22.340,45
22.360,47
22.380,42
22.400,37
22.420,41
22.440,42
22.460,37
22.480,27
22.500,44
22.520,34
22.540,48
22.560,47
22.580,44
22.600,38
22.620,42
22.640,36
22.660,32
22.680,43
22.700,43
22.720,34
22.740,35
22.760,45
22.780,42
22.800,45
22.820,44
22.840,46
22.860,30
22.880,44
22.900,34
22.920,44
22.940,46
22.960,46
22.980,37
23.000,29
