[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={BC538F88-BCB7-49B1-B949-146FB158B101}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,19/Apr/2016 01:03
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.000,58.200
Scan step size,0.0200000
No. of points, 1911
Scan type,PRE-SET COUNTS
Omega,1.500
Time per step,15.00
[Scan points]
Angle,Intensity
20.000,52
20.020,42
20.040,38
20.060,32
20.080,36
20.100,39
20.120,33
20.140,50
20.160,43
20.180,33
20.200,41
20.220,36
20.240,35
20.260,39
20.280,32
20.300,36
20.320,35
20.340,40
20.360,43
20.380,34
20.400,38
20.420,28
20.440,36
20.460,35
20.480,43
20.500,38
20.520,38
20.540,37
20.560,51
20.580,30
20.600,38
20.620,47
20.640,35
20.660,30
20.680,36
20.700,48
20.720,34
20.740,38
20.760,39
20.780,40
20.800,30
20.820,39
20.840,30
20.860,35
20.880,41
20.900,39
20.920,36
20.940,29
20.960,32
20.980,37
21.000,28
21.020,40
21.040,26
21.060,45
21.080,38
21.100,36
21.120,34
21.140,36
21.160,42
21.180,45
21.200,36
21.220,33
21.240,39
21.260,26
21.280,34
21.300,35
21.320,46
21.340,32
21.360,39
21.380,34
21.400,41
21.420,31
21.440,43
21.460,35
21.480,41
21.500,41
21.520,37
21.540,37
21.560,38
21.580,22
21.600,29
21.620,46
21.640,32
21.660,34
21.680,34
21.700,32
21.720,39
21.740,38
21.760,39
21.780,33
21.800,42
21.820,35
21.840,40
21.860,29
21.880,27
21.900,33
21.920,38
21.940,21
21.960,35
21.980,35
22.000,42
22.020,33
22.040,30
22.060,40
22.080,35
22.100,33
22.120,40
22.140,26
22.160,40
22.180,39
22.200,24
22.220,46
22.240,33
22.260,45
22.280,37
22.300,43
22.320,45
22.340,34
22.360,33
22.380,44
22.400,37
22.420,35
22.440,41
22.460,45
22.480,39
22.500,51
22.520,39
22.540,35
22.560,41
22.580,39
22.600,35
22.620,35
22.640,28
22.660,44
22.680,49
22.700,45
22.720,38
22.740,33
22.760,39
22.780,35
22.800,35
22.820,35
22.840,35
22.860,37
22.880,37
22.900,31
22.920,38
22.940,35
22.960,38
22.980,41
23.000,37
23.020,34
