[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\BraggBrentano.xrdmp, Identifier={E0FB4A26-42FE-4201-BB41-2325C246ED82}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,15/Jun/2018 10:45
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.00000,80.00000
Scan step size,0.0120000
No. of points, 5000
Scan type,CONTINUOUS
Time per step,1.50
[Scan points]
Angle,Intensity
20.00600,43.0
20.01800,46.0
20.03000,56.0
20.04200,40.0
20.05400,42.0
20.06600,44.0
20.07800,50.0
20.09000,51.0
20.10200,48.0
20.11400,52.0
20.12600,37.0
20.13800,42.0
20.15000,48.0
20.16200,40.0
20.17400,49.0
20.18600,42.0
20.19800,61.0
20.21000,52.0
20.22200,30.0
20.23400,51.0
20.24600,42.0
20.25800,40.0
20.27000,44.0
20.28200,46.0
20.29400,39.0
20.30600,42.0
20.31800,41.0
20.33000,37.0
20.34200,53.0
20.35400,45.0
20.36600,46.0
20.37800,38.0
20.39000,38.0
20.40200,42.0
20.41400,33.0
20.42600,41.0
20.43800,46.0
20.45000,37.0
20.46200,49.0
20.47400,43.0
20.48600,34.0
20.49800,47.0
20.51000,43.0
20.52200,40.0
20.53400,47.0
20.54600,42.0
20.55800,38.0
20.57000,46.0
20.58200,52.0
20.59400,42.0
20.60600,42.0
20.61800,49.0
20.63000,44.0
20.64200,46.0
20.65400,47.0
20.66600,38.0
20.67800,46.0
20.69000,44.0
20.70200,50.0
20.71400,54.0
20.72600,34.0
20.73800,48.0
20.75000,53.0
20.76200,38.0
20.77400,36.0
20.78600,38.0
20.79800,44.0
20.81000,46.0
20.82200,47.0
20.83400,54.0
20.84600,44.0
20.85800,43.0
20.87000,44.0
20.88200,41.0
20.89400,43.0
20.90600,54.0
20.91800,68.0
20.93000,37.0
20.94200,38.0
20.95400,52.0
20.96600,50.0
20.97800,35.0
20.99000,38.0
21.00200,46.0
21.01400,44.0
21.02600,46.0
21.03800,48.0
21.05000,59.0
21.06200,62.0
21.07400,49.0
21.08600,51.0
21.09800,49.0
21.11000,47.0
21.12200,48.0
21.13400,39.0
21.14600,39.0
21.15800,41.0
21.17000,47.0
21.18200,55.0
21.19400,38.0
