[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\BraggBrentano.xrdmp, Identifier={1069A1B4-F515-4840-9AC8-848F644ED6C5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,13/Jun/2018 11:02
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.00000,80.00000
Scan step size,0.0120000
No. of points, 5000
Scan type,CONTINUOUS
Time per step,1.50
[Scan points]
Angle,Intensity
20.00600,34.0
20.01800,40.0
20.03000,24.0
20.04200,33.0
20.05400,35.0
20.06600,42.0
20.07800,35.0
20.09000,31.0
20.10200,42.0
20.11400,34.0
20.12600,35.0
20.13800,25.0
20.15000,35.0
20.16200,32.0
20.17400,36.0
20.18600,24.0
20.19800,30.0
20.21000,33.0
20.22200,31.0
20.23400,34.0
20.24600,35.0
20.25800,38.0
20.27000,30.0
20.28200,33.0
20.29400,34.0
20.30600,48.0
20.31800,35.0
20.33000,39.0
20.34200,31.0
20.35400,35.0
20.36600,38.0
20.37800,44.0
20.39000,29.0
20.40200,40.0
20.41400,26.0
20.42600,35.0
20.43800,36.0
20.45000,43.0
20.46200,31.0
20.47400,36.0
20.48600,38.0
20.49800,32.0
20.51000,38.0
20.52200,49.0
20.53400,40.0
20.54600,42.0
20.55800,39.0
20.57000,32.0
20.58200,38.0
20.59400,38.0
20.60600,38.0
20.61800,41.0
20.63000,40.0
20.64200,24.0
20.65400,30.0
20.66600,31.0
20.67800,32.0
20.69000,29.0
20.70200,23.0
20.71400,34.0
20.72600,44.0
20.73800,39.0
20.75000,32.0
20.76200,33.0
20.77400,49.0
20.78600,25.0
20.79800,44.0
20.81000,28.0
20.82200,39.0
20.83400,31.0
20.84600,44.0
20.85800,35.0
20.87000,32.0
20.88200,25.0
20.89400,29.0
20.90600,31.0
20.91800,32.0
20.93000,34.0
20.94200,23.0
20.95400,27.0
20.96600,35.0
20.97800,37.0
20.99000,41.0
21.00200,37.0
21.01400,35.0
21.02600,41.0
21.03800,35.0
21.05000,34.0
21.06200,35.0
21.07400,33.0
21.08600,37.0
21.09800,38.0
21.11000,33.0
21.12200,42.0
21.13400,35.0
21.14600,31.0
21.15800,24.0
21.17000,31.0
21.18200,39.0
21.19400,31.0
