[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={B582B90F-1D45-47AE-98F5-4C15691F6AD6}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,13/Jun/2018 13:19
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0120000
No. of points, 5000
Scan type,CONTINUOUS
Omega,5.000
Time per step,1.50
[Scan points]
Angle,Intensity
20.00600,32.0
20.01800,24.0
20.03000,40.0
20.04200,25.0
20.05400,37.0
20.06600,22.0
20.07800,23.0
20.09000,25.0
20.10200,26.0
20.11400,30.0
20.12600,25.0
20.13800,29.0
20.15000,16.0
20.16200,31.0
20.17400,23.0
20.18600,25.0
20.19800,33.0
20.21000,21.0
20.22200,23.0
20.23400,37.0
20.24600,20.0
20.25800,23.0
20.27000,28.0
20.28200,27.0
20.29400,29.0
20.30600,25.0
20.31800,25.0
20.33000,31.0
20.34200,35.0
20.35400,25.0
20.36600,23.0
20.37800,24.0
20.39000,21.0
20.40200,23.0
20.41400,14.0
20.42600,22.0
20.43800,20.0
20.45000,23.0
20.46200,24.0
20.47400,26.0
20.48600,22.0
20.49800,24.0
20.51000,35.0
20.52200,26.0
20.53400,18.0
20.54600,28.0
20.55800,22.0
20.57000,19.0
20.58200,25.0
20.59400,29.0
20.60600,21.0
20.61800,24.0
20.63000,32.0
20.64200,29.0
20.65400,24.0
20.66600,39.0
20.67800,25.0
20.69000,16.0
20.70200,31.0
20.71400,21.0
20.72600,22.0
20.73800,34.0
20.75000,27.0
20.76200,22.0
20.77400,27.0
20.78600,25.0
20.79800,24.0
20.81000,26.0
20.82200,18.0
20.83400,32.0
20.84600,37.0
20.85800,20.0
20.87000,12.0
20.88200,36.0
20.89400,16.0
20.90600,28.0
20.91800,31.0
20.93000,23.0
20.94200,20.0
20.95400,20.0
20.96600,37.0
20.97800,20.0
20.99000,24.0
21.00200,24.0
21.01400,30.0
21.02600,32.0
21.03800,28.0
21.05000,36.0
21.06200,26.0
21.07400,24.0
21.08600,33.0
21.09800,24.0
21.11000,31.0
21.12200,27.0
21.13400,33.0
21.14600,25.0
21.15800,43.0
21.17000,25.0
21.18200,19.0
