[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\BraggBrentano.xrdmp, Identifier={E0FB4A26-42FE-4201-BB41-2325C246ED82}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,15/Jun/2018 15:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.00000,80.00000
Scan step size,0.0120000
No. of points, 5000
Scan type,CONTINUOUS
Time per step,1.50
[Scan points]
Angle,Intensity
20.00600,38.0
20.01800,40.0
20.03000,31.0
20.04200,28.0
20.05400,40.0
20.06600,28.0
20.07800,25.0
20.09000,33.0
20.10200,32.0
20.11400,14.0
20.12600,32.0
20.13800,24.0
20.15000,28.0
20.16200,29.0
20.17400,33.0
20.18600,31.0
20.19800,31.0
20.21000,38.0
20.22200,34.0
20.23400,26.0
20.24600,36.0
20.25800,39.0
20.27000,28.0
20.28200,33.0
20.29400,35.0
20.30600,36.0
20.31800,32.0
20.33000,36.0
20.34200,27.0
20.35400,28.0
20.36600,34.0
20.37800,26.0
20.39000,32.0
20.40200,34.0
20.41400,34.0
20.42600,28.0
20.43800,24.0
20.45000,26.0
20.46200,33.0
20.47400,34.0
20.48600,24.0
20.49800,35.0
20.51000,27.0
20.52200,27.0
20.53400,25.0
20.54600,34.0
20.55800,34.0
20.57000,26.0
20.58200,27.0
20.59400,37.0
20.60600,37.0
20.61800,28.0
20.63000,32.0
20.64200,22.0
20.65400,33.0
20.66600,27.0
20.67800,24.0
20.69000,27.0
20.70200,31.0
20.71400,29.0
20.72600,29.0
20.73800,41.0
20.75000,34.0
20.76200,30.0
20.77400,20.0
20.78600,17.0
20.79800,28.0
20.81000,31.0
20.82200,36.0
20.83400,41.0
20.84600,30.0
20.85800,25.0
20.87000,22.0
20.88200,27.0
20.89400,26.0
20.90600,29.0
20.91800,30.0
20.93000,34.0
20.94200,24.0
20.95400,33.0
20.96600,30.0
20.97800,26.0
20.99000,33.0
21.00200,29.0
21.01400,19.0
21.02600,18.0
21.03800,21.0
21.05000,40.0
21.06200,24.0
21.07400,35.0
21.08600,26.0
21.09800,24.0
21.11000,26.0
21.12200,28.0
21.13400,33.0
21.14600,27.0
21.15800,23.0
21.17000,31.0
21.18200,26.0
21.19400,21.0
