[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={916340AE-147D-4DBE-80CC-FF5A2212E1FD}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,14/Jun/2018 10:29
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,20.00000,80.00000
Scan step size,0.0120000
No. of points, 5000
Scan type,CONTINUOUS
Omega,5.000
Time per step,1.50
[Scan points]
Angle,Intensity
20.00600,27.0
20.01800,36.0
20.03000,38.0
20.04200,38.0
20.05400,30.0
20.06600,29.0
20.07800,19.0
20.09000,34.0
20.10200,31.0
20.11400,33.0
20.12600,29.0
20.13800,23.0
20.15000,25.0
20.16200,38.0
20.17400,33.0
20.18600,29.0
20.19800,33.0
20.21000,34.0
20.22200,25.0
20.23400,31.0
20.24600,41.0
20.25800,30.0
20.27000,28.0
20.28200,33.0
20.29400,30.0
20.30600,29.0
20.31800,26.0
20.33000,39.0
20.34200,29.0
20.35400,30.0
20.36600,38.0
20.37800,25.0
20.39000,40.0
20.40200,31.0
20.41400,32.0
20.42600,37.0
20.43800,37.0
20.45000,27.0
20.46200,29.0
20.47400,32.0
20.48600,42.0
20.49800,27.0
20.51000,24.0
20.52200,21.0
20.53400,11.0
20.54600,35.0
20.55800,30.0
20.57000,31.0
20.58200,29.0
20.59400,34.0
20.60600,27.0
20.61800,17.0
20.63000,25.0
20.64200,35.0
20.65400,17.0
20.66600,35.0
20.67800,32.0
20.69000,26.0
20.70200,23.0
20.71400,32.0
20.72600,35.0
20.73800,32.0
20.75000,26.0
20.76200,27.0
20.77400,21.0
20.78600,39.0
20.79800,33.0
20.81000,25.0
20.82200,30.0
20.83400,28.0
20.84600,33.0
20.85800,29.0
20.87000,29.0
20.88200,31.0
20.89400,45.0
20.90600,25.0
20.91800,31.0
20.93000,25.0
20.94200,27.0
20.95400,27.0
20.96600,28.0
20.97800,28.0
20.99000,26.0
21.00200,21.0
21.01400,35.0
21.02600,36.0
21.03800,36.0
21.05000,30.0
21.06200,31.0
21.07400,19.0
21.08600,39.0
21.09800,32.0
21.11000,24.0
21.12200,36.0
21.13400,26.0
21.14600,28.0
21.15800,25.0
21.17000,38.0
21.18200,32.0
