[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\BraggBrentano.xrdmp, Identifier={E0FB4A26-42FE-4201-BB41-2325C246ED82}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,15/Jun/2018 13:33
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.00000,80.00000
Scan step size,0.0120000
No. of points, 5000
Scan type,CONTINUOUS
Time per step,1.50
[Scan points]
Angle,Intensity
20.00600,49.0
20.01800,59.0
20.03000,47.0
20.04200,39.0
20.05400,48.0
20.06600,44.0
20.07800,46.0
20.09000,50.0
20.10200,26.0
20.11400,52.0
20.12600,41.0
20.13800,46.0
20.15000,49.0
20.16200,47.0
20.17400,51.0
20.18600,39.0
20.19800,47.0
20.21000,47.0
20.22200,45.0
20.23400,48.0
20.24600,54.0
20.25800,43.0
20.27000,41.0
20.28200,57.0
20.29400,48.0
20.30600,53.0
20.31800,35.0
20.33000,39.0
20.34200,39.0
20.35400,50.0
20.36600,50.0
20.37800,31.0
20.39000,49.0
20.40200,46.0
20.41400,39.0
20.42600,57.0
20.43800,36.0
20.45000,32.0
20.46200,36.0
20.47400,30.0
20.48600,43.0
20.49800,44.0
20.51000,31.0
20.52200,43.0
20.53400,46.0
20.54600,47.0
20.55800,58.0
20.57000,48.0
20.58200,42.0
20.59400,47.0
20.60600,42.0
20.61800,35.0
20.63000,45.0
20.64200,56.0
20.65400,37.0
20.66600,41.0
20.67800,47.0
20.69000,48.0
20.70200,41.0
20.71400,57.0
20.72600,36.0
20.73800,39.0
20.75000,42.0
20.76200,51.0
20.77400,53.0
20.78600,43.0
20.79800,44.0
20.81000,46.0
20.82200,41.0
20.83400,44.0
20.84600,44.0
20.85800,41.0
20.87000,43.0
20.88200,43.0
20.89400,48.0
20.90600,52.0
20.91800,42.0
20.93000,50.0
20.94200,52.0
20.95400,44.0
20.96600,36.0
20.97800,45.0
20.99000,43.0
21.00200,46.0
21.01400,42.0
21.02600,33.0
21.03800,52.0
21.05000,40.0
21.06200,31.0
21.07400,40.0
21.08600,40.0
21.09800,40.0
21.11000,49.0
21.12200,49.0
21.13400,53.0
21.14600,48.0
21.15800,48.0
21.17000,41.0
21.18200,45.0
21.19400,47.0
