[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Filmes Finos 19_1_2015, Owner=User-1, Creation date=19/01/2015 21:17:15"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\GrazingIncidence.xrdmp, Identifier={FFFADE1E-4F1E-43E6-AE83-51B7A97F4E56}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,19/Jan/2018 20:01
Unit cell,
h k l, 0 0 0
Scan axis,2Theta
Scan range,8.000,60.000
Scan step size,0.0250000
No. of points, 2081
Scan type,STEP
Omega,2.000
Time per step,20.000
[Scan points]
Angle,Intensity
8.000,103
8.025,102
8.050,103
8.075,102
8.100,103
8.125,102
8.150,101
8.175,99
8.200,98
8.225,103
8.250,99
8.275,100
8.300,100
8.325,99
8.350,99
8.375,99
8.400,101
8.425,97
8.450,97
8.475,98
8.500,97
8.525,97
8.550,94
8.575,100
8.600,97
8.625,96
8.650,95
8.675,97
8.700,90
8.725,93
8.750,98
8.775,93
8.800,95
8.825,92
8.850,94
8.875,95
8.900,91
8.925,93
8.950,95
8.975,89
9.000,90
9.025,92
9.050,90
9.075,91
9.100,92
9.125,92
9.150,92
9.175,89
9.200,93
9.225,89
9.250,90
9.275,91
9.300,90
9.325,91
9.350,90
9.375,91
9.400,91
9.425,93
9.450,93
9.475,94
9.500,89
9.525,89
9.550,88
9.575,88
9.600,90
9.625,88
9.650,83
9.675,86
9.700,92
9.725,87
9.750,87
9.775,84
9.800,86
9.825,81
9.850,82
9.875,84
9.900,85
9.925,85
9.950,82
9.975,82
10.000,86
10.025,85
10.050,82
10.075,85
10.100,82
10.125,84
10.150,84
10.175,85
10.200,84
10.225,81
10.250,80
10.275,79
10.300,80
10.325,81
10.350,82
10.375,85
10.400,79
10.425,77
10.450,82
10.475,81
10.500,82
10.525,87
10.550,76
10.575,82
10.600,83
10.625,81
10.650,77
10.675,82
10.700,84
10.725,84
10.750,81
10.775,83
10.800,84
10.825,81
10.850,81
10.875,78
10.900,75
10.925,81
10.950,78
10.975,78
11.000,74
11.025,77
11.050,76
11.075,77
11.100,75
11.125,76
11.150,77
11.175,74
11.200,76
11.225,76
11.250,76
11.275,74
11.300,73
11.325,74
11.350,76
11.375,73
11.400,75
11.425,74
11.450,71
11.475,68
11.500,77
11.525,75
11.550,74
11.575,74
11.600,74
11.625,73
11.650,70
11.675,73
11.700,71
